SA4_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
205,69,131,112,110,200,44,18,685,23,62,50,41,69,19,0,263,5,3,5,8,3,0,0,27,0,4,3,0,3,0,0,16,102,202,168,162,282,59,18,989,13,27,15,21,25,9,0,112,3,11,13,0,11,0,0,42,22,36,29,18,37,9,3,156,117,242,196,183,317,67,17,1147,72,109,74,57,81,21,8,412,7,8,0,5,0,0,0,19,198,359,270,238,400,86,23,1578,127,335,305,294,484,137,29,1708,475,973,627,463,603,141,38,3325,72,60,26,29,33,5,8,225,26,28,15,14,15,3,0,99,694,1389,979,799,1135,284,72,5354,35,110,69,46,73,19,0,351,87,219,126,63,75,14,0,592,123,330,196,109,148,33,0,945,817,1725,1173,911,1285,317,72,6298,1602,1403,644,421,480,114,19,4680,23,26,12,14,3,4,0,92,2445,3152,1833,1344,1765,435,96,11070,193,469,424,405,684,181,45,2398
206,64,162,124,105,173,126,88,854,33,49,41,34,49,41,25,266,3,3,3,0,7,3,8,30,3,3,3,3,3,3,0,23,102,220,174,144,228,180,122,1170,11,12,10,6,18,12,6,75,3,10,0,3,3,3,3,29,10,25,14,10,21,11,8,105,111,241,190,153,253,192,136,1271,38,57,55,48,85,46,43,360,3,0,4,0,5,0,3,13,148,303,247,198,338,240,177,1653,293,660,467,365,597,431,298,3110,444,764,500,353,493,334,209,3098,64,28,25,12,15,19,16,180,17,16,16,13,16,15,11,96,813,1475,1005,742,1121,801,533,6488,44,77,41,36,61,33,26,320,70,161,79,49,65,48,32,497,112,235,121,84,125,77,55,816,923,1708,1121,828,1251,886,586,7311,1151,1049,579,408,559,394,234,4375,31,26,17,14,10,11,3,108,2104,2778,1721,1253,1814,1282,825,11790,354,825,591,470,765,560,389,3962
207,26,170,135,101,192,126,67,821,10,34,29,25,47,43,25,211,0,0,0,5,3,6,3,19,0,3,3,0,0,3,0,16,44,208,172,132,242,182,97,1064,7,17,5,14,21,10,8,81,0,6,3,3,4,7,0,24,11,18,4,13,26,14,10,104,50,223,175,151,268,196,99,1169,25,57,37,32,38,44,22,253,7,0,3,0,0,0,0,15,87,278,217,181,309,237,124,1432,168,449,412,349,648,487,288,2797,215,631,504,362,580,390,221,2907,38,11,12,14,13,20,12,125,7,15,8,7,14,16,10,89,429,1117,938,738,1254,914,535,5919,17,47,17,18,27,23,13,163,22,54,30,35,52,36,23,256,38,98,48,58,78,56,35,418,469,1217,989,790,1330,974,571,6343,438,562,376,315,511,303,222,2723,3,7,5,8,4,6,4,38,912,1783,1370,1117,1843,1285,793,9099,195,621,553,449,843,614,355,3621
208,94,197,169,125,247,173,102,1105,17,59,52,42,72,40,25,308,3,3,3,8,12,4,3,29,4,3,3,6,8,3,8,28,121,268,230,178,331,219,133,1469,3,13,5,4,19,9,5,62,0,9,3,8,5,4,0,25,3,23,10,9,22,18,5,92,119,285,239,189,359,231,135,1563,23,40,45,34,48,30,33,246,6,0,3,0,0,0,0,9,154,325,284,228,402,261,168,1818,213,591,555,435,736,511,319,3359,340,854,591,449,617,378,196,3421,38,23,16,13,25,16,8,145,7,22,16,9,21,17,7,93,600,1492,1174,910,1406,913,534,7025,9,41,28,29,44,29,10,191,25,98,58,35,41,14,11,277,33,139,81,62,87,49,24,475,632,1632,1252,969,1490,964,558,7493,523,533,351,253,316,199,145,2312,10,13,6,3,3,0,3,44,1165,2179,1610,1224,1803,1160,701,9851,300,794,724,563,988,683,418,4467
209,105,244,199,173,267,152,98,1242,21,75,43,35,59,42,15,282,3,4,3,6,4,7,0,32,6,9,0,3,3,6,7,42,136,330,248,219,334,207,116,1594,6,11,6,11,14,8,12,73,3,12,6,6,7,0,0,39,13,27,16,21,12,12,11,109,154,360,256,239,353,226,127,1710,78,122,69,66,85,43,33,487,10,6,3,0,3,0,0,25,241,486,337,305,431,269,158,2219,327,673,622,533,846,533,317,3860,611,1294,961,652,843,392,202,4953,82,57,37,14,30,24,11,249,32,34,36,18,25,19,10,175,1051,2059,1651,1222,1739,967,545,9238,53,100,67,53,65,40,10,391,90,189,109,76,67,35,17,580,143,290,179,125,130,77,27,971,1188,2348,1829,1349,1873,1046,572,10207,1665,1655,904,559,628,338,204,5947,32,28,29,17,9,3,0,125,2891,4033,2758,1928,2506,1384,779,16279,436,921,821,713,1115,688,415,5101
210,71,152,120,135,233,125,92,930,33,55,50,23,37,29,10,233,4,3,5,8,3,9,3,29,6,3,4,11,6,3,0,30,113,214,184,177,278,160,98,1234,12,15,16,12,11,3,5,77,0,5,6,3,9,3,3,28,16,21,19,13,20,10,6,104,126,231,206,190,297,169,108,1329,43,83,81,74,87,52,22,436,3,12,3,5,8,0,3,31,179,328,294,266,396,220,128,1802,249,555,467,375,609,349,198,2796,469,903,672,466,646,304,145,3602,54,40,27,26,21,13,7,191,25,42,25,21,35,21,15,187,799,1541,1190,891,1313,678,364,6768,42,105,49,46,72,40,18,369,93,152,95,72,77,28,14,532,130,258,146,111,145,73,28,897,926,1794,1337,1003,1464,754,392,7660,1497,1412,882,534,729,330,181,5567,27,36,19,20,7,3,5,109,2451,3246,2237,1554,2193,1083,573,13336,320,699,590,510,851,471,283,3725
211,93,245,236,217,343,192,100,1424,24,64,66,53,83,37,24,355,3,5,3,3,8,5,0,32,6,5,6,3,10,0,0,39,132,319,311,278,449,237,118,1843,8,13,11,7,11,11,4,73,3,10,6,0,5,4,0,33,14,18,19,13,18,16,6,102,139,345,326,293,465,254,125,1946,55,98,80,48,82,39,18,419,0,3,4,4,3,0,3,17,198,444,416,336,547,298,144,2378,271,691,651,571,1062,607,365,4213,651,1416,1054,773,1069,485,213,5672,61,44,41,25,46,22,10,251,15,36,27,12,25,20,10,141,995,2185,1772,1387,2206,1131,606,10274,23,66,54,36,53,17,20,264,85,175,116,52,70,29,15,541,112,240,174,86,126,45,31,810,1104,2422,1942,1467,2328,1174,640,11087,1313,1154,655,453,611,276,162,4624,13,19,21,5,10,7,4,78,2431,3600,2620,1934,2940,1458,803,15784,364,935,887,788,1406,794,467,5637
212,227,333,247,256,444,264,145,1917,43,103,86,67,100,80,48,529,6,8,8,12,16,0,3,60,18,15,11,8,13,5,4,70,296,463,352,341,573,354,197,2581,14,25,22,18,32,15,11,145,9,25,18,9,12,9,7,85,24,53,40,24,46,23,19,232,321,514,393,371,613,384,216,2813,110,162,132,123,129,85,51,792,7,10,4,3,5,5,3,31,435,684,531,497,748,473,264,3640,549,1227,996,877,1382,864,452,6340,964,1847,1405,976,1288,600,269,7342,120,82,50,35,47,27,31,391,48,56,59,37,55,37,21,330,1676,3211,2505,1926,2771,1529,781,14403,129,227,159,88,173,83,35,895,234,329,216,130,138,84,34,1169,370,551,369,226,309,168,70,2060,2043,3763,2876,2152,3082,1697,849,16463,3093,2786,1483,974,1388,716,411,10850,50,72,60,41,30,7,4,269,5183,6621,4418,3171,4499,2423,1264,27585,771,1555,1247,1132,1822,1128,598,8253
213,251,414,319,247,443,234,123,2029,77,111,91,56,102,50,23,513,15,9,4,5,11,10,4,54,20,17,9,10,12,6,3,88,363,551,431,319,562,307,157,2692,32,61,46,29,29,20,6,216,17,30,29,11,12,0,3,102,46,87,69,36,43,25,7,316,405,638,503,356,608,325,167,3008,162,270,164,113,146,81,49,990,18,23,6,9,6,7,3,72,585,936,675,481,760,413,221,4068,716,1472,1146,755,1356,743,443,6638,997,1923,1234,917,1214,589,281,7152,144,82,50,42,54,24,18,419,55,80,58,44,64,35,22,354,1917,3557,2487,1756,2690,1398,763,14558,172,361,206,160,212,120,53,1278,224,537,319,186,224,99,52,1651,399,897,530,342,438,223,100,2924,2313,4449,3013,2101,3123,1612,860,17482,3990,3650,1852,1181,1471,660,362,13168,104,93,46,38,36,19,6,348,6406,8200,4912,3321,4633,2299,1230,31002,969,1890,1467,999,1793,985,563,8669
214,67,156,139,142,238,95,35,866,26,59,35,27,78,16,10,246,0,3,3,3,5,0,3,20,9,7,4,3,3,0,3,32,107,223,184,178,320,109,45,1167,5,10,17,10,12,0,3,61,4,12,4,4,3,3,0,33,11,22,23,14,20,8,4,94,114,248,203,184,340,113,53,1260,41,77,67,40,65,29,12,328,5,18,3,3,3,0,0,31,162,342,269,227,407,142,70,1618,200,462,419,331,609,284,129,2422,506,1093,770,525,691,237,88,3919,64,48,29,27,33,13,4,217,20,26,30,12,28,4,0,131,786,1639,1242,891,1354,545,222,6683,36,64,64,35,50,18,3,267,89,169,108,69,48,10,3,504,124,236,172,102,100,32,7,767,912,1868,1419,994,1457,573,229,7455,1236,1086,574,350,421,111,47,3825,18,31,20,12,17,3,3,96,2163,2983,2010,1355,1888,686,286,11373,264,620,556,465,838,375,160,3288
215,37,84,84,88,108,21,3,433,21,39,18,16,20,5,0,124,0,3,0,5,3,0,0,9,0,0,6,0,0,0,0,15,62,128,113,104,138,24,11,583,11,10,3,3,8,0,0,31,0,13,0,3,0,0,0,17,11,18,9,8,8,0,0,46,67,147,122,117,144,24,11,631,51,84,47,36,41,14,3,278,3,0,3,0,3,0,0,11,126,231,168,152,187,36,9,917,75,200,168,167,250,63,15,936,231,486,309,221,309,63,9,1625,31,12,11,4,14,4,0,85,3,15,10,6,8,5,0,45,343,716,493,393,580,140,27,2695,17,53,39,16,16,7,0,145,38,96,39,36,33,4,0,240,55,141,76,45,48,14,7,383,394,858,571,443,633,153,29,3081,877,790,373,248,265,49,12,2600,17,14,12,6,7,0,0,55,1285,1659,959,697,898,199,40,5736,115,285,256,251,358,90,20,1373
216,36,85,73,58,120,25,3,406,12,19,27,15,30,3,3,102,0,0,0,0,3,0,0,9,3,3,3,4,0,0,0,16,53,104,103,79,153,32,7,529,0,9,7,3,3,4,0,21,3,9,10,0,3,0,0,28,3,20,13,8,4,3,0,49,51,118,120,84,163,38,7,577,33,67,35,24,41,5,4,222,10,4,7,3,3,0,0,23,93,195,155,119,205,45,8,821,90,202,175,138,244,64,17,928,239,450,311,214,290,71,12,1578,31,24,10,11,23,8,3,111,5,10,13,3,14,0,0,47,365,682,508,367,565,139,26,2651,22,61,32,21,23,3,0,165,55,90,36,25,26,3,0,239,74,145,77,47,48,9,3,407,445,832,586,413,616,150,29,3060,788,651,338,209,206,53,12,2259,11,21,18,6,5,0,0,63,1242,1508,933,624,831,200,40,5382,126,283,251,192,368,87,14,1331
217,24,41,69,48,83,16,3,278,4,33,25,16,32,8,0,118,0,0,5,0,0,0,0,14,0,3,0,0,0,0,0,6,29,77,92,65,113,26,3,413,0,4,6,8,11,0,0,36,0,4,3,0,3,0,0,12,0,13,6,13,19,0,0,46,31,86,101,79,128,26,3,459,29,31,31,25,20,4,0,132,4,8,7,3,0,3,0,23,60,127,140,105,146,32,3,619,51,142,131,95,206,51,15,700,232,402,315,230,305,71,10,1566,33,21,18,13,24,0,0,110,3,13,14,4,11,0,0,34,315,580,475,340,542,126,22,2410,5,27,12,19,12,9,0,82,20,61,36,18,20,7,0,168,23,92,48,40,32,14,0,254,340,673,529,381,579,142,22,2667,580,481,223,145,142,22,7,1611,3,12,3,3,6,0,0,36,933,1166,755,527,728,168,33,4310,69,185,198,144,290,66,21,975
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,86,196,136,112,182,59,29,807,15,37,29,40,34,9,6,183,0,3,3,0,3,3,0,17,0,6,4,4,3,0,0,21,107,250,176,156,225,77,33,1025,4,4,6,7,10,4,3,46,0,3,0,3,5,3,0,12,10,12,12,11,15,6,3,62,117,263,186,170,240,81,32,1087,31,77,45,35,48,10,11,261,0,7,3,3,0,0,0,14,146,343,237,209,289,90,44,1355,220,592,484,381,575,213,92,2550,366,725,535,310,415,118,47,2518,39,32,22,14,16,4,3,128,14,37,13,10,10,5,0,98,636,1386,1059,716,1016,331,137,5298,28,72,48,22,33,9,0,218,69,119,56,41,37,10,3,338,103,192,102,60,71,14,5,551,740,1579,1163,782,1096,348,143,5850,765,722,359,227,244,61,22,2398,12,13,11,7,0,0,0,48,1520,2319,1538,1017,1336,408,167,8296,307,790,626,491,756,276,116,3358
302,68,139,133,89,121,57,35,653,18,41,22,30,32,16,3,169,0,3,0,0,0,0,0,13,0,0,5,3,0,0,0,8,90,183,163,130,158,79,38,837,0,6,8,4,11,3,3,42,0,5,5,0,0,0,0,16,4,10,9,9,11,3,3,56,95,194,171,136,173,83,43,895,20,36,44,23,24,14,10,167,0,5,4,4,0,0,0,15,114,238,216,164,201,94,51,1078,209,482,408,300,491,230,110,2237,256,543,364,203,289,117,50,1825,72,29,20,6,18,3,3,151,8,22,9,10,13,8,0,67,547,1069,806,515,810,359,164,4278,17,40,39,16,32,9,4,158,49,74,46,22,24,11,10,231,67,114,79,36,60,21,7,390,616,1192,885,549,868,384,176,4665,555,480,263,197,210,61,25,1802,12,25,10,3,5,0,0,65,1189,1697,1164,748,1088,446,205,6535,278,616,544,389,617,289,149,2883
303,91,201,155,142,214,92,53,944,28,51,48,35,45,25,12,246,3,0,7,3,4,3,3,24,0,3,0,7,4,3,0,17,124,260,211,185,267,120,66,1227,7,17,12,18,18,5,7,83,10,10,11,9,3,0,0,35,13,22,20,25,18,9,7,120,134,288,236,207,288,133,71,1347,34,87,63,50,55,21,15,330,3,8,6,8,0,0,0,22,171,383,304,263,345,150,84,1701,258,619,543,437,647,356,200,3057,377,705,492,320,427,222,125,2670,63,33,20,21,22,17,11,178,10,38,23,6,21,13,8,116,716,1391,1070,779,1113,608,344,6020,46,92,60,44,44,29,14,316,62,120,54,48,40,17,11,356,106,214,115,90,79,48,22,675,820,1610,1182,870,1188,661,363,6695,897,822,477,295,385,223,152,3244,26,15,10,6,9,0,3,64,1740,2442,1669,1167,1580,882,517,10007,346,820,700,576,853,451,248,3994
304,39,140,133,85,123,60,35,599,0,21,22,25,17,13,8,113,0,0,3,3,0,0,3,13,0,3,0,0,3,0,0,8,38,168,151,113,139,76,45,734,10,10,8,3,3,7,3,39,0,4,4,0,0,5,0,14,10,14,6,3,7,5,3,49,47,176,160,117,143,81,48,780,11,22,14,9,20,14,16,117,0,0,0,3,3,0,0,3,66,201,177,125,169,96,64,899,112,345,296,256,399,230,130,1768,151,365,278,202,289,154,70,1515,24,24,10,9,14,3,4,94,5,6,3,4,7,3,4,37,288,743,593,475,717,392,205,3412,11,28,19,16,15,5,6,103,31,43,16,15,9,10,4,141,41,71,38,33,25,20,10,242,327,814,634,507,744,414,219,3662,252,314,187,120,159,98,53,1180,4,8,6,0,9,0,0,26,590,1139,819,629,908,508,279,4868,150,484,427,339,520,285,158,2364
305,52,124,100,89,137,83,43,635,9,32,26,23,35,26,12,153,0,3,3,0,0,3,3,16,0,5,0,0,0,0,0,9,65,166,127,118,176,110,54,818,9,9,7,0,3,7,3,32,0,0,0,4,0,0,4,16,6,9,11,4,6,4,4,51,71,174,142,124,182,110,57,862,16,25,17,15,15,16,8,118,0,0,0,0,0,0,0,5,92,197,158,144,205,128,67,987,154,365,328,255,414,266,133,1913,209,351,231,169,241,112,58,1359,34,22,9,7,8,5,0,86,9,8,6,0,8,0,4,31,400,741,572,429,675,383,192,3394,12,29,22,8,25,13,11,112,14,37,24,12,19,4,0,113,25,60,46,24,37,18,9,230,430,801,615,455,709,409,203,3627,264,247,162,129,180,100,55,1132,8,5,4,0,0,0,0,15,695,1051,781,586,886,508,259,4770,212,488,428,345,557,346,175,2546
306,75,202,162,122,174,31,7,781,29,70,62,39,43,3,4,250,3,6,4,3,11,0,0,28,9,10,11,5,3,0,0,36,119,291,241,165,233,30,11,1091,31,69,31,27,20,0,0,180,11,21,15,10,11,0,0,67,41,90,47,32,31,0,0,248,162,383,287,201,257,37,12,1340,80,168,91,68,73,3,7,493,9,6,10,0,0,0,0,29,246,563,388,266,340,44,17,1857,267,608,504,390,562,78,34,2444,467,977,617,392,473,55,22,3005,47,32,25,13,25,5,0,154,11,16,28,20,20,0,0,92,793,1630,1178,815,1079,145,62,5698,58,184,113,72,79,4,5,515,132,205,93,68,58,0,0,561,191,392,208,136,139,11,7,1077,984,2018,1385,953,1222,152,69,6778,1625,1562,747,435,384,40,11,4802,28,40,27,17,13,0,0,122,2640,3614,2149,1407,1617,186,86,11704,343,810,667,513,737,105,42,3220
307,39,75,52,46,64,6,0,286,9,19,22,14,12,0,0,75,4,3,3,0,0,0,0,11,0,0,5,0,4,3,0,9,50,96,81,59,88,8,0,384,9,18,15,14,4,3,0,57,3,6,3,0,0,0,0,10,10,25,17,14,4,3,0,67,63,119,93,72,88,8,0,455,40,58,42,24,22,4,0,192,5,7,0,0,3,0,0,15,109,182,140,97,118,9,0,661,81,230,194,120,171,21,6,829,216,422,242,204,197,16,7,1296,29,18,13,11,9,0,0,72,12,16,15,9,14,0,0,64,335,691,468,334,390,31,13,2263,29,76,46,22,29,3,3,203,49,89,38,28,18,0,0,223,82,163,89,43,42,3,3,426,420,854,553,382,431,36,17,2693,851,651,323,190,159,20,8,2203,14,7,3,5,9,0,0,37,1283,1517,885,577,592,51,19,4933,127,307,249,167,233,23,9,1116
308,93,194,146,97,160,17,4,703,16,36,28,35,27,0,0,141,0,3,3,3,4,0,0,14,3,3,4,3,3,0,0,22,116,233,180,143,193,15,5,886,17,37,34,20,29,0,0,137,0,15,10,8,0,0,0,27,21,51,43,25,29,0,0,172,137,284,229,169,218,17,5,1052,60,91,63,51,47,7,3,320,3,9,0,0,3,0,0,18,197,375,291,226,265,28,10,1392,184,441,369,275,373,51,26,1718,379,770,464,302,377,32,11,2336,47,30,15,12,20,3,0,127,17,15,15,10,10,3,0,67,629,1255,867,605,787,87,37,4255,76,197,104,72,68,3,0,516,131,181,99,60,47,6,0,524,205,378,206,131,115,8,0,1044,831,1631,1066,739,895,93,36,5296,1432,1160,513,281,288,26,9,3711,24,26,19,10,6,0,0,81,2290,2814,1601,1027,1191,125,42,9092,282,631,514,378,534,66,33,2421
309,207,363,307,264,398,138,68,1746,52,130,108,83,123,34,16,538,12,15,12,7,7,6,8,69,12,17,6,10,13,3,3,55,278,527,427,363,537,182,94,2410,24,28,37,27,34,6,8,165,13,19,16,13,12,3,0,72,35,46,50,38,47,10,9,234,315,575,478,401,586,189,97,2642,89,132,95,97,110,20,25,578,7,10,3,3,3,6,0,28,412,721,578,504,702,215,127,3251,491,1217,1062,817,1310,419,207,5516,1050,2122,1406,952,1180,328,158,7193,104,95,53,32,60,21,6,370,24,68,41,36,40,14,5,228,1675,3500,2557,1835,2585,780,370,13304,85,221,127,68,94,25,16,625,191,407,188,123,121,34,8,1075,275,625,312,196,214,57,26,1697,1945,4131,2867,2030,2799,840,399,15001,2238,2069,1019,667,780,220,121,7116,32,49,27,22,25,0,4,163,4218,6249,3909,2724,3603,1057,520,22281,690,1588,1369,1081,1704,553,275,7259
