SOS_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
SOS50,0,0,0,134,293,33247,1107,882,112,101,102,116,108,56,1396,37218,7512,222,130,12,11,6,10,13,5,705,8627,2624,41,25,4,5,3,3,0,0,222,2930,1641,40,34,8,12,5,0,3,0,150,1904,47,0,0,0,0,0,0,0,0,32,80,4316,79,60,12,13,6,7,9,6,408,4916,104,3,0,0,0,0,0,0,0,205,308,11925,300,194,25,29,15,12,17,6,1321,13856,211363,38511,58504,14211,15953,11017,8298,6733,3521,9116,377218,75853,30189,68057,13445,16848,15707,14616,13925,7798,5612,262051,13554,3172,7061,1468,2185,2598,2793,3656,2909,2906,42301,641,230,433,88,119,119,101,98,81,216,2125,90052,33591,75550,15006,19152,18419,17507,17684,10795,8728,306475,547,45,82,13,27,26,35,30,24,1190,2020,301960,72147,134137,29230,35131,29462,25840,24443,14341,19028,685713
SOS51,0,0,0,8,38,3763,90,73,8,21,8,10,5,3,205,4184,1003,23,17,0,0,7,3,0,0,141,1198,219,0,5,0,0,0,0,0,0,29,261,70,0,3,0,0,0,0,0,0,21,93,6,0,0,0,0,0,0,0,0,0,7,298,6,9,0,0,0,0,0,0,52,366,12,0,0,0,0,0,0,0,0,18,26,1316,28,28,0,0,7,5,0,0,203,1585,27721,4094,7233,1767,2004,1272,946,723,352,1715,47845,3760,1728,5951,1291,1466,1458,1150,1158,542,668,19181,385,82,376,78,117,177,172,293,232,264,2168,53,13,58,10,17,12,6,11,17,30,220,4196,1826,6382,1384,1602,1650,1330,1465,783,962,21565,82,9,28,4,10,8,8,5,4,190,345,31999,5930,13640,3154,3613,2928,2283,2188,1148,2865,69755
SOS52,0,0,0,3,13,732,19,3,3,0,0,0,3,3,34,800,131,4,4,0,0,0,0,0,0,8,149,27,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,3,173,4,4,0,0,0,3,0,0,10,188,5428,608,714,147,210,139,114,106,41,322,7833,515,146,400,151,161,160,140,133,90,83,1976,30,3,17,3,9,7,3,31,33,42,188,11,0,8,0,0,3,0,3,0,3,32,557,150,423,158,171,168,142,164,123,129,2193,27,0,3,0,0,0,0,0,0,20,50,6022,758,1146,304,382,306,260,273,167,468,10075
SOS53,0,0,0,11,19,1519,40,25,0,0,8,5,3,3,57,1666,256,3,3,4,3,0,0,0,0,14,288,62,0,0,0,0,0,0,0,0,5,70,18,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,3,91,3,0,0,0,0,0,0,0,0,0,6,343,3,3,4,3,0,0,0,3,24,385,16051,2054,2446,552,568,376,286,232,78,836,23476,2065,609,1252,198,309,218,215,221,114,167,5368,225,36,63,18,33,23,33,54,39,66,591,21,12,7,0,0,0,0,0,0,9,61,2309,658,1320,227,342,238,250,275,159,238,6012,43,6,12,0,0,4,0,0,0,935,1004,18400,2725,3782,776,908,620,531,510,233,2003,30491
SOS57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,15,21,3,5,0,3,5,0,17,116,13,3,9,3,10,0,7,0,3,3,49,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,3,9,3,10,0,10,3,3,3,46,0,0,0,0,0,0,0,0,0,0,0,57,19,26,8,17,0,17,9,3,18,168
SOS59,0,0,0,3,3,25,0,0,0,0,0,0,0,0,4,28,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,482,40,97,29,31,23,37,47,72,49,908,57,35,37,10,17,26,39,64,64,37,384,13,3,3,0,0,0,13,9,18,23,84,4,0,3,0,0,0,0,0,0,3,7,72,34,43,9,17,22,49,76,88,66,480,7,0,0,0,0,0,0,0,0,93,102,557,76,137,35,51,50,82,128,158,211,1484
SOS60,0,0,0,9,13,2209,20,27,5,5,8,9,5,5,96,2392,606,6,6,0,0,0,0,0,0,68,684,239,0,0,0,0,0,0,0,0,21,261,62,4,3,0,0,5,0,0,0,14,81,3,0,0,0,0,0,0,0,0,0,8,299,3,0,0,0,6,0,0,0,29,350,0,0,0,0,0,0,0,0,0,4,7,908,4,11,3,4,6,0,0,0,105,1043,10415,1005,1063,243,216,209,215,204,141,453,14156,2883,1039,2089,418,566,674,753,862,553,293,10131,322,98,224,88,111,182,211,219,248,164,1872,30,6,13,3,0,8,9,12,7,15,106,3234,1150,2331,507,673,860,967,1094,810,471,12111,27,0,0,0,0,0,3,0,0,47,81,13674,2159,3393,749,895,1068,1189,1304,953,967,26346
SOS61,0,0,0,9,24,2308,24,12,8,3,7,3,4,8,103,2487,638,6,5,0,5,0,0,3,0,58,716,129,0,0,0,0,0,0,0,0,13,151,29,0,3,3,0,0,0,0,0,4,40,3,0,0,0,0,0,0,0,0,0,3,163,0,4,3,0,0,0,0,0,20,193,6,0,0,0,0,0,0,0,0,10,17,811,3,5,4,5,0,0,3,0,89,924,10931,750,908,165,151,132,144,151,81,464,13881,1589,486,1125,261,322,375,368,373,271,161,5335,126,31,158,77,64,166,175,137,157,109,1206,16,0,6,3,0,0,3,3,8,9,53,1733,524,1291,336,389,542,547,511,435,286,6587,56,0,3,5,0,0,0,3,0,31,100,12714,1275,2203,505,538,671,687,673,513,781,20571
SOS62,0,0,0,0,3,417,3,0,0,0,0,0,0,0,10,430,78,0,0,0,0,0,0,0,0,11,88,14,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0,0,14,109,2295,170,132,31,25,18,24,18,21,90,2831,253,59,65,21,16,23,20,14,10,20,489,8,0,0,0,3,3,3,0,10,3,32,7,0,0,0,0,0,0,0,0,0,9,264,59,65,22,12,23,18,15,17,21,523,9,4,0,0,0,0,0,0,0,4,13,2572,235,194,54,43,40,42,33,34,111,3363
SOS63,0,0,0,0,3,951,19,9,0,3,0,0,0,3,44,1026,144,5,3,0,0,0,0,0,0,7,156,15,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,164,5,4,0,0,0,0,0,0,7,181,7226,610,588,78,71,85,72,76,42,332,9182,796,166,215,31,45,45,55,48,22,46,1461,40,4,3,4,4,4,9,15,21,15,120,4,3,3,0,0,0,0,0,0,0,15,841,174,224,32,47,49,65,65,46,58,1594,15,0,0,0,0,0,0,0,0,5,22,8082,779,811,116,120,132,132,136,86,405,10798
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,6,18
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,7,3,4,0,5,3,3,0,87,9,0,6,0,0,3,0,6,8,3,42,0,0,0,0,0,0,3,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,3,3,3,9,8,5,50,0,0,0,0,0,0,0,0,0,7,4,60,6,13,3,7,4,11,13,14,14,139
SOS70,0,0,0,3,4,882,12,10,3,8,4,3,0,4,45,970,100,3,0,0,0,0,0,0,0,11,117,42,0,0,0,0,0,0,0,0,6,53,45,3,0,0,0,0,0,0,0,3,51,0,0,0,0,0,0,0,0,0,3,3,91,3,0,0,0,0,0,0,0,6,103,0,0,0,0,0,0,0,0,0,6,6,187,6,3,0,0,0,3,0,0,18,219,6418,994,1831,509,630,500,439,479,265,460,12529,4031,1319,4802,950,1143,1274,1252,1406,801,495,17467,779,106,369,74,102,161,177,236,219,191,2419,51,9,38,6,9,14,7,15,7,14,168,4863,1433,5213,1029,1250,1452,1434,1652,1032,696,20048,11,4,3,0,3,3,0,0,3,95,129,11293,2434,7047,1540,1880,1954,1875,2129,1299,1251,32703
SOS71,0,0,0,0,0,153,3,0,0,0,0,3,0,4,12,175,20,0,0,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,43,1853,328,472,140,213,167,247,253,157,133,3965,545,368,1094,217,248,213,218,237,127,124,3393,49,7,34,11,5,22,24,47,42,32,275,4,0,15,5,0,10,3,0,0,4,47,597,378,1149,233,257,240,244,289,162,167,3715,3,3,0,0,0,0,0,0,0,7,16,2456,710,1618,375,471,406,492,538,321,304,7702
SOS72,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,437,64,115,22,31,23,25,26,18,50,820,96,59,124,29,34,29,23,44,33,38,509,5,0,4,3,0,3,6,7,3,9,39,0,0,0,0,0,0,0,0,0,0,5,101,59,125,32,31,32,33,54,40,46,557,0,0,0,0,0,0,0,0,0,0,0,534,125,245,53,60,58,50,75,61,105,1378
SOS73,0,0,0,0,0,110,0,3,0,0,0,0,0,0,7,125,9,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,17,1430,162,189,43,39,37,42,39,23,120,2115,339,68,128,19,26,27,29,54,21,66,780,91,15,23,10,5,25,6,9,7,45,236,0,0,0,0,0,0,6,0,0,0,10,433,83,146,23,30,53,40,66,37,112,1030,4,0,0,0,0,0,0,0,0,18,23,1866,244,335,64,75,93,82,102,59,248,3169
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,22,11,27,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,11,53
SOS79,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,22,17,7,6,8,16,25,16,13,267,26,0,13,8,6,4,13,25,14,11,126,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,26,0,13,8,6,3,13,32,16,14,134,0,0,0,0,0,0,0,0,0,0,3,163,26,29,15,7,15,26,57,33,31,402
SOS80,0,0,0,18,25,5214,71,87,15,17,14,16,12,3,166,5609,1011,8,5,0,0,0,0,0,0,69,1096,571,7,0,0,0,0,3,0,0,35,620,321,10,9,0,0,0,0,3,0,18,361,8,0,0,0,0,0,0,0,0,3,13,902,14,13,0,0,0,3,5,0,61,996,6,0,0,0,0,0,0,0,0,27,28,1920,25,17,0,0,0,3,3,0,151,2123,27230,3125,3232,991,970,800,881,900,501,1000,39638,18900,7607,11668,2340,2584,2839,3531,3947,2442,1209,57063,2383,564,1081,239,327,420,640,755,686,507,7600,151,38,66,8,11,17,23,17,17,22,371,21435,8220,12814,2583,2913,3278,4191,4716,3150,1737,65038,47,5,12,0,0,3,8,3,3,149,237,48706,11349,16060,3579,3888,4084,5076,5626,3651,2893,104916
SOS82,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,31,3,3,0,0,0,0,0,0,0,35,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,35,3,3,0,0,0,0,0,0,0,40
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,7,0,0,0,0,3,0,0,54,8,0,3,0,0,0,5,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,5,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,46,12,13,0,3,0,4,3,4,3,86
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,12,0,0,3,4,7,0,0,51,8,3,10,4,0,0,9,3,11,3,55,0,0,0,0,0,0,0,5,4,0,16,3,0,0,0,0,0,0,0,0,0,3,12,7,12,4,0,3,9,7,12,3,71,0,0,0,0,0,0,0,0,0,6,6,42,7,18,5,4,3,7,14,12,6,130
SOS91,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,75,8,16,4,3,0,3,3,0,3,115,162,29,40,10,11,10,9,3,12,10,298,157,4,14,0,0,4,3,4,0,12,200,3,0,0,0,0,0,0,0,0,0,3,322,37,49,15,9,16,11,8,13,21,498,0,0,0,0,0,0,0,0,0,0,0,391,43,66,15,10,15,15,11,14,28,615
SOS92,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,17,14,4,3,0,5,3,6,11,167,43,15,27,3,0,3,7,8,8,24,137,6,0,6,0,0,0,3,4,0,4,27,0,0,0,0,0,0,0,0,0,0,3,45,15,33,3,0,3,13,11,7,28,164,0,0,0,0,0,0,0,0,0,3,3,146,33,54,9,3,7,13,15,11,47,331
SOS93,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,19,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,101,16,11,0,3,4,3,3,3,6,159,61,5,7,0,0,0,6,8,0,20,115,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,4,60,8,7,0,0,0,6,6,3,24,122,0,0,0,0,0,0,0,0,0,228,229,167,26,23,0,5,4,9,11,3,263,507
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,13,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,3,8,22
