SOS_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SOS61,1004,4894,514,6413,1053,4806,451,6309,1743,8560,777,11077,2157,7816,706,10680,2607,9042,892,12540,2572,9068,915,12560,2378,7397,1126,10897,1026,4083,753,5865,146,1502,308,1954,14689,57161,6440,78296,1203,4414,520,6137,1150,4584,373,6103,2331,8727,722,11776,3066,8144,693,11904,3209,9843,848,13904,3069,9932,980,13979,3056,7921,1235,12210,1215,5090,1089,7390,197,2824,569,3583,18487,61479,7030,86997,2209,9310,1032,12550,2203,9385,824,12410,4070,17288,1498,22857,5223,15957,1400,22585,5813,18884,1742,26447,5640,18994,1899,26533,5435,15315,2359,23111,2238,9175,1838,13256,341,4329,876,5538,33177,118638,13471,165288
SOS62,132,624,107,868,100,504,45,652,242,1033,89,1369,329,1161,111,1604,474,1453,168,2091,563,1830,220,2610,590,1457,235,2280,188,681,149,1021,17,194,63,276,2644,8937,1194,12777,158,523,95,777,100,480,59,642,311,1048,103,1466,578,1091,120,1793,522,1491,164,2179,734,1690,188,2612,609,1323,224,2156,200,651,180,1032,31,275,68,369,3253,8573,1192,13020,298,1149,205,1651,197,992,103,1294,561,2083,191,2831,910,2250,233,3395,997,2943,332,4268,1303,3515,401,5220,1194,2776,460,4435,389,1334,327,2055,48,471,124,642,5892,17514,2390,25793
SOS63,520,2192,393,3108,352,1739,172,2266,646,3106,337,4095,1293,3962,438,5693,1784,5674,625,8089,2070,6307,721,9090,1586,4451,631,6675,440,1610,323,2371,51,347,72,466,8747,29377,3719,41846,665,1823,338,2826,351,1367,145,1868,995,3011,302,4305,1934,3627,397,5965,2280,5245,545,8066,2208,5603,626,8438,1549,3411,523,5483,379,1210,262,1856,51,342,60,456,10415,25652,3197,39262,1182,4009,737,5929,709,3104,320,4134,1641,6120,636,8396,3229,7592,841,11659,4064,10923,1172,16160,4272,11911,1344,17527,3141,7858,1155,12150,819,2822,582,4225,98,685,136,926,19164,55028,6915,81103
SOS67,0,0,0,0,0,3,0,6,3,10,4,15,3,3,3,5,4,10,0,10,0,4,0,8,0,0,0,4,0,0,0,0,0,0,0,0,10,30,6,49,0,0,0,0,3,3,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,5,15,0,18,0,0,0,0,4,5,0,8,3,15,4,23,3,3,3,5,4,9,0,15,0,9,0,12,3,3,0,7,0,0,0,0,0,0,0,0,16,45,6,73
SOS69,8,18,3,34,9,33,19,56,17,67,34,120,10,55,22,93,6,45,18,77,10,39,7,52,6,34,12,48,0,3,4,8,0,0,0,0,67,297,122,481,8,24,3,33,5,20,7,29,11,44,9,69,14,36,4,54,7,38,17,59,9,40,4,56,3,32,9,38,0,4,0,5,0,0,0,0,64,240,49,350,14,48,5,62,19,49,20,90,31,111,43,183,22,89,33,147,16,87,31,135,22,75,13,113,7,64,16,84,3,9,4,12,0,3,0,3,131,532,170,835
SOS70,509,2413,443,3362,520,3371,779,4680,1483,9144,2229,12865,1675,6731,1595,9999,1504,5573,1252,8332,991,4277,860,6128,555,2296,440,3296,140,788,146,1071,17,186,44,245,7398,34790,7789,49980,590,2071,399,3058,608,2818,502,3926,2005,8293,1422,11727,2125,5896,913,8939,1726,4851,754,7340,1197,3688,654,5533,621,1902,343,2864,189,768,139,1098,22,252,47,323,9086,30543,5186,44816,1103,4481,835,6422,1128,6192,1283,8610,3493,17445,3659,24590,3802,12629,2512,18940,3231,10431,2009,15672,2182,7965,1517,11658,1177,4202,785,6161,329,1558,288,2169,35,443,89,572,16480,65341,12975,94796
SOS71,266,1155,312,1735,194,1153,246,1590,623,2746,686,4053,668,2157,531,3357,658,2095,481,3235,517,1554,387,2455,215,729,197,1137,48,224,80,344,3,57,11,74,3186,11860,2928,17971,249,996,251,1493,226,1161,221,1609,821,2942,716,4479,871,2178,517,3568,803,2109,505,3412,593,1560,368,2518,230,605,166,1004,66,253,73,389,16,93,37,136,3872,11886,2851,18607,511,2150,558,3230,413,2310,470,3197,1445,5688,1401,8531,1541,4332,1047,6924,1461,4200,987,6653,1109,3108,756,4971,444,1333,362,2139,117,472,150,731,15,148,49,209,7062,23742,5776,36577
SOS72,79,765,234,1083,95,843,152,1092,294,1596,303,2188,254,1244,207,1700,220,1072,290,1578,163,770,172,1111,64,354,74,493,17,107,21,140,0,24,3,27,1184,6770,1465,9422,77,700,198,977,97,873,180,1147,355,1702,287,2351,289,1299,235,1824,291,1170,247,1709,186,807,151,1146,67,351,69,491,23,110,21,147,0,30,7,40,1384,7035,1397,9815,160,1466,439,2063,188,1720,330,2241,646,3300,588,4538,539,2539,446,3522,507,2238,535,3289,348,1577,329,2251,134,702,146,980,33,211,42,289,3,53,9,69,2566,13809,2862,19234
SOS73,142,776,356,1276,139,843,412,1392,309,1652,681,2640,385,1636,533,2556,482,1813,524,2826,300,1497,387,2185,173,810,232,1215,34,207,58,306,3,36,6,45,1974,9262,3196,14437,162,624,266,1055,140,651,244,1032,394,1483,370,2248,585,1353,329,2273,556,1505,350,2410,318,1163,296,1779,171,580,140,889,36,162,42,242,4,33,8,45,2357,7565,2036,11958,307,1405,621,2328,279,1490,651,2417,706,3135,1054,4891,973,2997,864,4827,1039,3316,873,5235,617,2665,680,3962,343,1387,371,2104,73,369,106,541,8,71,13,88,4336,16827,5239,26395
SOS77,0,0,0,0,0,4,0,4,6,15,5,23,0,12,6,16,0,9,4,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,38,13,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,9,0,0,0,0,0,4,0,3,6,16,3,30,0,12,6,19,0,10,4,9,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,7,40,20,72
SOS79,7,5,4,16,15,48,37,98,23,96,100,219,21,97,92,215,12,134,112,257,22,146,60,229,19,114,37,174,0,16,11,20,0,0,0,0,132,664,448,1240,5,7,0,17,12,41,39,85,30,113,95,239,20,78,75,180,23,97,82,203,30,135,54,212,15,68,23,105,0,7,5,10,0,0,0,0,139,538,369,1043,16,14,8,32,26,86,74,183,60,213,188,457,45,176,170,396,34,231,196,461,45,277,112,438,36,181,60,278,0,25,13,38,0,0,0,0,268,1196,811,2281
SOS80,2913,8679,725,12311,3103,11628,1069,15795,5103,24825,2383,32310,6030,20920,1838,28789,6194,17153,1524,24876,4756,13902,1148,19803,3827,9110,955,13888,1449,4270,695,6417,303,1640,376,2319,33680,112121,10710,156508,3562,7847,670,12080,3869,10671,962,15502,6617,24948,2010,33573,8163,19708,1466,29342,7277,17302,1298,25880,5275,14975,1244,21502,4474,9952,1034,15462,1596,5428,878,7902,301,2677,853,3836,41143,113508,10423,165069,6476,16523,1389,24393,6975,22299,2026,31297,11722,49768,4395,65889,14191,40630,3304,58129,13474,34454,2829,50749,10034,28878,2393,41302,8302,19060,1989,29352,3042,9693,1578,14316,602,4314,1228,6151,74823,225626,21130,321581
SOS82,3,0,0,5,0,3,5,10,0,3,0,5,3,13,0,13,5,11,0,23,3,8,0,16,11,5,0,16,3,6,0,14,0,3,0,3,36,64,10,103,3,9,0,18,0,0,0,5,0,9,0,9,3,15,0,19,5,14,4,26,3,22,0,25,5,10,0,12,0,6,0,6,0,0,0,0,26,84,3,116,6,14,0,18,3,10,5,12,0,14,0,13,12,24,0,30,11,29,4,44,5,32,0,39,12,15,0,29,3,15,0,19,0,4,0,4,57,144,12,217
SOS83,7,17,5,28,0,16,3,25,4,39,8,50,13,50,10,65,22,39,10,64,15,31,9,50,3,13,0,18,0,6,0,6,0,0,0,0,64,209,40,317,13,15,6,31,3,12,3,20,3,48,5,61,22,38,5,65,12,30,8,55,13,24,3,39,7,11,3,21,0,3,3,6,0,0,0,3,72,191,35,295,15,29,13,58,6,37,4,41,9,83,13,111,34,85,11,133,32,70,16,118,23,56,13,91,6,26,3,42,0,10,3,11,0,0,0,3,135,401,75,610
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,6,5,16,7,26,6,36,11,40,8,63,6,41,20,67,7,22,16,43,8,20,15,38,6,7,3,15,0,3,0,5,0,0,0,0,42,168,84,297,6,5,4,20,4,29,8,42,13,29,3,44,7,26,6,40,4,17,5,26,15,18,6,34,0,8,0,9,0,4,0,4,0,3,0,3,48,130,34,209,9,13,13,35,13,49,9,79,24,67,16,108,13,65,33,107,15,37,20,68,17,33,21,78,4,16,3,24,0,4,0,8,0,3,0,3,97,299,112,506
SOS91,8,15,17,37,5,31,7,41,21,74,21,114,35,59,17,112,40,83,28,145,30,86,28,147,17,68,20,106,3,15,3,24,0,0,0,0,156,426,139,724,9,20,5,34,7,26,3,36,22,60,18,103,41,49,16,106,32,64,30,126,36,60,21,113,3,26,5,38,3,7,0,9,0,3,0,3,151,317,101,562,12,37,18,65,11,51,16,76,45,134,43,221,77,112,27,218,76,148,55,272,66,137,54,261,19,97,30,139,5,25,3,30,0,3,0,3,310,743,240,1285
SOS92,10,25,3,35,5,24,11,45,26,45,13,77,41,50,6,98,31,69,16,116,26,64,11,104,20,50,11,88,9,25,6,34,5,4,0,10,171,350,75,599,3,31,11,43,7,14,3,26,31,54,8,93,36,56,5,103,24,69,12,110,37,71,13,126,26,53,9,84,7,24,7,40,4,9,0,12,173,381,68,623,11,54,13,79,12,40,11,64,53,99,20,169,76,109,12,200,53,143,23,219,67,131,21,223,46,103,21,169,17,45,16,71,6,8,4,22,342,734,140,1222
SOS93,4,27,4,30,0,13,40,54,7,23,110,132,22,38,67,131,27,48,42,115,37,53,15,112,16,35,8,64,6,28,7,37,4,8,3,14,132,269,293,693,5,18,5,28,0,11,0,9,9,35,5,47,36,35,13,80,36,50,6,98,45,43,16,101,32,44,14,88,11,30,4,46,3,7,5,13,177,275,64,519,9,40,11,66,0,22,38,60,17,52,112,185,57,81,79,213,71,99,51,215,85,100,31,214,46,82,24,150,21,54,10,82,7,21,4,29,308,543,355,1207
SOS97,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6
SOS99,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,4,0,0,0,3,0,4,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,12,3,21,0,0,0,3,0,4,0,4,0,0,0,0,0,4,0,5,0,3,0,4,0,4,0,4,0,3,0,6,0,0,0,0,0,0,0,0,6,22,4,30,0,0,4,3,0,3,4,10,0,0,0,0,0,9,0,5,0,6,0,9,0,5,0,11,0,9,0,13,0,0,0,0,0,0,0,0,3,36,8,46
