RA_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
RA55,0,0,0,0,0,15,3,17,5,89,26,124,19,88,18,120,15,64,17,94,4,31,5,43,0,4,0,8,0,0,0,3,0,0,0,3,48,286,71,408,0,0,0,0,0,4,0,3,0,6,3,6,0,6,0,3,0,3,3,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,20,8,26,0,0,0,0,0,18,3,20,7,92,24,127,20,87,18,127,20,65,15,105,4,33,5,43,0,4,0,8,0,0,0,3,0,0,0,3,54,306,73,434
RA59,15,48,26,84,31,167,57,254,68,486,215,773,61,330,214,606,56,335,244,638,40,373,121,540,34,259,78,375,6,38,11,58,0,10,0,12,315,2047,970,3336,10,39,19,65,44,139,64,242,82,309,148,534,49,148,101,305,30,194,101,325,60,296,82,442,42,165,49,254,7,21,10,37,0,6,5,11,323,1325,577,2220,25,88,41,151,72,302,121,503,154,792,368,1306,110,483,317,910,87,532,347,957,105,676,202,977,79,427,132,633,17,62,21,98,0,13,3,23,645,3368,1547,5559
RA61,1833,8309,830,10969,1910,8551,805,11271,3314,16008,1583,20901,4147,14455,1333,19939,4770,15797,1518,22086,4456,15375,1557,21384,3791,11331,1496,16617,1531,6027,998,8552,238,2376,418,3034,25995,98231,10531,134753,2309,7415,818,10546,2188,8091,661,10948,4215,16274,1282,21768,5820,14914,1210,21942,5821,16697,1348,23866,5171,16786,1554,23510,4627,12219,1657,18504,1789,7542,1432,10765,331,4324,814,5471,32266,104273,10783,147327,4141,15725,1645,21518,4100,16650,1469,22216,7525,32284,2865,42673,9972,29373,2543,41884,10588,32497,2867,45954,9624,32161,3110,44895,8416,23549,3155,35120,3322,13563,2433,19316,567,6706,1231,8503,58261,202498,21316,282083
RA62,770,3461,541,4771,583,2883,282,3745,1120,5147,517,6781,1719,5699,612,8029,2328,7739,868,10930,2765,8866,1000,12634,2543,6975,1084,10595,890,3232,662,4788,98,917,224,1243,12818,44914,5793,63525,917,2961,484,4367,608,2544,237,3391,1624,5177,498,7298,2615,5514,591,8718,2982,7741,802,11516,3202,8498,911,12615,2819,6283,990,10097,919,3192,738,4852,130,1419,286,1837,15818,43330,5542,64689,1688,6419,1023,9138,1188,5426,521,7133,2744,10319,1012,14084,4335,11213,1203,16750,5305,15483,1664,22450,5964,17367,1916,25248,5359,13263,2073,20696,1812,6427,1400,9637,228,2336,516,3080,28632,88248,11334,128211
RA63,21,93,28,143,16,127,14,156,69,276,38,378,75,281,46,405,128,424,66,616,165,519,62,748,133,400,80,616,49,161,36,243,3,43,12,53,652,2321,374,3353,27,84,23,141,17,120,21,156,88,284,36,409,131,228,35,393,133,359,47,536,193,416,62,677,126,305,73,507,42,138,38,222,4,51,10,69,778,1982,343,3101,51,176,53,282,40,240,32,313,157,565,72,788,204,511,77,793,262,778,111,1152,361,934,127,1419,267,704,148,1116,95,300,79,466,5,89,19,121,1425,4302,723,6449
RA64,3,34,10,51,20,34,7,62,39,84,11,133,35,73,19,130,62,101,13,175,90,135,19,242,67,112,17,199,21,55,13,85,3,11,3,21,348,648,101,1094,3,18,16,31,12,25,7,45,55,73,13,145,54,58,9,122,59,93,9,169,106,101,17,223,72,74,13,154,33,44,15,86,3,27,6,34,399,513,100,1012,12,48,24,84,34,64,13,100,102,153,26,273,90,136,23,243,121,197,20,345,195,238,38,469,134,188,28,356,46,97,28,171,6,41,6,59,745,1161,202,2110
RA65,0,0,0,0,0,3,0,6,3,10,4,15,3,3,3,5,4,10,0,10,0,4,0,8,0,0,0,4,0,0,0,0,0,0,0,0,10,30,6,49,0,0,0,0,3,3,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,5,15,0,18,0,0,0,0,4,5,0,8,3,15,4,23,3,3,3,5,4,9,0,15,0,9,0,12,3,3,0,7,0,0,0,0,0,0,0,0,16,45,6,73
RA69,8,18,3,34,9,33,19,56,17,67,34,120,10,55,22,93,6,45,18,77,10,39,7,52,6,34,12,48,0,3,4,8,0,0,0,0,67,297,122,481,8,24,3,33,5,20,7,29,11,44,9,69,14,36,4,54,7,38,17,59,9,40,4,56,3,32,9,38,0,4,0,5,0,0,0,0,64,240,49,350,14,48,5,62,19,49,20,90,31,111,43,183,22,89,33,147,16,87,31,135,22,75,13,113,7,64,16,84,3,9,4,12,0,3,0,3,131,532,170,835
RA72,610,2831,596,4039,586,3773,844,5198,1615,10016,2421,14046,1928,7739,1806,11472,1799,6783,1508,10094,1160,5218,1064,7434,660,2802,564,4021,159,906,179,1246,19,211,42,273,8532,40264,9023,57821,690,2387,476,3560,671,3122,564,4355,2211,9045,1556,12810,2533,6700,1076,10315,2109,5803,944,8858,1386,4419,805,6612,711,2259,421,3393,208,851,164,1226,20,278,54,356,10549,34854,6078,51481,1304,5220,1073,7600,1260,6893,1402,9555,3830,19058,3978,26858,4465,14435,2888,21789,3912,12584,2457,18951,2544,9634,1871,14042,1372,5054,984,7413,368,1757,347,2470,38,487,100,626,19082,75123,15098,109301
RA73,211,948,290,1449,157,972,373,1502,534,2407,823,3766,595,1959,563,3111,635,2060,641,3341,535,1701,487,2726,248,889,279,1415,60,268,98,428,4,68,18,84,2977,11277,3570,17827,218,757,221,1201,188,906,256,1352,711,2541,646,3899,772,1944,461,3185,796,2053,533,3390,598,1561,436,2600,266,699,222,1184,77,270,70,423,15,109,35,152,3647,10846,2893,17385,432,1707,508,2654,350,1880,628,2856,1246,4944,1472,7662,1365,3902,1024,6297,1432,4116,1177,6726,1128,3268,932,5327,509,1592,499,2596,141,542,169,850,18,174,45,238,6632,22122,6459,35215
RA74,179,1327,466,1965,203,1467,376,2040,558,2718,653,3936,459,2074,494,3030,430,1714,400,2541,271,1177,259,1715,105,494,99,703,22,142,26,195,0,23,3,30,2227,11149,2784,16158,171,1246,405,1819,199,1472,328,2000,658,2842,596,4090,564,2086,456,3105,471,1774,374,2617,310,1232,229,1766,109,484,77,667,19,164,39,224,0,27,5,36,2502,11325,2503,16332,346,2569,873,3788,404,2943,705,4044,1217,5559,1250,8029,1017,4159,955,6136,900,3492,767,5159,583,2407,486,3483,216,977,177,1371,41,311,67,411,3,55,11,68,4729,22472,5287,32488
RA75,0,0,0,0,0,4,0,4,6,15,5,23,0,12,6,16,0,9,4,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,38,13,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,9,0,0,0,0,0,4,0,3,6,16,3,30,0,12,6,19,0,10,4,9,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,7,40,20,72
RA79,7,5,4,16,15,48,37,98,23,96,100,219,21,97,92,215,12,134,112,257,22,146,60,229,19,114,37,174,0,16,11,20,0,0,0,0,132,664,448,1240,5,7,0,17,12,41,39,85,30,113,95,239,20,78,75,180,23,97,82,203,30,135,54,212,15,68,23,105,0,7,5,10,0,0,0,0,139,538,369,1043,16,14,8,32,26,86,74,183,60,213,188,457,45,176,170,396,34,231,196,461,45,277,112,438,36,181,60,278,0,25,13,38,0,0,0,0,268,1196,811,2281
RA80,2915,8686,726,12323,3102,11637,1068,15810,5103,24828,2384,32326,6034,20937,1838,28816,6206,17175,1531,24909,4763,13919,1147,19825,3838,9120,955,13914,1458,4279,701,6436,303,1640,376,2316,33726,112219,10729,156663,3574,7858,670,12100,3873,10679,962,15511,6618,24959,2010,33586,8170,19728,1466,29363,7290,17322,1301,25910,5279,14998,1249,21533,4482,9970,1035,15485,1596,5437,883,7911,301,2682,853,3837,41180,113619,10431,165240,6489,16538,1397,24420,6975,22313,2031,31319,11722,49787,4392,65909,14207,40663,3304,58180,13495,34496,2833,50816,10039,28915,2400,41358,8316,19093,1991,29400,3051,9711,1582,14346,602,4320,1228,6150,74906,225839,21160,321901
RA81,6,15,3,21,3,14,3,19,4,31,9,48,11,39,10,57,14,28,6,55,13,26,5,38,3,8,0,16,0,6,0,6,0,0,0,0,57,176,29,264,9,16,6,25,3,11,0,17,4,41,5,55,20,35,5,60,14,26,3,47,12,19,0,32,3,7,0,9,0,4,0,4,0,0,0,3,60,156,32,244,16,25,13,50,3,24,3,31,8,78,17,105,34,77,11,118,23,57,14,96,21,45,8,72,4,17,0,27,0,8,0,8,0,0,0,3,112,337,63,512
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,6,5,16,7,26,6,36,11,40,8,63,6,41,20,67,7,22,16,43,8,20,15,38,6,7,3,15,0,3,0,5,0,0,0,0,42,168,84,297,6,5,4,20,4,29,8,42,13,29,3,44,7,26,6,40,4,17,5,26,15,18,6,34,0,8,0,9,0,4,0,4,0,3,0,3,48,130,34,209,9,13,13,35,13,49,9,79,24,67,16,108,13,65,33,107,15,37,20,68,17,33,21,78,4,16,3,24,0,4,0,8,0,3,0,3,97,299,112,506
RA91,0,9,3,15,6,13,6,28,8,17,17,40,5,21,0,25,3,19,9,34,5,14,3,21,0,5,3,9,0,3,0,8,0,0,0,0,33,95,48,175,0,14,6,19,4,3,3,7,3,12,5,23,7,23,10,36,4,14,7,23,7,10,7,18,0,7,4,12,0,0,0,0,0,0,0,0,26,79,38,140,3,22,7,35,6,16,9,39,12,33,18,61,15,35,10,58,8,34,12,59,14,21,5,33,0,6,6,15,0,7,0,6,0,0,0,0,56,174,82,312
RA94,16,50,19,90,9,50,51,104,36,120,124,288,98,132,91,323,96,178,69,334,91,193,56,339,54,157,38,253,18,61,10,90,7,11,3,28,424,954,461,1841,13,53,14,84,10,43,10,53,61,135,25,221,105,128,26,253,91,178,41,314,113,165,44,325,55,119,18,193,19,58,16,90,7,21,3,29,475,892,199,1565,33,106,33,173,15,96,59,161,100,255,155,507,206,262,110,576,186,351,110,651,208,358,99,661,116,273,57,444,36,118,27,179,12,33,5,51,897,1845,658,3402
RA95,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6
RA99,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,4,0,0,0,3,0,4,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,12,3,21,0,0,0,3,0,4,0,4,0,0,0,0,0,4,0,5,0,3,0,4,0,4,0,4,0,3,0,6,0,0,0,0,0,0,0,0,6,22,4,30,0,0,4,3,0,3,4,10,0,0,0,0,0,9,0,5,0,6,0,9,0,5,0,11,0,9,0,13,0,0,0,0,0,0,0,0,3,36,8,46
