RA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
RA59,0,9,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,3,12,61,11,22,15,13,4,22,6,163,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,3,0,0,0,23,4,4,0,9,7,0,0,13,0,41,0,3,15,20,22,10,7,18,0,95,0,0,0,3,3,0,3,0,0,15,0,0,0,9,4,3,0,4,0,27,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,3,3,15,24,109,37,74,50,25,19,76,13,427,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,7,10,26,3,8,0,0,4,6,5,56,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,6,25,113,18,28,18,15,20,48,13,301,0,0,0,0,0,0,0,0,0,0
RA61,174,1269,31,237,168,34,3,8,10,1939,118,494,3,36,81,13,0,0,7,754,1440,9620,347,1329,1657,496,37,243,130,15296,12,19,9,38,7,3,0,3,3,92,328,833,121,646,616,142,15,47,35,2778,555,698,267,1542,1312,350,25,125,62,4938,756,612,1504,3950,3021,1147,110,651,113,11857,83,53,83,330,442,374,15,215,11,1609,137,128,70,652,607,249,22,160,30,2050,37,130,21,85,152,39,4,40,8,509,102,206,79,326,240,191,19,188,111,1449,4258,17172,2601,9400,8669,3106,241,1738,573,47758,23,133,4,10,15,0,0,0,0,188,200,1928,41,24,86,12,4,11,21,2326,973,3454,153,307,457,122,51,116,67,5687,42,182,10,12,25,3,0,3,6,283,350,1888,69,288,238,54,10,24,22,2945,224,670,17,100,124,16,3,3,15,1174,3263,15866,996,2019,2414,827,203,557,256,26399,18,24,6,41,8,6,3,7,3,123
RA62,61,288,5,85,37,9,0,5,3,493,23,122,3,12,25,0,0,0,0,188,499,2800,106,308,383,99,9,113,40,4357,6,7,0,13,5,3,0,0,0,36,178,360,42,267,213,47,5,57,20,1184,276,288,126,689,429,120,12,90,40,2072,375,245,679,1730,1147,502,78,458,57,5267,58,26,54,154,176,163,10,141,16,789,96,46,38,324,249,121,9,99,14,1000,16,21,7,32,42,16,3,10,0,157,102,90,53,175,126,143,12,172,59,933,1801,4905,1117,3822,2901,1247,141,1161,250,17342,8,38,0,0,3,0,0,0,0,49,48,247,0,8,21,3,0,0,8,335,215,678,25,39,80,18,7,17,19,1100,6,47,0,3,5,0,0,0,0,63,99,420,16,97,52,17,7,12,3,712,52,164,9,16,41,4,3,0,0,295,1079,4102,264,435,506,137,40,210,66,6832,12,7,3,23,5,7,0,4,0,57
RA63,4,9,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,37,93,5,18,25,3,0,4,0,185,0,0,0,0,0,0,0,0,0,0,15,11,0,11,9,7,0,3,3,52,19,10,5,26,22,10,0,4,0,95,26,10,29,69,44,16,4,29,3,222,5,0,0,10,9,3,0,10,0,38,5,0,7,8,11,6,0,9,0,46,0,0,0,0,0,0,0,0,0,3,7,6,3,4,3,10,0,10,5,45,131,151,50,146,118,55,7,77,14,737,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,15,25,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,5,10,0,5,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,74,152,10,22,24,8,0,13,0,296,0,0,0,0,0,0,0,0,0,3
RA64,0,5,0,0,0,0,0,3,0,13,0,3,0,0,0,0,0,0,0,3,15,45,4,7,14,0,0,9,0,95,0,0,0,0,0,0,0,0,0,0,7,9,0,0,3,0,0,3,0,24,9,4,4,8,11,3,0,3,0,35,13,5,11,25,20,3,0,17,3,94,0,0,0,3,0,3,0,0,0,11,0,0,3,5,5,4,0,5,0,17,0,3,0,0,0,0,0,0,0,0,5,0,0,0,3,10,0,5,7,24,62,77,24,49,51,18,3,43,10,329,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,15,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,3,0,19,0,3,0,0,0,0,0,0,0,5,32,58,8,4,14,3,0,19,0,142,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,3,0,0,0,0,16,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,25,0,14,6,3,0,4,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,0,6,4,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0
RA72,148,696,11,79,85,11,0,4,4,1046,69,169,3,21,39,0,0,3,3,315,827,3977,168,763,1028,316,10,215,75,7376,0,0,3,16,9,10,0,3,3,52,173,320,53,228,264,64,13,51,14,1178,405,435,129,635,686,183,15,84,34,2610,453,412,513,1083,1583,411,92,245,73,4874,50,29,35,93,214,87,9,51,12,575,57,62,36,209,261,94,9,50,9,790,22,60,17,37,56,23,4,26,6,250,58,80,29,116,151,88,10,92,88,707,2629,7544,1029,3405,4609,1334,168,849,346,21910,13,50,0,3,6,0,0,0,0,72,89,500,10,11,14,3,0,5,6,642,655,1665,115,245,344,108,38,71,31,3269,35,99,4,8,15,6,0,0,3,169,249,949,37,108,120,18,4,6,10,1504,116,241,10,44,52,3,4,3,3,472,1837,6288,712,1166,1418,507,218,512,134,12790,8,3,8,25,12,10,0,8,9,81
RA73,42,208,3,33,27,3,0,3,0,317,24,83,0,11,9,3,0,0,0,124,206,1255,48,239,218,73,5,50,24,2110,3,0,0,8,0,0,0,0,0,15,52,122,9,87,76,11,3,13,7,381,116,134,28,194,187,38,3,26,8,723,117,124,125,362,438,89,23,55,20,1352,18,17,12,49,66,28,6,29,4,225,18,21,12,66,63,20,7,20,9,242,5,18,3,14,14,7,0,6,0,81,14,51,13,56,55,25,4,35,25,286,698,2452,257,1166,1205,313,53,237,101,6480,3,19,0,0,0,0,0,0,0,29,20,104,8,8,3,0,0,0,0,143,147,507,24,69,72,17,6,6,9,857,14,27,0,3,4,3,0,0,0,53,64,282,9,47,26,6,0,3,4,444,36,97,5,20,12,3,0,3,0,170,392,1927,132,389,293,86,32,103,43,3401,3,0,4,7,0,0,0,0,0,23
RA74,19,78,0,14,15,0,0,4,0,124,4,38,0,3,4,0,0,0,0,53,124,474,11,98,82,19,4,24,6,844,3,3,0,0,0,0,0,0,0,8,32,68,8,39,26,3,0,5,0,189,50,49,14,82,47,9,0,15,8,271,68,113,39,222,163,41,7,60,6,713,9,37,11,68,39,35,3,11,9,217,6,27,4,46,26,8,4,10,4,143,3,9,0,11,3,0,0,7,0,27,8,51,10,79,34,30,0,33,68,315,359,1105,99,684,452,141,23,174,107,3147,0,12,0,0,0,0,0,0,0,18,6,16,0,3,4,0,0,0,0,26,69,192,4,36,18,0,0,3,4,334,6,13,0,3,0,0,0,0,0,23,30,121,0,16,14,0,0,4,0,187,9,52,0,7,6,0,0,0,0,78,234,747,38,170,106,30,9,49,14,1392,3,3,3,3,0,0,0,0,0,14
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
RA79,0,6,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,3,5,32,0,11,8,0,0,3,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,6,3,0,0,4,0,20,3,4,3,5,6,0,0,7,0,32,0,0,3,0,0,0,0,0,0,5,0,0,0,5,0,3,0,3,0,10,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,13,60,16,40,16,3,9,21,3,178,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,12,0,3,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,4,46,3,15,8,3,3,6,0,90,0,0,0,0,0,0,0,0,0,0
RA80,804,2644,40,329,555,42,3,23,58,4498,341,719,11,42,239,14,0,0,24,1393,4529,14900,589,2265,5057,955,47,377,566,29282,15,21,7,19,27,11,0,3,6,111,673,1131,154,628,1278,232,11,83,87,4270,1092,1191,325,1471,2233,371,20,142,169,7003,826,984,1056,2372,3011,724,74,270,192,9496,94,97,48,201,372,164,8,74,17,1077,180,209,63,331,784,178,12,93,40,1892,70,180,22,100,183,37,3,33,21,653,114,208,48,163,303,102,11,77,126,1155,11398,29645,2543,8508,15619,3057,191,1280,1616,73857,55,216,0,4,28,4,0,0,4,320,1031,4424,82,51,348,13,9,24,83,6071,5256,10817,417,891,2492,413,104,272,536,21197,139,403,6,32,88,14,0,9,18,718,1534,4269,121,439,816,80,21,47,124,7458,622,1062,38,96,370,25,3,3,51,2275,9605,27304,1782,3593,7676,1655,335,1032,1188,54164,28,30,18,31,32,12,7,8,14,181
RA81,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,11,0,3,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,20,3,4,3,5,0,0,0,0,0,18,3,0,0,15,10,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,45,3,23,23,3,0,0,4,121,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,15,3,16,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,17,22,3,4,7,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,17,0,4,12,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,8,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,3,12,18,3,0,3,0,72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,9,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,24,0,7,10,0,0,5,3,50,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,11,3,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
RA94,4,17,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,5,19,55,5,19,12,4,0,4,4,128,0,0,0,0,0,0,0,0,0,0,12,9,0,10,11,3,0,0,0,52,5,12,8,21,20,0,0,10,0,77,13,3,16,33,31,6,3,8,0,111,3,0,0,3,5,3,0,3,0,19,3,7,0,13,14,6,0,3,0,45,0,0,0,0,3,0,0,3,0,11,7,3,3,14,8,9,0,6,0,56,79,116,32,115,116,31,6,38,8,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,19,0,8,4,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,13,21,0,0,0,0,0,0,0,32,0,3,0,0,4,0,0,0,0,12,45,88,12,28,22,11,0,16,4,224,0,0,0,0,0,0,0,0,0,0
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
