RA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
RA61,1334,265,38,9,1644,40,7,44,1691,122,0,1810,4706,755,89,45,5596,60,17,71,5669,167,7,5839,1174,192,100,12,1478,21,3,28,1504,40,0,1545,59,5,0,36,100,4,0,11,108,8,0,120,7272,1219,224,109,8822,121,29,150,8973,334,10,9322,47,13,3,0,63,12,0,12,74,14,0,96,145,28,0,8,186,11,3,19,200,12,0,210,193,41,3,8,250,24,3,27,278,28,0,301,7466,1262,228,114,9075,146,28,173,9251,362,10,9619,2912,552,74,71,3615,224,44,268,3879,672,11,4561,33,8,0,7,40,0,4,4,47,13,30,84,10412,1822,304,193,12733,374,71,445,13178,1041,52,14267,2288,451,40,13,2788,69,14,77,2864,207,9,3077,5612,886,75,52,6613,83,24,100,6715,234,7,6960,249,28,36,10,325,13,3,13,339,24,0,358,34,4,0,30,64,0,0,0,65,7,0,76,8172,1370,152,109,9801,161,31,192
RA62,449,62,10,8,527,7,8,16,542,47,3,594,1657,253,33,23,1960,18,10,23,1985,105,3,2092,307,45,44,9,412,6,4,8,415,20,0,440,28,3,0,14,47,0,0,0,47,4,0,49,2450,358,93,43,2943,28,19,49,2988,175,11,3172,19,4,0,0,20,11,3,13,34,5,0,42,56,8,3,4,65,9,6,15,82,10,0,92,69,9,3,4,84,23,5,28,117,19,0,133,2517,364,92,51,3031,53,27,79,3107,191,11,3310,1356,277,52,54,1742,123,14,138,1882,351,3,2234,25,0,3,3,32,0,0,0,32,0,14,48,3902,645,151,103,4797,177,39,219,5011,550,28,5587,850,142,15,10,1019,24,15,37,1060,69,6,1137,2149,364,47,30,2593,33,12,46,2639,167,9,2808,91,12,28,0,133,0,0,0,130,10,0,143,23,3,3,25,50,0,0,0,50,6,0,60,3109,523,90,68,3792,64,28,87
RA63,21,7,0,0,27,0,0,0,27,5,0,35,70,13,0,3,86,7,4,10,90,4,0,95,14,6,0,0,22,0,0,0,22,0,0,22,0,0,0,0,3,0,0,0,3,0,0,3,110,18,3,3,137,7,4,10,141,9,0,154,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,9,0,0,0,9,0,0,9,8,0,0,0,9,0,0,0,11,0,0,11,113,18,3,3,145,3,4,6,149,9,0,159,95,14,4,3,115,8,0,8,127,16,0,143,0,0,0,0,0,0,0,0,0,0,0,0,207,36,5,4,255,16,4,19,276,28,3,302,40,6,4,0,47,5,0,5,49,6,0,58,68,12,0,8,86,8,0,8,99,6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,7,0,0,7,113,21,4,10,143,16,0,16
RA64,8,3,3,0,15,0,0,0,15,0,0,15,48,5,0,0,51,0,0,0,51,3,0,52,12,0,4,0,20,0,0,0,20,0,0,20,0,0,0,0,3,0,0,0,3,0,0,3,74,9,3,0,84,0,0,0,84,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,9,3,0,87,0,0,0,87,3,0,89,12,4,0,0,20,0,0,0,20,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,89,12,9,0,111,0,0,0,111,3,0,113,19,4,0,0,31,0,0,0,29,0,0,31,45,3,0,0,48,0,0,0,49,0,0,52,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,70,12,4,0,85,3,0,3
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,1621,130,29,20,1798,29,3,35,1833,78,0,1911,1589,137,41,18,1777,30,3,30,1811,38,0,1849,530,40,69,5,644,6,3,13,661,13,0,671,38,7,0,39,83,0,0,0,83,7,0,91,3768,313,143,84,4308,66,7,81,4388,135,0,4520,65,7,5,0,70,16,0,16,84,5,0,92,92,5,0,3,107,4,0,4,110,0,0,114,159,14,6,3,177,15,0,15,195,12,0,204,3928,329,145,83,4490,89,7,97,4581,139,0,4727,2108,195,88,67,2453,59,7,60,2513,210,3,2729,11,6,0,10,29,0,0,0,29,0,20,48,6052,520,232,156,6967,142,13,154,7124,348,30,7503,2081,173,30,16,2306,49,6,56,2360,107,3,2471,1709,171,39,12,1931,23,6,31,1965,41,0,2000,118,21,33,4,173,3,3,3,175,6,0,181,28,0,0,28,60,0,0,0,62,3,0,71,3946,365,97,60,4471,79,16,95
RA73,435,59,12,3,511,3,0,6,512,34,3,547,430,37,13,4,484,0,0,3,481,15,0,495,135,15,15,0,166,0,0,0,166,4,0,174,7,0,0,12,15,0,0,0,15,0,4,20,1005,112,38,18,1172,7,0,6,1181,54,3,1240,6,3,0,0,9,10,0,10,21,4,0,20,8,0,0,0,8,4,3,10,16,0,0,15,14,3,0,0,15,18,3,20,36,4,0,42,1021,114,38,18,1187,23,5,30,1216,54,3,1282,476,68,10,9,568,29,8,43,605,230,0,838,3,3,0,0,3,0,0,0,4,3,15,25,1502,184,51,28,1766,49,17,70,1830,290,24,2145,589,68,15,8,680,13,0,15,690,28,0,721,446,64,12,5,529,6,0,13,542,15,0,559,37,3,5,0,40,0,0,0,43,3,0,47,6,0,0,17,23,0,0,0,23,4,0,25,1082,132,36,24,1276,18,3,23
RA74,222,47,3,5,272,13,3,18,288,48,0,339,177,50,4,4,237,15,8,21,262,46,0,302,31,4,22,3,59,4,0,3,64,4,0,71,3,3,0,21,32,0,0,0,32,7,0,43,430,107,30,36,601,31,7,42,645,110,0,755,16,6,0,3,30,128,6,141,166,18,7,194,20,3,0,0,24,7,25,33,55,14,0,66,36,11,0,3,57,137,29,169,222,33,7,258,470,117,31,37,656,171,36,214,869,140,7,1018,319,126,11,21,474,157,39,192,664,859,10,1540,3,3,0,3,11,0,0,0,11,12,86,105,790,251,39,64,1145,329,73,399,1542,1013,100,2658,311,49,4,7,368,27,0,29,395,97,0,495,217,88,7,3,312,34,11,48,363,84,0,446,10,3,16,0,31,3,0,3,33,4,0,39,3,3,0,15,29,8,0,5,33,14,3,44,546,143,26,26,745,67,14,85
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,4163,611,82,33,4895,78,15,95,4984,215,0,5202,6187,924,79,37,7232,37,22,57,7291,116,9,7420,2467,267,323,17,3075,20,3,21,3092,27,0,3124,85,8,0,52,151,0,0,0,152,6,9,162,12906,1814,486,146,15349,137,33,172,15525,364,18,15907,197,27,3,3,230,18,7,19,257,16,0,266,224,33,4,6,265,12,6,22,291,13,3,306,426,59,5,8,504,30,14,39,546,28,3,572,13330,1876,491,152,15852,172,48,220,16067,393,18,16482,3901,538,125,90,4650,111,30,146,4792,355,5,5156,46,3,0,25,74,3,0,3,75,0,22,96,17283,2416,616,270,20578,283,82,361,20937,749,49,21736,5935,712,78,35,6762,119,24,139,6898,292,11,7210,6549,763,81,55,7450,60,15,72,7527,117,8,7652,419,66,86,3,575,3,4,8,579,3,0,583,56,4,0,70,128,0,0,0,128,7,0,139,12957,1549,244,166,14910,181,45,222
RA81,3,0,0,0,3,0,0,0,3,0,0,3,16,3,0,0,17,0,0,0,17,0,0,17,4,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,32,0,0,0,32,0,0,32,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,39,0,0,0,39,0,0,39,8,0,0,0,12,0,0,0,12,0,0,12,19,0,0,0,20,0,0,0,20,0,0,20,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,34,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,7,0,0,0,7,0,0,0,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,12,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,39,6,0,0,52,0,0,0,52,7,0,58,49,4,0,3,62,0,0,0,62,0,0,62,6,0,3,0,13,0,0,0,13,0,0,13,0,0,0,3,3,0,0,0,3,0,0,3,100,16,4,4,120,0,0,0,120,9,0,130,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,104,16,4,4,124,0,0,0,124,8,0,136,44,9,0,0,59,0,3,3,59,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,151,20,4,6,178,0,3,3,180,8,0,194,54,11,0,0,66,0,0,0,66,5,0,69,62,5,0,0,68,0,0,0,68,5,0,78,7,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,3,0,0,0,3,0,0,3,121,18,3,3,146,0,0,0
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
