RA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
RA42,0,3,3,14,25,74,138,173,58,490,0,0,9,30,0,3,0,0,0,51,16,62,24,431,91,76,45,14,11,764,0,6,0,24,13,4,3,3,0,55,0,0,7,18,3,0,0,0,0,28,0,0,0,8,4,0,0,0,0,13,0,7,4,46,18,17,42,19,8,155,0,3,20,27,31,67,146,215,81,577,0,3,3,21,3,3,4,0,0,37,0,3,21,49,3,3,0,0,0,78,0,0,0,7,4,5,4,3,0,21,0,0,8,57,19,15,8,3,0,115,0,0,0,0,3,20,26,9,3,58,0,0,0,0,0,4,0,0,0,5,0,0,0,9,0,0,3,0,0,14,0,4,0,12,0,0,0,0,0,13,0,5,0,23,29,151,309,120,45,691,11,67,83,344,258,244,165,45,5,1214,0,0,3,7,18,30,36,19,6,125,4,32,11,57,7,4,0,0,0,119
RA43,0,0,0,0,0,3,3,8,3,18,0,0,0,3,0,0,0,0,0,7,3,4,0,66,0,8,6,3,0,94,0,3,0,21,3,3,3,0,0,31,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,14,8,9,3,4,3,39,0,0,3,5,4,3,19,13,4,62,0,0,0,4,0,0,0,0,0,11,0,0,0,8,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,3,0,0,25,0,0,0,0,0,6,4,0,0,12,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,3,0,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,9,8,39,66,25,7,157,0,29,32,140,82,73,46,9,0,412,0,0,0,6,8,7,5,0,3,32,0,0,0,3,0,0,0,0,0,5
RA44,0,0,0,3,3,11,35,17,0,70,0,0,0,0,0,3,0,0,0,3,4,7,0,30,3,0,3,0,0,50,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,5,0,16,0,0,0,0,0,8,4,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,24,4,3,8,39,24,39,18,4,0,139,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,9
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,12,0,0,13,18,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,15,0,0,6,8,0,3,3,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,0,0,14,0,0,3,14,11,19,11,3,0,59,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,12
RA50,4,52,28,154,160,303,544,670,253,2168,63,263,985,2629,661,712,321,152,35,5819,860,3069,4780,25004,4611,3276,2925,1468,587,46592,142,732,1536,4938,1358,899,600,246,86,10534,58,399,507,3029,736,452,253,103,44,5588,71,308,450,1516,605,250,89,26,8,3322,127,1138,815,8269,1764,1555,1330,760,252,16006,47,235,368,2157,1302,2455,4644,4194,1946,17356,89,300,324,2102,629,244,169,65,21,3947,96,390,796,3977,627,288,84,33,7,6302,9,44,64,342,202,184,118,46,7,1025,226,1398,3884,10226,4043,4113,2834,1158,270,28152,0,6,14,60,82,202,258,127,25,778,31,237,502,1869,609,557,382,176,73,4434,20,240,740,2594,1516,1420,913,583,238,8267,33,118,490,1687,104,33,10,0,0,2476,28,215,205,947,726,1003,2242,1203,587,7162,733,5381,6799,22600,11213,8772,3714,1067,249,60527,19,133,172,1029,620,532,644,334,105,3589,190,599,755,2871,340,221,113,31,11,5132
RA51,0,0,0,3,5,11,14,13,3,44,0,4,17,72,19,10,3,3,0,118,26,53,37,496,78,88,86,51,18,925,15,31,34,149,35,16,16,12,0,304,0,4,8,81,9,0,0,0,0,115,3,6,11,40,17,6,0,3,0,80,3,75,51,305,103,104,109,48,9,813,0,10,24,94,47,110,303,276,138,994,3,11,11,93,25,9,3,0,0,155,6,8,74,212,7,3,0,0,0,315,0,0,0,14,15,11,3,3,0,47,3,12,17,119,74,71,37,20,0,361,0,0,0,0,4,15,20,7,0,55,0,7,6,13,26,13,8,3,4,78,0,4,12,36,16,12,11,10,5,107,0,7,3,41,0,0,0,0,0,47,3,14,20,103,102,162,367,98,46,929,51,466,503,2038,1372,1161,503,155,28,6286,0,3,14,45,56,57,65,34,9,285,5,10,4,69,9,3,7,7,4,116
RA52,0,0,0,8,6,12,16,22,3,63,0,0,8,27,7,15,3,0,0,68,18,75,50,521,97,64,62,50,11,943,4,20,15,100,33,24,14,10,4,225,0,3,3,49,4,3,0,0,0,69,0,0,0,3,0,3,0,0,0,10,5,36,19,219,47,57,68,37,12,500,4,5,3,70,40,74,183,156,78,598,3,9,3,21,9,8,3,0,0,65,7,4,3,42,3,0,0,0,0,57,0,0,0,5,0,0,3,3,0,8,0,6,19,108,54,60,25,13,3,284,0,0,0,0,6,6,20,7,0,44,0,0,3,16,10,8,4,0,0,43,0,10,40,121,50,38,13,12,0,287,0,7,0,28,0,0,0,0,0,44,0,7,10,70,54,118,292,112,52,708,51,407,545,1901,1228,1068,486,108,25,5835,0,3,4,36,33,35,32,22,4,168,0,19,7,62,9,5,5,0,0,107
RA53,0,0,0,0,4,4,0,0,0,15,0,3,5,30,8,9,3,0,0,64,16,42,37,304,62,31,14,7,3,505,13,19,14,94,31,13,10,0,0,187,0,0,0,6,3,0,0,0,0,11,0,0,0,5,3,0,0,0,0,6,0,9,17,210,26,20,17,5,3,301,0,0,8,32,7,11,21,8,9,103,0,5,8,34,3,3,0,0,0,61,0,0,18,62,7,3,0,0,0,87,0,0,0,6,0,0,4,0,0,7,0,4,10,67,29,18,5,6,0,137,0,0,0,0,0,7,0,0,0,10,0,0,0,26,0,4,0,0,0,30,0,3,0,15,9,3,0,3,0,31,0,0,0,29,0,0,3,0,0,30,0,7,8,34,22,30,54,22,5,179,38,222,273,1287,628,570,142,42,3,3200,0,0,0,31,11,17,3,0,0,61,4,8,0,37,11,0,0,0,0,60
RA54,0,0,0,4,4,4,3,3,0,18,0,0,3,32,0,4,0,0,0,47,8,21,8,267,50,13,12,0,0,384,3,8,3,60,28,5,3,0,0,115,0,0,0,29,3,0,0,0,0,36,0,0,0,4,3,0,0,0,0,5,0,3,19,274,23,19,14,9,0,357,0,4,15,42,17,14,19,11,3,117,0,0,4,41,4,0,0,0,0,54,0,0,12,50,16,8,0,0,0,84,0,0,0,3,3,4,0,0,0,10,0,0,9,89,26,25,9,3,0,155,0,0,0,0,4,7,7,0,0,16,0,0,0,9,9,6,0,0,0,17,0,0,0,5,6,4,0,0,0,16,0,0,0,15,0,0,0,0,0,16,0,3,4,37,21,23,30,6,3,118,25,101,219,1345,688,578,113,14,3,3079,0,0,3,18,11,11,9,3,0,48,0,0,0,14,6,3,0,0,0,24
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,14,0,0,0,23,3,0,3,0,0,31,3,0,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,30,7,4,0,0,4,49,0,0,6,23,0,0,7,0,0,33,0,0,5,10,0,0,0,0,0,18,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,19,9,0,0,0,0,33,0,0,0,0,0,0,3,0,0,4,0,0,3,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,13,0,0,34,0,3,23,90,50,72,31,6,0,267,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6
RA61,0,3,12,27,40,80,124,132,28,446,0,22,81,149,43,57,33,6,0,394,29,111,222,999,157,87,76,46,12,1735,3,19,32,98,34,16,34,19,10,262,46,175,106,147,33,21,12,0,0,545,3,18,9,48,9,5,0,0,0,91,3,39,21,127,79,82,56,63,17,475,0,6,7,49,35,110,175,217,114,717,3,29,42,162,37,27,18,3,3,330,10,42,100,253,74,44,8,8,0,529,0,0,3,19,19,13,14,3,0,68,23,30,536,367,107,116,64,28,6,1282,0,0,0,4,10,23,21,5,0,72,0,0,4,13,3,9,6,0,0,42,3,36,53,124,26,20,9,3,0,270,39,208,322,211,14,3,0,0,4,811,0,7,19,97,89,222,525,281,110,1349,20,148,188,840,600,583,365,132,45,2916,0,5,3,26,28,36,73,36,5,215,11,62,34,174,14,8,0,5,0,308
RA62,0,0,0,3,0,5,9,10,0,33,3,0,4,21,12,11,0,4,0,56,8,6,9,76,24,30,29,15,3,213,0,5,3,24,12,5,9,4,4,67,0,3,0,6,0,0,3,0,0,13,0,0,0,7,0,0,0,0,0,7,0,4,4,31,23,38,56,25,0,186,0,3,0,13,11,24,30,27,4,117,3,7,6,32,22,9,5,3,0,77,0,9,11,34,3,3,0,0,0,63,0,0,0,5,3,0,0,0,0,13,0,4,12,37,23,25,18,0,0,115,0,0,0,0,3,12,18,10,0,38,0,0,0,3,7,3,3,0,0,17,0,0,0,8,3,0,3,3,0,24,0,0,0,3,0,0,0,0,0,3,0,5,20,54,67,143,298,144,42,777,12,69,109,434,377,444,306,98,21,1865,0,0,0,8,19,16,47,11,6,109,3,9,8,13,10,3,0,0,0,42
RA63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,13,3,3,0,0,0,21,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,3,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,18,6,0,41,0,12,14,27,23,31,13,4,0,128,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,3,21,0,0,0,18,3,20,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,7,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,16,101,117,313,143,216,206,108,20,1234,0,3,22,81,34,50,23,8,3,228,89,225,238,1691,222,137,61,23,10,2697,23,74,125,461,168,86,63,10,0,1002,7,12,6,100,7,3,0,0,0,129,0,0,0,11,0,0,0,0,0,13,13,39,46,645,37,37,39,15,5,869,0,12,19,98,30,58,73,63,12,364,31,49,13,193,66,15,6,4,0,393,10,24,37,212,27,6,0,0,0,321,0,0,6,21,6,0,0,0,0,44,8,34,35,240,102,97,66,47,0,619,0,0,0,5,8,3,5,7,0,25,0,4,3,27,11,7,0,3,0,49,3,5,15,98,30,12,3,9,0,175,10,49,197,694,23,14,3,0,0,995,0,8,4,62,42,46,86,23,3,282,31,139,218,1011,606,589,241,62,11,2896,3,7,11,61,18,14,16,7,5,132,11,29,34,194,27,17,3,0,0,312
RA73,0,0,0,3,0,0,0,3,0,11,0,0,3,33,4,5,0,0,0,55,21,85,26,508,71,46,6,5,0,771,0,3,3,28,11,3,4,0,0,62,0,0,0,11,4,0,0,0,0,18,0,0,3,8,3,0,0,0,0,11,0,3,3,53,16,7,19,3,0,110,0,0,4,23,9,15,24,17,7,97,0,0,3,30,9,3,0,0,0,41,0,0,12,38,0,0,0,0,0,53,0,0,0,0,4,0,3,0,0,8,0,0,3,32,13,18,0,0,0,61,0,0,0,0,3,7,0,0,0,10,0,0,5,6,3,3,0,0,0,15,0,0,0,21,0,0,0,0,0,19,0,9,8,64,7,0,0,0,0,82,0,0,7,28,9,25,19,12,8,99,33,125,119,370,213,217,81,14,3,1178,0,5,0,4,11,3,3,0,0,27,0,3,3,25,3,0,0,0,0,33
RA74,0,0,0,8,0,4,5,0,0,21,0,0,0,3,0,0,0,0,0,8,5,4,8,99,8,4,5,3,0,122,0,0,3,22,3,0,0,0,0,28,0,0,0,3,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,8,0,0,5,20,0,3,3,0,0,32,0,0,3,17,3,0,7,0,0,31,0,0,3,19,0,0,0,0,0,24,0,0,14,15,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,0,0,0,0,47,0,0,0,12,3,3,4,3,0,24,13,32,46,174,90,105,30,0,0,491,0,0,0,7,0,0,3,0,0,10,0,0,0,0,4,3,0,0,0,5
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,3,0,0,7,3,0,16,0,0,0,18,12,14,17,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,3,12,27,66,76,154,299,269,67,978,21,66,305,626,233,278,101,32,13,1681,218,713,805,6671,906,567,321,151,48,10396,33,129,142,642,140,90,68,31,16,1298,4,54,51,477,110,83,41,12,6,841,10,49,64,240,84,51,30,4,3,536,9,89,30,287,121,106,106,77,17,843,4,18,39,192,201,349,540,406,191,1938,22,78,114,317,122,62,40,19,10,791,20,149,404,1309,232,106,36,18,3,2283,3,16,19,127,90,64,56,19,11,400,23,99,347,854,438,355,210,87,19,2431,0,3,5,30,16,59,112,42,13,285,6,20,27,143,49,31,21,3,0,288,0,13,48,260,113,70,56,29,9,610,11,54,99,521,40,23,9,0,0,761,13,27,34,124,89,186,330,157,75,1037,52,342,540,1594,892,719,387,136,54,4722,0,8,8,58,67,84,61,39,10,331,76,203,256,1171,181,67,28,6,3,1993
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
