SUA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
1021,0,0,4,3,19,0,20,15,4,47,58,494,15,641,0,0,8,3,76,0,85,5,0,13,35,97,4,157,0,0,3,0,106,8,112,0,0,5,4,66,0,77,7,0,4,10,37,3,61,0,0,0,10,26,6,34,0,0,3,9,37,3,48,0,0,0,0,9,0,11,0,0,0,3,3,0,6,0,0,3,5,12,0,20,0,0,8,6,19,0,39,0,0,0,4,36,0,42,12,3,18,11,28,3,80,7,0,24,3,7,0,47,12,0,15,9,11,0,41,0,0,0,0,7,0,6,0,0,3,7,79,0,89,0,0,8,4,29,13,51,58,19,170,170,1186,61,1668,0,0,3,5,14,0,24,6,3,23,5,56,0,95,0,0,9,0,23,0,32,0,0,4,14,13,0,26,0,0,0,6,10,0,12,0,0,3,3,13,0,16,3,0,10,22,67,15,114,0,3,0,8
1022,0,0,8,4,35,3,53,4,3,10,7,60,0,82,7,3,40,44,209,4,309,0,3,10,15,18,3,50,10,4,24,27,596,19,679,0,0,7,16,35,0,59,6,0,33,13,118,7,176,3,3,30,41,164,12,249,6,0,15,28,137,9,199,0,0,7,5,16,0,31,5,3,13,27,14,0,58,3,0,8,17,40,3,71,36,3,104,48,63,6,260,0,3,13,13,83,6,118,49,15,89,126,187,8,479,24,10,74,28,31,0,169,19,5,50,41,61,3,183,0,0,12,7,28,7,46,0,4,12,12,106,4,141,8,0,10,15,103,24,164,179,58,559,541,2111,128,3577,0,0,6,3,7,3,13,0,0,3,3,0,0,8,5,0,13,17,18,9,59,0,0,3,0,4,0,7,0,0,15,14,32,3,62,3,0,8,9,14,0,37,14,0,51,53,154,20,293,3,0,40,53
1023,15,3,47,55,242,27,384,154,54,497,573,3795,95,5176,232,58,849,854,4637,174,6787,119,33,308,387,966,36,1845,122,44,840,779,8754,278,10821,53,19,250,266,1183,41,1820,159,25,603,497,2411,149,3832,72,18,380,362,1598,133,2562,87,51,398,559,2340,170,3598,44,13,224,137,346,14,787,127,54,594,478,410,38,1704,38,12,172,197,547,48,1008,674,215,2590,826,1018,111,5425,44,25,227,246,1156,68,1762,440,224,1343,1321,2273,128,5730,1102,306,2030,426,580,74,4512,889,246,2321,860,1430,167,5920,37,19,160,114,322,25,679,94,29,290,295,2761,88,3556,95,25,323,265,1639,348,2696,4603,1462,14447,9485,38418,2205,70621,7,7,44,32,86,17,191,30,18,119,86,226,21,499,82,41,394,332,646,76,1569,40,12,105,76,166,15,419,34,17,258,320,672,66,1377,32,20,158,149,272,20,648,156,52,815,911,2555,278,4769,60,19,558,652
1024,3,0,9,15,47,3,81,0,0,4,7,36,0,42,7,0,33,45,328,11,434,0,0,6,15,63,4,84,6,3,27,43,599,24,696,0,0,10,10,47,5,74,4,0,31,28,212,8,285,4,0,32,39,134,16,226,0,3,17,31,136,18,212,4,0,9,9,11,0,35,4,0,14,14,14,3,42,0,0,10,10,32,0,50,16,7,77,50,49,4,205,0,3,4,7,102,6,125,48,15,142,286,503,26,1021,32,26,88,15,51,4,204,51,16,120,64,131,16,391,0,3,4,9,31,3,41,3,0,11,23,200,3,246,4,0,13,14,119,35,185,183,85,647,725,2845,198,4688,0,0,11,9,23,3,40,0,0,0,4,0,0,4,0,0,19,16,40,3,81,0,0,0,3,11,0,15,0,4,5,20,40,3,70,0,0,3,7,3,0,15,3,4,63,83,225,42,418,9,6,30,56
1025,8,0,28,16,49,17,121,28,10,84,54,359,15,552,9,3,57,64,318,20,467,0,0,11,18,56,3,83,3,0,35,55,692,23,805,3,0,22,10,96,3,143,10,6,52,36,242,23,368,19,0,30,39,128,14,231,4,3,15,21,180,16,232,3,0,22,10,33,4,65,6,5,29,29,17,0,89,0,3,12,15,27,3,65,35,13,136,39,52,7,285,3,0,23,14,74,3,122,57,28,134,101,141,12,469,80,29,169,42,71,4,386,81,34,242,93,152,24,632,0,0,9,13,17,3,48,8,3,25,16,236,3,283,8,0,20,10,104,28,169,374,139,1162,684,3038,222,5625,4,5,17,11,11,5,55,7,3,34,11,22,0,85,4,3,30,26,49,9,118,0,0,3,3,8,0,10,0,3,16,24,41,4,88,0,0,4,4,26,4,37,5,7,64,70,278,31,457,5,0,48,54
1026,0,0,11,5,32,5,59,9,6,40,20,168,3,251,0,0,3,3,83,0,88,3,0,3,0,31,0,33,0,0,8,9,140,10,168,0,0,3,3,34,0,44,0,0,9,4,80,13,104,0,0,3,3,35,8,50,0,0,5,7,98,7,118,0,0,0,0,9,0,9,0,0,0,6,4,0,15,0,0,0,0,4,0,13,0,0,20,7,12,4,37,0,0,3,0,18,0,29,7,8,35,39,58,3,145,4,13,35,4,11,0,69,7,3,17,8,31,0,65,0,0,0,0,7,0,7,0,0,4,4,83,0,92,0,0,3,3,36,5,49,40,36,199,146,961,65,1438,0,0,3,3,10,3,25,4,0,15,6,15,0,45,0,0,3,3,10,0,14,0,0,0,0,0,0,3,0,0,0,0,14,0,15,0,0,3,0,11,0,12,3,0,10,14,72,14,113,0,0,16,12
1027,3,0,12,3,21,4,44,3,0,3,3,23,0,37,9,0,40,26,191,7,261,32,8,80,99,129,5,350,4,5,97,68,921,34,1130,3,0,6,16,76,6,113,8,3,62,62,319,19,472,8,4,26,49,247,22,356,0,4,21,27,149,16,215,7,0,11,11,22,4,59,4,5,32,67,17,4,133,3,0,14,31,76,12,133,41,16,161,63,51,6,333,5,3,21,31,111,9,178,25,17,110,97,164,10,418,74,45,233,49,67,6,474,111,27,278,108,200,27,748,3,0,10,14,47,3,72,6,3,24,21,197,13,260,3,3,24,16,96,28,175,347,149,1261,851,3122,233,5967,0,0,6,0,8,3,16,0,0,0,0,0,0,0,4,0,12,21,35,4,75,10,7,47,36,69,5,173,3,3,24,27,53,4,115,0,0,11,15,25,0,58,7,6,59,109,297,38,517,5,3,41,97
1028,0,0,0,0,17,0,22,34,11,150,107,806,20,1128,0,0,10,16,118,3,146,6,4,17,36,96,3,162,0,0,9,17,195,3,233,0,0,6,7,60,3,78,3,0,3,5,61,4,73,0,0,13,4,37,0,57,0,0,3,11,54,4,70,0,0,0,0,5,0,7,0,0,3,4,0,0,4,0,0,3,8,16,0,27,0,3,21,14,28,0,68,3,0,0,9,54,3,69,11,8,32,41,136,4,233,14,3,29,10,20,0,74,10,4,18,7,6,0,48,0,0,0,0,3,0,7,0,0,3,5,146,4,169,0,0,12,9,59,10,78,86,39,329,317,1907,75,2752,0,0,0,0,4,0,12,17,4,66,35,88,12,212,0,3,3,6,28,4,45,3,0,3,5,10,0,29,0,0,5,10,28,7,49,0,0,0,3,16,0,22,0,6,12,23,107,18,163,0,0,18,12
1029,0,0,0,0,4,0,5,0,0,0,0,9,0,10,4,0,3,9,104,3,123,0,0,0,11,28,0,36,0,0,16,26,420,12,475,0,0,0,3,21,0,25,0,0,7,12,97,9,133,0,0,5,13,63,5,90,4,0,9,6,74,6,104,3,0,6,3,13,0,14,0,0,7,4,6,0,19,0,0,3,0,21,0,25,8,5,37,19,18,8,99,0,0,7,9,64,3,76,32,12,54,106,172,7,389,17,6,49,13,13,0,105,13,3,26,28,63,3,130,0,0,4,3,13,0,27,3,0,9,8,65,4,89,4,0,10,3,61,22,98,95,35,254,282,1323,87,2083,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,7,18,0,29,0,0,0,0,3,0,3,0,0,12,12,26,3,44,0,0,0,0,11,0,12,0,3,18,36,89,8,153,3,0,10,19
1030,250,51,757,393,1072,138,2667,400,57,729,235,684,66,2171,5342,751,13753,7918,23707,1905,53374,1467,196,2370,1366,3456,215,9068,3799,608,15214,10723,64806,3601,98738,4767,633,11082,4919,8922,1098,31427,5732,763,16300,8202,15117,2061,48167,2986,419,11615,9219,10965,1749,36957,4538,784,11641,8676,17981,2431,46054,5195,946,12983,4407,4214,857,28601,14265,2820,30670,8156,4990,1550,62455,2192,431,5628,3409,4643,659,16957,24800,3942,55266,11410,8111,2634,106163,2466,445,7946,3995,7156,1064,23078,7622,2191,14991,9823,13269,1279,49183,14769,2707,17054,3475,4093,889,42980,10995,1867,21796,5848,6392,1571,48470,1269,299,4537,2125,3407,446,12086,2219,391,5234,3224,18367,865,30304,4415,545,10900,5244,13361,5225,39707,119492,20846,270476,112760,234715,30314,788609,160,38,480,304,467,120,1568,171,31,289,93,85,27,704,2783,515,8825,4646,5179,1165,23118,502,121,1124,444,506,87,2785,1580,328,5071,3681,4161,762,15573,3350,519,8392,3994,3772,820,20846,4733,872,19373,11480,13553,2777,52786,2460,373,11171,7667
1031,9,0,22,29,91,10,164,0,0,8,11,76,0,96,10,3,57,56,427,52,605,3,0,6,16,75,0,104,3,0,24,39,738,26,832,0,0,20,27,128,22,195,11,0,37,42,266,20,374,8,0,22,43,122,14,212,0,0,25,54,242,33,351,0,0,14,10,31,3,62,7,3,26,39,33,0,113,0,0,12,17,47,9,88,18,16,104,33,63,4,235,4,3,15,26,87,12,141,40,17,142,119,187,16,516,45,47,191,45,60,14,393,70,19,169,82,119,14,472,0,0,4,6,32,3,46,8,0,16,23,259,9,317,3,0,13,14,183,46,264,245,122,930,718,3272,311,5593,0,0,13,11,20,5,52,0,0,0,0,5,0,9,0,5,32,33,69,32,171,0,0,0,3,3,0,13,0,0,10,19,53,9,90,0,0,15,14,30,8,76,9,4,59,74,295,29,472,5,0,31,51
1032,0,0,7,9,54,3,77,0,0,0,0,17,0,16,0,0,6,11,230,28,272,0,0,4,15,49,3,71,0,0,5,12,324,19,372,0,0,0,6,62,4,75,0,0,17,24,197,18,253,0,0,15,13,80,7,116,0,0,3,8,110,22,137,0,0,3,0,19,0,22,0,0,6,11,14,3,39,0,0,3,3,23,5,33,3,8,24,13,20,0,72,0,0,4,12,60,3,76,3,3,19,17,60,3,105,12,10,83,15,28,4,153,33,11,97,50,105,15,315,0,0,3,4,16,3,28,0,3,10,8,151,4,174,0,0,0,11,91,19,121,65,42,319,248,1695,166,2534,0,0,5,5,13,3,24,0,0,0,0,0,0,0,0,0,3,14,27,0,46,3,0,0,7,3,0,12,0,0,3,10,21,3,37,0,0,0,9,17,0,22,3,3,16,44,200,28,298,3,0,15,25
1033,0,0,4,5,27,3,42,0,0,0,0,13,0,14,0,0,4,7,77,0,87,0,0,0,0,28,3,27,0,0,15,15,366,5,406,0,0,0,0,20,5,24,3,0,10,15,108,13,150,7,0,15,19,107,11,158,0,0,0,6,59,3,70,0,0,0,3,15,0,15,0,4,3,3,3,0,14,0,0,3,7,16,3,32,6,7,41,16,20,3,95,0,0,6,9,55,3,74,10,4,27,35,63,8,138,21,16,56,5,17,6,122,7,4,49,17,18,3,101,0,0,3,0,21,4,28,0,0,3,3,84,4,96,0,0,3,7,51,11,73,65,43,257,181,1160,81,1787,0,0,3,3,3,0,13,0,0,0,0,0,0,0,0,0,4,3,12,0,26,0,0,0,0,0,0,0,0,0,11,8,12,0,28,0,0,3,3,7,0,12,3,3,23,34,90,16,162,3,0,30,45
1034,14,3,49,28,102,8,205,0,0,3,0,30,0,36,16,3,134,77,537,51,814,4,0,4,35,136,3,180,6,3,45,43,1205,24,1325,0,4,33,28,214,13,292,11,0,97,57,371,27,567,11,0,40,47,214,15,332,19,3,37,44,311,28,443,3,3,26,13,65,4,111,6,7,45,56,31,0,143,0,0,29,19,37,9,92,36,34,212,55,84,10,424,6,3,24,17,104,8,161,87,45,224,235,481,26,1105,196,63,303,71,128,11,775,110,39,282,91,149,14,692,8,0,11,10,35,0,63,13,0,33,18,374,7,448,3,3,37,27,215,41,320,546,211,1661,976,4834,298,8527,3,3,22,16,33,4,77,0,0,0,0,0,0,3,4,3,53,30,88,18,194,0,0,0,6,20,0,25,0,6,25,26,72,6,141,0,3,22,22,48,3,91,3,13,118,92,357,46,623,13,6,62,69
1035,7,6,27,28,100,9,177,82,14,225,289,1290,40,1940,234,38,676,670,2688,111,4408,34,8,84,138,546,12,829,65,22,401,602,6186,240,7518,67,17,216,178,612,39,1136,129,16,471,335,1462,103,2517,61,14,327,253,872,75,1599,73,26,236,367,1720,143,2569,66,12,232,126,191,19,637,142,33,484,314,317,34,1332,29,6,88,116,328,31,598,438,153,1385,545,572,86,3186,37,16,147,148,669,58,1072,309,158,947,1010,1346,104,3876,1051,334,1400,294,419,53,3552,515,126,1109,500,788,110,3144,40,11,144,85,224,19,528,76,18,199,171,1603,55,2122,75,17,235,195,1064,244,1832,3540,1043,9042,6374,22996,1578,44578,5,5,20,13,44,5,93,11,0,40,21,40,3,121,73,12,220,153,247,38,742,17,3,33,22,43,7,119,20,13,124,168,329,36,692,17,6,109,92,168,12,411,77,26,512,609,1543,222,2989,56,29,416,408
2000,225,133,1666,2326,8675,1166,14188,24,14,143,112,1064,61,1414,192,107,997,1106,7563,586,10547,75,39,311,335,1725,104,2583,60,48,541,840,14635,743,16870,49,31,267,340,1671,161,2515,83,58,583,595,3245,334,4905,75,56,448,557,2041,252,3423,49,57,309,560,3364,434,4777,44,18,202,152,399,42,854,87,46,324,285,192,34,965,15,18,133,176,533,53,920,440,188,1924,759,895,149,4347,38,38,248,315,1282,159,2087,336,276,1043,1682,2751,258,6346,715,891,2070,559,825,108,5168,486,323,1532,876,1401,148,4763,66,45,332,286,699,80,1508,75,45,250,249,3877,165,4657,111,44,428,444,2806,874,4703,3245,2465,13743,12561,59636,5900,97548,178,252,1505,1605,1908,602,6050,8,5,42,34,59,6,164,86,74,640,659,1348,251,3051,38,29,156,113,141,21,493,18,38,298,402,717,107,1583,27,26,190,213,412,62,928,64,116,960,1231,3090,576,6041,103,93,766,1062
2001,0,0,13,18,33,0,59,0,0,3,7,26,4,42,12,8,40,33,225,8,324,0,0,9,5,56,3,71,3,4,24,33,604,27,695,8,3,16,16,68,6,114,5,0,22,24,80,10,137,4,0,7,10,44,3,76,3,7,21,41,223,23,307,10,0,6,9,19,0,46,3,3,21,13,11,3,56,0,0,7,6,18,4,37,24,8,74,44,48,4,197,0,0,15,3,38,3,62,15,10,41,57,105,8,234,34,17,61,19,22,5,162,7,11,31,12,30,0,94,0,0,12,9,23,3,48,0,3,9,12,125,8,162,4,0,14,14,96,15,139,138,69,442,401,1884,130,3059,0,3,9,3,10,0,21,0,0,0,0,4,0,7,0,0,27,24,26,7,80,0,0,0,3,3,0,9,0,0,7,18,29,4,56,3,0,10,10,16,3,38,4,5,35,46,102,8,203,0,0,11,25
2002,0,0,13,5,46,7,69,0,0,0,3,29,0,27,5,0,14,8,155,10,200,5,5,12,4,32,3,52,0,0,8,11,291,11,325,3,0,3,8,46,7,63,5,0,24,23,112,20,181,0,0,4,19,49,3,72,0,3,6,6,69,6,85,0,0,0,5,11,0,15,0,0,4,6,3,0,10,0,0,3,3,11,3,22,4,0,39,17,31,3,94,0,0,3,5,26,5,38,7,7,25,23,36,3,95,11,7,28,14,28,3,97,17,11,40,27,36,7,143,0,0,3,8,7,0,20,0,0,6,8,96,4,114,0,0,5,5,46,17,76,57,36,242,208,1142,112,1803,0,0,8,11,11,6,35,0,0,0,0,0,0,0,3,0,20,7,36,6,78,0,0,6,0,3,0,10,0,0,10,12,18,0,34,0,0,3,3,12,3,19,0,0,12,29,97,16,157,0,0,6,30
2003,6,0,52,36,134,6,245,17,7,45,16,108,3,191,44,25,243,178,1038,69,1603,17,9,39,44,127,9,245,21,18,124,162,2135,68,2535,9,0,46,70,241,12,382,47,19,190,142,539,50,989,32,5,113,110,359,24,642,15,13,72,84,346,46,579,21,6,95,83,170,14,391,18,9,83,100,33,6,251,5,3,51,39,105,9,205,136,50,541,164,164,16,1076,3,8,52,60,137,8,274,57,73,253,259,345,29,1011,298,203,550,123,144,16,1332,234,115,556,185,258,45,1394,14,4,89,41,86,16,251,15,3,48,50,423,22,564,17,6,74,54,280,78,517,1037,594,3328,2008,7164,534,14670,4,4,22,12,29,5,78,4,4,13,7,8,0,32,19,4,131,79,158,22,414,4,3,18,19,12,0,58,6,10,45,63,106,12,236,5,0,31,23,46,0,104,31,29,232,231,545,79,1142,14,12,131,136
2004,7,0,39,34,191,20,284,13,3,55,26,285,5,389,40,23,203,183,1000,56,1497,14,5,57,54,160,5,294,9,7,100,132,2126,61,2435,3,0,36,34,170,16,257,18,13,156,125,589,45,946,9,4,76,82,291,22,493,6,10,52,71,340,47,518,3,4,63,39,103,6,220,31,34,217,123,92,18,508,6,4,30,19,93,4,166,51,45,411,139,122,21,794,7,9,37,43,197,21,310,72,50,201,232,373,34,958,159,148,430,110,121,19,983,179,104,465,200,318,42,1316,14,6,35,24,84,12,172,29,7,44,46,500,19,649,15,5,50,45,306,86,508,680,487,2767,1763,7448,566,13715,0,0,38,17,38,9,106,4,4,25,7,15,0,45,13,7,95,70,225,23,429,6,11,25,13,33,0,94,3,8,47,48,115,9,228,7,5,7,13,39,5,73,17,10,233,202,547,66,1073,10,9,106,110
2005,0,0,3,16,74,14,109,0,0,0,0,11,0,8,6,3,19,26,278,27,364,0,0,0,3,32,0,31,0,0,4,6,214,9,236,0,0,0,3,35,3,48,3,0,11,13,62,3,97,0,3,3,12,36,4,57,0,0,3,3,74,4,87,0,0,3,8,12,3,29,0,0,8,10,5,0,22,0,0,0,5,3,0,5,3,3,28,13,9,3,61,0,0,3,3,26,3,38,3,3,19,22,28,4,87,3,9,34,8,17,3,73,13,6,23,13,39,5,91,0,0,0,3,9,0,20,3,0,4,3,63,3,72,0,0,3,6,45,18,74,37,34,177,188,1070,108,1608,0,0,5,4,5,3,19,0,0,0,0,0,0,0,0,3,18,19,51,11,104,0,0,0,0,3,0,4,0,0,0,5,11,0,15,0,0,3,4,6,0,13,0,0,20,18,61,7,104,0,0,6,13
2006,0,3,33,13,75,16,142,0,0,3,0,18,0,25,7,4,54,47,347,19,474,3,0,8,4,35,0,48,0,0,12,32,454,10,517,0,0,13,8,56,3,80,0,0,17,22,123,10,180,4,0,35,29,131,17,216,0,0,5,18,79,9,110,0,0,3,3,5,0,15,0,0,16,18,7,3,42,0,0,5,3,13,4,24,3,3,51,22,23,0,109,0,0,3,6,38,0,45,3,3,35,42,65,3,152,8,28,90,15,20,0,163,16,12,60,31,39,4,157,0,0,7,7,21,4,44,3,0,9,7,105,3,126,0,0,15,4,88,23,127,58,60,462,323,1739,144,2785,0,3,12,13,10,0,40,0,0,0,0,0,0,3,3,8,21,16,38,9,99,3,0,3,0,6,0,12,0,0,9,8,20,3,36,0,0,10,3,13,0,26,3,5,35,43,129,17,229,3,3,32,51
2007,19,13,91,85,233,32,472,4,3,29,31,131,9,206,181,54,728,585,2541,152,4255,54,21,167,120,342,33,722,50,33,505,564,5870,220,7243,36,16,243,156,514,55,1015,94,35,667,479,1224,120,2618,48,13,325,262,828,63,1535,77,24,284,349,1130,110,1980,26,27,192,108,166,13,525,116,66,491,259,158,32,1113,11,10,122,86,230,29,489,398,125,1418,539,457,70,3006,42,25,184,182,470,33,933,197,141,660,626,915,80,2621,717,372,1266,401,371,70,3202,430,207,1172,406,578,88,2888,34,22,163,123,243,32,621,48,19,173,178,1100,38,1563,56,22,250,211,816,213,1572,2642,1249,9138,5734,18323,1488,38580,9,14,57,53,79,15,224,0,0,15,8,6,3,30,42,24,253,208,378,37,945,24,14,71,77,78,6,267,21,15,155,188,270,16,667,16,17,111,99,150,27,415,76,72,824,823,1360,167,3328,45,24,365,382
2008,0,5,8,10,20,0,50,0,0,3,0,8,0,11,29,0,67,52,197,12,353,3,5,15,3,28,0,57,3,4,51,44,709,23,827,10,8,32,23,48,0,121,6,3,31,34,66,7,147,7,3,17,9,38,0,77,14,14,54,98,165,13,354,3,5,20,13,20,3,57,12,11,52,23,16,9,127,4,3,15,11,30,4,68,48,16,169,47,51,4,340,5,3,15,19,39,6,92,29,19,67,93,84,4,296,59,43,87,26,26,6,244,31,14,57,14,18,4,136,9,6,23,11,17,8,68,7,0,16,10,111,7,140,6,5,39,6,79,21,154,274,150,840,555,1785,126,3731,0,0,11,10,6,5,32,0,0,0,3,0,0,3,6,7,28,29,32,4,109,0,4,6,4,4,0,20,0,3,15,18,25,7,75,0,3,13,9,5,3,40,0,5,37,47,82,5,176,8,3,28,25
2009,8,0,13,27,68,6,130,0,0,3,0,20,0,20,0,0,11,13,93,0,117,4,3,13,17,40,3,82,0,0,9,10,389,10,421,3,0,14,14,83,4,123,0,0,10,18,135,14,179,3,0,0,9,59,4,76,3,0,9,11,91,9,118,0,0,9,8,12,0,33,0,0,10,12,9,3,37,0,0,4,5,12,3,28,9,3,33,9,28,3,85,0,0,3,10,22,4,44,18,11,34,37,75,6,180,6,23,66,18,26,0,140,29,15,55,43,70,11,219,0,0,6,3,17,3,24,0,3,10,9,116,0,137,0,0,9,10,49,17,83,88,55,323,294,1413,107,2281,3,0,10,10,12,3,37,0,0,0,0,3,0,3,0,0,10,5,24,0,43,3,3,9,7,18,0,38,0,0,7,8,23,0,42,0,0,3,10,3,3,19,5,3,30,45,98,10,182,0,0,10,28
2010,387,93,1070,658,1400,213,3817,415,82,884,261,818,70,2523,5589,1286,18221,11181,32982,2506,71767,1486,331,3471,1451,3378,276,10398,2285,691,11893,9814,73206,3170,101061,3186,772,9473,4672,9110,962,28174,4691,977,16441,8962,16005,2017,49094,2421,376,10126,8564,10709,1434,33633,3736,941,11165,9113,16181,2313,43444,3730,943,9521,3548,3500,586,21838,7379,2235,19730,6417,3260,936,39964,1412,385,4637,2399,3960,456,13251,20059,4247,49432,10579,6889,2110,93319,2146,618,7204,4165,7670,936,22745,5842,2600,12941,8196,9616,1048,40248,14767,5533,17851,4250,4031,826,47253,9674,2882,20546,6058,6850,1324,47327,1366,557,5727,2620,3689,480,14443,1828,531,4588,3785,17809,946,29486,3456,705,9436,5214,13673,4783,37266,95866,26776,244363,111904,244739,27391,751038,193,89,821,447,520,131,2198,156,46,451,83,80,19,846,2685,855,9863,5084,5787,1174,25449,775,255,2010,703,726,131,4594,978,380,4163,3208,3586,519,12827,1921,586,6936,3424,3403,577,16846,3632,1259,20462,12703,14356,2736,55153,1996,455,9916,7196
