SOSR_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,0,12,3,5,9,46,13,14,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,17,0,3,3,0,0,24,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,15,0,0,8,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,0,0,12,23,4,0,0,0,0,40,0,0,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,19
SOSR301,0,8,35,93,73,76,52,26,14,372,4,55,197,560,164,118,72,19,20,1215,11,48,336,959,49,20,8,3,0,1429,4,53,87,373,302,462,817,434,194,2738,551,4759,6811,18019,8571,6066,3031,1076,381,49264,4,41,33,245,189,165,223,112,40,1046,44,209,175,756,121,75,32,9,3,1428,18,213,433,1486,1050,683,282,170,46,4372,93,653,1255,5141,2579,2069,847,209,53,12888,0,17,38,548,187,332,213,134,156,1621,21,204,225,984,991,1019,961,578,250,5237,40,195,597,864,330,312,148,40,11,2542,67,774,1585,3785,2110,1126,662,258,104,10463,0,3,8,126,158,181,162,87,32,756,27,264,296,1292,591,460,286,129,68,3415,91,197,916,3684,685,800,294,59,10,6739,46,317,485,1893,480,244,99,12,5,3590,0,3,18,91,77,64,49,29,3,336,4,18,37,150,80,28,21,9,4,339,85,499,572,1561,593,431,318,66,24,4156
SOSR302,0,6,11,46,26,43,26,14,8,179,0,0,7,11,13,9,10,7,3,56,0,3,75,171,0,0,0,0,0,257,0,4,23,88,83,141,280,169,80,875,196,1699,2457,7221,3990,3230,2153,883,317,22151,0,4,11,58,49,47,74,41,11,298,0,19,21,80,22,16,3,0,0,158,3,15,55,172,167,92,39,16,5,566,32,102,248,1114,626,496,200,45,19,2886,0,9,17,165,60,125,90,51,53,569,0,59,68,255,254,288,381,211,97,1612,6,25,83,138,87,97,43,18,5,490,21,217,464,1173,649,444,264,116,39,3390,0,0,3,31,66,69,58,49,17,296,0,27,27,106,40,50,41,12,3,312,8,23,116,476,107,99,50,9,5,902,13,61,96,626,177,92,16,8,3,1095,0,0,3,28,34,21,13,12,3,112,3,0,7,39,46,21,32,11,0,159,41,133,163,409,177,149,108,26,10,1221
SOSR303,0,3,7,31,17,28,11,16,4,113,0,3,13,64,13,14,15,9,3,134,9,74,151,229,7,6,3,0,0,484,4,19,28,171,105,182,304,171,84,1067,61,728,946,3179,2266,2063,1263,534,194,11226,0,10,14,57,50,63,67,37,9,300,7,36,26,75,11,11,3,0,0,161,20,190,353,796,493,307,125,32,7,2314,29,244,334,1413,735,577,214,44,10,3602,0,3,5,106,28,65,43,32,25,308,5,53,63,273,287,297,364,207,88,1632,12,12,31,76,78,62,21,3,3,296,15,213,351,813,506,281,198,93,25,2497,0,0,0,10,18,24,17,17,3,92,13,42,50,190,69,55,30,21,8,477,7,9,42,329,19,21,3,3,0,422,17,80,110,450,252,74,41,4,0,1026,0,0,0,3,7,4,4,0,3,20,0,0,0,15,13,4,3,4,0,43,27,126,178,514,217,192,140,56,6,1453
SOSR311,0,0,0,8,0,3,3,3,0,14,0,0,3,26,10,3,5,0,0,43,0,7,21,86,4,3,0,0,0,122,0,0,5,14,33,49,108,79,27,306,12,160,233,740,557,546,377,148,38,2808,0,0,0,15,3,12,20,13,3,65,6,9,5,44,0,4,0,0,0,63,0,18,15,82,70,31,10,3,0,239,27,167,193,690,327,269,121,29,3,1827,0,0,0,16,8,14,3,7,3,55,0,8,17,46,74,74,124,73,23,443,4,3,0,26,10,8,6,0,0,58,4,95,124,269,165,81,41,26,10,805,0,0,0,0,11,4,8,4,0,29,4,25,13,77,27,16,11,6,0,184,0,0,29,117,0,3,0,0,0,159,6,19,22,130,67,20,3,0,0,264,0,0,0,0,0,0,0,0,0,6,0,0,0,11,9,0,3,0,0,24,0,24,30,73,37,32,37,9,3,242
SOSR312,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,4,0,3,8,8,19,3,4,46,12,46,77,260,154,131,76,14,7,786,0,0,0,0,5,0,4,0,0,12,3,0,0,8,0,0,0,0,0,10,0,3,6,23,12,5,4,0,0,54,17,57,49,219,89,62,34,10,0,551,0,0,0,8,0,10,0,3,0,21,4,0,3,22,16,23,20,13,0,108,0,0,3,3,5,3,0,0,0,16,0,30,31,73,36,6,3,0,0,185,0,0,0,0,3,3,0,0,0,9,0,11,3,14,4,3,0,0,0,33,0,0,0,5,0,0,0,0,0,10,0,5,5,43,15,8,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,28,13,8,5,0,0,69
SOSR313,0,0,3,3,8,9,0,0,0,24,0,0,0,8,0,0,0,0,0,14,0,3,3,12,0,0,0,0,0,18,0,0,0,14,18,46,92,47,19,242,25,192,210,711,443,433,270,102,32,2409,0,0,0,5,11,7,14,10,3,59,3,0,0,12,0,3,0,0,0,26,0,18,8,58,53,29,6,9,0,184,11,98,104,413,222,178,74,19,3,1121,0,0,0,14,3,12,11,5,8,56,0,5,6,42,39,40,90,46,22,297,0,0,3,12,9,11,5,0,0,42,0,65,78,190,96,69,29,16,4,559,0,0,0,0,3,6,8,3,3,27,0,10,4,39,8,3,4,0,0,73,4,3,11,28,3,0,0,0,0,51,3,11,10,80,20,17,8,0,0,152,0,0,0,4,0,0,0,0,0,6,0,0,0,4,3,4,0,0,0,9,0,13,14,54,31,31,22,11,0,180
SOSR314,0,0,0,6,0,0,5,0,0,22,0,0,0,7,0,0,0,0,0,18,0,3,4,18,0,0,0,0,0,33,0,3,3,22,18,35,57,35,14,191,17,154,183,790,483,385,213,77,23,2327,0,4,0,12,12,12,8,7,0,51,0,0,0,14,4,0,0,0,0,16,0,16,30,111,74,34,11,7,0,297,17,96,75,333,170,129,50,14,3,892,0,0,0,13,5,12,11,3,3,44,0,8,9,49,41,58,51,33,8,263,0,8,7,16,8,7,4,0,0,53,0,54,70,220,106,55,35,15,0,553,0,0,0,3,0,3,8,3,3,22,0,11,0,29,7,13,3,3,0,65,3,0,82,285,3,3,0,0,0,380,0,11,14,102,34,14,0,0,0,183,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,8,3,21,18,72,42,34,31,4,3,224
SOSR315,0,0,0,0,3,6,3,3,0,14,0,0,0,11,7,3,0,0,0,23,0,0,0,19,0,0,0,0,0,21,0,3,9,28,39,93,139,56,25,392,17,178,245,977,748,668,467,143,38,3467,0,3,3,20,8,14,21,5,0,80,0,7,0,14,0,0,4,0,0,26,0,28,15,102,79,50,28,5,0,303,19,99,101,470,214,193,88,12,0,1205,0,0,0,23,10,12,12,8,7,57,0,9,12,47,63,107,130,53,21,451,0,0,4,14,14,9,3,0,0,47,0,40,46,174,98,62,57,20,7,505,0,0,0,4,8,14,3,9,0,31,0,0,5,23,4,11,7,0,3,51,6,0,26,136,4,4,0,0,0,178,5,13,22,107,55,19,3,0,0,234,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,23,18,83,41,69,57,17,3,312
SOSR321,0,0,0,0,0,0,4,3,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,14,3,0,3,17,19,28,74,22,4,160,3,58,53,295,288,294,197,36,8,1240,0,0,0,0,3,9,8,5,0,25,0,0,0,5,0,0,0,0,0,13,0,3,3,25,46,39,14,0,0,146,3,16,19,125,72,70,46,3,0,359,0,0,0,9,3,5,7,0,0,20,0,4,5,24,22,35,46,25,0,164,3,0,0,3,10,9,0,0,0,25,0,11,22,48,41,22,20,4,0,168,0,0,0,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,10,0,4,3,21,0,0,0,0,0,32,7,4,10,42,20,6,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,14,30,20,25,19,7,3,142
SOSR322,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,25,10,0,49,0,28,17,103,111,119,85,19,3,478,0,0,0,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,7,33,25,25,11,4,0,107,0,3,12,51,26,37,23,0,0,144,0,0,0,0,0,4,3,3,0,6,0,0,0,3,16,16,14,4,0,51,0,0,0,0,0,0,0,0,0,4,0,3,12,24,19,12,3,3,0,73,0,0,0,0,0,4,3,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,3,16,10,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,16,14,0,0,58
SOSR331,0,0,0,3,7,3,9,0,0,29,0,0,0,0,3,0,0,0,0,6,0,0,0,15,0,0,0,0,0,18,0,19,21,96,99,151,254,67,15,715,13,185,249,1274,1252,1189,581,158,27,4927,0,0,4,19,35,23,27,7,0,121,0,0,0,7,5,3,0,0,0,16,5,23,25,148,173,104,31,15,3,521,9,61,56,426,243,272,91,12,0,1171,0,0,4,32,13,23,15,8,6,93,0,10,14,86,137,155,169,49,13,641,0,10,10,37,29,26,6,0,0,120,3,84,107,343,231,140,80,37,3,1030,0,0,0,3,4,18,16,14,0,54,4,4,0,20,16,16,6,0,0,70,0,12,25,128,8,15,9,3,0,200,4,25,25,161,90,37,6,3,0,349,0,0,0,3,3,0,0,0,0,7,0,0,0,3,4,6,3,0,0,18,6,47,52,125,117,142,98,30,5,624
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,8,8,3,0,38,0,5,13,65,40,76,64,4,0,270,0,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,25,0,5,4,11,9,7,5,3,0,41,0,0,0,0,0,0,0,0,0,5,0,0,11,10,6,7,10,3,0,45,0,0,7,7,0,0,0,0,0,8,0,0,0,8,4,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,4,17,57,0,0,0,0,0,75,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,6,4,0,0,31
SOSR401,0,5,6,39,11,10,10,8,5,91,3,67,132,335,54,28,16,10,6,653,23,197,377,759,19,17,5,5,0,1395,8,30,38,143,140,463,759,377,215,2170,49,259,376,1375,845,791,421,172,75,4356,0,16,23,102,151,181,233,121,42,871,87,311,180,689,77,29,22,7,3,1408,0,16,22,131,94,49,12,14,3,335,49,371,614,2509,1145,897,412,125,25,6145,3,16,47,542,301,632,406,322,334,2597,8,139,151,543,741,990,1034,678,300,4587,26,102,246,413,180,149,110,25,5,1253,11,218,396,848,533,286,193,81,30,2599,0,0,13,110,142,189,173,165,77,867,34,189,138,815,218,101,75,36,16,1630,5,37,114,458,78,27,22,3,0,749,18,88,141,910,227,109,29,7,0,1529,0,3,4,28,22,42,35,46,4,184,3,12,14,59,38,34,22,24,15,220,40,183,190,543,246,193,164,45,17,1618
SOSR412,0,3,0,0,0,0,0,0,0,7,0,6,8,47,13,10,8,3,0,99,0,0,0,3,0,0,0,0,0,3,0,3,3,14,11,41,76,26,14,191,0,16,27,81,60,45,26,6,5,259,0,0,0,0,23,13,15,9,0,62,0,3,0,5,3,0,0,0,0,16,0,0,0,5,8,0,0,0,0,16,4,36,33,125,52,56,29,12,0,342,0,0,0,17,5,4,6,6,7,47,0,0,3,21,72,111,124,93,35,453,0,0,0,7,8,0,0,0,0,12,3,30,26,75,30,11,10,0,0,176,0,0,0,0,0,3,4,0,3,18,0,4,3,12,7,0,3,0,0,28,0,0,0,6,0,0,0,0,0,9,3,38,30,20,6,6,0,0,0,101,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,11,5,27,13,9,6,3,0,72
SOSR413,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,12,0,0,3,5,0,0,0,0,0,9,0,0,3,14,14,55,99,47,19,254,3,33,39,108,84,63,47,14,0,393,0,0,0,4,4,9,12,11,3,43,0,11,6,17,0,0,0,0,0,34,0,0,0,12,15,3,0,0,0,29,4,48,65,174,83,74,33,6,0,492,0,0,0,14,3,9,10,3,4,47,0,6,6,19,42,68,75,49,24,290,3,3,4,5,3,9,3,0,0,30,3,25,28,59,49,21,16,9,0,219,0,0,0,0,0,3,0,3,0,11,0,10,0,19,3,3,3,0,0,39,0,0,32,68,0,0,0,0,0,96,0,6,3,34,18,5,0,0,0,73,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,7,0,0,0,13,0,11,13,32,28,32,12,4,3,136
SOSR414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,38,16,6,78,4,12,12,46,19,19,18,5,0,136,0,0,0,0,0,3,4,3,0,10,0,4,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,3,0,7,4,18,3,46,14,12,3,3,0,108,0,0,0,3,0,0,0,0,0,10,0,0,5,0,10,23,25,14,0,77,0,0,0,0,0,3,0,0,0,7,0,0,3,9,4,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,6,10,0,0,0,0,0,18,0,0,0,12,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9,5,0,0,28
SOSR415,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,7,0,7,6,59,112,32,22,238,5,18,28,140,93,94,50,21,8,456,0,0,0,0,5,6,17,3,8,42,0,3,0,5,0,0,0,0,0,13,0,0,0,15,7,3,0,3,0,28,11,36,25,172,53,47,17,5,0,377,0,0,0,7,3,5,7,0,5,28,0,12,3,34,41,79,73,52,22,314,0,0,0,3,3,5,0,0,0,12,0,8,16,52,37,26,9,3,3,162,0,0,0,0,4,4,4,8,3,23,0,8,3,34,4,0,0,0,0,53,0,0,9,26,0,0,0,0,0,35,3,10,3,33,24,5,0,0,0,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,11,0,4,8,31,18,24,14,6,0,105
SOSR421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,21,21,11,3,66,0,0,7,30,25,23,21,6,0,111,0,0,0,0,5,0,3,3,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,9,0,12,5,41,25,11,5,3,0,97,0,0,0,0,0,3,3,3,0,8,0,0,0,3,3,15,20,6,3,59,0,0,0,3,4,0,0,0,0,3,0,8,4,16,0,7,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,7,23,0,0,0,0,0,28,3,0,0,11,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,3,6,0,0,22
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,10,10,3,37,4,0,3,25,22,16,15,3,0,97,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,8,0,3,5,14,7,10,0,0,0,39,0,0,0,0,0,0,3,0,0,6,0,0,0,3,12,15,16,8,0,56,0,0,0,0,3,0,0,0,0,4,0,3,0,3,3,4,0,0,0,19,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,3,0,9,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,4,3,0,0,22
SOSR431,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,21,27,95,130,31,10,313,3,28,22,136,113,107,48,13,3,475,0,0,0,3,12,13,15,3,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,15,12,10,0,0,0,36,4,22,13,114,49,44,23,0,0,273,0,0,0,16,7,10,10,7,6,58,0,8,11,34,68,120,78,30,6,357,3,0,0,13,3,9,3,0,0,27,0,17,18,48,35,31,12,4,0,166,0,0,0,0,3,9,5,3,0,16,0,0,0,10,3,0,3,0,0,15,0,0,4,28,3,3,0,0,0,39,0,4,10,40,12,7,0,0,0,82,0,0,0,0,0,3,0,0,0,6,0,0,3,3,3,5,0,3,0,20,0,11,11,32,43,41,29,11,3,183
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,9,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
SOSR501,19,125,259,917,290,289,190,99,49,2227,18,127,375,1348,776,753,487,336,164,4379,22,52,233,756,41,17,3,0,0,1134,14,89,111,470,338,467,1033,593,354,3480,363,2541,3361,10441,5305,3969,1648,558,130,28314,9,73,69,461,296,266,305,168,55,1713,98,273,228,1055,135,100,53,18,7,1974,3,84,85,306,177,81,10,5,0,761,190,1689,1900,5891,2107,1305,517,112,24,13725,4,44,59,889,336,708,361,266,204,2875,56,526,681,2513,2097,2101,1714,1039,391,11118,83,478,1173,2391,1270,1372,686,326,80,7855,102,1561,2721,6142,3425,1907,1012,489,183,17555,0,0,17,186,159,235,165,125,54,931,44,326,262,1462,484,366,264,124,60,3401,27,22,241,1805,137,108,57,7,0,2401,68,430,530,2226,754,441,132,23,7,4609,3,9,50,417,282,321,209,146,40,1484,5,26,51,242,97,37,28,10,5,498,106,467,461,1311,556,469,302,75,37,3783
SOSR511,0,0,3,8,6,3,3,0,0,22,0,0,0,8,0,3,3,0,3,20,0,0,3,10,0,0,0,0,0,15,0,3,0,19,21,20,53,17,10,140,13,131,139,401,217,185,63,24,3,1174,0,0,5,8,9,5,13,3,0,42,6,4,0,14,0,0,0,0,0,26,0,3,0,3,9,7,0,0,0,18,10,61,42,217,74,50,14,0,0,468,0,3,0,14,3,12,12,7,11,59,0,4,9,43,44,64,36,33,8,244,0,7,10,19,7,12,0,3,0,54,0,92,101,255,134,64,38,20,4,718,0,0,0,0,0,0,4,0,0,11,0,3,3,13,6,4,0,0,0,31,0,0,4,48,0,0,0,0,0,49,0,4,5,40,20,6,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,35,18,14,11,5,3,107
SOSR512,0,0,0,10,3,3,0,0,0,15,0,0,4,27,10,7,0,4,0,52,0,3,0,11,0,0,0,0,0,19,0,3,5,27,20,40,70,31,25,206,18,174,217,685,403,306,117,38,14,1976,0,3,0,8,23,9,15,4,3,75,0,6,7,20,0,0,0,0,0,38,0,26,18,35,16,3,0,0,0,102,12,141,112,421,170,109,48,5,0,1025,0,0,4,19,3,3,11,3,13,51,0,13,15,52,62,80,73,39,15,348,0,4,6,18,12,7,7,0,0,54,16,82,136,267,180,66,44,17,0,802,0,0,0,0,0,0,5,4,3,16,0,11,0,36,6,3,0,0,0,60,0,0,0,43,3,0,0,0,0,51,8,38,23,115,57,22,3,3,0,265,0,0,0,0,0,3,0,0,3,6,0,0,0,4,0,0,0,0,0,6,0,7,14,41,19,27,20,5,0,126
