SOSR_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOSR431,238,89,42,11,377,174,47,42,11,268,143,85,124,6,362,67,38,143,3,252,925,161,256,14,1357,532,240,361,19,1153,2431,431,376,21,3262,1577,782,378,41,2779,1928,1304,362,36,3630,1808,1521,251,47,3623,945,1305,193,16,2454,1250,1318,149,15,2734,1861,2399,180,23,4462,1070,1619,61,15,2767,558,1031,36,5,1630,346,580,33,0,952,750,1256,37,4,2044,1266,2510,405,9,4183,342,217,92,8,661,18206,16923,3519,312,38965
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,2888,1226,1849,305,6270,1308,407,747,146,2613,1290,716,2139,252,4397,777,480,2551,97,3897,6009,1543,3984,377,11914,3719,2259,6444,396,12828,18713,3662,6475,609,29458,11676,6026,6870,764,25332,15214,10572,7772,897,34448,13633,12901,5865,903,33304,9752,13892,4532,675,28841,10397,14744,3775,576,29494,22856,33075,5655,1095,62685,15957,25029,2409,597,43990,10493,17582,999,338,29413,7435,15477,1250,163,24325,14792,36242,1195,310,52541,16150,32266,6669,436,55517,2737,1802,1215,117,5876,185788,229904,72391,9069,497150
SOSR511,83,18,46,6,155,44,13,31,6,91,42,19,100,7,166,45,14,131,0,184,276,45,227,10,556,173,52,395,6,619,935,127,385,21,1469,560,231,319,20,1120,611,380,330,26,1346,616,527,217,26,1380,406,622,174,12,1207,476,631,116,14,1237,882,1332,178,22,2413,599,958,55,6,1620,398,600,21,0,1022,197,424,35,4,662,357,743,26,5,1123,685,1324,262,11,2281,140,57,57,6,258,7525,8109,3096,199,18927
SOSR512,141,34,81,5,266,81,16,43,6,149,75,26,159,7,262,50,20,237,3,311,412,70,307,21,810,273,98,550,19,938,1566,207,535,36,2344,794,302,485,56,1632,1033,611,537,50,2232,956,776,371,44,2142,653,891,259,24,1818,700,962,215,25,1901,1376,1922,287,44,3625,928,1470,84,25,2505,637,1000,46,12,1691,397,677,33,15,1125,636,1257,44,12,1946,1091,1979,445,19,3534,274,118,121,16,534,12050,12441,4848,429,29768
SOSR513,29,8,36,8,84,16,4,26,3,45,13,10,63,0,86,10,7,90,3,109,78,17,104,12,216,40,32,151,3,224,208,42,167,13,430,143,87,121,13,369,184,161,161,13,523,229,205,110,19,558,198,244,92,10,542,262,311,95,4,675,617,916,140,17,1688,526,685,48,13,1277,436,504,24,12,977,364,606,43,7,1016,768,1225,46,15,2055,478,849,153,15,1487,81,75,81,5,240,4684,5985,1744,185,12604
SOSR514,46,14,28,0,90,30,8,20,3,49,27,13,58,0,104,14,3,84,0,106,142,28,117,6,298,99,42,211,3,358,441,67,179,5,693,253,111,175,10,554,289,234,186,12,725,279,302,79,10,658,180,278,61,3,513,230,294,56,9,592,409,619,77,17,1125,256,416,32,0,704,163,253,14,5,438,105,171,11,0,291,154,295,5,0,449,331,733,131,0,1193,72,33,29,3,141,3525,3916,1542,85,9068
SOSR515,85,21,62,11,174,62,22,38,4,124,50,27,129,4,208,45,23,149,9,221,347,95,277,22,742,181,103,379,10,679,1221,176,435,25,1854,602,274,317,31,1229,666,489,302,41,1497,691,501,223,22,1440,412,548,162,15,1127,499,589,116,17,1222,1013,1337,174,25,2553,679,936,49,13,1677,434,613,30,12,1086,261,466,37,5,770,557,877,31,4,1467,885,1424,349,20,2671,198,111,123,4,441,8879,8618,3381,286,21165
SOSR521,64,14,37,4,115,45,12,18,0,78,24,18,105,3,148,20,4,121,0,149,259,82,153,9,509,124,71,207,5,407,707,139,204,22,1067,355,174,182,27,740,398,244,139,13,792,372,257,125,13,769,222,301,83,9,609,268,332,48,3,646,504,621,81,10,1213,325,426,27,9,784,192,231,14,3,442,136,196,29,3,366,224,329,23,3,577,431,801,175,14,1417,121,82,61,16,279,4792,4326,1826,169,11115
SOSR522,22,3,7,0,37,35,10,19,3,61,20,14,66,9,105,12,10,75,3,104,137,71,64,7,281,65,62,99,8,227,297,101,98,6,505,164,95,91,19,362,198,137,59,7,410,162,139,53,10,362,100,132,25,3,256,126,109,30,4,265,188,203,29,6,428,128,136,10,0,279,89,68,3,0,160,41,49,8,0,100,89,96,9,0,197,182,300,110,9,604,56,56,48,3,166,2113,1793,899,100,4910
SOSR531,379,92,83,7,560,212,55,37,3,314,175,71,163,8,422,92,29,170,3,295,889,206,269,25,1380,461,218,346,21,1041,1871,372,328,27,2596,1312,648,301,31,2290,1633,941,336,37,2955,1537,1083,214,34,2866,851,1026,172,16,2065,1207,1058,146,20,2431,2034,2190,211,30,4466,1254,1666,91,18,3030,800,1078,50,11,1933,545,872,54,3,1470,1204,1894,65,11,3171,1626,3281,444,33,5378,405,270,127,11,815,18488,17041,3615,342,39485
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,188,55,81,12,339,89,23,46,12,163,123,38,233,15,413,49,26,383,6,463,593,133,599,44,1373,427,233,1039,38,1749,2196,385,1034,83,3693,1529,670,1063,95,3360,1890,1139,1052,101,4178,1794,1382,736,86,3993,1184,1318,567,51,3115,1224,1340,347,53,2962,2271,2805,513,72,5657,1306,2123,150,31,3608,753,1383,58,7,2204,452,914,73,3,1440,795,1751,53,9,2605,1161,2002,827,35,4025,272,114,166,16,569,18285,17813,9031,774,45900
SOSR611,61,20,34,10,121,36,11,24,6,76,63,21,132,11,217,32,15,188,11,244,356,80,249,33,726,210,105,503,13,829,1186,246,494,39,1968,649,365,431,40,1479,822,581,408,57,1874,735,685,282,28,1733,449,637,197,17,1301,439,639,129,15,1220,828,1114,169,29,2136,432,786,50,11,1276,207,448,16,3,680,115,252,20,0,395,261,448,23,5,739,476,810,313,15,1613,131,61,87,6,293,7483,7332,3758,356,18924
SOSR612,14,5,12,0,33,11,0,12,0,25,12,5,41,0,52,7,0,59,0,69,157,18,119,3,300,79,41,196,3,314,521,60,188,7,784,247,132,168,14,558,283,236,144,14,670,250,247,82,3,584,147,202,59,0,407,125,169,38,0,328,202,319,31,3,562,103,170,14,3,284,62,106,3,0,170,24,59,7,0,91,38,78,6,3,129,158,262,110,4,534,55,11,34,4,98,2493,2114,1328,63,6001
SOSR613,30,0,17,3,50,22,4,12,0,43,17,3,49,5,72,9,0,106,0,118,210,37,150,8,402,111,48,212,9,377,750,99,220,14,1079,348,150,237,16,747,376,287,206,13,882,358,300,120,6,780,214,253,71,3,536,189,266,56,6,524,312,439,48,4,809,173,289,16,0,477,54,153,9,0,221,37,81,3,0,125,64,133,4,0,198,208,355,153,3,726,76,30,47,5,161,3555,2943,1730,95,8328
SOSR614,7,0,0,3,13,10,4,3,0,19,7,4,25,0,37,3,0,30,0,37,76,13,40,0,130,48,20,86,4,159,305,33,78,6,420,141,72,84,3,305,137,107,70,9,317,111,126,47,3,283,81,87,18,0,179,63,81,18,0,161,109,140,21,0,277,44,86,8,0,135,22,40,0,0,71,4,17,4,0,24,21,31,3,0,52,85,116,50,4,260,26,10,20,0,65,1311,986,615,40,2948
SOSR615,58,18,24,3,96,60,10,16,3,90,47,23,80,9,154,29,9,167,0,204,410,67,234,11,725,241,67,432,11,748,1571,192,373,19,2152,682,319,319,33,1351,741,570,320,22,1650,719,659,195,22,1599,369,587,137,11,1099,420,556,86,5,1067,698,905,91,7,1698,319,530,33,3,891,154,290,7,3,446,74,129,17,0,220,107,180,13,0,301,458,713,252,13,1427,190,58,70,6,316,7331,5867,2860,180,16242
SOSR621,29,4,11,0,38,19,5,5,0,27,12,0,26,0,41,10,0,43,0,59,147,18,63,3,226,87,32,110,0,223,444,56,88,12,590,239,101,77,3,415,260,155,75,6,496,262,164,36,4,463,130,176,22,0,343,133,167,17,0,317,228,280,29,0,548,127,181,8,3,316,78,102,3,0,182,31,71,0,0,107,57,114,3,0,170,195,252,95,0,545,78,18,13,4,111,2555,1899,716,43,5207
SOSR622,21,0,8,0,31,10,0,3,0,15,9,0,8,0,27,7,3,15,0,20,103,6,41,0,153,67,23,76,0,163,314,25,59,5,404,168,61,50,9,285,189,112,53,7,353,136,116,16,5,279,89,99,22,0,216,102,104,17,3,224,98,143,18,3,262,72,109,4,0,184,20,54,0,0,77,15,19,3,0,42,34,29,0,0,67,125,173,60,3,359,37,13,15,3,61,1629,1084,464,33,3213
SOSR631,153,36,28,0,217,136,28,20,0,184,117,33,94,6,247,66,22,133,3,219,715,120,229,11,1074,486,168,344,11,1020,2062,343,371,25,2803,1202,609,320,29,2162,1386,910,319,29,2652,1251,1045,214,15,2532,766,963,145,6,1877,806,899,119,16,1841,1260,1660,126,7,3054,720,1089,41,3,1850,354,623,10,3,992,184,348,20,0,555,362,574,16,0,951,938,1659,319,17,2932,255,101,56,6,421,13201,11233,2927,207,27569
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,98,39,66,4,206,32,15,40,3,83,31,21,85,12,145,20,11,141,3,175,168,51,196,21,433,97,83,264,10,455,365,145,279,26,810,300,229,330,30,894,524,435,376,29,1367,555,582,327,35,1497,517,627,300,33,1477,642,767,258,31,1704,1637,1851,424,83,3996,1309,1497,194,51,3042,980,1235,84,21,2316,715,1216,88,9,2032,1393,2385,89,28,3892,1002,1576,400,33,3012,137,136,126,8,402,10522,12891,4061,470,27949
SOSR712,21,0,18,0,40,5,3,11,3,18,8,3,27,0,42,3,0,25,3,38,40,19,47,9,107,23,10,56,4,96,68,24,69,3,161,60,42,68,10,184,82,64,97,4,246,99,95,73,12,280,85,137,74,11,301,145,145,56,5,356,345,402,90,8,847,266,347,30,10,651,158,237,12,3,414,99,187,19,3,309,182,296,14,0,496,241,356,83,8,689,35,38,32,3,108,1963,2424,907,99,5390
SOSR714,0,0,3,0,6,6,0,0,0,8,4,6,10,0,19,0,0,16,0,14,16,7,10,0,31,8,6,12,0,29,21,13,22,3,51,21,10,24,0,57,18,23,21,0,69,26,41,29,0,95,21,38,17,0,74,29,36,12,3,81,83,88,13,4,183,56,84,10,3,147,44,46,3,0,94,14,29,0,0,43,25,47,0,0,70,57,93,28,0,177,11,6,11,0,32,456,566,235,17,1271
SOSR715,6,13,11,3,35,44,57,46,3,151,30,102,172,16,315,0,24,55,3,82,96,217,71,18,409,32,121,72,7,239,51,130,60,11,249,42,152,70,13,272,44,104,63,13,225,44,76,39,4,160,25,64,38,4,132,33,71,25,3,131,93,116,19,3,241,91,106,7,3,205,55,70,12,3,140,34,51,3,0,90,69,98,4,0,174,64,244,104,16,430,39,66,42,8,155,908,1879,911,132,3829
SOSR721,10,3,12,0,28,31,38,27,0,99,19,44,123,3,190,9,13,29,0,51,78,147,42,5,277,26,70,42,5,136,40,75,44,7,171,41,88,33,10,172,29,72,42,7,144,33,60,40,0,133,25,47,26,3,104,40,41,15,3,96,104,88,22,0,213,85,59,6,0,151,58,56,0,3,119,28,46,3,0,85,64,84,6,0,151,53,164,61,3,282,89,227,154,3,474,869,1415,727,61,3077
SOSR722,6,0,3,3,19,40,32,39,4,113,24,54,127,7,215,4,10,44,8,63,111,177,68,12,374,36,72,59,10,169,50,115,53,8,228,61,124,55,11,250,44,103,49,10,201,34,89,34,3,156,19,47,11,3,80,27,40,7,0,79,54,51,9,4,125,46,38,7,0,88,25,18,0,0,41,8,12,0,0,20,29,16,3,0,45,43,151,73,4,278,39,40,33,4,113,695,1189,676,91,2654
SOSR731,41,15,17,0,72,34,32,19,3,85,29,41,92,6,168,5,16,37,3,57,155,129,81,23,391,56,63,65,11,198,168,114,80,17,372,145,125,82,14,365,158,149,94,13,411,188,148,72,0,415,109,135,54,0,303,139,157,43,6,343,327,421,72,12,834,268,339,24,4,637,200,299,23,4,520,117,230,11,3,361,249,462,13,3,726,243,485,99,8,837,96,98,59,11,263,2732,3445,1046,143,7365
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,418,114,157,31,721,155,43,95,13,310,133,64,297,29,527,70,56,410,10,549,636,162,581,47,1430,408,252,854,44,1553,1782,443,877,81,3183,1702,722,934,97,3459,2570,1345,1241,138,5294,2809,1789,1178,125,5901,2160,1977,1204,113,5458,2280,2243,1042,105,5675,5411,5980,1810,248,13448,4488,5877,797,138,11292,3226,5343,381,66,9015,2354,4648,423,52,7472,4760,11578,388,57,16784,2660,4987,1280,60,8980,318,241,154,16,723,38343,47864,14108,1464,101779
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,3,0,0,12,6,7,0,0,8,0,3,0,0,0,0,3,0,0,3,6,17,0,0,17,4,7,0,0,10,0,0,0,0,0,34,40,6,0,75
SOSR831,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,3,5,0,0,9,4,0,0,0,3,0,4,0,0,11,16,5,0,0,22,3,20,0,0,19,7,15,0,0,26,8,10,0,0,19,11,27,0,0,37,4,8,0,0,19,0,0,0,0,0,62,106,18,0,184
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,5,8,0,0,0,9,3,0,0,0,7,5,3,3,0,11,6,3,0,0,15,3,5,3,0,11,4,19,0,0,27,20,28,4,0,51,11,27,3,0,41,10,19,0,0,32,9,10,3,0,20,10,26,0,0,34,5,17,6,0,33,0,0,0,0,3,107,156,35,4,303
SOSR921,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,6,0,0,0,9,6,3,3,0,9,11,0,3,0,14,17,3,5,0,21,20,10,4,0,36,14,10,3,0,28,6,6,0,0,12,3,6,3,0,14,7,10,0,0,20,5,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,10,3,0,20,3,0,0,0,5,116,58,32,0,209
SOSR922,0,0,0,0,3,0,3,0,0,4,0,0,0,0,3,0,0,3,0,3,4,0,0,0,7,3,0,0,0,3,11,4,0,0,20,3,7,0,0,9,6,10,0,0,17,8,7,4,0,17,3,4,0,0,10,3,10,3,0,11,5,13,0,0,19,7,11,0,0,15,0,3,0,0,5,5,0,0,0,9,0,7,0,0,7,0,20,0,0,28,3,3,0,0,6,72,103,15,0,190
SOSR931,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,9,3,3,0,12,16,3,3,3,28,16,3,7,0,31,21,14,7,0,41,16,18,6,0,39,9,21,0,0,27,6,12,0,0,18,14,13,8,0,34,5,3,0,0,7,0,3,0,0,3,7,0,0,0,3,0,0,0,0,7,14,24,9,0,41,3,3,13,0,16,150,108,65,4,327
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
