SOSR_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOSR321,0,35,81,109,115,105,26,4,484,6,17,63,82,85,55,16,0,334,79,284,437,380,389,290,97,18,1969,69,216,356,561,549,365,102,16,2240,776,1763,1985,2226,2274,1662,554,93,11339,139,64,70,60,46,33,3,0,421,44,71,88,127,152,111,50,6,649,962,1899,2144,2413,2472,1809,610,96,12409,17,19,39,40,51,44,32,5,243,791,722,830,875,858,862,414,140,5504,1926,3192,3958,4459,4518,3529,1307,287,23175,4,76,135,170,145,70,14,0,624,17,85,125,152,163,67,24,0,633,201,801,936,762,680,404,119,17,3924,164,441,714,847,819,412,132,22,3555,637,1051,1011,1079,821,297,59,6,4954,183,159,125,124,89,41,7,0,727,86,108,184,204,191,117,29,7,936,903,1325,1319,1407,1100,453,97,13,6612,16,16,41,50,56,54,22,6,261,676,468,552,706,753,818,467,178,4618,1985,3218,3827,4102,3723,2276,871,245,20236,10,114
SOSR322,0,15,32,25,42,45,12,0,171,0,7,13,26,21,19,7,0,100,25,112,160,140,173,118,44,3,772,14,60,156,192,211,143,43,9,824,335,727,818,928,1084,880,306,45,5122,67,67,41,41,25,22,4,0,262,23,27,42,53,49,47,11,10,265,427,826,898,1022,1159,946,319,54,5649,4,4,17,16,18,21,10,0,95,383,314,306,432,447,517,272,62,2732,850,1344,1586,1855,2069,1802,696,130,10346,3,21,65,50,71,27,4,0,234,5,33,43,62,59,37,7,0,253,74,291,316,255,291,187,48,7,1469,54,195,259,379,345,182,44,4,1458,266,433,416,476,396,143,15,4,2150,97,94,71,60,49,28,3,0,408,27,47,67,76,92,62,17,10,395,389,580,559,607,536,236,33,18,2959,9,13,12,16,22,27,13,0,102,361,251,254,360,398,402,251,66,2341,885,1371,1502,1726,1723,1094,400,95,8812,3,37
SOSR331,9,202,444,691,686,601,143,27,2797,11,88,211,353,426,205,41,0,1336,413,1412,2221,2300,2226,1439,415,67,10491,280,913,1958,2649,2491,1547,421,68,10328,3835,7602,9304,10927,10416,6526,1989,305,50902,589,295,240,270,187,104,15,4,1698,187,293,429,674,658,531,167,21,2956,4609,8189,9972,11870,11255,7161,2179,331,55566,63,102,135,186,214,191,94,13,995,3394,3334,3611,4418,4360,3718,1747,413,25000,8780,14236,18556,22469,21657,14854,5036,922,106510,16,343,758,915,754,327,51,12,3181,52,335,635,886,800,312,49,11,3089,897,3649,4953,4185,3459,1794,473,71,19472,755,2053,3219,4355,3569,1838,517,92,16387,2718,3868,4325,4580,3317,1184,160,46,20190,738,528,480,523,440,192,38,10,2954,332,437,758,970,887,525,118,26,4061,3795,4839,5565,6069,4644,1901,315,75,27200,56,91,106,225,232,230,83,18,1043,2536,1972,2698,3595,3656,3050,1446,430,19380,8110,13280,17924,20231,17111,9453,2932,708,89753,23,544
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,6,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,4,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,16,5,6,3,8,9,3,4,3,41,0,0
SOSR399,5,54,23,20,23,17,4,0,143,3,12,4,4,14,6,0,0,48,66,172,46,49,47,56,8,0,448,30,48,49,45,80,61,8,0,327,91,244,189,212,292,299,53,3,1395,11,11,12,4,5,3,0,0,48,14,16,11,5,27,21,3,0,95,114,271,207,226,324,320,58,3,1534,8,7,11,8,9,8,3,0,55,165,357,337,292,269,194,52,9,1669,391,925,669,647,771,673,135,14,4223,7,54,18,23,18,10,0,0,123,3,10,9,10,21,12,0,0,71,126,283,80,55,79,58,9,3,701,64,72,48,64,133,64,7,0,452,62,94,71,100,120,58,3,0,508,13,8,10,8,19,11,0,0,67,9,24,14,14,30,19,3,0,112,82,127,86,124,175,84,7,0,683,12,14,4,6,9,13,3,0,58,164,230,136,153,214,145,46,9,1099,452,785,391,435,655,377,77,11,3183,10,106
SOSR401,243,5401,5906,4182,3287,2142,843,223,22223,101,1125,1542,1619,1554,877,222,46,7082,4635,17310,14528,9950,8231,5513,1844,705,62722,1805,6607,7245,7623,6519,4689,1689,564,36738,8522,19432,16816,18569,16069,11729,6626,2180,99939,1539,1300,869,611,431,254,86,27,5120,585,997,1181,1321,1372,1189,571,199,7414,10639,21734,18868,20502,17879,13172,7281,2403,112467,291,674,654,600,583,539,344,147,3838,4799,5548,4933,5085,4681,4205,3404,2028,34693,22509,58398,53671,49561,42737,31141,15624,6118,279761,386,7127,5948,3784,2709,1409,318,60,21741,278,2266,2886,2634,2534,1293,292,61,12249,6906,24980,19560,12611,9700,5329,1935,744,81776,2521,8401,9343,10204,8776,4928,1817,778,46773,7381,12695,10105,10069,7031,3056,993,423,51758,1785,1808,1438,1176,893,413,117,31,7659,792,1419,2031,2171,2026,1454,595,310,10796,9950,15919,13569,13416,9951,4932,1702,770,70215,282,616,575,683,677,723,421,231,4205,4466,4862,4166,4637,4916,5637,5283,4177,38134,24793,64173,56054,47967,39266,24246,11778,6823,275092,630,12527
SOSR412,6,68,95,101,79,27,18,0,393,0,22,41,43,59,35,7,3,220,71,345,412,319,243,152,37,14,1589,46,157,286,404,358,207,62,21,1555,750,1612,1403,1605,1356,935,526,151,8337,149,124,56,54,28,19,7,0,427,32,66,77,79,72,75,29,6,449,938,1798,1531,1736,1456,1027,562,156,9211,14,26,35,32,25,25,15,3,177,374,310,324,409,415,351,310,156,2652,1454,2724,2722,3041,2633,1831,1019,361,15789,14,116,124,90,59,18,6,0,424,12,75,85,111,88,40,15,0,422,210,815,661,466,357,195,71,23,2797,119,406,557,669,484,242,87,33,2603,657,1076,846,902,535,215,66,14,4321,159,227,140,110,71,35,8,3,741,71,112,122,163,135,77,34,11,730,883,1419,1107,1177,741,325,106,35,5787,15,28,22,35,40,33,19,7,201,313,310,269,408,400,490,481,255,2922,1571,3152,2822,2950,2165,1353,778,354,15150,16,182
SOSR413,10,99,200,260,189,205,61,14,1032,0,39,96,118,142,113,26,3,525,138,599,720,651,597,481,152,45,3388,53,287,437,549,594,504,217,49,2688,819,1765,1631,1799,1688,1375,707,218,10001,166,145,114,56,36,47,10,4,571,51,116,99,117,122,143,81,19,755,1034,2028,1839,1979,1842,1569,791,240,11323,27,51,44,49,59,63,33,14,333,662,814,724,664,621,618,470,213,4794,1921,3914,4058,4265,4050,3541,1754,583,24084,11,182,276,237,214,122,16,9,1058,18,119,200,204,257,136,24,4,967,284,1124,1236,928,811,570,183,64,5204,151,467,655,846,854,590,184,63,3812,715,1191,1043,1013,770,375,107,32,5248,198,213,172,106,107,58,11,7,879,78,120,180,199,219,180,70,21,1061,999,1522,1400,1322,1098,615,186,54,7187,13,43,47,46,47,59,47,18,329,518,422,437,513,608,760,665,414,4334,1993,3880,4242,4100,3888,2850,1307,632,22902,16,282
SOSR414,0,11,12,20,21,38,11,3,113,0,5,7,18,25,22,3,0,88,11,98,93,92,116,108,37,13,575,12,69,87,108,118,179,63,12,650,171,469,378,362,419,413,240,64,2515,21,29,19,12,18,6,6,0,113,13,23,33,43,36,52,20,6,225,209,515,430,422,475,468,257,71,2851,0,4,11,12,23,14,16,6,87,102,101,104,108,121,184,158,82,965,338,811,749,768,907,1011,551,197,5327,3,30,30,21,35,17,7,0,145,0,21,25,36,45,30,11,0,158,38,217,208,138,164,171,71,13,1022,25,117,155,190,222,196,68,16,985,173,296,257,258,212,132,31,11,1375,41,42,45,35,21,23,3,0,211,19,31,54,55,59,48,17,9,296,231,381,357,348,296,205,53,18,1881,0,11,5,6,10,22,9,7,79,97,84,61,103,139,205,181,154,1032,394,858,839,849,909,837,392,217,5293,0,42
SOSR415,6,87,130,128,114,72,30,11,566,3,40,55,67,101,51,20,0,336,108,526,619,463,435,351,106,23,2630,54,285,432,547,539,401,142,49,2444,937,2068,1913,2103,1955,1492,732,204,11400,135,123,91,69,57,34,11,0,515,58,107,123,125,162,178,62,16,834,1131,2292,2127,2297,2176,1697,803,219,12745,21,25,46,43,73,55,35,21,314,549,466,498,666,739,781,607,359,4672,1861,3725,3911,4207,4176,3412,1738,678,23704,14,152,162,127,115,69,8,0,656,15,119,167,172,199,84,17,3,783,268,1165,1046,739,692,416,151,51,4526,143,602,765,949,887,533,189,60,4126,744,1257,1168,1139,828,403,85,31,5662,171,209,166,148,110,62,21,10,890,105,144,222,227,200,148,55,24,1131,1022,1607,1562,1519,1137,618,156,67,7689,12,28,41,34,43,58,42,25,278,539,418,450,572,703,854,824,673,5023,2019,4093,4190,4107,3773,2630,1389,880,23085,19,233
SOSR421,0,15,23,36,42,32,13,3,157,3,9,15,34,41,24,5,0,137,34,135,152,121,127,107,27,12,712,17,91,106,160,201,139,41,15,771,259,641,620,707,708,474,189,44,3651,44,36,18,17,18,10,0,0,146,12,29,37,36,59,42,20,7,240,314,708,681,759,786,530,213,53,4035,0,7,3,9,11,13,4,8,54,168,149,146,195,236,252,174,86,1413,535,1107,1133,1322,1444,1094,471,173,7288,4,31,42,35,48,12,3,0,182,6,24,44,52,68,33,10,0,236,65,326,327,223,228,147,61,11,1386,57,157,229,299,299,185,58,24,1308,171,362,363,391,278,136,19,7,1727,56,59,56,39,24,20,9,3,260,23,43,64,72,70,44,15,3,328,251,463,484,497,371,201,36,15,2311,3,9,7,12,15,12,8,6,77,153,134,133,169,225,249,197,201,1454,534,1154,1255,1296,1264,825,372,258,6957,8,44
SOSR422,0,12,16,13,27,13,5,0,80,0,3,7,15,28,6,0,0,57,10,69,51,46,74,57,14,0,315,5,31,62,69,92,81,22,6,364,155,354,355,432,469,393,145,27,2325,24,21,17,13,13,4,0,0,97,10,16,18,28,48,41,7,5,171,189,387,392,477,527,434,153,33,2589,0,3,11,6,9,20,3,0,59,126,111,124,160,168,204,106,35,1031,328,618,660,787,919,812,296,74,4492,3,19,14,17,25,6,0,0,90,0,21,17,28,33,20,7,0,120,48,150,134,122,147,78,23,3,706,19,99,100,180,178,84,27,7,690,84,225,199,210,191,67,19,9,1008,33,31,40,27,14,15,4,0,163,12,19,32,42,47,27,6,3,190,128,280,270,281,252,106,34,10,1359,3,0,12,12,13,15,9,5,66,120,100,107,155,165,180,106,64,985,321,666,653,785,808,491,197,90,4017,3,29
SOSR431,5,62,142,198,286,217,59,11,977,0,31,68,124,190,91,13,6,530,173,572,765,798,857,616,144,28,3954,101,301,631,892,944,630,132,27,3659,1191,2252,2682,3364,3223,1962,636,108,15412,158,156,109,104,94,55,10,4,686,76,107,187,281,262,178,51,10,1145,1427,2516,2975,3747,3582,2191,695,123,17247,10,36,62,78,90,80,20,9,387,979,858,1037,1335,1383,1084,434,111,7230,2694,4374,5681,7173,7319,4924,1499,310,33980,11,150,253,277,273,121,25,3,1103,15,115,205,345,355,148,23,4,1206,339,1285,1710,1336,1324,683,162,25,6861,189,620,1006,1534,1500,764,144,23,5777,763,1180,1342,1648,1162,388,76,19,6575,203,220,228,204,169,77,13,3,1120,101,132,312,333,299,190,41,8,1425,1071,1525,1879,2192,1623,653,133,33,9119,10,29,38,70,75,82,26,11,332,756,470,656,981,1163,916,412,144,5499,2391,4193,5744,6732,6310,3375,925,236,29900,17,209
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,9,8,5,10,0,0,0,38,0,4,0,3,0,3,0,0,7,17,46,11,11,12,6,0,0,99,11,9,11,14,4,13,3,0,65,23,75,38,51,52,55,12,5,305,7,9,4,0,0,0,0,0,16,0,7,4,3,4,0,0,0,22,29,88,50,50,59,54,12,5,345,3,4,0,3,3,3,0,0,16,54,77,90,106,69,33,4,4,428,114,236,165,190,151,111,20,11,994,0,14,6,0,3,0,0,0,26,0,3,3,0,3,0,0,0,17,10,48,21,15,9,7,0,0,111,4,19,14,24,11,7,0,0,82,13,25,11,23,23,9,0,0,102,6,0,0,4,0,0,0,0,11,3,3,0,13,9,3,0,0,28,23,28,14,34,33,9,0,0,137,0,5,0,0,4,0,0,0,14,36,44,41,48,28,19,6,0,219,72,153,92,129,92,47,10,4,604,0,23
SOSR501,372,8343,10239,7732,5359,3169,1061,239,36523,212,2220,2764,2849,2195,1067,251,55,11610,8279,32021,26589,19274,13545,7842,2702,790,111043,4110,13184,13060,12271,9986,6914,2800,730,63043,15647,36816,30887,31722,25931,17158,8743,2182,169100,2591,1500,943,685,446,250,64,27,6499,881,1729,1897,1999,1749,1409,750,199,10609,19120,40044,33731,34407,28128,18821,9550,2410,186211,463,1217,1220,1055,853,786,394,139,6131,9217,13783,10983,9942,8230,6903,5265,2813,67131,41773,110807,98589,87531,68287,45496,22027,7179,481685,577,10559,9728,6281,3780,1645,384,79,33037,573,4714,5293,4767,3514,1303,363,84,20608,12181,45487,35126,22894,14479,7597,2991,801,141561,5790,16298,16867,16563,12824,6997,2889,912,79135,11769,19627,15345,14126,9174,3871,1220,468,75605,2919,2277,1892,1636,1277,720,232,80,11039,1317,2615,3745,4067,3590,2529,1021,406,19288,16000,24522,20981,19836,14047,7122,2477,951,105935,492,1279,1124,1239,1268,1164,623,266,7456,8495,11594,9115,8941,9018,8933,8467,6478,71044,44109,114457,98232,80524,58930,34761,18196,9571,458776,952,18901
SOSR511,3,60,133,110,91,59,12,3,469,0,39,70,79,76,27,8,0,297,60,432,504,394,390,175,71,11,2034,74,264,370,435,346,234,61,17,1802,799,1737,1625,1559,1251,788,294,73,8119,167,65,35,41,16,14,0,0,329,44,69,82,79,68,76,22,6,448,1001,1871,1738,1670,1336,873,321,76,8892,6,41,49,26,23,31,14,9,203,389,500,500,499,403,356,252,108,3013,1533,3203,3357,3206,2662,1757,750,235,16708,3,104,126,108,82,35,10,0,467,20,110,152,138,92,34,4,0,556,143,814,922,662,473,221,108,22,3365,129,527,524,578,510,239,93,30,2625,647,1052,903,755,527,200,48,28,4151,231,154,111,83,57,25,3,0,671,76,105,158,196,186,89,32,7,845,955,1312,1173,1033,776,313,78,38,5669,12,39,27,30,37,31,24,3,209,328,372,375,412,407,439,356,223,2907,1589,3273,3299,2955,2374,1319,675,315,15793,9,170
SOSR512,0,143,201,151,135,87,26,3,752,7,61,92,94,90,55,10,0,412,112,659,687,598,444,263,73,29,2880,91,412,540,626,568,340,143,35,2746,1343,2739,2523,2458,2091,1273,553,137,13113,252,111,74,78,52,23,9,0,603,51,93,138,128,109,103,57,10,689,1647,2945,2736,2658,2259,1396,618,154,14408,19,36,52,44,43,43,27,15,283,776,969,888,912,822,642,481,262,5742,2655,5227,5194,5087,4352,2824,1384,502,27224,9,177,198,161,127,52,4,0,731,22,185,233,215,179,72,12,3,921,244,1325,1320,937,666,387,173,42,5101,250,750,920,914,796,430,178,48,4286,875,1459,1269,1245,734,288,79,26,5966,334,210,166,133,96,63,24,0,1031,121,166,230,234,234,152,56,16,1209,1329,1836,1670,1607,1063,499,164,41,8208,21,36,51,59,59,70,56,17,370,704,692,655,730,781,734,683,426,5408,2572,5005,5056,4625,3667,2248,1272,574,25020,12,324
SOSR513,0,97,126,76,43,17,7,0,366,6,50,65,49,27,4,4,0,199,69,520,451,301,181,68,15,9,1598,39,312,397,293,210,68,19,4,1340,514,1908,1616,1291,856,278,79,13,6550,80,76,41,37,16,11,0,0,263,28,82,91,70,52,21,9,0,352,628,2063,1745,1392,921,306,89,17,7168,10,22,22,25,19,9,0,3,112,506,833,740,659,460,250,99,42,3589,1254,3908,3543,2783,1864,724,229,69,14374,3,148,141,78,62,17,5,0,442,14,144,141,87,59,14,0,0,461,167,1062,780,411,237,93,26,3,2778,91,570,509,400,274,90,26,4,1964,366,764,557,390,212,40,11,3,2349,144,140,116,59,32,12,0,0,505,40,111,130,114,71,23,13,3,502,548,1013,803,568,316,68,20,7,3359,7,36,26,21,20,15,7,0,127,470,747,569,544,399,226,134,69,3161,1305,3714,2967,2107,1365,528,215,92,12293,3,246
SOSR514,0,27,41,40,38,37,11,0,188,3,8,35,23,19,9,3,0,103,28,225,262,165,155,101,39,10,991,24,150,190,179,141,111,48,3,850,306,818,919,749,554,388,174,26,3940,59,38,27,15,10,3,3,0,150,15,34,41,47,40,29,11,4,231,377,885,990,811,606,421,190,39,4324,7,12,16,19,11,13,4,5,86,208,256,262,249,241,212,159,81,1670,650,1567,1792,1486,1205,908,466,138,8199,5,54,61,28,31,20,0,0,201,3,52,69,42,46,20,0,0,239,61,459,495,264,200,134,51,8,1668,73,276,321,255,222,138,48,11,1345,241,508,426,329,185,86,20,6,1799,74,82,62,34,38,19,3,0,312,41,73,82,87,69,51,8,7,409,351,661,569,452,290,155,30,15,2520,6,25,11,6,33,11,11,3,104,230,243,241,236,243,254,210,152,1813,740,1764,1774,1283,1063,729,354,194,7892,5,82
SOSR515,4,54,94,84,79,47,16,4,378,4,36,60,59,45,27,7,0,230,82,439,477,337,297,184,56,16,1891,75,244,349,381,321,205,98,23,1697,802,2012,1898,1866,1571,930,420,92,9589,163,91,67,58,48,15,0,0,445,52,89,103,96,109,90,35,12,584,1016,2197,2064,2015,1732,1033,455,106,10626,17,20,27,28,30,31,12,3,170,704,868,797,826,778,609,390,144,5124,1908,3865,3871,3733,3273,2141,1032,292,20120,5,115,114,72,71,33,4,0,403,25,134,180,111,116,46,7,0,617,169,993,878,580,439,243,99,28,3433,141,501,581,561,514,302,130,42,2781,573,1022,893,742,513,213,48,11,4019,232,199,144,109,86,34,7,4,817,69,130,195,153,153,99,33,15,846,875,1349,1228,1008,750,348,83,31,5673,13,48,28,40,38,32,20,3,227,635,741,680,768,745,711,535,268,5079,1865,3883,3691,3130,2672,1720,883,375,18211,8,172
SOSR521,0,12,33,29,35,18,6,0,136,3,21,22,31,41,9,8,0,135,31,183,168,151,143,71,28,9,777,32,112,159,169,189,131,44,5,833,327,818,842,958,895,556,196,51,4649,48,27,21,16,24,12,8,0,162,16,38,39,57,50,57,18,4,279,397,881,908,1031,976,622,215,58,5085,3,10,18,16,17,19,9,0,95,384,365,364,442,443,345,216,87,2646,842,1585,1663,1868,1840,1219,534,157,9705,0,44,40,57,38,24,0,0,198,6,37,65,48,49,13,4,0,234,76,404,332,284,191,151,52,18,1509,57,210,251,287,288,158,71,22,1349,237,470,374,408,301,121,30,3,1947,101,83,63,58,40,11,0,3,352,37,62,97,98,91,47,15,0,435,371,617,533,556,430,180,38,9,2737,3,31,23,11,28,25,18,3,144,328,318,335,388,397,359,250,133,2511,847,1661,1592,1632,1423,906,435,180,8680,0,58
SOSR522,0,10,11,19,12,14,6,0,68,0,11,8,4,8,4,3,0,49,13,98,82,67,46,40,8,3,357,9,48,60,80,89,65,11,4,362,135,385,297,385,363,236,103,11,1924,27,28,19,19,14,7,6,0,114,12,20,23,27,33,19,10,3,151,179,436,338,422,415,266,113,16,2189,5,5,6,6,8,14,3,0,38,225,260,238,237,248,208,113,28,1549,426,862,740,834,833,602,260,53,4611,0,21,22,19,15,3,0,0,81,4,26,26,28,19,9,4,0,116,50,198,147,108,114,71,25,3,708,30,76,83,123,121,71,34,3,546,101,203,149,169,124,43,18,3,806,73,46,27,19,18,14,3,0,199,13,16,30,37,49,23,10,3,189,182,270,204,218,201,80,25,7,1187,0,7,8,4,13,8,7,0,41,188,260,200,175,211,176,112,34,1364,458,853,680,677,688,415,208,51,4036,0,28
SOSR531,3,153,183,217,216,210,65,13,1067,3,52,94,114,130,79,11,0,482,192,1008,1102,1099,971,636,172,23,5204,134,512,823,1112,1054,709,177,33,4557,1656,3957,4028,4712,3834,2021,554,92,20856,243,168,114,91,68,29,8,0,723,69,125,232,244,259,207,62,10,1207,1963,4256,4367,5048,4155,2260,626,104,22790,32,49,64,92,89,68,33,4,429,1828,3311,2918,2624,1901,1258,577,114,14529,4152,9348,9548,10303,8519,5226,1658,289,49052,14,173,238,251,227,108,17,0,1031,7,182,272,356,330,112,24,0,1282,329,1475,1936,1658,1300,670,182,25,7581,230,695,1048,1543,1487,772,184,35,5987,707,1393,1425,1554,1083,372,67,16,6622,268,187,212,231,162,68,12,0,1145,105,204,316,391,375,216,44,9,1660,1083,1788,1955,2172,1622,665,123,29,9420,16,31,49,89,94,88,29,13,407,1012,992,1106,1395,1401,1090,467,128,7596,2699,5337,6605,7465,6459,3494,1016,228,33301,17,327
