SOSR_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOSR321,151,58,34,6,9,0,260,74,32,16,4,14,7,149,143,62,42,22,14,0,287,140,53,46,21,21,3,288,262,143,88,44,43,7,586,263,207,117,60,50,11,703,331,334,120,66,50,10,907,329,426,148,84,49,5,1042,287,338,104,55,34,3,827,300,421,130,57,33,6,955,179,350,80,37,26,0,666,283,437,130,48,24,3,934,86,205,44,14,4,0,359,80,148,44,4,3,0,281,195,320,77,22,13,0,624,176,271,66,20,9,0,543,61,59,20,6,0,0,148,31,42,19,3,5,0,104,161,129,77,34,34,3,437,3540,4047,1405,613,431,60,10100
SOSR322,73,30,27,9,11,0,146,42,9,4,4,3,0,59,83,21,13,10,15,0,141,71,22,13,8,8,0,127,127,68,44,31,13,0,278,145,93,59,29,22,3,353,152,130,42,20,19,5,366,140,159,39,22,19,4,383,119,117,40,13,20,0,316,107,133,44,19,12,0,313,70,98,29,9,6,0,218,84,135,32,7,8,0,265,32,48,14,6,0,0,102,30,41,8,0,0,0,83,53,94,20,10,3,0,182,71,70,27,3,5,0,172,23,22,12,3,4,0,63,17,9,3,4,0,0,39,112,55,23,15,7,5,216,1561,1361,500,232,170,26,3834
SOSR331,1270,654,437,101,120,21,2603,237,98,70,21,32,0,462,587,240,209,90,92,13,1232,464,276,184,69,72,11,1075,831,527,361,130,130,9,1986,1021,811,508,158,174,16,2686,1130,1157,584,196,179,24,3274,1288,1434,597,215,185,13,3740,1057,1407,542,170,140,21,3341,1174,1713,615,229,142,17,3888,849,1269,385,131,82,3,2722,1462,2217,731,186,119,22,4730,612,1042,232,77,43,9,2011,489,795,222,48,43,3,1603,946,1752,499,107,70,12,3386,1175,2085,693,141,83,11,4182,487,757,241,36,27,3,1553,357,510,181,32,27,7,1120,1042,961,530,147,150,20,2858,16475,19711,7836,2282,1913,232,48445
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,1760,1141,930,201,404,77,4504,607,296,347,62,172,19,1504,1198,732,834,152,463,44,3421,1048,697,708,179,453,47,3127,1726,1464,1317,469,792,54,5826,2181,2347,1644,721,994,94,7985,2734,3602,1998,869,1007,119,10334,3255,5337,2165,1018,1101,155,13041,3290,5660,1831,923,846,129,12675,3622,6306,1872,826,744,148,13526,2438,4653,1202,476,392,66,9234,3460,6438,2037,558,539,114,13141,1341,2740,673,197,166,34,5159,920,1897,445,119,96,32,3508,1957,3858,1090,219,187,45,7363,2027,4375,1303,233,257,56,8244,714,1557,511,79,92,15,2962,425,1196,368,66,81,12,2137,1072,1461,879,255,348,107,4131,35769,55755,22166,7647,9120,1363,131822
SOSR412,102,51,40,5,23,3,225,51,18,21,4,8,0,99,106,53,38,22,30,3,247,97,54,50,28,28,3,258,212,166,97,70,64,5,613,263,243,142,104,68,6,836,307,377,149,85,76,9,1002,292,459,167,103,63,6,1081,229,446,142,69,50,8,936,238,419,124,39,39,10,859,148,285,63,13,9,0,521,165,309,93,26,14,0,603,41,129,39,8,6,0,223,20,65,22,3,0,0,111,63,151,50,9,11,0,284,54,97,43,6,4,0,207,13,28,10,3,4,0,59,8,19,9,0,0,0,32,109,90,61,24,24,3,312,2514,3458,1363,615,518,54,8524
SOSR413,175,82,54,13,34,4,364,78,20,21,6,16,0,145,179,67,59,20,36,11,372,167,72,75,36,33,0,381,264,197,118,73,72,4,725,278,287,156,103,102,6,935,365,429,168,99,84,4,1143,340,513,193,99,92,5,1245,263,489,155,72,60,9,1049,263,473,148,53,44,3,994,164,329,70,23,24,5,616,242,460,108,27,20,3,864,86,203,43,13,5,0,352,56,110,35,3,4,0,207,123,243,67,18,9,0,463,125,276,74,20,14,0,507,47,85,23,6,4,0,162,29,71,16,0,7,0,125,118,132,49,31,26,4,357,3365,4529,1633,716,691,68,11008
SOSR414,48,11,5,0,3,0,77,17,5,0,3,3,0,26,43,17,13,7,11,0,87,30,17,14,5,11,0,77,63,37,28,8,17,0,145,93,86,43,17,13,0,251,84,115,32,18,21,0,276,102,140,32,24,21,0,320,89,141,22,22,12,3,289,75,129,30,13,16,0,257,42,80,11,7,3,0,154,62,76,21,7,3,0,167,16,31,11,0,3,0,64,3,9,3,0,0,0,20,15,27,7,0,6,0,50,10,29,7,0,3,0,60,10,6,0,0,0,0,17,8,3,4,0,0,0,14,27,17,7,5,8,0,69,843,963,300,139,154,12,2410
SOSR415,176,76,61,22,16,6,351,108,32,36,9,22,4,218,208,72,76,21,43,6,427,201,91,75,33,52,3,450,317,248,153,120,99,3,933,398,391,182,124,105,8,1208,396,511,177,105,78,10,1278,405,584,190,118,83,12,1386,364,552,145,59,45,3,1175,334,605,154,64,47,8,1205,211,400,82,20,25,3,742,243,445,120,36,26,4,876,91,180,36,9,3,0,324,44,105,31,0,3,0,175,109,249,56,9,12,3,433,95,155,44,8,4,0,309,39,38,3,0,0,0,85,19,28,9,5,7,0,62,134,147,78,28,16,3,402,3886,4907,1701,789,682,79,12039
SOSR421,54,26,23,4,4,4,116,35,16,14,3,9,0,71,75,26,33,13,16,0,164,88,36,16,8,15,4,173,132,105,43,30,29,3,339,146,141,57,43,22,3,423,128,159,61,33,28,5,408,131,181,57,27,15,3,409,123,175,49,23,12,3,381,99,193,36,17,10,3,361,44,97,23,11,5,0,182,59,135,33,11,3,0,239,31,54,16,7,0,0,105,23,23,4,4,0,0,50,42,72,25,9,6,0,150,27,56,19,3,0,0,107,19,15,5,0,0,0,33,4,16,3,0,0,0,24,60,43,28,3,15,0,153,1318,1578,532,252,194,26,3891
SOSR422,39,12,11,6,0,0,72,35,6,5,0,0,0,41,67,27,19,9,11,6,143,35,33,18,12,12,4,119,101,60,39,25,16,0,241,75,94,29,23,27,3,247,74,100,39,10,4,0,235,76,103,31,13,19,0,236,51,85,20,4,3,0,165,33,55,19,6,3,0,115,30,30,11,4,7,0,74,47,58,24,3,8,0,132,10,17,0,0,0,0,25,13,10,0,0,0,0,25,16,30,5,3,3,0,60,15,23,10,7,0,0,56,0,8,0,0,0,0,11,3,0,0,3,0,0,11,40,22,15,5,3,0,88,756,773,303,132,120,14,2095
SOSR431,465,300,169,14,45,4,1009,106,56,38,3,17,0,227,273,131,100,29,50,8,583,228,142,104,30,40,3,550,389,289,197,56,72,7,1007,431,437,238,60,81,7,1261,491,534,254,75,68,8,1426,484,615,274,72,66,9,1521,366,559,183,54,39,4,1212,341,559,207,35,35,6,1179,234,382,142,44,18,8,822,355,605,214,47,39,3,1258,130,232,67,9,20,0,468,99,173,54,9,6,0,348,201,344,124,13,19,0,702,285,471,172,22,22,3,968,105,156,74,10,5,0,354,79,125,65,12,7,0,290,287,244,127,43,42,5,755,5363,6370,2809,635,677,77,15930
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,2948,2066,1607,407,657,173,7864,771,402,408,93,174,22,1877,1311,829,793,217,433,50,3637,1114,846,728,204,413,38,3347,1837,1477,1302,449,687,66,5817,2206,2229,1604,621,926,115,7696,2964,3615,2164,777,1080,96,10698,3652,4855,2427,1065,1157,149,13313,3755,5823,2263,1108,1110,174,14230,4837,7910,2615,1353,1235,227,18183,4300,7523,1965,993,771,181,15741,8097,13893,4215,1436,1292,334,29273,4109,7745,1637,588,495,111,14684,3448,6488,1475,471,317,97,12293,6751,11871,3210,884,695,195,23608,7554,14622,4456,924,762,203,28518,2684,5213,1829,310,277,87,10402,2005,4496,1493,245,207,69,8506,2183,3295,1630,421,586,151,8261,66529,105213,37813,12561,13290,2543,237950
SOSR511,116,50,39,14,19,3,235,37,15,12,3,3,0,75,58,34,35,15,18,0,155,57,37,24,10,9,0,134,90,64,39,20,28,3,247,112,108,61,36,43,3,370,179,168,82,40,51,4,513,180,309,82,60,49,3,688,216,326,107,59,44,10,763,281,460,135,74,55,9,1019,188,376,80,50,32,5,735,339,665,138,63,37,3,1246,124,300,74,22,12,0,534,85,155,43,13,10,4,310,196,350,100,26,12,0,678,166,292,94,20,19,3,596,51,78,32,6,3,0,170,34,52,6,5,0,0,100,95,107,47,12,13,0,267,2592,3955,1231,555,451,57,8843
SOSR512,148,66,50,17,31,3,311,44,16,17,6,8,0,92,92,56,35,18,26,0,222,91,40,36,18,24,9,215,155,92,58,38,49,0,397,205,188,99,53,42,7,594,252,285,147,76,59,0,820,329,442,167,82,65,9,1103,294,472,146,72,59,3,1049,343,652,138,84,50,4,1270,271,526,113,54,36,6,1010,423,770,199,61,52,6,1509,204,382,69,29,19,0,709,116,225,57,22,8,0,424,256,504,117,29,26,5,939,241,430,162,26,22,3,877,72,117,46,5,4,0,241,49,65,30,3,0,0,147,163,175,59,28,22,6,451,3750,5516,1736,719,584,76,12383
SOSR513,39,21,4,4,0,3,77,11,0,3,0,0,0,11,11,5,0,0,3,0,26,13,16,4,3,3,0,39,16,16,16,11,4,0,63,29,21,17,7,5,0,91,50,49,24,10,3,0,135,49,67,24,15,12,0,167,60,68,14,15,8,0,158,46,80,20,13,4,0,160,39,92,15,10,11,3,166,89,117,32,19,13,0,272,27,65,14,16,7,0,129,43,58,16,4,3,0,118,72,153,25,11,7,0,265,161,286,51,19,14,3,533,86,108,25,8,4,0,230,37,70,19,3,3,0,126,52,60,12,5,3,0,138,939,1348,339,176,110,17,2921
SOSR514,55,29,12,7,9,4,116,16,12,0,4,0,0,37,33,14,13,10,12,3,80,24,18,13,11,7,0,72,58,41,21,8,16,0,146,70,57,27,20,21,0,201,78,97,31,29,23,0,251,74,132,48,26,32,0,314,89,161,29,32,13,0,323,110,204,37,39,15,3,406,84,184,39,17,12,0,337,142,288,51,34,12,6,540,62,162,27,9,6,0,274,46,124,18,5,0,0,195,103,204,40,16,6,0,365,88,162,40,7,17,0,314,16,31,13,4,0,0,64,16,16,3,3,3,0,45,59,77,22,8,12,3,173,1217,2017,489,288,220,27,4254
SOSR515,110,38,18,7,12,4,192,28,17,10,9,4,4,62,81,45,25,7,18,6,184,73,41,29,22,25,0,193,146,85,53,30,43,6,362,145,144,53,45,36,4,425,179,223,78,58,37,5,579,220,286,86,70,35,6,699,175,272,65,49,33,0,594,179,302,72,40,22,3,619,131,249,48,17,15,0,465,215,355,85,27,18,0,696,97,173,24,12,9,0,313,56,90,14,12,7,0,177,132,214,53,10,7,0,420,129,227,48,25,5,0,435,28,65,19,9,3,0,121,35,58,8,0,0,0,105,101,86,31,17,17,4,258,2271,2976,812,452,354,43,6901
SOSR521,67,20,17,7,8,0,114,37,10,3,9,5,0,61,51,28,30,16,15,0,144,44,36,18,19,13,3,136,104,64,43,39,18,0,267,114,106,37,26,30,3,322,106,113,52,18,27,4,319,100,173,62,28,20,0,392,88,125,38,26,15,0,294,120,154,48,20,14,4,362,66,112,25,11,10,0,217,118,211,50,20,5,0,410,52,75,20,7,3,0,158,43,67,25,3,3,0,141,70,106,29,7,3,0,216,108,165,61,9,10,0,355,41,45,14,0,0,0,94,18,21,7,8,0,0,58,63,51,21,7,15,0,156,1400,1691,594,281,210,30,4211
SOSR522,26,3,5,0,4,0,38,15,3,3,4,4,0,28,33,20,5,11,9,0,76,28,16,9,6,6,0,70,56,49,14,9,9,0,137,40,35,12,16,10,0,105,41,34,10,5,5,0,99,42,51,22,9,3,0,118,44,54,13,3,6,0,118,26,35,11,6,0,0,78,19,29,7,3,0,0,65,36,45,11,7,7,0,103,13,27,12,0,0,0,56,6,20,7,0,0,0,34,23,36,15,4,3,0,74,33,30,11,3,0,0,78,7,4,4,0,0,0,20,10,4,3,0,0,0,14,31,12,10,4,4,0,64,522,516,176,93,67,5,1376
SOSR531,468,299,145,29,45,9,1001,66,27,22,9,7,0,135,163,78,55,16,24,0,335,149,61,36,17,18,4,288,225,125,81,21,22,3,474,292,169,119,25,34,3,648,334,260,172,42,40,3,852,351,307,187,36,51,4,931,301,348,144,35,29,9,871,313,392,152,41,27,9,932,229,346,112,37,17,6,747,475,665,269,58,44,7,1508,205,321,95,24,23,3,674,195,292,80,21,17,0,601,385,588,171,38,29,7,1213,586,980,342,46,42,9,2004,261,351,138,22,22,4,808,176,222,96,15,17,0,529,340,303,148,37,49,4,883,5516,6140,2554,575,579,80,15442
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,282,117,109,38,60,10,624,115,50,43,12,41,3,268,225,98,107,36,66,7,538,155,117,81,42,72,4,471,329,263,151,104,138,17,1007,391,447,223,169,181,8,1419,454,688,257,196,178,18,1790,594,835,275,205,166,17,2097,521,882,259,155,130,15,1957,555,923,244,131,122,18,1991,343,657,137,74,47,15,1270,449,825,190,73,58,8,1599,132,320,63,23,14,0,566,94,177,42,11,11,0,334,211,438,117,33,34,10,835,239,472,142,25,20,7,902,86,167,48,9,8,0,321,42,120,20,5,0,0,196,122,206,91,34,55,8,506,5351,7804,2607,1374,1382,167,18681
SOSR611,87,55,33,6,22,0,198,30,23,19,7,17,0,93,85,39,42,13,32,5,213,49,58,37,18,28,0,198,127,146,90,45,70,9,486,230,267,126,78,79,11,783,265,369,121,86,76,8,920,324,435,138,85,80,8,1072,244,425,97,54,55,9,877,180,383,92,44,38,3,748,95,190,60,18,18,4,377,131,247,77,9,17,5,482,39,91,25,0,7,0,162,36,57,5,3,3,0,105,50,114,32,3,7,0,206,61,121,44,3,7,0,234,27,36,8,0,4,0,82,10,23,7,0,0,0,43,75,76,46,19,22,4,242,2142,3156,1107,497,566,62,7529
SOSR612,23,11,8,0,4,0,47,7,7,3,0,7,0,27,24,17,15,4,6,3,68,31,21,20,3,7,3,80,42,51,37,13,7,0,154,58,87,46,44,18,3,251,92,121,41,35,22,0,315,93,172,58,29,19,0,369,75,91,33,25,13,0,227,53,91,34,10,5,0,185,31,38,15,5,4,0,93,39,55,11,6,6,0,110,5,16,3,0,0,0,24,3,6,3,0,0,0,15,13,17,3,0,0,0,41,11,16,6,0,0,0,38,5,3,0,0,0,0,9,0,3,4,0,0,0,9,17,28,10,5,3,0,62,622,856,336,183,119,8,2121
SOSR613,41,22,17,5,14,0,107,34,16,10,5,5,0,62,37,25,19,14,7,0,104,59,33,24,7,24,4,149,95,84,52,32,39,3,300,117,163,49,34,41,0,411,151,213,59,45,36,0,512,115,203,57,37,31,0,437,79,151,36,21,12,0,297,67,121,39,7,11,0,248,26,56,14,9,0,0,109,48,66,30,3,5,0,156,13,22,4,3,0,0,43,0,8,3,0,0,0,14,27,34,19,7,3,0,76,12,31,17,3,0,0,58,0,14,0,0,0,0,9,3,3,0,0,0,0,7,35,31,11,9,8,4,93,966,1289,447,236,233,21,3199
SOSR614,14,6,4,0,4,0,27,4,0,0,0,3,0,12,23,4,10,3,6,0,40,22,9,12,4,11,0,52,33,23,17,6,8,0,89,36,61,21,17,12,0,153,52,81,27,15,7,3,181,51,79,26,9,4,0,178,40,65,11,8,6,0,123,19,30,15,3,0,0,70,12,25,3,3,4,0,41,9,18,10,0,0,0,46,0,9,0,0,0,0,13,0,0,0,0,0,0,0,6,7,4,0,0,0,10,9,3,7,0,0,0,12,6,3,0,0,0,0,4,3,0,0,0,0,0,3,7,0,10,3,0,0,19,340,425,171,78,67,3,1081
SOSR615,62,30,25,5,16,3,133,44,17,16,8,7,0,100,115,43,48,22,28,3,260,91,57,41,13,25,0,228,173,162,74,56,46,3,521,224,251,100,67,58,0,701,249,317,122,71,57,3,814,245,364,113,79,44,4,853,186,371,94,38,25,3,725,201,357,76,40,27,7,709,100,171,28,13,8,0,329,130,221,48,17,15,0,432,40,66,10,7,0,0,128,17,31,9,0,4,0,61,54,59,24,4,3,0,151,40,46,17,3,0,0,113,12,8,6,0,0,0,35,8,12,3,3,0,0,19,74,52,38,10,15,0,194,2073,2645,899,469,383,33,6499
SOSR621,35,16,9,3,3,0,70,29,10,11,9,3,0,61,33,25,10,4,6,0,75,45,23,14,10,5,0,97,68,48,25,10,6,0,155,69,64,24,13,20,0,188,81,96,25,19,9,0,234,86,117,28,12,6,0,249,62,101,29,3,7,0,210,57,82,18,13,4,0,180,29,64,6,6,4,0,114,41,55,12,3,3,0,125,15,28,7,3,0,0,48,3,12,3,0,0,0,19,29,36,7,0,3,0,71,23,39,4,0,0,0,68,11,9,7,0,0,0,21,3,3,4,0,0,0,8,35,39,7,10,4,0,100,744,874,243,119,101,7,2087
SOSR622,14,8,5,4,3,0,32,15,5,0,4,0,0,23,35,16,6,8,4,4,69,27,15,8,3,3,0,61,53,45,17,16,5,0,141,45,62,16,14,17,0,162,52,80,25,20,11,0,183,50,69,21,9,3,0,154,39,49,17,8,3,0,116,47,48,16,0,9,0,118,12,19,9,3,0,0,38,29,20,9,5,4,0,61,17,7,7,0,0,0,32,3,5,4,0,0,0,10,0,19,3,0,0,0,24,11,7,3,0,0,0,26,5,7,0,0,0,0,8,0,0,0,0,0,0,3,29,11,7,4,3,0,51,487,488,169,94,67,6,1326
SOSR631,258,155,83,11,22,5,535,93,46,26,10,13,0,197,246,117,82,24,38,4,509,184,134,91,36,27,0,476,298,221,133,63,64,4,788,365,383,166,63,69,3,1057,397,490,201,79,65,3,1234,381,522,179,87,47,3,1218,350,483,159,57,50,7,1111,315,540,170,43,35,4,1103,166,333,76,19,9,4,609,259,425,139,20,13,9,868,96,165,39,10,5,3,312,63,90,28,8,3,0,192,154,212,66,15,6,0,458,132,229,62,16,3,0,451,70,57,15,3,3,0,153,32,55,19,3,4,0,116,205,177,95,18,26,3,528,4073,4855,1837,601,504,57,11921
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,85,69,38,8,20,3,231,14,15,8,10,4,0,48,48,29,10,11,15,0,115,39,26,21,8,15,4,108,63,41,39,14,23,3,184,88,68,43,23,17,4,245,141,127,72,31,54,4,428,157,148,90,44,21,5,465,163,178,67,49,45,7,502,207,242,95,65,57,16,681,185,225,75,41,39,10,575,311,475,157,68,51,5,1063,153,259,52,38,31,6,536,151,247,49,30,9,3,497,427,663,163,57,52,11,1378,537,943,191,85,48,12,1820,187,315,97,28,19,3,641,102,180,66,11,9,0,371,133,153,67,22,21,6,403,3198,4393,1392,634,550,114,10283
SOSR712,18,3,3,3,3,0,32,0,0,0,3,0,0,5,10,10,3,3,0,0,21,9,4,0,3,3,0,18,21,9,5,3,3,4,42,21,19,16,10,5,0,75,40,21,24,14,8,0,108,57,38,17,23,21,0,152,56,63,22,15,10,0,167,70,91,19,20,15,4,221,46,79,18,20,12,3,172,88,144,34,23,12,0,294,45,79,7,13,4,0,148,36,62,15,6,0,0,117,65,131,26,11,6,0,235,72,133,23,5,6,0,244,18,35,10,0,4,0,61,15,13,3,0,0,0,32,24,32,6,6,3,0,72,691,966,247,177,110,17,2217
SOSR714,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,4,0,0,0,6,5,0,0,0,0,0,14,12,5,5,0,3,0,28,3,7,4,3,3,0,25,7,16,7,3,4,0,40,3,23,4,0,0,0,30,17,29,10,5,6,0,63,7,20,6,0,0,0,35,18,22,4,0,0,0,45,3,5,4,0,0,0,13,0,4,0,0,0,0,9,3,17,5,0,0,0,23,4,10,0,0,0,0,17,3,0,0,0,0,0,4,0,0,0,0,0,0,0,6,8,0,0,3,0,14,102,170,48,22,26,3,375
SOSR715,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,10,0,0,13,5,0,0,3,0,0,5,4,0,0,0,0,0,9,7,4,0,0,0,0,11,5,11,0,3,0,0,16,3,7,0,0,0,0,18,3,6,0,0,0,0,12,3,14,0,0,0,0,21,0,3,0,3,0,0,7,5,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,58,11,19,5,0,144
