SOSR_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR599,3336,2220,5559,776,364,1143,222,206,431,125,74,195,303,143,444,1428,792,2215,962,882,1845,21.2,18.1,20,42.8,35.7,39.8,33.7,29,31.8,62,54,117,16,32,48,225,302,522,151,155,308,748,217,969,28,37,65,51,63,114,829,317,1147,814,434,1248,1691,1346,3036,493,234,725,1945,1495,3440
SOSR603,69810,76850,146664,27514,17209,44729,9778,19751,29533,1781,2470,4254,3221,2361,5583,42305,41791,84100,23367,30687,54056,7.6,5.6,6.6,60.6,54.4,57.3,56,51.3,53.5,3607,3933,7537,1337,2392,3727,9426,12478,21909,4964,6455,11414,14669,7707,22382,744,1276,2022,990,1767,2760,16413,10753,27160,65289,70578,135867,12222,13197,25416,44218,47982,92197,30483,33290,63778
SOSR611,29439,32562,62006,11458,6596,18058,3934,8391,12323,788,1026,1813,1599,1181,2781,17778,17191,34971,9652,13173,22824,9,6.9,8,60.4,52.8,56.4,55,49.2,51.9,870,900,1770,374,624,995,2936,4461,7396,1883,2603,4488,6796,3602,10399,345,676,1022,413,840,1250,7551,5121,12672,27119,29471,56583,5362,5831,11193,18284,19827,38113,13013,14236,27250
SOSR612,8785,10103,18887,3115,1682,4799,1071,2394,3459,266,301,562,500,374,867,4948,4741,9687,3285,4771,8054,10.1,7.9,9,56.3,46.9,51.3,50.7,43.3,46.7,107,113,217,83,126,209,453,825,1277,485,832,1319,2379,1315,3695,140,249,385,132,273,405,2651,1833,4483,8287,9409,17698,1471,1658,3138,5924,6502,12433,3468,4124,7593
SOSR613,12225,13679,25905,4491,2419,6915,1364,3288,4651,329,407,741,691,467,1165,6880,6590,13468,4663,6322,10983,10,7.1,8.7,56.3,48.2,52,50.6,44.7,47.5,186,182,372,103,189,289,683,1186,1873,640,1093,1728,3354,1737,5087,198,340,540,190,340,532,3742,2418,6156,11769,12846,24621,1938,2142,4084,8380,9042,17423,4799,5385,10183
SOSR614,4245,4803,9050,1422,720,2146,400,1044,1442,129,147,281,221,162,379,2181,2070,4251,1804,2417,4221,10.1,7.8,8.9,51.4,43.1,47,46,39.8,42.8,36,45,86,32,60,88,147,254,407,171,320,494,1129,600,1729,53,126,173,60,126,182,1237,850,2088,4106,4479,8583,639,697,1333,2959,3162,6115,1570,1821,3385
SOSR615,23598,25850,49448,8890,4466,13350,2529,6233,8764,728,777,1505,1111,826,1938,13256,12304,25559,8816,11887,20707,8.4,6.7,7.6,56.2,47.6,51.7,51.5,44.4,47.8,354,396,748,162,377,533,1269,2284,3552,1259,2036,3291,6613,3196,9810,269,611,875,364,689,1056,7245,4494,11745,22720,24142,46863,3769,4195,7960,15812,16520,32331,9501,10644,20141
SOSR621,7740,8003,15748,2822,1425,4250,945,1988,2933,271,316,584,304,230,531,4340,3955,8294,2860,3473,6330,7,5.8,6.4,56.1,49.4,52.7,52.2,46.6,49.3,215,214,428,76,162,238,589,917,1506,480,725,1206,2082,828,2911,69,158,227,129,225,359,2287,1212,3498,7421,7561,14988,1134,1218,2350,5194,5271,10467,2951,3105,6061
SOSR622,5029,5021,10051,1692,826,2513,571,1200,1769,166,167,332,204,148,358,2635,2337,4976,2003,2290,4301,7.7,6.3,7.2,52.4,46.5,49.5,48.3,43.7,45.9,93,111,198,45,75,117,298,480,784,316,451,760,1287,596,1879,67,102,166,91,148,243,1444,848,2289,4812,4691,9503,618,683,1304,3593,3378,6975,1653,1771,3420
SOSR631,41846,39262,81103,16846,8049,24889,5416,11215,16625,1568,1493,3059,1581,1086,2665,25405,21840,47247,13497,14742,28232,6.2,5,5.6,60.7,55.6,58.3,56.9,52.9,55,946,1082,2030,436,874,1318,3072,5081,8146,2842,3885,6722,11518,4713,16231,397,837,1236,661,1176,1829,12574,6728,19301,41712,38838,80548,4679,4801,9477,31741,28903,60642,12875,13020,25897
SOSR679,49,18,73,31,4,40,3,0,4,3,0,3,0,0,0,38,15,50,5,6,12,0,0,0,77.6,83.3,68.5,75.5,22.2,64.4,0,0,0,0,0,0,3,4,6,4,3,10,17,3,21,0,0,0,0,0,0,19,3,22,32,16,47,11,7,22,21,13,37,25,8,29
SOSR699,481,350,835,86,48,139,50,44,91,12,10,18,57,38,95,204,136,345,158,168,329,27.9,27.9,27.5,42.4,38.9,41.3,30.8,29.1,29.7,12,17,31,3,5,6,36,38,77,18,38,59,91,31,120,10,8,16,7,11,13,103,40,152,112,66,176,279,258,540,89,45,133,284,258,541
SOSR703,49980,44816,94796,27144,18105,45251,4629,8152,12784,2026,1900,3917,1621,1417,3038,35417,29571,64984,8341,10698,19032,4.6,4.8,4.7,70.9,66,68.6,67.6,62.8,65.4,2124,2306,4426,727,1478,2209,5854,8232,14080,3785,4209,7997,12096,5087,17185,523,688,1214,708,905,1607,13320,6681,20003,37872,35495,73365,13891,13316,27207,19890,18876,38767,29206,27285,56487
SOSR712,9040,9671,18708,4847,4048,8895,835,1574,2411,323,414,733,244,175,420,6253,6211,12464,1620,2247,3872,3.9,2.8,3.4,69.2,64.2,66.6,66.4,62.4,64.4,377,526,904,151,372,526,996,1679,2675,732,843,1576,2024,1002,3026,86,143,229,134,199,329,2243,1336,3578,7718,7937,15655,2153,2403,4559,4362,4507,8866,4990,5345,10338
SOSR714,2471,2446,4911,1086,871,1962,173,291,465,92,101,197,72,52,123,1426,1313,2742,512,615,1127,5,4,4.5,57.7,53.7,55.8,54.7,51.6,53.4,43,62,102,27,69,89,169,327,492,185,199,384,513,231,743,35,54,88,27,45,74,577,332,900,1872,1765,3635,625,633,1256,971,957,1919,1301,1264,2563
SOSR715,6460,6494,12956,1709,1496,3204,474,599,1074,199,248,449,548,430,982,2936,2783,5715,2759,2963,5729,18.7,15.5,17.2,45.4,42.9,44.1,36.9,36.1,36.5,68,133,202,57,105,164,282,428,711,187,264,456,823,369,1194,115,154,265,91,111,204,1034,631,1666,7232,7080,14311,829,868,1697,5644,5553,11195,1737,1805,3539
SOSR721,5151,5226,10379,1696,1281,2979,334,570,907,227,207,436,372,302,676,2635,2366,4998,1847,2233,4074,14.1,12.8,13.5,51.2,45.3,48.2,43.8,39.4,41.6,85,102,185,30,74,104,243,429,667,188,252,445,784,375,1160,108,123,229,113,115,227,1005,609,1614,5478,5590,11073,841,825,1668,4324,4417,8743,1544,1532,3073
SOSR722,4264,4592,8855,927,757,1684,342,469,810,104,104,208,585,460,1041,1965,1785,3748,1801,2293,4095,29.8,25.8,27.8,46.1,38.9,42.3,32.2,29,30.5,39,52,90,27,48,69,148,237,386,104,156,261,507,258,762,116,145,258,73,72,149,696,474,1175,4787,5045,9830,541,563,1104,3897,4109,8008,1007,1086,2090
SOSR731,14437,11958,26395,5898,3816,9713,1079,1856,2944,615,473,1085,759,573,1331,8344,6724,15066,3703,3460,7164,9.1,8.5,8.8,57.8,56.2,57.1,52.6,51.4,52.1,113,231,345,77,237,314,535,1149,1681,678,935,1615,3831,1355,5187,179,270,447,222,276,495,4236,1896,6135,12470,11109,23574,2194,1941,4133,8694,7826,16518,5096,4407,9504
SOSR779,61,9,72,14,3,16,0,0,3,10,0,10,0,0,0,22,7,25,28,0,29,0,0,0,36.1,77.8,34.7,39.3,33.3,40.3,0,0,3,0,0,0,19,3,17,8,0,8,19,0,17,0,0,0,4,0,4,19,0,17,45,10,52,3,0,7,39,5,42,4,4,8
SOSR799,1240,1043,2281,254,149,399,36,66,103,34,41,70,48,33,76,369,280,647,465,427,889,13,11.8,11.7,29.8,26.8,28.4,26.1,24.5,25.1,19,32,52,9,21,34,65,122,184,51,68,121,251,67,322,14,11,29,19,32,45,279,112,392,370,269,639,588,591,1185,231,159,395,666,657,1326
SOSR802,156508,165069,321581,79333,57251,136589,20358,36485,56839,4622,6822,11443,5365,4785,10151,109684,105339,215016,37747,50490,88246,4.9,4.5,4.7,70.1,63.8,66.9,66.7,60.9,63.7,18727,15993,34722,5270,8107,13378,32254,39237,71496,13234,16398,29628,22541,12468,35006,1183,1803,2984,1751,3636,5391,25472,17903,43377,143993,149617,293609,32874,33907,66781,88046,93266,181308,81664,83699,165364
SOSR822,103,116,217,40,26,67,15,35,47,4,3,12,0,0,3,64,65,133,35,49,81,0,0,2.3,62.1,56,61.3,57.3,55.2,58.1,10,5,15,3,10,11,16,19,31,10,16,23,34,10,40,0,0,0,0,0,3,35,11,43,114,124,241,6,9,17,89,93,180,37,41,77
SOSR831,317,295,610,183,97,281,34,77,112,16,12,28,3,8,9,238,198,438,39,61,109,1.3,4,2.1,75.1,67.1,71.8,73.5,63.1,69,27,19,46,7,7,11,36,49,81,26,48,76,96,34,127,0,0,0,0,3,6,94,39,138,347,290,638,19,33,59,192,162,356,149,147,294
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,297,209,506,63,56,126,24,37,62,15,10,20,29,14,44,133,115,248,89,66,153,21.8,12.2,17.7,44.8,55,49,34.3,49.3,41.1,14,20,40,4,9,10,29,55,81,15,18,30,36,17,50,3,3,10,7,0,5,41,22,62,60,41,98,165,153,319,35,29,64,180,155,336
SOSR915,724,562,1285,397,186,587,68,97,161,38,30,73,13,12,16,513,326,840,86,137,224,2.5,3.7,1.9,70.9,58,65.4,69.5,55.7,63.9,13,15,30,13,14,27,41,53,96,43,44,89,168,51,222,17,14,27,9,10,22,194,76,269,612,498,1112,109,85,193,425,352,781,243,214,452
SOSR921,290,346,639,154,111,263,42,97,136,9,26,38,8,3,13,206,239,447,63,82,150,3.9,1.3,2.9,71,69.1,70,70.7,67.6,68.4,3,3,3,0,8,10,24,36,60,9,45,55,86,20,107,7,7,9,10,21,29,101,53,152,277,316,597,47,42,94,216,249,460,98,105,207
SOSR922,306,276,582,140,61,205,36,42,79,25,16,37,3,10,16,203,131,336,67,114,190,1.5,7.6,4.8,66.3,47.5,57.7,65.7,43.1,55.2,6,10,18,4,4,11,29,36,62,15,23,38,59,28,93,8,4,12,10,4,14,77,44,115,264,272,536,72,44,119,200,209,408,110,74,181
SOSR931,693,519,1207,186,155,348,67,121,189,23,20,38,3,3,12,278,305,581,365,157,525,1.1,1,2.1,40.1,58.8,48.1,39.8,57,47.6,10,10,26,0,7,13,41,60,100,34,59,88,132,42,177,4,4,6,10,21,32,146,73,223,452,484,931,61,77,142,362,382,747,125,148,272
SOSR979,3,0,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,100,0,100,100,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,0,3,4,0,4,3,0,4
SOSR999,21,30,46,3,4,11,0,0,3,0,4,3,4,3,3,7,11,18,11,14,22,57.1,27.3,16.7,33.3,36.7,39.1,14.3,26.7,37,0,0,0,0,0,0,4,6,10,0,6,9,3,3,4,0,0,0,0,0,0,3,3,4,13,8,21,5,22,28,6,4,14,8,21,29
