SOSR_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR603,25,718,3069,2512,2708,2338,1027,366,161,12912,3,260,2020,1982,1965,1488,494,137,69,8430,3,71,1406,1767,1854,1401,346,110,47,6993,3,35,733,1287,1395,936,189,66,34,4673,3,21,678,1528,1869,1184,273,90,48,5691,7,31,185,658,910,690,265,92,45,2893,881,848,1747,1499,1548,1660,1543,1169,786,11686,10883,11926,23740,22036,23022,22751,17594,10056,4651,146664
SOSR611,14,293,1159,992,1105,880,310,118,47,4901,5,130,686,685,734,536,139,36,15,2971,3,52,475,596,659,480,94,38,19,2415,3,4,270,444,464,322,65,11,4,1584,0,7,216,455,535,335,71,21,6,1654,4,15,86,206,290,227,81,33,14,957,472,457,723,666,741,722,783,509,356,5424,5056,5720,9414,8993,9872,9120,7504,4264,2061,62006
SOSR612,3,63,276,274,323,256,80,27,11,1314,0,27,182,173,179,149,48,13,7,779,0,14,106,128,140,109,20,9,0,535,0,9,66,99,122,72,21,4,3,394,0,0,54,94,104,69,15,7,0,356,0,6,10,37,48,42,20,8,5,178,116,66,161,134,171,250,293,233,169,1598,1466,1263,2571,2546,3022,3018,2755,1572,680,18887
SOSR613,4,116,378,375,447,389,133,43,12,1893,8,53,253,236,317,198,43,16,6,1114,0,21,163,181,299,187,23,3,0,887,0,9,101,151,189,131,25,0,0,627,0,8,104,142,159,111,22,4,0,546,4,6,19,50,73,59,18,11,0,236,183,110,217,213,279,281,354,324,218,2188,2114,1832,3370,3406,4213,4211,3620,2273,872,25905
SOSR614,0,35,133,119,138,136,43,18,4,624,3,10,77,68,80,53,12,4,0,302,0,5,49,41,80,81,9,3,0,269,0,7,23,35,55,37,0,0,0,158,0,0,9,30,46,30,4,0,0,125,3,0,12,17,15,12,12,8,0,85,80,45,93,75,99,107,133,127,38,794,651,527,1208,1105,1412,1522,1412,915,294,9050
SOSR615,11,213,823,743,901,717,260,77,24,3764,3,71,532,494,542,425,107,16,7,2198,0,33,323,373,503,346,66,18,12,1675,0,12,167,259,287,210,27,3,3,964,0,3,130,249,294,207,50,9,3,947,0,12,37,71,99,120,53,23,13,422,329,249,437,433,557,686,728,544,237,4208,3275,3074,6297,6540,7936,8658,7815,4234,1632,49448
SOSR621,4,64,224,228,248,227,97,28,9,1136,0,35,174,159,160,169,48,12,0,755,0,11,107,131,168,127,31,3,7,584,0,3,58,110,133,90,15,6,0,419,0,5,67,113,130,103,30,6,3,462,4,7,28,48,59,54,19,16,3,233,130,73,127,150,219,263,260,163,72,1451,988,820,1869,2163,2577,3124,2619,1227,363,15748
SOSR622,3,43,130,121,164,168,56,4,3,701,0,5,67,92,125,82,32,7,0,417,0,7,46,62,81,79,15,5,0,299,0,0,23,54,62,52,10,0,0,208,0,0,20,49,83,45,18,13,0,229,0,3,4,7,19,35,9,3,0,92,84,38,69,91,136,182,194,127,58,970,659,476,964,1237,1696,2093,1819,829,286,10051
SOSR631,28,262,1063,1297,1709,1475,548,122,28,6540,3,117,636,903,1129,931,260,47,7,4039,4,32,402,829,1047,821,185,27,7,3361,0,16,227,463,664,509,96,21,3,1995,0,23,198,556,761,563,138,22,7,2264,3,14,69,240,388,307,158,20,9,1215,759,349,650,901,1204,1471,1207,517,122,7185,5929,4134,8396,11659,16160,17527,12150,4225,926,81103
SOSR679,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,0,8,23,5,15,12,7,0,0,73
SOSR699,0,3,12,10,5,4,0,0,0,36,0,0,3,7,7,8,0,0,0,27,0,0,7,3,0,0,0,0,0,9,0,0,5,0,0,3,0,0,0,9,0,0,7,4,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,4,7,19,37,22,27,16,16,6,0,138,62,90,183,147,135,113,84,12,3,835
SOSR703,111,1220,3186,2002,1581,1125,431,97,21,9787,26,698,2696,1686,1418,917,284,37,10,7763,16,340,2241,1766,1367,898,214,41,6,6893,3,126,1380,1468,1345,786,162,16,5,5296,3,131,2102,2394,2106,1290,234,36,10,8301,10,67,1019,1362,1253,803,176,37,4,4724,928,1322,3732,2578,2094,1580,847,338,123,13545,6422,8610,24590,18940,15672,11658,6161,2169,572,94796
SOSR712,18,181,607,413,452,330,80,18,4,2096,5,73,468,340,376,257,55,8,0,1586,5,37,353,375,346,227,28,3,0,1384,0,14,205,252,305,246,39,0,0,1051,0,11,228,371,385,283,39,6,3,1324,3,6,41,109,194,126,34,0,0,507,212,212,661,464,479,414,212,77,35,2768,1364,1331,4198,3489,3548,2864,1288,468,156,18708
SOSR714,5,43,146,83,80,59,17,3,3,445,0,29,137,92,77,42,15,0,0,379,0,14,105,62,64,51,14,0,0,313,0,3,47,46,67,34,7,0,0,212,0,5,66,55,58,32,11,0,0,224,0,0,5,15,23,18,7,0,0,68,107,95,267,167,206,171,93,51,12,1163,398,428,1159,815,879,697,372,136,38,4911
SOSR715,9,58,154,100,116,81,21,3,0,537,3,28,122,89,100,81,22,0,0,448,3,17,98,95,93,62,24,0,0,384,0,16,60,102,89,89,13,0,0,359,0,16,114,141,137,97,14,3,0,526,0,0,21,52,46,33,7,3,0,163,376,187,487,439,324,186,69,20,3,2093,1460,1434,3173,2624,2224,1413,477,128,14,12956
SOSR721,3,42,164,103,99,73,19,0,0,506,0,27,124,84,70,63,13,4,0,384,0,17,85,76,80,64,11,0,0,328,0,10,47,55,70,58,10,0,0,250,0,5,89,129,119,106,15,0,0,464,0,0,40,69,47,26,3,0,0,185,458,308,616,443,444,216,88,27,7,2604,1121,1184,2632,2014,1765,1109,426,109,27,10379
SOSR722,9,14,64,50,81,58,11,0,0,282,0,14,33,38,70,55,16,3,0,236,0,0,32,39,38,36,6,0,0,163,0,3,8,25,42,52,6,0,0,138,0,0,22,39,50,59,7,0,0,186,0,3,10,13,18,12,9,0,0,61,232,180,257,224,232,185,71,20,3,1414,944,1057,1906,1512,1524,1146,556,181,38,8855
SOSR731,24,191,447,363,487,301,125,13,3,1956,9,124,353,382,453,277,58,9,0,1666,0,61,300,366,450,246,44,7,0,1478,0,22,199,254,312,197,38,3,0,1029,7,28,313,481,470,255,60,8,0,1631,3,18,124,222,219,111,34,0,0,733,671,681,1101,912,924,708,366,90,12,5475,2328,2417,4891,4827,5235,3962,2104,541,88,26395
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,0,0,0,25,0,3,30,19,9,3,0,3,0,72
SOSR799,0,3,24,17,12,26,6,0,0,88,0,3,21,18,16,7,9,0,0,69,0,0,17,11,5,13,4,0,0,49,0,0,5,15,12,0,0,0,0,33,0,3,22,10,18,10,0,0,0,58,0,0,6,8,16,8,3,0,0,39,4,47,143,96,111,81,51,12,0,551,32,183,457,396,461,438,278,38,0,2281
SOSR802,171,3235,8515,5218,4302,3988,2698,953,386,29465,36,1651,9288,5456,4359,3550,1814,533,214,26905,19,546,7809,6431,5346,3528,1467,400,151,25702,9,156,4414,5096,4031,2597,904,211,99,17506,23,120,5785,11251,10378,5636,1429,297,132,35054,21,58,1243,4088,5118,3143,874,244,98,14881,1525,2159,4646,3509,3039,2520,2140,1640,1418,22596,24393,31297,65889,58129,50749,41302,29352,14316,6151,321581
SOSR822,0,0,5,4,4,4,3,0,0,22,0,0,0,3,3,3,0,0,0,6,0,0,0,4,4,0,0,0,0,7,0,0,0,3,9,0,0,0,0,10,0,0,0,0,6,5,3,0,0,12,0,0,0,8,11,4,3,0,0,27,0,5,0,0,5,0,0,0,0,18,18,12,13,30,44,39,29,19,4,217
SOSR831,0,3,13,9,21,7,3,0,0,58,0,0,15,18,12,4,5,0,0,50,0,0,7,16,13,9,0,0,0,46,0,0,7,6,9,4,3,0,0,33,0,0,6,25,10,9,0,0,0,46,0,0,3,10,9,4,3,0,0,38,14,6,18,14,14,13,6,4,0,83,58,41,111,133,118,91,42,11,3,610
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,9,7,3,3,3,0,0,0,27,0,4,6,7,0,3,0,0,0,21,0,0,6,5,3,8,0,0,0,20,0,0,4,0,0,3,0,0,0,8,0,0,3,0,3,3,0,0,0,13,0,0,0,3,0,4,0,0,0,9,6,9,9,26,6,20,0,3,0,88,35,79,108,107,68,78,24,8,3,506
SOSR915,0,11,28,28,29,20,11,0,0,133,0,3,21,18,20,33,15,0,0,107,0,9,12,19,32,24,14,0,0,112,0,0,22,25,21,12,8,0,0,91,0,7,21,30,43,29,14,0,0,138,0,0,7,9,4,9,4,0,0,33,19,11,46,29,49,50,28,3,0,235,65,76,221,218,272,261,139,30,3,1285
SOSR921,0,0,0,9,9,19,4,0,0,35,0,0,0,3,3,5,3,0,0,14,0,0,0,0,3,3,3,0,0,15,0,0,0,0,8,0,0,0,0,10,0,0,0,3,3,4,0,0,0,11,0,0,0,0,0,3,4,0,0,4,4,0,3,8,10,11,12,10,5,58,37,15,57,102,120,130,110,48,20,639
SOSR922,0,3,17,6,9,5,0,0,0,37,3,8,9,5,11,4,0,0,0,34,0,3,10,6,0,0,0,0,0,20,0,0,3,7,3,5,0,0,0,23,0,0,8,10,15,4,0,0,0,33,0,0,0,3,4,3,0,0,0,6,13,12,11,7,12,9,5,4,0,73,45,47,109,99,100,99,61,27,0,582
SOSR931,0,0,5,14,17,17,8,0,0,62,0,0,5,9,9,3,3,3,0,28,0,0,3,4,5,5,0,0,0,26,0,0,0,8,3,7,3,0,0,22,0,0,0,5,6,4,0,0,0,20,0,0,0,3,0,4,0,0,0,9,13,42,114,84,52,31,22,13,4,388,66,60,185,213,215,214,150,82,29,1207
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOSR999,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,3,10,0,5,9,11,13,0,0,46
