SOSR_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOSR315,4,125,6521,6650,223,1217,4045,5480,4123,2977,4457,11561,6816,2271,3523,12609,7556,1945,4052,13558,7914,1337,4100,13358,7620,678,3129,11425,3645,175,1575,5396,677,14,535,1227,38582,10742,31943,81272,8,267,5960,6236,463,1692,3357,5513,5604,3323,4275,13201,7617,2276,3875,13769,8104,1987,4460,14549,8397,1156,4333,13886,6896,537,4019,11450,2351,101,2808,5256,322,8,1370,1704,39764,11343,34460,85561,16,394,12479,12886,687,2911,7396,10993,9720,6303,8741,24760,14432,4545,7402,26382,15665,3933,8519,28112,16312,2497,8437,27248,14517,1216,7149,22874,6000,275,4382,10655,1003,25,1904,2933,78350,22086,66405,166840
SOSR321,3,49,2562,2618,69,388,1426,1883,1237,1128,1471,3830,2450,919,1329,4698,3287,962,1785,6036,3694,668,1864,6235,3491,372,1538,5398,1394,81,705,2179,260,9,230,504,15889,4576,12910,33374,3,88,2324,2414,136,582,1240,1959,1799,1185,1462,4444,2997,1037,1397,5429,3629,948,1781,6366,3917,605,1857,6384,2978,298,1616,4892,898,38,1110,2039,98,3,448,550,16453,4790,13238,34480,9,130,4890,5034,201,973,2666,3839,3034,2310,2931,8273,5450,1953,2727,10129,6916,1915,3564,12400,7611,1277,3725,12615,6471,663,3155,10289,2289,125,1814,4220,363,14,680,1054,32335,9371,26144,67848
SOSR322,0,7,1009,1024,34,178,660,866,447,487,747,1681,968,435,662,2064,1290,398,963,2652,1758,332,1001,3088,1704,186,935,2822,695,58,440,1191,133,6,110,250,7032,2080,6527,15641,0,30,892,925,53,237,566,854,643,559,741,1942,1108,473,630,2205,1552,415,797,2767,1904,345,852,3092,1499,140,818,2456,434,31,534,1005,47,3,207,252,7230,2222,6043,15492,0,41,1905,1944,82,416,1229,1721,1092,1042,1491,3626,2073,907,1291,4271,2844,817,1757,5414,3657,676,1850,6183,3205,326,1754,5281,1134,87,975,2191,173,3,318,501,14264,4304,12566,31132
SOSR331,8,97,11841,11944,291,1097,6766,8151,5711,3361,6187,15262,13023,3396,5148,21571,18591,3812,7082,29482,19808,2913,7442,30160,16068,1440,5934,23444,6111,305,2724,9140,1000,34,868,1898,80614,16450,53984,151056,13,232,10513,10760,586,1644,5151,7375,8166,3887,4714,16765,16018,3651,4292,23968,20743,4035,5710,30497,19844,2610,5736,28189,13493,972,4918,19376,3746,164,3058,6963,400,24,1390,1815,83001,17211,45494,145706,21,332,22357,22709,874,2737,11916,15530,13876,7248,10906,32027,29044,7049,9444,45539,39336,7843,12789,59974,39655,5516,13179,58347,29556,2411,10851,42814,9856,468,5779,16106,1395,59,2264,3713,163619,33664,99478,296763
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,23,239,32708,32972,879,3488,32757,37122,24197,14293,34569,73056,40052,8828,19487,68369,40291,7331,21186,68810,38271,4914,17267,60447,31877,2197,10655,44721,17426,578,5943,23942,4894,120,3438,8447,197895,41977,178014,417877,67,486,30973,31533,2157,5226,28657,36041,32646,15032,29116,76794,42110,8670,20321,71106,41464,7343,24546,73356,38150,4443,24328,66931,29236,1653,20095,50982,12829,373,16628,29830,2361,71,10533,12963,201020,43302,205204,449533,87,729,63683,64500,3038,8711,61416,73165,56834,29325,63682,149848,82159,17502,39816,139468,81759,14672,45737,142166,76420,9356,41598,127376,61107,3843,30751,95704,30256,947,22569,53776,7253,185,13967,21409,398914,85280,383215,867408
SOSR412,0,38,2212,2255,63,383,1520,1972,1236,954,1589,3778,2049,589,1160,3798,2531,541,1498,4577,2491,310,1223,4025,2024,126,672,2821,1172,27,478,1677,319,3,209,533,11893,2972,10568,25430,3,80,2042,2123,119,558,1300,1971,1700,957,1546,4202,2247,611,1240,4096,2620,510,1635,4764,2500,283,1379,4158,1855,99,1268,3229,910,12,1173,2094,132,9,586,718,12079,3108,12172,27355,3,118,4257,4378,186,940,2821,3950,2936,1912,3136,7984,4301,1192,2402,7896,5157,1052,3133,9339,4987,594,2602,8179,3879,221,1940,6049,2078,35,1654,3767,447,9,793,1248,23969,6079,22736,52785
SOSR413,0,34,2887,2925,75,417,1968,2461,1558,1204,2019,4776,2728,782,1451,4962,3283,779,1644,5699,3575,494,1585,5654,3799,252,1107,5153,2048,82,634,2760,480,23,340,837,17537,4071,13624,35227,3,90,2611,2702,163,626,1688,2478,2050,1219,1835,5112,3162,860,1655,5674,3531,774,2053,6356,3698,462,2110,6271,3542,203,2068,5810,1493,62,1633,3182,245,15,1001,1259,17879,4319,16661,38854,3,125,5503,5633,239,1046,3649,4938,3609,2421,3852,9890,5883,1641,3111,10638,6805,1554,3693,12056,7274,961,3698,11927,7338,458,3169,10961,3538,135,2261,5936,720,34,1342,2100,35412,8385,30284,74082
SOSR414,0,8,544,551,13,80,384,478,399,262,420,1087,594,148,347,1088,645,156,390,1192,860,122,392,1369,1095,82,292,1471,661,32,183,869,178,9,99,284,4441,898,3049,8391,0,18,533,551,35,133,259,426,526,268,312,1103,649,154,358,1166,692,153,459,1305,932,123,483,1544,1076,65,518,1667,502,14,503,1019,86,4,277,366,4504,940,3710,9148,0,20,1079,1106,52,209,642,903,923,527,730,2185,1240,311,705,2257,1340,312,847,2497,1787,246,880,2912,2176,151,809,3136,1160,50,679,1891,262,14,375,654,8947,1831,6756,17543
SOSR415,3,42,2888,2927,81,419,1941,2443,1730,1253,1923,4901,2979,868,1384,5235,3542,798,1913,6253,4030,586,1814,6428,3976,285,1276,5537,2185,93,792,3072,553,17,390,962,19081,4365,14318,37762,3,98,2582,2689,175,631,1447,2259,2340,1276,1622,5241,3320,894,1550,5769,3851,834,2022,6705,4115,494,1949,6553,3745,240,1912,5888,1610,69,1857,3534,252,11,1171,1438,19413,4554,16116,40076,5,144,5468,5620,257,1051,3387,4696,4077,2528,3543,10150,6298,1765,2938,11000,7395,1631,3935,12950,8145,1074,3764,12989,7716,527,3188,11432,3792,165,2647,6606,800,36,1567,2405,38496,8923,30426,77839
SOSR421,0,7,802,814,17,110,494,622,501,329,587,1417,863,250,386,1503,1142,293,566,1997,1384,214,646,2242,1238,113,455,1812,626,34,249,914,142,3,113,257,5921,1353,4301,11570,0,18,749,773,43,161,384,587,666,356,408,1433,1014,273,397,1686,1270,273,522,2065,1393,204,565,2163,1116,90,584,1793,452,23,469,939,68,3,299,370,6020,1405,4378,11807,0,28,1556,1588,59,267,884,1205,1165,687,992,2847,1882,523,780,3185,2409,560,1091,4064,2780,417,1210,4407,2357,208,1041,3604,1080,55,717,1855,208,6,414,630,11941,2756,8676,23377
SOSR422,11,3,500,509,34,64,328,431,294,223,348,867,477,175,306,957,650,165,466,1283,831,138,477,1445,791,82,407,1277,403,14,181,599,81,6,67,154,3573,878,3077,7519,16,16,451,481,62,85,229,375,395,252,277,922,534,182,269,985,726,168,392,1286,879,145,379,1402,721,43,324,1091,280,11,244,536,49,0,140,188,3657,910,2709,7275,20,22,948,994,97,152,554,808,686,479,625,1789,1008,357,575,1937,1374,336,854,2563,1707,282,859,2848,1511,121,727,2371,689,21,431,1136,132,3,206,343,7229,1782,5784,14792
SOSR431,3,27,4099,4130,92,269,2510,2876,1823,1066,2139,5024,4407,1095,1598,7102,6669,1333,2554,10555,7383,1062,2691,11144,5643,478,1852,7970,2027,77,770,2876,363,8,268,643,28419,5416,18495,52326,5,53,3636,3700,163,439,1743,2338,2600,1142,1386,5135,5316,1168,1081,7564,7213,1415,1692,10323,7299,968,1737,10008,4838,329,1428,6598,1320,38,969,2330,149,8,488,652,28912,5575,14164,48651,12,79,7735,7824,255,705,4250,5216,4426,2209,3528,10159,9726,2267,2678,14667,13885,2746,4251,20883,14686,2037,4430,21156,10480,814,3278,14571,3346,121,1736,5208,519,17,755,1292,57331,10993,32658,100981
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
SOSR501,16,410,53765,54192,1439,6139,50082,57655,43141,27647,56786,127564,71736,14958,27872,114566,70086,11540,26308,107925,59220,6884,21274,87379,45518,3174,13814,62511,22774,845,7446,31065,5654,157,3641,9451,319583,71751,260975,652305,79,907,50533,51521,3772,9892,41940,55602,59870,29875,45176,134923,78698,15067,29083,122849,72531,11334,32159,116025,58615,6096,31069,95773,39385,2339,25473,67193,16465,530,20495,37498,2595,87,11545,14223,332011,76120,287475,695613,104,1312,104292,105707,5213,16030,92018,113257,103013,57524,101955,262486,150432,30027,56953,237413,142612,22873,58466,223951,117832,12979,52336,183150,84903,5513,39291,129706,39241,1377,27947,68563,8243,240,15187,23676,651599,147876,548444,1347919
SOSR511,0,35,2112,2152,70,325,1281,1678,1309,958,1426,3693,2396,559,928,3879,2524,484,967,3980,2330,319,789,3441,1878,116,503,2494,870,32,272,1174,239,3,110,355,11625,2825,8396,22843,0,56,1955,2014,150,496,1002,1651,1934,1036,1328,4297,2720,602,1106,4422,2739,515,1198,4451,2374,279,1188,3843,1636,105,931,2679,643,16,759,1422,106,0,433,542,12307,3109,9902,25320,0,90,4070,4164,214,828,2281,3321,3244,1991,2753,7992,5112,1158,2031,8308,5262,1000,2168,8431,4712,597,1983,7287,3511,218,1437,5172,1517,50,1025,2590,344,8,547,897,23925,5936,18297,48168
SOSR512,6,54,3387,3443,80,605,2100,2786,2046,1642,2328,6012,3473,1087,1519,6078,3762,867,1854,6485,3529,572,1558,5658,2850,232,1075,4161,1498,77,562,2139,426,15,273,712,17673,5144,14656,37478,6,140,3111,3263,178,877,1584,2637,2895,1725,1998,6622,3957,1128,1852,6939,4086,888,2157,7132,3582,518,1936,6035,2508,182,1605,4290,1111,59,1453,2614,184,6,729,913,18497,5529,16423,40450,16,193,6496,6703,262,1481,3681,5426,4940,3367,4323,12636,7429,2217,3376,13023,7848,1759,4014,13615,7110,1084,3492,11689,5356,417,2681,8452,2606,140,2014,4755,607,18,1004,1632,36170,10675,31078,77925
SOSR513,0,38,1238,1281,34,280,850,1156,1324,1225,1275,3818,1960,735,829,3530,1621,521,902,3044,1201,277,706,2180,547,76,338,958,183,19,150,349,33,0,48,82,6910,3172,6324,16408,3,76,1063,1140,97,449,704,1250,1798,1288,1210,4296,2078,713,764,3557,1558,499,737,2793,1015,234,638,1886,402,56,386,841,131,14,248,392,18,0,97,113,7097,3320,5843,16257,3,110,2298,2418,128,729,1557,2410,3121,2513,2482,8113,4040,1447,1596,7081,3184,1017,1638,5832,2218,509,1338,4068,951,130,722,1801,317,30,398,741,51,0,148,197,14007,6489,12175,32668
SOSR514,0,9,856,864,22,126,567,716,605,513,691,1809,1179,406,461,2047,1075,284,486,1840,997,168,428,1597,872,75,323,1267,401,14,139,560,81,5,51,142,5234,1605,4003,10843,3,28,796,825,71,177,481,729,936,665,659,2258,1341,381,586,2314,1073,271,612,1958,1044,140,585,1769,809,57,478,1348,257,12,317,578,33,3,172,206,5567,1739,4674,11984,3,41,1648,1693,91,308,1045,1444,1544,1176,1349,4065,2521,785,1049,4360,2151,549,1096,3799,2043,312,1011,3367,1683,130,804,2613,661,29,458,1141,113,8,219,346,10804,3342,8675,22826
SOSR515,3,38,2057,2095,58,463,1330,1857,1361,1277,1575,4218,2456,888,1110,4453,2469,778,1468,4718,2397,485,1444,4327,2107,204,940,3254,1096,63,464,1624,231,8,184,427,12180,4202,10582,26974,4,92,1847,1941,125,656,1026,1802,1969,1400,1475,4842,2779,923,1256,4960,2569,753,1452,4768,2481,421,1384,4287,1894,144,1140,3177,752,42,978,1772,109,4,462,574,12678,4436,11012,28132,3,127,3899,4032,182,1123,2354,3657,3331,2679,3051,9060,5239,1808,2373,9416,5032,1527,2923,9487,4878,909,2833,8615,4005,351,2073,6432,1853,107,1444,3398,339,12,649,1002,24864,8643,21596,55100
SOSR521,3,23,1020,1044,36,150,718,910,652,553,837,2040,1056,437,666,2161,1311,437,832,2579,1423,339,866,2630,1247,141,634,2024,591,27,289,909,113,9,96,220,6449,2109,5963,14513,14,38,949,1001,82,247,549,878,894,637,801,2329,1239,460,640,2338,1458,459,840,2757,1470,295,783,2553,1082,94,632,1807,398,23,508,931,54,3,208,265,6681,2262,5916,14864,14,61,1974,2049,121,402,1266,1786,1548,1191,1629,4367,2292,895,1308,4505,2772,899,1673,5335,2895,637,1648,5184,2331,232,1265,3831,991,49,798,1835,173,11,312,490,13126,4376,11875,29378
SOSR522,6,7,473,489,47,77,287,403,290,295,395,979,424,207,283,916,494,196,413,1105,582,153,409,1152,541,68,317,923,255,14,123,396,53,0,42,96,2695,1026,2746,6464,7,15,419,445,64,106,298,467,391,334,394,1121,448,220,316,990,560,220,408,1187,631,132,430,1196,447,40,280,764,175,10,229,411,27,0,74,100,2763,1070,2851,6682,13,21,893,928,105,182,586,872,688,626,787,2101,874,429,606,1910,1054,416,822,2294,1221,281,842,2347,983,105,597,1683,435,21,353,806,83,0,114,202,5458,2097,5599,13152
SOSR531,11,23,3904,3933,74,321,2322,2718,1820,1228,2228,5272,4433,1248,1622,7304,6670,1491,2254,10413,6941,1042,2378,10366,5341,485,1766,7588,1898,97,717,2714,321,15,229,567,27518,5951,17412,50879,17,58,3314,3392,165,490,1671,2330,2707,1497,1559,5762,5573,1410,1220,8196,7330,1516,1664,10516,7010,986,1643,9639,4399,297,1349,6046,1161,59,889,2108,126,4,403,528,28471,6320,13719,48511,28,77,7216,7326,243,817,3991,5050,4523,2719,3788,11036,10008,2655,2843,15504,14001,3006,3917,20924,13946,2027,4022,20001,9735,779,3116,13635,3062,158,1603,4817,445,26,627,1091,55993,12274,31122,99384
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,0,69,4925,4989,113,730,4301,5150,2856,2582,4707,10141,4925,1660,2759,9346,5478,1430,3021,9927,5680,940,2817,9432,4724,439,1777,6939,2561,118,1021,3699,677,21,530,1227,27019,7986,25845,60847,5,127,4507,4643,214,1062,3814,5088,3724,2685,4493,10901,5529,1689,3420,10638,5619,1398,3928,10943,5785,823,4062,10666,4305,308,3484,8091,1819,64,2832,4719,308,6,1630,1947,27310,8159,32171,67636,10,194,9426,9634,326,1794,8112,10235,6575,5261,9198,21040,10458,3350,6177,19983,11093,2823,6949,20867,11465,1761,6879,20101,9029,743,5260,15030,4382,179,3851,8415,985,26,2159,3174,54327,16138,58015,128484
SOSR611,3,45,2244,2289,92,376,1986,2453,1238,998,1776,4006,2025,628,1121,3765,2349,512,1293,4151,2342,292,1083,3712,2015,141,775,2924,1020,39,449,1504,281,10,219,514,11359,3035,10937,25331,5,72,2041,2127,149,518,1644,2314,1600,996,1665,4261,2274,622,1441,4338,2470,488,1731,4683,2333,235,1687,4258,1732,105,1498,3334,757,21,1293,2068,147,0,673,823,11462,3063,13680,28208,11,123,4287,4417,236,899,3632,4766,2837,1989,3445,8270,4296,1248,2557,8107,4813,1002,3018,8835,4677,523,2773,7973,3748,244,2271,6265,1779,57,1741,3572,425,16,895,1339,22824,6099,24617,53536
SOSR612,0,7,662,668,21,114,417,549,320,280,504,1105,506,195,342,1040,670,162,437,1266,766,103,347,1223,736,57,250,1039,399,20,149,566,107,3,78,186,3511,937,3189,7640,0,23,643,671,41,161,372,575,398,295,502,1200,603,199,482,1284,738,160,589,1485,754,89,540,1380,696,35,515,1251,285,14,449,749,51,3,234,290,3573,979,4331,8878,3,34,1307,1339,64,273,785,1118,721,581,1010,2302,1108,394,826,2329,1404,321,1020,2745,1519,190,886,2594,1433,87,768,2290,686,30,603,1319,160,3,313,472,7085,1916,7515,16520
SOSR613,0,20,965,989,23,174,605,798,448,384,562,1389,714,253,492,1451,964,231,580,1779,1091,141,502,1734,996,56,347,1406,581,15,251,847,138,9,82,230,4967,1281,4384,10630,0,28,860,894,47,247,511,807,584,431,592,1605,834,253,589,1675,1036,224,771,2033,1152,108,707,1966,947,42,682,1668,417,18,615,1049,51,0,322,373,5071,1349,5642,12068,3,55,1829,1882,73,420,1115,1606,1032,807,1153,2992,1550,508,1075,3127,2003,457,1348,3808,2247,243,1209,3701,1949,100,1023,3075,994,38,866,1893,191,9,409,599,10032,2631,10027,22697
SOSR614,0,10,298,308,10,39,179,221,146,169,179,501,199,90,180,471,278,89,208,573,393,72,182,646,399,34,134,567,234,6,93,337,46,0,29,79,1714,517,1481,3707,0,12,268,283,18,57,156,233,185,163,234,576,232,109,190,532,354,88,269,716,412,54,268,727,353,34,243,634,162,4,251,422,19,0,112,133,1734,527,1988,4248,3,23,564,593,28,97,334,450,330,335,410,1075,435,204,372,999,634,182,476,1294,803,122,450,1376,746,74,378,1199,402,13,341,759,69,0,139,210,3451,1042,3468,7954
SOSR615,0,30,1470,1501,59,266,1035,1362,963,788,883,2628,1477,533,773,2783,1844,469,1085,3400,2246,360,1035,3644,2165,180,817,3166,1124,53,452,1635,241,10,189,436,10127,2689,7740,20553,0,63,1413,1476,116,412,787,1311,1244,774,993,3013,1696,536,958,3191,2014,492,1256,3758,2329,303,1292,3916,1959,142,1313,3418,792,40,1074,1897,115,6,491,610,10258,2760,9583,22597,3,93,2884,2974,177,671,1821,2674,2206,1566,1878,5646,3175,1062,1733,5974,3858,962,2345,7161,4572,663,2325,7564,4124,328,2131,6584,1913,92,1526,3531,348,16,680,1049,20382,5455,17318,43152
SOSR621,0,6,452,459,9,72,268,348,273,262,268,802,515,173,233,924,624,166,340,1133,791,140,379,1309,768,66,270,1112,357,18,155,525,64,0,63,124,3401,903,2431,6739,0,18,402,421,24,100,220,348,351,245,266,864,599,197,245,1047,683,173,301,1157,833,138,407,1378,683,50,350,1086,236,9,282,527,25,4,125,146,3436,934,2604,6971,0,28,859,882,40,170,492,697,621,505,538,1669,1113,369,479,1968,1313,333,642,2288,1627,282,783,2687,1448,124,623,2192,592,27,435,1052,85,4,189,277,6834,1843,5034,13713
SOSR622,0,4,311,311,4,36,179,221,124,119,162,404,242,118,161,525,385,103,213,697,564,94,267,925,503,49,225,781,219,12,102,329,34,0,36,77,2072,541,1649,4260,0,10,247,253,7,65,113,184,172,130,150,449,319,114,155,587,455,109,212,781,523,87,250,863,442,42,239,726,152,11,161,329,13,0,74,91,2088,562,1602,4257,0,7,553,563,15,103,286,401,291,245,312,855,562,233,311,1108,833,213,426,1480,1088,185,512,1785,941,97,465,1505,372,21,264,654,52,3,109,167,4167,1106,3247,8519
SOSR631,0,21,2720,2747,62,248,1576,1889,1219,887,1396,3501,2869,994,1130,4996,4258,1160,1710,7136,5098,839,1911,7850,3927,392,1336,5652,1387,63,613,2069,206,19,184,410,19035,4627,12581,36249,0,45,2464,2503,120,380,1060,1569,1757,1009,1044,3810,3370,1081,961,5413,4817,1127,1324,7274,5032,727,1503,7259,3234,252,1149,4639,828,45,743,1613,99,8,306,419,19265,4670,10555,34493,3,66,5178,5248,188,629,2641,3452,2977,1896,2436,7312,6245,2074,2093,10411,9079,2291,3037,14404,10126,1564,3415,15111,7158,645,2488,10297,2218,110,1361,3684,304,24,491,827,38299,9299,23140,70740
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,3,45,2768,2818,124,616,2482,3226,3077,2487,3946,9506,4429,1247,2065,7739,3558,990,1947,6494,2742,584,1520,4847,1580,203,904,2687,535,47,302,892,76,3,97,175,16136,6212,16036,38381,8,114,2463,2593,353,931,1853,3136,4156,2557,3122,9841,4583,1227,1994,7803,3440,950,1929,6323,2409,458,1744,4612,1138,150,1125,2415,291,11,625,930,27,0,188,215,16405,6407,15043,37856,10,159,5235,5407,482,1542,4333,6357,7232,5041,7069,19345,9011,2477,4053,15544,7001,1940,3879,12814,5150,1039,3267,9459,2718,348,2033,5105,827,57,931,1821,104,4,282,386,32543,12619,31078,76235
SOSR712,0,11,611,624,23,96,386,507,473,371,647,1493,730,247,379,1351,741,200,419,1361,622,148,316,1085,288,33,172,496,87,10,71,160,14,0,22,38,2986,1119,3021,7122,4,15,474,493,52,130,332,517,674,426,660,1766,760,261,488,1507,760,223,529,1510,559,109,482,1152,188,30,259,476,53,3,132,196,4,0,58,62,3060,1199,3405,7670,8,28,1083,1118,69,230,719,1021,1153,794,1312,3256,1491,507,863,2866,1507,417,945,2871,1179,261,801,2242,475,59,434,972,140,13,205,359,22,0,80,97,6044,2315,6431,14793
