SOSR_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR422,23,19,17,10,17,8,0,99,20,33,20,15,19,10,0,116,21,16,24,13,29,11,0,107,759,831,423,238,304,58,9,2626,7,12,8,0,0,0,0,24,833,911,490,276,373,77,10,2976,0,4,0,5,3,0,0,9,8,18,18,16,11,3,3,76,0,11,9,3,5,0,0,31,146,218,130,90,112,22,3,725,11,3,4,0,0,0,0,24,161,256,154,114,132,26,6,858,996,1164,643,393,505,107,18,3828
SOSR431,195,308,229,164,255,120,51,1320,227,278,224,164,209,67,35,1213,334,328,221,156,222,83,39,1376,5182,6409,3989,2588,3253,687,237,22337,58,51,48,23,15,3,3,203,5988,7379,4713,3097,3957,959,358,26447,9,22,24,29,26,16,9,130,40,51,44,37,48,24,10,243,16,33,34,25,38,7,0,153,489,740,531,408,530,107,35,2831,34,42,30,26,12,0,0,145,585,883,655,515,657,149,55,3496,6573,8260,5371,3613,4613,1109,407,29943
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,36876,34859,19674,12582,18104,9729,4892,136721,11079,10216,5611,3441,4765,1922,890,37927,11256,9936,4994,2965,4132,1901,846,36025,41360,40584,21377,12810,16623,6637,2914,142309,468,440,228,176,174,65,26,1576,101045,96044,51882,31974,43791,20258,9559,354552,2744,4122,2973,2254,3723,1929,1198,18940,1837,2494,1597,1180,1634,623,317,9679,1231,2003,1264,992,1347,510,268,7613,7454,10415,6395,4296,5554,1750,843,36704,552,569,358,241,195,70,30,2014,13808,19598,12596,8965,12452,4883,2656,74959,114848,115642,64475,40936,56243,25139,12221,429510
SOSR511,613,708,420,285,388,72,19,2499,310,299,159,133,165,18,12,1092,358,317,190,108,135,15,3,1124,2443,2344,1356,824,1074,108,31,8180,20,11,13,9,3,0,0,58,3749,3680,2141,1347,1766,211,67,12957,35,76,49,42,76,17,3,298,67,91,48,52,69,6,3,336,54,71,71,29,70,6,4,308,576,771,438,342,406,50,15,2590,13,18,11,9,8,3,0,72,746,1030,625,473,625,81,23,3609,4499,4711,2759,1828,2391,286,89,16567
SOSR512,938,1021,571,419,500,73,16,3540,507,472,269,163,227,20,5,1670,489,470,261,152,188,18,0,1588,3872,3991,2186,1374,1749,141,33,13350,47,38,18,17,7,0,0,129,5855,6002,3299,2122,2674,253,54,20267,64,89,83,61,94,11,5,417,97,113,81,53,87,7,4,445,68,111,91,53,83,0,3,415,908,1258,810,576,631,71,23,4279,53,72,23,23,14,3,0,199,1195,1648,1086,766,914,96,39,5744,7044,7649,4389,2889,3591,352,94,26011
SOSR513,491,471,271,162,233,20,3,1658,254,216,90,45,70,3,0,689,368,266,133,64,79,3,0,910,2344,2251,1073,565,665,29,6,6936,22,29,11,7,10,0,0,69,3473,3238,1580,845,1056,58,14,10262,15,25,25,11,18,0,0,95,29,50,24,23,23,3,0,157,26,38,21,16,17,0,0,118,468,547,305,201,195,7,3,1724,40,27,13,13,5,0,0,102,591,695,377,266,263,8,3,2199,4061,3936,1957,1108,1319,71,14,12463
SOSR514,347,410,240,120,143,27,12,1301,195,203,98,51,60,6,0,615,256,191,85,46,67,3,4,653,1267,1137,613,342,395,32,5,3794,6,14,11,3,5,0,0,41,2069,1950,1043,568,674,77,24,6408,21,33,24,28,34,12,0,151,44,54,25,26,32,3,0,193,39,52,17,25,18,3,0,159,302,369,262,166,193,16,6,1307,24,22,13,4,5,0,0,69,428,531,350,250,289,32,12,1877,2500,2478,1395,814,960,103,31,8284
SOSR515,500,521,324,190,237,33,4,1814,333,350,165,95,109,14,3,1064,415,373,175,111,145,5,4,1216,3243,3277,1681,957,1017,103,16,10301,36,39,22,7,9,0,0,118,4527,4567,2367,1368,1508,154,26,14520,41,69,54,40,48,8,0,258,83,96,59,42,64,14,3,357,44,75,61,40,35,3,3,262,690,1019,573,403,408,39,11,3139,53,46,40,15,10,0,0,177,910,1297,790,541,568,63,14,4188,5437,5865,3157,1910,2078,217,44,18702
SOSR521,173,221,135,100,113,23,4,764,153,153,80,59,73,11,9,538,182,189,93,58,60,14,3,586,1495,1585,842,495,505,43,16,4990,17,20,7,7,3,0,0,55,2020,2167,1160,725,749,85,31,6945,13,29,18,8,18,4,0,90,35,47,32,18,17,4,0,162,13,27,13,14,23,4,4,101,388,549,345,229,161,8,0,1688,15,28,30,17,7,0,0,96,470,678,448,294,231,20,8,2141,2494,2847,1604,1017,980,105,38,9082
SOSR522,65,53,29,23,14,4,0,196,52,65,36,17,26,4,0,200,66,72,29,14,28,3,3,212,784,741,428,218,182,25,0,2371,12,13,8,3,3,0,0,42,979,938,531,274,253,37,6,3016,7,10,8,9,4,0,0,49,6,21,8,12,9,0,0,60,9,20,11,6,13,3,0,52,249,290,202,130,96,9,5,978,9,12,11,4,8,0,0,46,279,356,244,163,127,16,6,1180,1261,1295,768,437,376,50,10,4196
SOSR531,467,689,415,303,449,132,59,2512,445,620,366,242,346,86,26,2133,709,720,415,235,382,89,28,2568,4742,6041,3527,1920,2244,346,138,18970,37,44,37,24,26,4,0,174,6397,8121,4760,2725,3449,659,253,26362,26,52,55,41,61,6,9,242,50,95,63,52,72,12,6,360,49,59,60,44,57,13,6,282,547,811,556,346,399,36,16,2708,22,27,28,9,4,0,0,100,696,1046,761,495,596,78,33,3698,7098,9162,5520,3222,4043,734,287,30056
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,857,727,419,242,386,179,95,2905,545,580,306,231,286,106,65,2109,516,495,241,159,220,97,50,1779,5658,5752,3140,1942,2657,999,356,20512,40,31,24,9,15,6,4,129,7618,7584,4125,2579,3562,1388,569,27425,68,144,98,67,119,58,40,607,120,166,112,90,120,50,31,678,38,77,67,67,87,43,11,391,1636,2167,1300,909,1213,371,132,7735,93,93,36,44,31,8,3,304,1961,2649,1607,1169,1566,538,214,9715,9573,10242,5729,3754,5134,1925,785,37142
SOSR611,387,350,194,128,160,78,35,1334,180,200,110,51,115,30,16,699,201,182,78,59,72,15,9,622,2382,2426,1364,871,1203,403,108,8758,16,19,3,8,5,0,0,56,3163,3172,1756,1121,1561,526,170,11471,31,43,31,21,53,14,12,205,29,64,42,38,45,15,9,246,25,57,35,19,32,9,5,185,757,961,535,372,545,147,50,3358,41,29,17,15,5,3,0,114,880,1152,660,474,682,199,72,4117,4047,4329,2415,1596,2241,723,241,15586
SOSR612,27,21,27,11,25,3,0,111,33,38,27,15,28,8,0,150,33,57,22,10,20,4,0,149,743,777,441,319,411,77,16,2789,5,5,3,3,0,0,0,16,843,896,521,357,487,91,16,3214,3,3,3,3,8,0,0,16,16,29,9,6,6,5,0,66,12,21,9,12,8,6,0,68,334,426,209,125,217,42,5,1363,16,23,13,6,4,3,0,60,379,494,240,152,245,56,9,1579,1226,1392,763,503,731,148,24,4791
SOSR613,46,45,28,21,36,3,0,180,52,44,30,12,25,7,0,175,49,65,35,18,19,4,3,192,1139,1093,628,391,586,129,26,4001,3,9,0,3,0,0,0,19,1296,1251,721,454,665,143,36,4567,4,3,7,3,12,5,0,27,21,16,14,12,24,5,0,93,6,12,12,3,22,6,0,61,338,476,290,209,291,48,11,1671,20,16,8,9,3,3,0,63,387,525,335,236,351,69,14,1911,1680,1778,1060,688,1015,217,49,6479
SOSR614,12,4,3,4,4,3,0,38,13,25,10,4,6,5,0,59,10,19,7,0,5,0,0,46,386,384,206,124,163,37,4,1310,5,3,0,3,0,0,0,14,421,445,230,143,180,48,9,1467,0,0,0,0,0,3,0,5,5,8,3,3,3,3,0,30,8,5,3,3,8,0,0,22,162,195,83,75,97,11,5,634,11,7,4,3,3,0,0,29,182,224,93,91,113,18,5,722,600,663,323,230,291,64,17,2182
SOSR615,91,65,40,36,43,14,3,296,123,124,74,43,59,19,3,431,136,114,71,37,51,10,3,425,2260,2299,1298,815,956,244,76,7940,13,10,5,7,7,3,0,49,2616,2611,1487,939,1120,289,87,9146,3,8,9,8,15,3,0,40,34,67,57,35,40,3,3,237,13,27,16,18,24,3,0,112,572,793,516,344,371,78,15,2698,32,28,14,15,6,0,0,97,663,919,609,419,457,92,19,3183,3274,3534,2092,1359,1580,384,108,12332
SOSR621,35,38,23,10,20,6,0,133,52,70,42,19,27,8,0,219,59,62,27,11,15,11,0,185,664,720,387,215,303,58,14,2363,7,12,3,4,0,0,0,25,813,894,485,263,370,77,20,2922,0,0,0,5,4,0,0,13,3,8,3,3,6,3,0,28,3,8,4,6,12,0,0,30,138,212,129,81,95,17,8,685,12,13,0,5,3,0,0,31,162,244,142,101,123,20,6,791,972,1138,629,358,487,101,27,3714
SOSR622,10,20,8,7,6,0,0,53,21,33,14,12,14,6,0,99,16,21,11,5,6,0,0,65,331,430,258,135,198,48,17,1414,3,3,0,0,0,0,0,7,374,505,294,168,224,54,17,1636,0,7,3,0,3,3,0,16,3,5,0,5,9,0,0,19,0,5,3,0,0,0,0,16,86,118,63,54,69,13,3,408,5,0,0,4,0,0,0,9,103,134,70,63,80,15,3,469,478,639,362,236,297,76,26,2106
SOSR631,113,190,140,92,132,44,17,728,231,237,180,113,150,35,18,962,255,268,153,107,121,33,15,952,3354,4180,2655,1628,2088,515,127,14544,20,27,20,17,7,3,0,92,3973,4905,3140,1963,2502,632,172,17285,9,7,6,11,15,8,0,54,36,50,38,36,30,11,6,209,16,33,25,23,30,14,8,141,412,654,486,317,390,78,23,2352,22,28,19,15,9,0,0,91,491,776,575,392,464,109,33,2848,4466,5677,3712,2353,2971,743,206,20132
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,2030,1624,903,578,729,263,106,6232,491,441,234,154,204,44,17,1587,712,544,268,151,225,48,19,1970,3665,3137,1514,900,1029,185,60,10494,42,42,24,8,8,0,0,127,6947,5785,2941,1795,2198,535,211,20415,106,144,94,85,139,46,27,647,85,89,63,40,65,10,7,356,67,104,73,54,70,20,4,382,670,874,506,362,404,40,18,2876,61,51,35,20,11,0,0,181,988,1272,770,562,686,118,55,4447,7931,7054,3715,2352,2884,653,262,24859
SOSR712,399,348,159,108,137,21,4,1180,107,85,33,24,32,3,0,282,122,92,33,35,38,5,0,328,634,639,359,195,229,26,0,2087,10,7,3,3,0,0,0,24,1278,1171,589,371,429,50,6,3898,10,23,24,18,18,0,0,99,14,25,20,6,7,0,0,77,11,21,15,7,16,0,0,71,195,285,156,88,105,12,0,840,20,17,13,13,0,3,0,55,245,372,218,133,148,17,0,1141,1523,1544,805,506,583,67,7,5038
SOSR714,57,38,17,14,23,7,0,155,13,17,6,3,5,0,0,43,29,15,7,7,3,0,0,57,236,196,100,62,54,10,0,661,3,0,3,3,3,0,0,19,340,269,132,82,86,18,0,929,3,0,4,0,0,0,0,13,5,0,0,0,0,0,0,10,4,0,4,0,0,0,0,10,81,88,55,34,33,3,0,300,3,8,3,3,0,0,0,12,92,95,66,39,38,3,0,344,434,365,195,123,124,20,0,1273
SOSR715,62,40,27,14,10,0,0,155,28,24,11,6,3,0,0,71,37,21,14,6,5,0,0,83,962,1059,592,388,262,31,12,3295,30,30,10,12,0,0,0,75,1109,1173,647,420,282,31,12,3675,0,0,0,0,0,0,0,4,3,3,7,3,0,0,0,12,7,7,0,0,0,0,0,13,324,373,214,150,111,9,5,1187,7,24,8,7,0,0,0,53,341,413,228,163,115,9,5,1275,1444,1585,875,580,402,39,16,4951
SOSR721,43,44,20,4,3,0,0,117,18,8,8,0,3,0,0,41,23,16,5,4,4,0,0,60,734,754,417,268,170,15,5,2363,3,8,4,5,0,0,0,23,825,834,459,287,181,17,3,2596,0,3,0,0,0,0,0,9,3,3,0,0,0,0,0,5,0,6,0,0,0,0,0,7,240,294,204,152,67,5,0,963,6,8,4,3,0,0,0,25,250,314,209,156,69,5,3,1003,1075,1147,666,442,246,23,7,3602
SOSR722,4,11,0,0,3,0,0,25,8,8,0,0,0,0,0,14,11,12,4,0,0,0,0,27,698,732,352,199,136,8,4,2134,5,3,3,3,0,0,0,13,727,759,367,205,143,8,3,2216,0,3,0,0,0,0,0,4,0,0,6,0,3,0,0,7,0,0,0,3,0,0,0,4,238,334,172,94,61,3,3,905,9,10,4,3,0,0,0,32,251,356,177,96,64,3,3,951,981,1115,543,302,209,12,7,3162
SOSR731,56,68,56,32,33,13,7,263,52,64,33,20,35,7,3,216,106,95,45,37,52,7,3,340,1403,1589,857,481,468,59,14,4869,14,17,5,9,5,0,0,56,1636,1831,998,585,592,83,25,5750,3,12,3,7,9,3,0,41,15,11,3,4,3,0,0,30,6,12,10,8,7,0,0,48,248,335,227,153,116,6,3,1084,13,11,20,5,5,0,3,49,281,383,259,176,144,10,5,1251,1919,2214,1250,764,734,90,37,7001
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,5884,5116,2518,1498,2019,1192,603,18825,1866,1816,1032,588,893,377,188,6772,2104,1926,964,608,876,352,192,7023,12585,11579,6035,3702,4991,1913,889,41693,85,82,41,26,23,13,6,270,22521,20530,10586,6425,8802,3853,1875,74585,389,546,391,280,446,277,143,2465,308,386,290,170,267,115,51,1581,131,266,176,128,213,85,38,1036,1531,2220,1547,1027,1482,499,219,8529,101,94,53,28,35,6,6,318,2458,3514,2455,1630,2441,984,460,13933,24979,24041,13042,8059,11238,4835,2332,88519
SOSR822,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,4,6,18,8,6,4,3,0,49,0,0,0,0,0,0,0,0,8,26,14,13,4,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26,15,13,11,6,0,68
SOSR831,0,0,0,0,3,0,0,9,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,15,43,51,17,9,11,5,3,139,0,0,0,0,0,0,0,0,51,57,22,14,27,5,3,169,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,7,8,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,7,7,5,3,3,0,0,27,57,57,23,19,32,5,3,196
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,31,27,11,12,15,0,0,93,11,13,4,0,0,0,0,30,19,27,6,7,8,0,0,67,30,26,15,5,0,0,0,80,0,0,0,0,0,0,0,3,83,89,37,27,25,4,0,271,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,4,0,3,0,0,9,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,11,4,10,3,0,27,84,92,46,28,35,6,0,296
SOSR921,5,4,3,4,0,0,0,19,0,3,0,0,0,0,0,7,3,12,3,0,0,0,0,23,13,16,9,8,8,0,0,53,0,0,0,0,0,0,0,3,22,29,22,14,13,0,0,102,0,3,5,0,0,0,0,13,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,11,0,0,0,0,0,0,0,0,3,11,6,0,8,0,0,33,21,40,25,16,18,4,0,136
SOSR922,0,3,3,0,0,0,0,10,14,10,4,0,0,0,0,29,4,0,0,0,0,0,0,3,43,28,7,10,7,0,0,99,0,3,0,0,0,0,0,3,58,42,15,12,10,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,3,0,4,3,0,0,19,0,0,0,0,0,0,0,0,10,3,3,3,3,0,0,24,65,49,18,16,13,0,0,162
SOSR931,6,5,3,3,3,0,0,26,8,4,10,0,3,3,0,27,5,9,4,3,7,0,0,34,31,32,18,14,8,0,0,103,0,0,0,0,0,0,0,0,52,58,35,16,22,3,0,189,0,4,0,0,0,0,0,3,5,0,0,0,3,0,0,9,0,0,6,0,0,0,0,7,4,14,16,8,5,0,0,46,3,0,0,0,0,0,0,3,8,23,14,13,13,0,0,62,60,82,50,29,29,3,0,256
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
