SOSR_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SOSR301,1064,64685,4036,69788,6678,123624,6613,136920,2356,61602,3485,67439,1779,72608,5510,79899,2770,143898,11840,158507,3049,129920,9812,142787,4103,117478,8903,130481,5590,91450,6823,103861,7102,60896,4888,72883,6444,25016,2753,34214,4854,5948,1451,12259,45782,897137,66110,1009029,594,61628,3867,66090,3123,120310,6364,129803,1337,60796,3315,65453,1221,73534,5098,79853,2431,150150,10931,163506,3335,136569,8502,148405,4998,124110,7973,137093,6333,97940,6610,110881,7121,67160,5051,79338,9585,29350,3472,42405,11423,8293,3055,22766,51498,929848,64242,1045588,1657,126318,7901,135876,9800,243937,12984,266722,3690,122400,6795,132888,2997,146140,10607,159749,5196,294051,22771,322012,6385,266490,18316,291188,9106,241593,16879,267570,11923,189385,13431,214742,14219,128052,9942,152218,16025,54370,6219,76617,16274,14247,4504,35022,97280,1826986,130348,2054614
SOSR302,228,15000,1171,16397,1573,30073,2156,33803,530,15040,1232,16809,381,16057,1507,17943,612,32559,3259,36432,682,32427,2886,36000,993,30817,2811,34625,1489,25085,2477,29043,2169,20523,2048,24738,2193,9153,1040,12394,1744,2025,525,4290,12590,228763,21112,262469,125,14530,1153,15815,754,29224,2007,31987,319,15024,1109,16459,261,16759,1559,18581,494,34820,3260,38580,738,34992,2779,38508,1178,33616,2818,37614,1678,28529,2562,32771,2042,22448,2103,26593,3020,9665,1284,13970,3710,2642,866,7214,14328,242261,21500,278089,353,29528,2333,32218,2323,59303,4161,65786,853,30066,2339,33265,643,32815,3067,36525,1108,67380,6519,75009,1418,67421,5665,74505,2175,64432,5631,72240,3162,53610,5040,61812,4212,42971,4149,51332,5214,18822,2323,26359,5457,4661,1388,11505,26922,471018,42614,540559
SOSR303,295,18841,1373,20510,2055,39156,2619,43827,763,19334,1485,21583,508,19164,2197,21871,899,36751,3996,41645,1048,36300,3515,40866,1523,36970,3605,42096,2085,32283,3001,37366,2764,24524,2407,29703,2698,11048,1269,15016,2034,2489,575,5092,16668,276871,26045,319582,192,17696,1319,19206,990,38537,2519,42048,460,19032,1400,20893,329,19351,1745,21423,737,39677,3402,43817,1048,40421,3175,44650,1675,41137,3325,46130,2154,35512,3016,40685,2516,26821,2514,31857,3628,12521,1613,17764,4406,3279,1132,8821,18136,293988,25157,337288,489,36538,2690,39715,3046,77694,5135,85872,1221,38371,2883,42475,842,38516,3943,43296,1639,76427,7401,85464,2100,76730,6694,85515,3198,78105,6927,88232,4240,67798,6016,78051,5281,51349,4925,61558,6323,23570,2886,32774,6440,5770,1710,13909,34808,570857,51203,656870
SOSR311,128,6838,482,7451,1017,14018,914,15942,370,6865,434,7674,270,6270,590,7126,419,12906,1385,14719,446,11945,1315,13707,787,12935,1512,15234,1165,11879,1376,14415,1485,9394,981,11866,1429,4766,570,6773,895,1053,247,2193,8408,98873,9812,117087,78,6593,504,7184,498,13832,891,15231,208,6752,487,7453,191,6371,545,7108,320,13793,1011,15119,488,12974,1018,14483,772,14023,1163,15961,1108,12817,1110,15037,1350,10369,1001,12712,1860,5587,639,8093,1980,1371,337,3680,8849,104491,8716,122062,208,13431,994,14631,1514,27850,1805,31168,585,13616,923,15120,457,12646,1130,14232,739,26703,2400,29837,941,24921,2334,28189,1558,26961,2675,31198,2266,24698,2489,29454,2828,19765,1985,24573,3289,10360,1212,14865,2876,2422,582,5876,17261,203361,18526,239151
SOSR312,32,1746,180,1960,231,3378,270,3876,93,1566,136,1794,74,1623,140,1835,117,3227,284,3626,142,3118,325,3585,182,3212,335,3723,230,2867,274,3374,324,1869,184,2385,281,864,106,1241,168,185,28,385,1872,23649,2263,27787,25,1807,136,1968,126,3307,253,3687,53,1471,115,1639,30,1551,132,1721,81,3470,310,3859,129,3151,270,3547,203,3154,251,3606,272,2659,241,3171,274,1964,222,2459,335,1017,134,1486,368,256,55,677,1907,23798,2126,27834,60,3554,317,3927,357,6687,518,7561,147,3038,255,3434,106,3177,277,3554,195,6690,597,7487,277,6261,596,7133,386,6367,587,7334,502,5529,514,6544,600,3834,408,4843,618,1882,232,2734,541,437,87,1063,3784,47451,4391,55622
SOSR313,98,4948,457,5499,620,10043,793,11460,237,4375,355,4963,159,4102,405,4665,258,8415,936,9618,289,8027,876,9191,469,8244,900,9613,702,7830,791,9322,932,6569,619,8130,753,3226,370,4351,536,725,184,1444,5057,66501,6688,78241,57,4992,424,5473,287,9525,806,10615,120,4286,337,4739,95,4164,380,4634,197,9188,842,10234,289,8778,724,9792,476,9177,842,10492,717,8551,782,10050,746,7293,665,8707,998,3749,455,5209,1203,925,314,2436,5188,70627,6565,82378,159,9933,875,10971,907,19564,1600,22071,357,8663,692,9705,253,8263,776,9296,462,17606,1781,19844,572,16807,1605,18984,948,17418,1740,20108,1422,16380,1572,19369,1682,13864,1290,16829,1754,6979,826,9558,1736,1646,491,3875,10240,137124,13255,160616
SOSR314,72,5091,520,5683,531,10464,912,11903,179,4465,394,5035,114,3928,441,4483,155,8752,1142,10051,234,8655,1006,9901,371,8741,957,10070,566,7691,830,9098,762,5882,669,7308,669,2753,359,3780,510,550,124,1189,4160,66980,7358,78499,30,4741,467,5245,258,10246,879,11384,73,4233,371,4676,72,3944,421,4444,182,9445,1050,10676,267,9306,941,10511,408,9128,893,10424,546,7915,828,9293,594,6012,667,7267,948,2867,440,4257,1050,714,190,1953,4433,68548,7147,80128,104,9827,987,10925,786,20707,1798,23290,250,8698,761,9711,190,7871,866,8927,333,18202,2185,20721,501,17962,1945,20412,775,17862,1849,20493,1121,15611,1660,18387,1354,11892,1332,14577,1620,5618,801,8041,1561,1265,317,3140,8596,135524,14507,158624
SOSR315,131,7757,765,8660,795,16105,1301,18205,313,6659,550,7523,217,5795,903,6919,332,12395,2058,14780,450,13072,1869,15391,731,13780,1680,16190,1241,13118,1572,15934,1600,10660,1210,13476,1215,4593,622,6433,749,801,225,1782,7788,104735,12761,125283,66,7446,710,8222,395,15584,1249,17227,136,6410,558,7102,132,5896,681,6704,250,13539,1483,15268,423,13614,1225,15258,794,14245,1359,16393,1177,13572,1346,16098,1294,10924,1123,13333,1394,4319,637,6346,1559,989,371,2912,7619,106518,10739,124878,198,15200,1477,16881,1189,31691,2555,35429,452,13066,1111,14625,349,11691,1580,13623,577,25930,3541,30056,874,26685,3097,30656,1528,28022,3039,32585,2426,26686,2922,32033,2895,21584,2329,26810,2606,8916,1260,12776,2311,1790,594,4690,15406,211252,23505,250156
SOSR321,28,2764,290,3079,296,6152,517,6968,104,2639,239,2978,70,1994,328,2392,100,4052,623,4771,180,4889,693,5762,365,6048,725,7137,578,6121,658,7352,645,5079,585,6312,462,1834,237,2535,247,347,67,654,3061,41922,4962,49939,22,2676,235,2936,137,5920,517,6573,56,2516,236,2805,51,2062,242,2349,81,4508,415,5008,169,5349,480,5998,330,6219,578,7131,502,6203,586,7294,533,4639,503,5674,425,1715,221,2362,407,307,86,800,2719,42114,4104,48934,46,5439,529,6017,437,12078,1030,13544,157,5155,472,5785,122,4056,570,4742,187,8558,1043,9781,342,10238,1175,11752,694,12268,1304,14264,1078,12328,1244,14652,1181,9719,1089,11988,888,3541,462,4895,654,654,151,1457,5774,84030,9065,98873
SOSR322,15,1241,127,1389,113,2554,196,2870,40,1059,142,1236,25,926,113,1063,48,1779,229,2048,89,2087,236,2419,149,2701,313,3172,262,3077,309,3653,365,2624,338,3326,240,987,138,1366,105,169,29,296,1446,19207,2179,22828,6,1066,127,1196,60,2500,219,2778,23,979,110,1117,11,906,132,1049,37,1976,211,2217,84,2157,198,2440,147,2702,293,3147,277,2993,281,3559,243,2345,270,2855,214,826,121,1161,143,147,39,329,1250,18601,2003,21855,26,2299,253,2584,170,5059,421,5646,59,2035,255,2354,33,1832,245,2112,83,3755,437,4269,173,4247,432,4859,300,5403,610,6318,539,6073,596,7203,606,4973,603,6183,451,1813,259,2524,250,320,63,626,2693,37810,4185,44685
SOSR331,142,10308,1005,11453,1115,26949,2410,30466,414,12391,1142,13950,291,8901,1341,10530,495,16816,3049,20361,665,22608,3296,26572,1292,30089,3834,35217,2113,30050,3545,35710,2402,22337,2596,27336,1445,7902,1032,10373,744,1197,235,2170,11110,189550,23478,224138,96,9875,965,10936,517,25466,2194,28176,219,11334,996,12551,210,8064,860,9128,332,17346,1873,19550,608,23741,2509,26852,1180,30155,3140,34470,1653,27890,2971,32520,1621,18702,2073,22396,1340,5829,739,7908,995,917,224,2140,8762,179308,18553,206625,232,20186,1965,22385,1630,52416,4598,58642,633,23725,2138,26495,497,16960,2203,19656,824,34166,4920,39910,1271,46346,5806,53426,2472,60237,6975,69689,3770,57938,6520,68226,4028,41036,4671,49736,2778,13729,1767,18283,1740,2115,459,4307,19876,368857,42034,430761
SOSR379,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,4,0,9,0,7,0,11,0,10,0,12,0,7,0,15,0,13,0,7,0,7,0,0,0,0,7,57,4,66,0,3,0,3,0,0,0,0,0,4,0,5,0,5,0,4,0,6,0,6,0,4,0,3,0,8,0,7,0,19,4,19,0,12,4,16,0,7,0,7,0,0,0,0,0,70,13,87,0,3,0,3,0,4,0,4,0,8,3,11,0,3,3,11,0,9,0,11,0,13,0,14,0,20,0,24,0,26,4,30,0,30,4,33,0,10,0,16,0,3,0,4,7,126,17,150
SOSR399,0,149,26,182,15,201,33,249,8,165,39,212,10,435,120,559,23,942,321,1288,27,619,315,964,47,648,271,975,82,811,251,1147,103,847,162,1120,28,164,38,225,14,8,3,19,361,4983,1593,6937,0,135,20,160,4,200,36,233,9,161,32,203,5,454,116,576,10,779,217,1005,25,357,137,514,31,507,153,688,88,962,179,1224,60,624,113,798,23,100,29,153,7,6,5,18,258,4285,1032,5572,0,285,47,339,23,397,72,489,16,324,69,408,14,890,231,1133,37,1718,537,2293,51,976,451,1485,85,1158,423,1663,172,1768,435,2373,161,1478,279,1916,52,262,64,381,20,13,7,44,622,9271,2618,12510
SOSR401,714,32992,1872,35571,3974,60781,3065,67824,1311,33039,1578,35928,916,38569,2236,41723,1670,75259,4965,81894,1921,68892,4467,75281,3020,68249,4412,75689,3978,58881,3755,66615,4586,42796,2956,50334,4960,20637,1859,27452,4680,5779,924,11384,31728,505878,32092,569694,359,31263,1749,33371,1815,59841,2879,64538,737,32356,1534,34631,666,37786,2077,40535,1465,77832,4477,83779,1978,70001,3859,75838,3481,70886,4014,78384,4693,64402,3785,72874,4931,48649,3360,56946,8211,24150,2373,34727,10691,7905,1728,20318,39027,525070,31841,595939,1073,64254,3619,68946,5795,120623,5947,132362,2044,65393,3113,70554,1579,76352,4316,82252,3137,153087,9444,165670,3899,138889,8330,151122,6502,139142,8429,154069,8670,123285,7539,139495,9515,91446,6316,107279,13168,44788,4230,62177,15370,13682,2649,31706,70754,1030946,63932,1165632
SOSR412,52,2116,163,2326,332,4326,255,4914,125,2195,137,2457,84,2034,129,2247,121,3935,298,4354,164,3812,267,4241,229,4542,331,5101,320,3921,312,4554,367,2704,224,3299,351,1466,142,1957,257,372,72,704,2391,31419,2339,36154,30,2076,128,2237,146,4382,296,4824,65,2143,122,2332,71,2035,152,2251,106,4240,286,4635,145,4028,246,4419,277,4651,343,5266,310,4063,294,4668,385,3086,276,3753,525,1753,214,2490,518,465,116,1094,2573,32927,2471,37970,81,4191,287,4561,476,8706,556,9743,193,4339,263,4783,151,4069,276,4500,230,8174,586,8983,303,7845,516,8666,504,9191,676,10367,629,7985,608,9222,754,5790,504,7052,872,3217,354,4449,772,833,187,1795,4967,64345,4810,74124
SOSR413,60,2772,199,3031,369,5845,430,6642,159,2849,174,3175,91,2552,328,2974,159,4934,747,5837,185,5066,656,5910,294,5746,567,6597,421,5590,491,6503,539,5093,403,6041,457,2535,237,3235,379,629,107,1113,3120,43611,4337,51065,31,2727,211,2972,171,5787,388,6345,68,2739,186,3001,61,2598,180,2842,143,5147,394,5679,194,5582,405,6179,350,6199,447,6992,386,6227,491,7102,556,5730,460,6752,692,2772,261,3725,872,845,160,1875,3529,46345,3583,53463,88,5497,415,5997,538,11636,815,12986,229,5589,357,6175,153,5147,509,5815,307,10076,1143,11523,378,10649,1058,12088,643,11943,1008,13597,811,11818,984,13606,1097,10827,869,12793,1155,5313,497,6959,1257,1467,271,2992,6642,89957,7926,104523
SOSR414,18,539,28,582,84,1205,63,1344,25,540,34,605,16,498,24,534,25,1118,83,1224,49,1092,79,1217,56,1201,75,1336,97,1357,86,1543,132,1501,118,1750,151,819,69,1042,128,230,30,387,782,10097,684,11566,9,544,35,584,27,1246,57,1332,10,569,29,607,15,447,28,486,25,1099,84,1212,56,1124,61,1234,67,1280,77,1424,92,1553,97,1741,151,1692,121,1968,221,916,72,1206,315,243,47,602,989,10708,696,12399,27,1083,61,1163,108,2450,115,2676,38,1108,62,1209,31,942,50,1017,52,2220,170,2443,109,2212,134,2455,124,2483,156,2754,192,2917,176,3284,282,3192,243,3720,371,1736,138,2246,443,466,79,992,1777,20809,1381,23967
SOSR415,54,2910,201,3166,407,6095,377,6878,111,2903,165,3182,98,2482,190,2771,131,5052,430,5611,173,5270,458,5904,302,6220,534,7059,489,6375,558,7420,678,5443,513,6628,555,2811,309,3674,551,677,171,1403,3547,46245,3905,53696,27,2839,186,3050,174,5872,317,6364,76,2720,171,2961,48,2351,194,2595,119,5286,403,5802,191,5661,417,6265,330,6528,491,7353,467,6560,539,7564,522,5934,522,6968,781,3084,355,4213,1149,982,329,2460,3878,47818,3916,55612,83,5751,384,6218,582,11964,699,13241,186,5624,335,6144,146,4836,379,5360,251,10341,829,11414,360,10932,874,12170,638,12749,1027,14414,952,12937,1097,14987,1197,11374,1035,13602,1336,5894,662,7891,1698,1664,497,3858,7425,94060,7824,109309
SOSR421,14,836,83,937,85,1784,118,1991,44,813,58,911,14,678,55,745,35,1476,111,1618,36,1530,138,1702,78,2006,162,2247,151,2244,188,2586,205,1828,159,2192,153,852,79,1079,139,196,50,383,956,14236,1192,16388,6,868,80,958,42,1704,117,1864,22,803,52,875,9,635,46,685,19,1483,118,1621,33,1663,131,1828,85,2032,131,2254,129,2178,174,2476,138,1855,147,2137,221,851,88,1156,352,279,87,716,1070,14348,1166,16584,23,1699,166,1889,132,3485,235,3853,61,1612,113,1783,25,1309,99,1438,55,2957,229,3238,76,3191,264,3530,165,4046,295,4507,278,4419,361,5062,349,3680,302,4329,368,1705,166,2242,491,471,134,1100,2020,28584,2365,32967
SOSR422,8,494,43,541,51,1122,87,1263,16,517,36,565,6,463,29,508,21,894,89,1008,42,983,88,1118,69,1285,141,1488,123,1458,136,1712,150,1245,135,1532,103,556,43,700,51,127,17,195,646,9136,844,10627,3,489,38,529,31,1019,82,1133,12,508,23,538,12,401,36,454,17,933,83,1033,45,952,89,1084,61,1284,113,1461,118,1393,120,1627,109,1092,113,1314,114,473,47,630,107,128,34,269,619,8670,780,10070,14,980,80,1070,87,2144,167,2394,25,1021,58,1106,18,866,73,958,36,1828,174,2040,83,1933,179,2203,131,2567,256,2952,241,2850,254,3344,263,2340,250,2850,215,1030,92,1332,158,251,52,465,1263,17809,1623,20698
SOSR431,53,3398,259,3715,385,8572,633,9589,145,4147,317,4608,87,3127,345,3554,119,5463,800,6383,156,7425,961,8533,325,10843,1147,12316,560,11333,1103,12995,633,7987,746,9364,380,2624,253,3263,220,481,60,754,3065,65389,6619,75073,25,3159,238,3420,176,8194,587,8958,71,3802,273,4147,64,2551,209,2823,115,5264,474,5851,168,7504,615,8278,317,10243,877,11439,470,10134,923,11525,454,6577,567,7601,376,2062,205,2649,331,393,76,796,2564,59890,5037,67492,82,6559,495,7135,558,16769,1220,18551,210,7952,592,8754,150,5679,550,6381,237,10729,1274,12234,317,14928,1570,16817,647,21086,2022,23752,1028,21463,2026,24519,1087,14566,1311,16965,761,4688,460,5909,552,870,128,1555,5630,125279,11658,142568
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOSR499,0,43,7,50,10,46,6,56,0,80,12,95,0,132,29,161,9,285,55,349,19,188,72,280,10,177,91,282,22,160,52,239,15,127,27,168,5,29,0,43,4,3,0,13,106,1260,372,1734,0,34,6,43,4,61,6,68,0,62,10,80,3,83,14,99,10,166,40,209,8,97,36,140,15,127,47,192,15,132,24,164,10,72,13,97,8,11,4,21,8,5,0,7,72,851,209,1129,3,75,7,91,10,104,13,129,4,142,24,173,3,213,47,266,20,445,91,556,19,285,107,421,27,309,143,474,31,291,79,403,30,201,45,271,9,42,8,59,16,9,3,22,173,2114,580,2863
SOSR501,768,58335,3889,62987,4224,109999,6029,120253,1495,54330,3089,58919,1117,60063,4739,65921,1839,134323,12690,148852,1852,118969,9972,130795,2742,110804,8743,122291,3797,87813,6927,98533,5187,60366,5017,70572,5718,26949,3063,35729,4412,6356,1580,12346,33146,828305,65743,927190,434,55885,3566,59884,2071,106196,5784,114052,864,52732,2845,56441,750,58132,4231,63114,1576,137545,10806,149926,2085,122494,8091,132670,3121,114705,7379,125204,4658,94163,6574,105395,5387,64765,5272,75422,8678,31009,4022,43707,10155,8254,3157,21571,39772,845878,61730,947382,1208,114215,7458,122879,6297,216198,11816,234304,2359,107064,5939,115359,1867,118191,8974,129031,3410,271874,23492,298774,3934,241463,18062,263462,5866,225507,16123,247498,8452,181981,13496,203928,10573,125130,10287,145991,14391,57955,7083,79433,14567,14606,4735,33920,72917,1674182,127472,1874578
SOSR511,40,2336,168,2546,191,4596,308,5101,81,2151,160,2397,67,1761,153,1981,88,3939,455,4484,92,4112,468,4671,135,4177,445,4762,198,3530,365,4089,249,2475,277,3003,246,1042,140,1428,201,230,41,474,1591,30357,2993,34939,16,2209,143,2367,100,4557,266,4922,39,2054,147,2243,24,1733,123,1886,73,4390,335,4793,89,4400,331,4817,145,4465,342,4955,199,3898,320,4414,263,2649,262,3167,378,1201,170,1748,436,324,84,846,1760,31874,2517,36151,50,4553,307,4909,287,9150,581,10019,122,4205,309,4639,95,3493,276,3867,154,8332,786,9274,186,8509,801,9491,283,8642,792,9712,396,7426,686,8508,512,5117,540,6174,622,2243,312,3177,636,556,125,1316,3347,62228,5511,71090
SOSR512,35,3599,316,3954,304,7344,605,8253,121,3434,306,3860,90,2959,336,3385,134,6410,906,7443,126,6444,812,7391,211,6823,790,7820,315,5856,715,6884,446,4191,453,5088,416,1975,260,2648,387,492,110,987,2587,49529,5603,57714,24,3507,281,3812,141,7294,537,7971,60,3373,253,3689,53,2783,281,3119,106,6813,628,7547,159,6953,596,7704,273,7127,617,8011,325,6188,591,7107,406,4355,438,5196,624,2242,332,3204,720,592,158,1473,2893,51225,4715,58836,64,7108,599,7771,447,14634,1146,16220,188,6812,552,7552,146,5741,616,6503,242,13220,1527,14989,289,13395,1408,15092,483,13950,1404,15833,642,12045,1307,13991,852,8543,888,10289,1041,4216,590,5848,1102,1086,271,2458,5480,100752,10315,116554
SOSR513,24,2086,310,2411,89,3595,480,4166,29,1337,168,1538,22,1261,218,1502,37,4252,788,5081,34,3872,681,4585,52,3311,580,3951,79,2389,390,2858,89,1004,188,1278,63,323,62,449,31,68,21,126,552,23502,3884,27934,21,1980,296,2294,61,3394,444,3895,16,1202,152,1375,13,1339,212,1565,36,4478,703,5218,43,3632,517,4199,78,2886,460,3425,70,1996,313,2383,83,871,146,1097,95,335,56,486,92,60,42,194,610,22183,3332,26123,40,4066,603,4711,151,6991,924,8067,48,2542,321,2907,35,2597,430,3066,70,8733,1490,10295,72,7512,1196,8781,131,6203,1042,7377,156,4382,698,5240,172,1875,329,2375,157,654,114,933,132,132,57,319,1164,45688,7213,54065
SOSR514,20,1312,122,1456,99,2334,204,2641,29,864,71,964,20,754,78,862,37,1991,235,2261,37,2212,251,2506,53,1930,217,2206,91,1647,199,1935,112,1286,142,1545,121,513,81,710,87,107,32,227,713,14965,1644,17317,15,1173,117,1302,37,2239,182,2456,14,840,85,945,15,772,77,863,32,2319,228,2569,46,2323,216,2583,78,1936,200,2208,104,1802,173,2070,101,1366,134,1601,167,510,69,751,191,128,46,366,795,15397,1522,17712,32,2489,240,2757,143,4572,388,5105,40,1712,155,1909,33,1526,161,1726,64,4306,464,4828,81,4538,469,5086,134,3866,415,4418,191,3452,365,4007,214,2655,274,3145,288,1015,152,1460,278,229,83,589,1509,30359,3165,35029
SOSR515,36,2878,337,3251,191,5448,603,6245,68,2216,227,2512,43,2027,281,2347,76,4704,775,5550,94,4793,716,5605,156,5020,718,5899,259,4522,633,5413,335,3231,444,4003,316,1451,233,1990,186,320,71,578,1750,36605,5043,43402,23,2621,320,2969,81,5297,584,5962,35,2058,215,2306,33,1939,242,2212,78,5091,651,5819,108,4994,602,5705,171,4864,623,5656,246,4420,544,5208,287,3138,440,3866,409,1501,279,2194,410,365,145,923,1868,36277,4660,42809,62,5495,660,6216,274,10746,1191,12207,100,4272,445,4814,73,3967,523,4562,153,9793,1430,11374,200,9791,1321,11307,329,9884,1341,11555,503,8936,1177,10612,620,6367,884,7870,724,2948,511,4189,598,679,223,1497,3622,72887,9698,86204
SOSR521,16,1304,144,1458,109,2700,307,3116,33,1125,125,1281,18,973,112,1104,54,2169,290,2512,61,2318,299,2673,82,2753,358,3188,157,2692,357,3202,236,1963,234,2430,146,829,127,1101,83,180,51,317,998,18997,2398,22394,9,1213,126,1352,44,2646,292,2978,27,1041,116,1179,15,923,119,1053,35,2396,286,2720,55,2345,268,2674,117,2758,303,3180,175,2553,304,3039,158,1801,221,2180,199,816,127,1137,158,192,77,427,993,18684,2235,21912,27,2514,271,2811,157,5349,596,6100,61,2158,234,2457,32,1894,229,2159,90,4570,570,5231,116,4666,570,5345,198,5511,662,6371,340,5247,660,6244,391,3760,455,4605,341,1647,258,2242,244,368,133,742,1996,37682,4633,44304
SOSR522,8,660,110,778,50,1196,153,1399,16,506,78,605,12,449,61,527,25,1146,205,1374,30,1007,202,1240,43,1190,189,1419,87,1214,197,1504,100,919,155,1180,75,362,76,509,42,70,18,128,489,8727,1448,10665,6,606,134,746,16,1246,152,1415,5,475,40,516,7,514,75,597,16,1196,229,1442,13,1028,155,1203,53,1193,142,1386,88,1200,161,1445,78,768,117,960,98,356,56,512,51,71,19,136,438,8646,1277,10364,14,1267,250,1529,73,2439,304,2816,19,983,117,1123,19,962,135,1122,47,2342,429,2819,42,2038,360,2444,97,2387,330,2809,176,2412,359,2949,179,1687,278,2141,176,720,134,1024,96,136,32,268,926,17368,2732,21030
