UCL_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
UCL299994,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,12,11,29,4,5,3,0,0,3,3,66,0,0,0,0,0,0,0,0,0,3,3,12,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,26,75,11,23,7,10,10,22,5,178,0,0,0,0,0,0,0,0,0,0,5,14,3,4,7,3,4,0,0,37,7,9,14,8,0,0,3,8,0,62,24,17,139,17,12,9,27,48,5,288,0,0,5,0,0,3,3,0,0,13,0,0,0,5,0,0,5,3,0,18,0,7,4,0,0,0,0,0,0,12,6,3,10,3,0,0,7,11,12,48,88,178,189,67,30,30,63,97,21,761,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,8,3,18,3,4,7,0,0,3,0,40,0,0,0,0,0,0,0,0,0,3
UCL301001,130,330,14,12,34,15,4,9,12,556,803,5958,108,50,124,47,29,41,57,7218,6781,14419,1036,863,2004,966,559,742,358,27722,241,585,34,33,92,44,25,34,11,1091,1397,4368,285,356,532,173,115,125,70,7398,656,1067,116,150,262,53,33,34,30,2403,17508,49778,6071,4754,7439,4414,2350,3677,1202,97194,51,42,82,60,33,27,30,50,9,376,3750,4425,3196,1462,1400,921,974,934,248,17311,6225,5770,5753,4002,3245,2282,1996,2259,426,31955,13875,5865,61537,6886,6628,6242,12759,13343,1997,129137,415,303,687,540,405,590,720,1085,62,4794,1000,743,1101,849,607,735,1288,1216,143,7676,515,952,665,286,245,220,408,481,107,3866,801,903,1572,512,416,514,1294,1368,1048,8431,54133,95504,82256,20808,23459,17248,22577,25386,5775,347154,91,515,15,28,72,18,4,4,7,750,481,4574,71,64,213,30,0,15,23,5479,3888,15757,393,1404,3172,912,44,452,285,26308,173,768,18,66,134,34,0,26,22,1234
UCL302001,14,63,3,0,5,0,0,0,0,86,89,880,8,10,16,11,3,7,6,1026,992,2187,174,151,240,203,67,114,54,4192,28,99,12,5,16,4,4,3,4,178,223,734,52,65,57,34,22,29,16,1232,83,151,15,27,32,10,6,3,4,328,3392,8436,1252,1118,1088,1165,420,743,261,17869,17,18,24,20,3,8,4,11,3,100,1144,1125,790,490,290,364,192,257,80,4722,1654,1373,1537,1171,644,735,438,634,118,8299,4971,1616,19443,2012,1436,2333,3112,4453,654,40021,108,83,162,106,56,168,134,247,24,1088,361,200,389,294,145,330,282,354,47,2411,153,210,177,84,67,77,88,124,28,1012,303,279,566,191,103,240,305,405,300,2685,13520,17456,24598,5743,4189,5686,5078,7391,1598,85258,13,114,4,6,10,3,0,3,0,159,52,638,4,13,19,12,0,5,11,737,677,2998,52,279,426,213,4,108,42,4796,28,182,4,11,17,3,0,10,3,260
UCL303001,0,18,0,0,0,0,0,0,0,20,11,250,4,5,8,0,0,3,0,276,197,406,29,46,47,25,13,17,12,783,8,25,0,0,4,0,0,0,0,44,58,239,9,38,10,5,9,11,0,380,18,54,9,8,8,5,0,3,0,96,692,2256,318,412,238,163,93,137,48,4368,3,4,7,8,3,0,0,0,0,28,248,427,223,160,82,59,79,68,29,1374,392,343,382,354,150,136,121,110,50,2035,1245,511,5477,708,428,544,1000,1067,201,11183,34,36,76,58,27,58,53,98,8,438,72,79,97,83,26,57,88,97,8,613,38,64,50,32,6,13,21,39,5,277,80,91,155,76,26,63,119,118,79,815,3116,4788,6843,1992,1068,1128,1597,1755,441,22719,3,37,0,0,0,0,0,3,0,50,19,176,0,7,11,6,0,0,0,219,157,753,14,84,113,38,0,22,11,1195,4,55,0,3,4,0,0,0,0,77
UCL303002,13,32,0,0,3,3,0,0,0,57,25,366,0,3,5,3,0,0,0,412,386,825,43,44,84,37,10,46,20,1495,10,48,0,0,3,3,0,0,0,74,103,408,31,36,33,21,12,12,4,652,43,82,9,17,13,12,0,3,4,182,1332,4057,466,459,367,363,113,231,100,7481,5,5,3,6,3,3,3,3,0,40,508,602,348,242,101,167,93,102,36,2192,652,604,624,482,224,265,142,238,34,3263,2324,687,9218,829,599,1040,1309,1914,264,18180,40,35,63,60,36,71,48,125,3,488,149,83,162,108,42,125,132,140,14,954,70,80,68,30,16,37,18,53,10,377,104,99,227,66,31,78,103,164,103,976,5758,8017,11267,2386,1560,2227,1986,3026,594,36814,9,58,0,4,7,3,0,0,0,81,26,272,0,3,20,3,0,3,0,326,237,1162,21,84,143,40,5,30,16,1738,17,93,3,9,16,6,0,5,0,143
UCL303003,0,18,0,0,0,0,0,0,0,21,42,318,0,0,6,0,0,7,0,371,152,402,25,34,40,30,13,57,4,754,9,22,0,0,0,0,0,0,0,34,43,168,9,19,16,5,0,4,3,273,16,47,6,4,11,3,0,0,0,95,436,1795,211,173,191,118,63,185,34,3208,0,3,5,0,4,0,0,3,0,15,112,158,88,69,48,35,33,28,3,578,218,236,252,154,111,59,83,85,18,1219,696,269,3359,415,275,345,624,693,85,6759,25,9,51,23,14,50,38,91,7,309,44,27,36,49,21,37,47,60,3,330,11,24,13,11,6,11,15,18,3,112,31,21,72,26,14,28,65,85,40,382,1848,3513,4127,992,755,725,987,1322,201,14466,7,13,0,0,4,0,0,0,0,19,19,182,3,8,8,0,0,0,0,214,106,607,17,41,60,13,0,19,3,863,3,26,0,0,3,0,0,0,0,35
UCL303004,3,26,0,0,0,0,0,0,0,32,51,379,0,0,4,0,3,3,4,440,281,489,53,31,47,11,13,26,9,970,11,41,3,0,0,0,0,0,0,59,57,224,13,27,17,6,6,8,3,363,35,52,5,11,11,0,0,3,3,120,699,2630,310,335,266,137,127,147,49,4693,3,0,3,0,0,0,0,3,0,17,232,248,230,157,79,42,62,33,6,1094,462,368,411,464,198,89,113,106,39,2246,1202,470,6655,1196,514,551,1540,1156,185,13464,32,19,67,88,28,42,76,82,4,440,68,53,67,75,25,45,97,95,7,539,37,55,36,22,3,13,24,26,14,232,51,51,125,56,31,37,100,124,75,642,3226,5098,7983,2475,1226,982,2167,1800,389,25348,3,43,0,0,5,0,0,0,0,56,29,312,10,3,10,0,0,3,0,365,153,790,17,56,85,18,0,9,12,1137,4,57,0,7,6,3,0,0,0,76
UCL311001,0,0,0,0,0,0,0,0,0,4,3,36,0,0,3,0,0,0,0,38,22,68,5,6,4,7,0,6,3,122,0,7,0,0,0,0,0,0,0,10,7,37,9,9,0,0,0,0,0,57,5,10,0,3,3,0,0,0,0,21,83,500,41,37,31,19,9,55,3,771,0,0,0,3,0,0,0,3,0,8,26,47,22,29,5,10,3,15,0,157,78,67,50,60,36,31,33,43,8,400,305,96,1601,182,111,161,375,407,49,3289,16,8,16,12,0,21,24,44,3,149,18,7,25,20,10,14,23,30,3,145,8,9,11,4,3,0,7,15,0,61,16,14,26,12,5,15,36,50,24,197,588,901,1795,369,220,269,513,669,90,5425,0,3,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,14,15,90,0,4,13,0,0,6,0,128,3,4,0,0,0,0,0,0,0,11
UCL311002,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,49,36,115,0,3,5,0,0,0,0,162,0,12,0,0,0,0,0,0,0,13,8,57,7,10,3,0,0,0,0,93,4,15,0,3,3,0,0,0,0,31,102,529,43,56,31,24,7,9,9,815,0,0,0,0,0,0,0,0,0,3,52,57,42,51,13,24,12,11,0,258,73,96,75,122,27,25,31,19,12,480,311,104,1337,241,70,189,264,362,30,2904,7,6,16,18,7,28,7,17,0,113,20,10,22,26,4,22,18,38,0,154,5,20,14,3,4,0,0,3,0,52,24,15,44,12,5,13,21,34,23,188,643,1073,1597,559,169,319,366,511,74,5312,0,9,0,0,0,0,0,0,0,9,0,27,0,0,0,0,0,0,0,30,27,140,0,5,11,0,0,0,3,195,3,13,0,0,0,0,0,0,0,18
UCL311003,3,11,0,0,0,0,0,0,0,12,10,60,0,0,0,3,0,0,0,72,68,181,18,12,5,5,5,8,5,302,6,4,0,0,3,0,0,0,0,17,21,78,22,11,10,0,4,4,0,145,11,25,6,0,3,0,0,3,0,49,271,992,169,94,58,41,67,42,23,1765,0,0,3,0,0,0,0,0,0,4,93,120,112,34,24,16,38,20,9,456,178,124,205,84,49,28,75,43,15,796,661,244,4456,157,239,225,1125,581,132,7807,16,9,25,17,6,21,33,35,0,156,45,17,45,10,9,19,83,51,5,278,12,17,28,6,7,4,19,22,3,108,33,21,86,18,10,22,69,56,42,364,1428,1896,5161,441,423,380,1518,864,240,12340,0,12,0,0,0,0,0,0,0,20,3,46,0,0,0,0,0,0,0,52,51,212,5,24,19,13,0,7,0,325,0,20,0,0,3,0,0,0,0,25
UCL311004,0,3,0,0,0,0,0,0,0,6,9,103,0,0,0,0,0,0,0,123,58,183,19,11,9,3,14,6,0,297,3,13,0,3,0,0,4,0,0,21,16,87,9,5,4,0,0,3,0,130,10,14,4,8,5,0,0,4,3,54,199,818,122,83,90,22,37,56,6,1449,0,0,0,0,0,0,0,0,0,5,53,66,86,46,15,9,18,17,0,320,97,90,145,102,51,18,34,32,5,577,414,161,2564,239,162,175,498,416,52,4674,3,6,28,23,5,32,41,64,5,204,18,3,34,29,10,20,56,42,9,215,3,18,17,8,5,3,11,15,3,89,17,20,61,11,9,20,54,54,22,266,913,1609,3089,576,377,303,766,697,106,8433,0,4,0,0,3,0,0,0,0,8,3,58,0,0,3,0,0,0,0,67,38,202,4,17,17,0,0,5,0,290,0,13,3,0,3,0,0,0,0,27
UCL312001,0,3,0,0,0,0,0,0,0,9,3,30,0,0,0,0,0,0,0,31,36,79,17,3,14,0,6,3,3,163,0,3,0,0,3,0,0,0,0,12,19,50,4,5,6,0,0,3,0,90,3,5,8,0,3,0,0,3,0,24,124,432,118,41,51,15,34,29,10,853,0,0,0,0,0,0,0,3,0,6,33,51,61,15,12,9,10,14,3,203,77,54,104,37,29,4,31,31,6,376,219,111,2010,72,93,67,515,320,62,3465,3,12,18,4,5,12,21,39,3,112,14,9,22,6,5,3,31,25,0,124,3,12,11,3,0,4,17,22,0,79,7,6,32,11,6,3,47,37,28,173,545,852,2420,204,222,118,722,526,111,5717,0,10,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,20,19,89,3,8,15,3,0,3,0,137,0,6,0,0,0,0,0,0,0,9
UCL312002,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,7,12,25,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,17,0,3,3,0,0,0,0,26,3,3,0,0,0,0,0,0,0,11,31,144,5,10,15,4,0,4,0,217,0,0,0,0,0,0,0,0,0,0,8,31,23,9,4,0,3,3,0,85,29,31,24,38,16,7,4,17,3,166,108,41,583,102,46,65,149,162,16,1268,3,3,5,8,8,12,8,21,0,65,7,0,8,15,5,7,8,16,0,66,0,3,4,0,3,0,3,3,0,16,6,5,16,7,3,10,15,28,12,95,212,308,672,192,111,105,193,253,32,2074,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,6,46,0,0,3,0,0,0,0,57,0,4,0,0,0,0,0,0,0,8
UCL313001,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,30,20,56,0,0,3,0,0,3,0,85,0,3,0,0,0,0,0,0,0,3,6,18,0,0,0,0,0,0,0,21,3,7,0,0,0,0,0,0,0,18,55,184,24,34,7,4,4,0,3,313,0,0,0,0,0,0,0,0,0,0,12,22,3,7,4,3,3,3,0,63,27,17,22,25,5,9,7,8,0,117,101,32,319,27,23,36,62,79,11,682,5,3,3,0,0,3,3,10,0,21,4,4,3,6,0,0,8,3,0,30,4,0,7,0,3,3,0,0,0,23,5,6,5,0,0,3,3,5,5,36,240,375,383,119,44,59,85,111,26,1439,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,18,8,66,0,3,4,3,0,0,0,87,0,6,0,0,0,0,0,0,0,6
UCL313002,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,10,14,3,3,4,0,0,0,0,33,3,3,0,0,0,0,0,0,0,8,0,16,0,3,3,0,3,0,0,30,0,0,0,0,0,0,0,0,0,3,35,147,11,14,10,3,3,3,0,226,0,0,0,0,4,0,0,0,0,4,26,34,13,13,5,5,9,6,3,116,32,25,24,29,10,12,9,12,3,146,124,37,396,40,39,52,117,108,8,924,0,3,9,8,0,3,0,13,0,33,4,3,10,7,3,4,12,4,0,54,3,5,3,0,0,0,0,4,0,13,6,7,22,0,0,3,10,15,5,85,244,299,499,117,72,89,168,165,26,1685,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,7,47,4,4,5,0,0,0,0,72,0,3,0,0,0,0,0,0,0,3
UCL313003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,0,3,3,0,3,0,0,29,0,0,0,0,0,0,0,0,0,3,0,11,3,0,0,0,0,0,0,14,4,3,0,0,3,0,0,0,0,12,53,142,29,8,3,8,4,5,3,262,0,0,0,0,0,3,0,0,0,3,10,16,10,7,0,3,8,3,3,62,38,19,31,12,5,7,6,5,0,134,113,23,593,32,28,47,132,95,21,1075,3,0,5,6,0,6,7,4,0,38,5,0,12,4,3,9,13,4,0,46,3,0,0,0,0,0,5,0,0,19,12,3,19,0,5,8,27,16,9,91,242,228,705,71,51,89,198,149,35,1778,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,28,3,0,6,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0
UCL313004,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,13,34,4,0,4,0,0,3,0,56,0,0,0,0,0,0,0,0,0,0,3,10,5,5,0,0,0,0,0,30,0,9,0,0,0,0,0,0,0,13,52,163,27,12,15,5,14,6,0,305,0,0,0,0,0,0,0,0,0,3,23,13,22,4,3,0,15,3,0,83,33,23,38,12,14,9,18,5,3,153,127,39,787,24,26,38,344,63,28,1479,3,5,14,5,0,10,10,15,0,56,10,3,6,3,0,3,20,8,3,53,5,0,4,0,0,0,3,0,0,15,8,9,20,0,3,8,22,24,3,98,273,309,931,70,63,80,455,123,36,2341,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,6,45,0,3,9,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
UCL313005,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,9,4,16,0,3,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,8,12,56,22,18,5,5,3,0,0,117,0,0,0,0,0,0,0,0,0,0,0,8,12,3,0,3,0,0,0,30,8,9,14,26,9,4,11,5,0,84,49,25,531,35,34,27,180,65,13,958,5,0,5,3,0,7,9,6,0,42,5,0,3,3,0,3,23,5,0,41,0,3,5,0,0,0,7,0,0,19,0,0,7,0,0,0,9,5,5,31,94,132,603,95,53,53,238,90,25,1380,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,19,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
UCL313006,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,8,32,0,0,3,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,4,18,0,3,0,0,0,0,0,30,0,3,0,0,0,0,0,0,0,3,29,143,10,21,11,6,5,6,0,239,0,0,0,0,0,0,0,0,0,3,11,18,8,16,5,4,4,0,0,68,23,23,17,28,9,8,7,11,0,126,108,22,528,50,28,71,141,171,25,1146,4,0,10,6,3,3,9,35,0,74,4,3,9,4,3,9,9,10,0,54,3,3,4,0,3,0,4,0,0,17,5,6,17,3,0,3,12,15,5,72,208,276,617,132,62,102,199,248,41,1883,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,5,33,0,3,0,4,0,0,0,41,0,3,0,0,0,0,0,0,0,3
UCL313007,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,7,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,8,29,115,10,14,7,8,3,7,3,190,0,0,0,0,0,0,0,0,0,0,12,9,11,13,3,0,0,0,0,59,15,22,15,22,6,4,7,4,4,107,70,13,323,35,15,26,90,119,14,707,0,0,7,3,4,10,3,20,0,39,5,0,0,3,0,4,4,8,0,29,0,0,3,0,0,0,0,0,0,10,5,3,9,3,0,3,4,20,3,56,163,201,378,91,38,52,123,179,25,1256,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,30,0,3,5,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
UCL313008,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,27,46,4,0,3,0,3,3,3,88,0,3,0,0,0,0,0,0,0,3,4,14,0,3,0,0,0,0,0,30,3,3,0,3,0,0,0,0,0,9,58,245,43,30,10,7,16,14,3,420,0,0,0,0,0,0,0,0,0,0,10,23,29,8,5,0,12,4,0,82,20,31,51,37,3,0,21,3,3,165,119,51,1285,43,43,39,411,100,31,2127,3,0,18,4,0,7,10,14,0,59,0,3,17,8,0,0,14,4,0,53,0,0,3,0,4,0,5,4,0,18,5,3,28,6,0,3,32,20,18,110,248,435,1479,137,61,65,520,159,64,3177,0,3,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,6,16,85,9,6,5,3,0,0,0,126,0,5,0,0,0,0,0,0,0,5
UCL313009,0,4,0,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,0,9,10,34,0,4,3,6,0,3,0,59,0,8,0,0,0,0,0,0,0,4,7,21,0,0,0,0,0,0,0,30,0,3,0,0,0,0,0,0,0,6,40,193,30,26,19,10,9,15,3,342,0,0,0,0,0,0,0,0,0,0,12,24,22,10,3,3,7,11,0,101,28,32,39,35,15,26,11,15,3,199,107,47,698,84,55,54,120,176,16,1360,0,3,8,7,8,11,7,14,0,61,3,0,11,9,9,5,8,20,0,65,0,3,3,3,0,0,5,10,0,25,3,8,19,3,0,5,16,9,9,73,223,396,825,184,109,125,183,271,28,2337,0,3,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,10,7,60,0,7,0,0,0,0,0,79,0,7,0,0,0,0,0,0,0,5
UCL313010,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,11,19,0,4,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,31,3,3,0,0,0,0,0,0,0,7,28,108,16,21,15,4,4,8,3,207,0,0,0,0,0,0,0,0,0,0,8,17,3,11,4,0,4,5,0,55,23,23,13,18,7,5,8,10,0,107,105,17,376,32,29,55,141,154,14,921,0,0,4,0,3,0,14,20,0,50,0,3,4,7,3,8,21,14,0,58,0,0,4,0,0,0,0,6,0,12,13,3,21,3,0,5,19,21,10,93,204,220,451,95,62,84,201,240,30,1595,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,39,0,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,3
UCL313011,0,3,0,0,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,34,17,34,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,6,10,26,3,3,0,0,0,3,0,45,6,5,0,3,0,0,0,0,0,19,68,189,27,27,18,11,8,5,0,360,0,0,0,3,0,0,0,0,0,3,28,26,29,12,5,7,6,7,0,118,30,29,31,36,15,8,13,6,9,169,126,37,728,61,32,40,211,101,22,1347,0,3,8,9,0,3,3,5,0,32,13,3,6,7,3,0,11,4,0,52,6,3,0,0,3,3,0,0,0,15,6,4,20,0,0,0,15,12,7,71,313,393,859,164,87,74,263,142,34,2332,0,4,0,0,0,0,0,0,0,8,0,23,0,0,3,0,0,0,0,21,19,69,0,0,4,0,0,0,0,93,0,6,0,0,0,0,0,0,0,6
