UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL121030,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,7,0,10,3,3,0,0,0,0,0,5,0,12,4,3,3,4,0,0,0,4,0,17,4,4,0,5,9,0,4,5,3,33,0,3,7,3,7,0,4,3,0,24,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,8,19,18,3,12,17,9,104
UCL121031,0,0,4,0,0,3,0,3,0,15,6,0,13,8,3,0,0,10,0,40,6,3,13,13,3,4,8,24,0,74,7,14,7,15,13,7,12,14,6,79,12,5,7,11,13,4,11,26,0,92,8,5,0,0,12,4,12,18,3,74,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,26,49,44,41,18,51,93,12,373
UCL121032,0,0,4,3,0,10,3,10,0,21,0,3,3,3,0,5,0,7,0,23,3,5,9,5,4,7,0,3,0,30,6,15,8,14,7,4,4,3,5,65,9,16,16,14,11,9,3,3,0,90,6,33,16,14,15,5,4,14,0,107,3,11,0,0,6,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,85,59,49,49,36,22,39,6,369
UCL121033,0,0,0,3,0,3,0,4,0,10,3,0,3,4,0,3,0,3,0,18,0,4,3,5,0,3,4,6,0,31,3,5,4,4,4,7,3,10,0,33,14,3,3,9,8,4,0,9,0,55,4,8,7,6,6,0,4,8,4,53,4,0,0,0,6,0,0,3,0,23,5,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,37,23,22,32,24,20,22,49,9,237
UCL121034,0,0,0,0,3,12,0,0,0,13,0,0,4,11,3,4,0,4,0,30,3,8,12,7,0,3,3,5,0,54,15,21,11,9,16,7,0,0,0,83,19,17,13,9,6,10,0,4,3,91,16,14,3,9,7,12,0,3,0,59,0,3,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,66,45,51,43,52,8,22,3,347
UCL121035,0,0,5,3,0,8,0,9,0,23,0,0,7,11,0,4,5,4,0,32,3,3,21,13,15,9,6,4,0,71,4,8,10,15,9,3,13,6,0,75,15,11,13,10,15,3,13,11,3,102,12,7,9,8,8,3,19,3,3,70,3,0,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,63,61,49,36,57,40,4,381
UCL121036,0,0,0,3,4,15,0,7,0,28,0,3,3,5,3,3,0,0,0,22,3,7,7,11,4,6,3,4,0,45,18,18,20,7,13,0,4,7,3,95,23,22,21,13,13,12,6,6,0,122,15,21,5,15,12,7,7,5,0,82,0,0,0,0,3,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,69,58,49,63,50,30,36,3,417
UCL121037,0,0,3,6,0,4,0,3,0,17,0,0,5,6,0,0,5,4,0,21,0,6,12,3,4,3,3,3,0,41,8,17,11,7,8,9,0,13,3,73,4,16,18,5,13,3,0,6,0,80,6,17,7,3,13,7,0,7,3,64,0,4,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,57,64,35,36,29,8,37,8,299
UCL121038,0,0,3,3,0,0,0,0,0,7,0,3,3,3,0,0,0,0,0,16,6,0,13,3,0,0,0,3,0,30,5,4,5,3,4,0,4,8,0,34,0,3,8,9,6,4,6,9,5,53,10,5,4,3,6,3,3,10,0,42,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,39,25,15,11,21,30,4,190
UCL121039,0,0,6,0,0,4,0,0,0,8,0,3,4,0,6,0,3,4,0,25,0,3,5,3,3,0,6,11,0,32,12,9,5,3,3,0,3,7,3,39,7,0,7,4,3,0,3,9,3,30,12,0,8,8,9,4,6,16,3,55,3,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,26,19,22,8,16,46,6,201
UCL121040,0,0,0,3,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,7,4,8,11,9,6,3,0,3,3,47,11,11,11,5,6,0,4,3,0,56,18,22,9,13,11,0,0,6,0,76,13,16,3,5,3,0,3,0,0,44,0,3,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,37,26,27,17,5,12,3,250
UCL121041,0,0,4,0,0,18,0,6,0,34,0,0,3,3,0,3,0,0,0,14,4,8,4,4,0,0,0,3,0,24,5,20,9,3,12,3,0,0,0,56,14,29,14,12,10,4,3,3,3,94,3,9,4,7,13,3,0,3,0,53,5,7,0,0,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,68,46,30,42,31,6,19,7,292
UCL121042,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,11,3,6,6,3,8,0,3,4,0,33,0,3,7,3,6,0,3,5,0,26,8,9,8,0,11,3,4,3,0,50,0,0,5,8,3,3,5,6,0,30,3,0,3,3,0,3,0,0,0,17,3,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,15,24,37,19,21,9,19,25,5,177
UCL121043,0,0,0,3,0,4,0,5,0,14,0,7,7,9,3,4,0,3,0,37,4,22,8,9,0,4,0,0,0,44,3,11,0,6,0,0,0,3,0,45,17,18,7,4,8,3,0,4,0,55,13,13,7,5,10,4,0,4,0,60,4,4,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,49,82,28,38,27,19,7,21,3,273
UCL121044,0,0,6,8,0,4,0,5,0,19,0,3,7,7,3,3,0,0,0,25,13,20,9,3,5,4,0,3,0,53,23,18,12,3,10,6,3,0,0,79,10,19,22,0,16,5,8,3,0,80,13,12,7,3,9,3,3,7,0,62,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,77,67,25,47,26,15,22,3,336
UCL121045,0,0,4,0,0,4,0,4,0,11,0,0,6,0,0,3,0,0,0,10,3,4,3,3,7,3,0,6,0,23,0,14,4,3,6,3,0,3,0,38,3,6,6,5,6,7,0,11,0,50,0,9,6,4,9,7,4,6,0,58,0,3,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,33,26,30,30,7,32,0,202
UCL121046,0,0,4,4,0,0,0,3,0,15,0,3,0,3,3,0,0,4,0,19,3,14,9,9,5,0,9,3,0,45,8,13,7,3,11,3,3,0,3,58,5,7,8,6,11,3,9,4,0,60,6,7,5,6,5,0,3,0,0,36,3,3,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,48,32,36,43,12,26,18,3,247
UCL121047,0,0,7,4,0,13,0,0,0,24,0,0,9,5,0,0,0,3,0,17,4,3,3,4,3,5,0,3,0,30,10,17,16,7,9,9,0,7,0,67,14,15,11,8,4,7,5,3,0,72,9,23,6,8,10,0,4,8,0,61,3,6,0,0,0,0,3,0,3,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,60,45,44,34,32,13,24,4,299
UCL121048,0,0,3,3,0,13,0,7,0,21,0,0,10,6,0,8,0,6,0,26,8,8,13,4,7,10,4,22,0,75,9,16,14,3,12,3,8,6,0,72,6,0,10,4,12,3,11,11,0,61,8,7,7,3,8,11,8,6,3,55,0,5,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,48,22,44,39,35,64,5,331
UCL121049,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,8,0,6,6,0,0,0,0,3,0,13,3,3,3,0,0,3,0,3,0,25,0,0,9,4,6,3,3,11,0,35,3,12,6,3,7,3,4,5,0,45,0,3,3,0,6,4,0,0,0,16,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,15,24,22,14,24,19,14,30,4,152
UCL121050,0,0,0,4,0,5,0,3,0,17,0,3,4,11,3,0,0,6,0,21,4,0,15,8,0,0,5,4,3,40,7,6,10,11,11,7,0,15,0,62,17,12,20,7,14,4,7,7,3,89,13,18,4,3,18,7,6,15,0,83,7,8,0,0,11,3,0,4,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,45,56,51,48,42,31,17,51,10,359
UCL121051,0,0,3,0,4,3,0,0,0,14,0,0,7,0,3,3,0,3,0,23,4,6,7,9,4,3,3,4,0,37,11,8,3,5,7,3,10,0,0,47,6,9,8,10,8,7,12,9,3,68,12,10,5,12,12,3,8,3,0,62,4,3,3,0,6,0,3,3,4,30,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,43,37,38,32,42,19,33,26,8,290
UCL121052,0,0,3,8,0,3,0,0,0,12,0,0,7,8,0,3,0,0,0,20,13,18,13,3,5,3,0,3,0,54,19,6,5,4,5,3,0,4,0,53,10,8,13,3,13,6,3,10,0,61,13,21,15,11,9,7,0,7,0,88,0,0,3,0,5,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,59,54,33,40,23,9,30,3,305
UCL121053,0,0,6,7,0,6,0,3,0,32,3,9,15,14,3,4,0,4,3,47,7,18,11,9,3,3,4,3,3,61,5,27,10,5,6,3,6,3,3,77,19,27,24,8,19,7,7,3,0,122,17,35,14,5,15,8,5,11,0,111,3,6,0,0,0,0,3,0,0,20,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,54,118,79,61,55,43,28,25,9,472
UCL121054,0,0,12,0,3,3,0,4,0,18,0,0,6,6,0,3,0,5,0,21,9,8,12,9,9,7,7,5,0,58,11,6,9,3,4,8,3,8,0,53,7,3,11,8,10,12,10,8,0,65,17,6,9,7,12,11,6,10,3,78,3,3,3,0,3,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21,60,30,38,34,30,46,9,311
UCL121055,0,0,4,9,0,24,0,14,0,42,0,3,10,3,3,0,0,3,0,32,3,9,9,3,9,0,5,0,0,37,23,17,14,8,13,6,3,3,0,90,25,23,32,3,23,5,8,8,0,125,13,13,14,3,11,3,0,5,0,59,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,67,77,30,62,39,17,38,4,400
UCL121056,0,0,3,4,0,0,0,6,0,15,0,0,0,3,0,4,0,3,0,10,4,12,7,4,9,3,0,8,0,49,3,19,17,7,11,0,3,0,3,66,4,13,17,7,9,9,0,5,0,72,4,16,5,9,6,4,5,6,0,65,0,6,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68,55,34,42,28,13,37,4,297
UCL121057,0,0,9,10,0,8,0,3,0,26,0,3,9,8,3,4,0,14,0,38,0,8,9,4,6,4,5,4,0,53,4,12,11,8,8,7,4,0,0,61,5,5,19,10,11,9,3,9,3,81,3,12,8,10,5,4,4,8,0,55,0,3,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,72,51,41,35,22,43,3,322
UCL121058,0,0,8,6,0,4,5,3,0,26,0,4,12,9,4,3,0,0,0,35,4,3,23,10,8,0,3,0,0,60,3,8,18,4,12,0,9,11,5,71,9,9,14,7,10,10,15,4,3,84,3,13,18,6,13,6,7,8,3,79,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,94,42,54,23,43,30,10,354
UCL121059,3,0,3,8,0,31,5,6,0,53,0,4,12,7,4,6,3,0,0,40,3,26,13,4,16,7,10,3,0,74,26,42,24,24,32,9,13,9,3,160,35,48,20,18,37,14,16,6,0,193,20,36,15,9,33,9,8,17,0,141,3,9,3,0,8,6,4,6,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,84,165,92,70,128,75,56,47,6,715
UCL121060,0,0,0,3,0,10,0,7,0,20,0,3,3,0,0,0,0,3,0,17,3,9,13,5,5,0,0,3,0,46,4,12,13,4,8,3,0,4,0,41,10,12,17,7,9,7,3,6,0,69,3,14,4,8,13,3,3,4,0,52,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,48,27,34,26,10,30,3,244
UCL121061,0,3,7,9,0,17,0,9,0,38,0,0,7,4,4,3,0,5,0,25,5,14,8,0,10,6,0,4,0,59,15,19,15,8,17,6,4,3,5,100,15,27,25,12,18,12,9,8,0,127,13,21,11,11,17,8,8,13,0,101,4,3,3,4,3,0,3,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,92,72,47,65,53,32,48,6,473
UCL121062,0,3,4,7,7,7,3,6,0,37,3,7,4,12,0,3,3,3,0,34,7,12,20,8,11,4,7,10,0,71,17,26,16,14,15,6,5,6,3,115,27,40,17,12,17,9,8,11,6,136,17,34,12,8,15,9,3,6,0,90,8,7,4,0,6,6,5,0,0,31,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,68,130,75,62,67,39,27,40,5,518
UCL121063,0,0,3,0,0,3,0,4,0,11,3,0,7,3,3,0,0,0,0,16,0,3,6,4,0,5,0,3,0,22,4,10,8,0,4,9,4,0,0,36,10,7,8,17,11,13,8,14,0,80,4,4,9,9,8,3,7,3,0,55,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,33,33,28,29,28,23,30,8,233
UCL121064,0,0,0,0,0,7,0,8,0,18,0,0,3,3,0,3,0,0,0,6,0,5,6,6,9,3,3,0,0,30,0,8,3,6,7,0,0,5,0,36,4,10,7,6,4,5,7,14,0,63,11,9,9,7,11,4,7,4,0,64,0,4,3,0,3,0,3,0,0,13,3,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,41,43,30,31,24,20,29,5,235
UCL121065,0,3,4,0,0,0,0,0,0,10,0,3,3,6,0,4,0,4,0,23,7,3,10,5,6,0,3,5,0,45,14,3,3,3,4,0,0,7,0,43,17,10,5,11,14,0,7,6,0,75,8,6,4,10,9,3,11,12,0,69,14,9,0,0,0,0,5,3,0,33,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,64,36,33,41,36,16,35,34,7,314
UCL121066,0,0,12,11,0,15,0,6,0,45,3,0,4,7,3,3,3,0,0,23,17,4,23,13,19,9,3,13,0,106,18,10,17,15,22,11,6,7,3,114,12,23,31,17,23,11,6,10,0,130,24,33,25,16,15,13,8,11,0,138,0,3,7,0,0,3,3,3,4,22,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,76,82,117,80,83,60,28,49,6,580
UCL121067,0,0,3,7,3,7,0,3,0,24,0,3,4,4,4,12,3,0,0,32,0,6,3,3,3,3,0,3,0,21,9,24,10,6,13,4,0,0,0,66,17,21,11,5,20,8,7,4,0,96,3,22,6,0,9,3,5,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,73,32,25,49,37,17,9,0,279
UCL121068,0,0,0,5,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,16,3,13,10,0,4,4,3,0,5,41,15,12,7,9,10,6,3,3,0,54,23,24,16,11,12,3,0,6,0,97,7,22,3,3,10,3,3,0,0,58,0,3,3,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,73,38,39,33,22,13,11,9,293
UCL121069,0,0,0,0,0,3,0,12,0,10,0,0,8,9,3,4,3,15,0,37,3,7,21,9,8,10,5,5,0,59,10,4,11,9,4,3,8,5,0,65,4,0,5,9,4,9,11,6,0,52,0,3,9,9,5,3,6,4,0,38,3,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,25,13,52,34,25,25,44,46,3,277
UCL121070,0,0,0,4,0,0,0,3,0,11,0,0,3,0,0,0,0,3,0,16,0,0,8,8,9,3,0,3,0,33,6,3,12,5,3,0,5,13,0,53,4,8,9,3,3,6,13,16,0,52,3,8,9,6,5,5,10,11,0,58,6,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,36,34,20,17,37,49,8,236
UCL121071,0,0,3,5,0,3,0,7,0,17,0,0,11,10,3,4,0,8,0,38,10,7,8,8,7,4,0,4,0,49,13,15,6,4,4,4,5,4,0,55,5,20,15,12,6,3,0,6,0,70,12,25,3,6,3,3,3,4,0,57,0,8,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,66,46,44,29,20,13,34,3,298
UCL121072,0,0,3,5,0,3,0,4,0,15,0,3,5,4,0,8,3,0,0,19,3,18,13,0,3,3,0,6,0,44,4,3,4,3,5,0,0,0,0,20,9,13,11,4,10,4,0,3,4,56,8,11,3,7,6,4,0,3,0,40,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,45,35,19,32,20,8,11,7,205
UCL121073,0,0,3,3,0,7,0,3,0,21,0,0,4,4,0,0,0,0,0,11,0,15,11,11,12,3,4,10,0,75,4,10,11,18,7,3,14,12,0,74,3,7,7,4,8,6,17,7,3,68,6,3,6,10,11,3,22,10,0,74,7,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,23,36,51,55,37,25,63,43,4,338
UCL121074,0,0,0,3,0,8,0,4,0,24,3,0,0,3,3,6,3,6,0,24,0,7,21,6,9,4,12,18,0,68,3,7,14,3,7,3,9,7,0,57,4,8,9,19,4,0,6,10,0,65,0,4,8,0,3,0,6,10,0,36,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,59,42,28,25,41,45,3,278
UCL121075,0,0,0,3,0,10,0,5,0,17,0,0,4,0,4,0,3,5,0,17,4,19,15,7,3,0,7,3,0,61,11,20,9,3,6,3,3,7,0,71,5,16,17,10,19,8,9,11,3,95,15,5,3,5,3,4,3,3,0,47,4,0,3,0,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,62,58,33,39,27,31,38,3,329
UCL121076,0,0,8,4,5,7,3,9,0,26,0,3,20,6,3,6,0,3,0,49,3,6,20,8,8,0,11,5,0,68,3,14,14,4,14,3,4,4,0,66,9,14,13,8,11,10,10,18,0,100,4,7,6,5,6,0,3,0,3,43,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,42,76,42,47,31,43,35,7,353
UCL121077,0,0,3,0,0,8,0,12,0,27,0,0,0,0,0,3,0,0,0,6,6,6,3,3,3,0,0,0,0,23,6,10,7,10,5,6,7,7,0,59,10,12,11,0,11,0,0,5,0,59,10,15,5,5,5,5,10,5,0,59,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,50,33,25,27,18,17,32,0,231
UCL121078,0,0,0,3,0,5,0,0,0,17,3,4,3,5,3,4,0,0,0,22,5,22,18,7,8,0,3,0,0,64,16,29,17,10,9,9,0,3,0,106,8,18,13,10,21,6,8,5,3,88,8,14,15,8,5,7,3,4,3,62,0,3,3,0,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,92,71,50,51,41,19,17,3,386
UCL121079,0,0,0,0,0,6,3,0,0,15,0,0,7,3,3,0,0,0,0,16,0,5,5,4,3,0,3,3,0,30,9,17,11,0,10,4,3,5,0,63,10,19,3,15,10,3,4,3,0,68,7,10,3,3,10,0,3,0,0,44,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,31,28,34,20,15,19,3,240
UCL121080,0,0,3,5,0,6,0,4,0,28,0,3,3,3,3,3,0,4,0,19,3,15,12,7,0,8,0,6,0,54,17,21,3,10,15,0,3,9,0,71,12,18,9,12,16,3,3,10,0,96,17,29,13,14,14,3,5,11,3,112,0,5,0,3,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,50,88,46,67,56,29,18,42,3,405
UCL121081,0,0,4,8,0,3,0,7,0,21,0,0,7,3,0,3,0,4,0,22,6,12,15,15,0,7,3,4,0,64,13,15,22,17,10,0,0,5,0,88,7,32,13,12,9,10,4,12,0,95,13,21,11,9,10,10,7,7,0,76,3,13,6,0,5,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,84,80,53,43,34,14,31,3,395
UCL121082,0,0,4,3,0,4,0,3,0,24,3,3,12,0,0,5,0,0,0,28,14,14,14,9,10,7,4,4,0,74,20,17,16,10,17,11,10,3,7,109,21,17,9,3,13,0,8,3,0,76,11,9,7,3,15,8,8,6,0,65,0,3,5,0,3,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,56,66,32,61,38,34,19,7,379
UCL121083,0,0,0,3,0,8,0,8,0,18,0,4,3,6,3,0,0,3,0,17,3,21,9,9,14,4,8,5,3,72,32,37,22,8,19,9,8,4,0,140,19,25,10,4,13,3,0,0,3,83,14,22,5,7,19,4,3,5,0,70,3,3,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,110,54,39,67,27,16,19,3,406
UCL121084,0,0,3,5,0,3,0,3,0,14,0,0,6,5,0,0,0,6,0,23,0,3,5,3,0,11,8,8,0,38,3,7,14,12,5,0,16,17,0,70,4,3,10,7,3,0,10,14,3,58,6,11,13,6,6,7,3,4,0,53,11,4,4,0,3,0,3,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,59,38,20,20,42,53,8,298
UCL121085,0,0,3,3,0,8,0,3,0,21,0,0,5,3,0,0,0,6,0,18,0,0,7,3,3,6,0,9,0,32,3,3,11,5,13,4,8,3,0,49,3,8,12,8,6,7,8,13,3,58,0,6,3,4,4,7,4,7,3,37,0,4,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,43,29,26,26,25,31,3,211
UCL121086,0,0,4,4,0,8,0,8,0,27,4,0,5,7,0,6,3,4,0,31,3,0,15,4,10,6,4,4,3,54,7,3,14,7,9,5,7,10,0,64,5,8,5,8,3,5,10,15,0,60,3,5,4,3,0,3,9,6,0,28,0,0,0,0,3,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,43,36,28,35,34,50,5,278
UCL121087,0,0,0,10,3,4,0,3,0,22,0,3,10,5,6,4,3,3,0,34,4,15,17,5,3,5,7,11,0,69,13,16,14,3,6,3,3,6,0,64,21,26,21,10,19,6,8,7,0,115,14,16,13,11,14,10,3,5,0,90,0,0,0,3,3,5,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81,72,51,54,35,22,35,7,425
UCL121088,0,0,0,0,0,5,0,6,0,14,3,0,9,3,0,3,3,0,0,22,3,8,31,10,3,0,15,9,3,85,7,12,15,4,9,4,13,6,0,62,0,10,7,4,7,5,14,3,0,58,0,7,9,3,7,3,10,3,0,38,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,44,66,21,31,24,53,35,4,294
UCL121089,0,0,6,4,0,16,0,12,0,41,0,3,9,3,3,4,0,3,0,23,7,5,13,6,8,3,5,5,0,52,9,21,10,18,16,15,3,6,0,91,21,17,21,12,23,9,7,8,0,117,11,21,14,6,9,3,10,0,3,71,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,67,66,52,54,55,27,36,3,408
UCL121090,0,0,4,3,5,4,0,3,0,20,0,4,5,5,3,7,0,0,0,23,3,3,0,6,4,4,4,7,3,37,9,7,3,9,5,0,3,6,0,44,7,21,23,12,22,4,3,9,0,106,8,15,8,9,10,3,6,5,3,66,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,54,46,42,50,26,20,35,6,308
