UCL_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL122125,42,1609,661,273,2067,0.8,1791,2.9
UCL122126,37,1842,701,400,1908,0.8,1829,3.1
UCL122127,35,1595,640,375,1597,0.8,1458,2.7
UCL122128,52,1300,662,200,1449,0.8,1148,2.3
UCL122129,42,1374,547,270,1198,0.9,1120,2.7
UCL122130,36,1300,628,250,1437,0.7,1303,2.5
UCL122131,40,2500,804,375,2482,0.8,2333,3
UCL122132,55,685,396,0,785,0.7,703,2.2
UCL122133,35,2600,1197,350,2903,0.8,2865,3.1
UCL122134,59,1000,525,135,1208,0.6,890,1.7
UCL122135,52,1966,721,0,2075,0.6,2045,2.6
UCL122136,47,1100,490,135,1521,0.7,909,2.2
UCL122137,45,737,481,200,982,0.7,785,2.1
UCL122138,52,1300,627,230,1916,0.7,1375,2.5
UCL122139,47,1408,578,325,1180,0.6,1096,2.3
UCL122140,38,275,959,245,2091,1,1420,1.7
UCL122141,44,750,378,160,822,0.8,790,2.6
UCL122142,55,1517,496,221,1187,1,784,1.7
UCL122143,41,1744,656,305,1452,0.7,1375,2.5
UCL122144,51,732,542,125,1187,0.8,899,2.1
UCL122145,21,0,328,100,599,0.9,687,4
UCL122146,55,659,461,105,1228,0.7,719,2
UCL122147,52,715,464,123,1233,0.7,769,2
UCL122148,53,954,478,225,1031,0.8,937,2.1
UCL122149,53,488,462,83,1140,0.7,756,1.9
UCL122150,42,1539,621,358,1548,0.8,1337,2.4
UCL122151,40,1135,407,305,871,0.7,881,2.5
UCL122152,49,1473,480,318,1053,0.8,900,2.1
UCL122153,52,1083,423,225,1010,0.8,763,2.1
UCL122154,51,542,448,70,1020,0.7,829,2.2
UCL122155,54,563,460,90,1047,0.7,758,2.2
UCL122156,58,765,370,200,719,0.7,562,1.8
UCL122157,56,975,465,200,1012,0.6,774,2.1
UCL122158,39,2156,754,450,1952,0.9,1825,2.9
UCL122159,45,650,457,150,1166,0.8,881,2.2
UCL122160,43,1517,575,250,1328,0.8,1170,2.6
UCL122161,39,1365,572,260,1341,0.8,1098,2.5
UCL122162,52,867,470,175,1037,0.7,806,2.1
UCL122163,55,700,397,150,820,0.8,696,1.9
UCL122164,59,1105,439,250,949,0.7,691,1.9
UCL122165,47,1625,602,225,1671,0.8,1394,2.3
UCL122166,48,1733,643,345,1637,0.7,1305,2.3
UCL122167,33,2290,803,650,2625,0.9,2772,3.7
UCL122168,48,710,404,165,966,0.7,770,2.1
UCL131777,45,1733,626,200,1601,0.8,1367,2.7
UCL179997,58,0,540,0,0,0,0,0
UCL199994,39,0,405,0,0,0,0,0
UCL201001,36,1831,674,351,1834,0.9,1546,2.7
UCL203001,38,1500,591,275,1555,0.8,1206,2.4
UCL211001,36,1400,655,250,1497,0.8,1228,2.4
UCL211002,37,1322,584,250,1466,0.8,1134,2.4
UCL211003,38,1387,608,250,1446,0.8,1171,2.4
UCL211004,33,1445,578,275,1412,0.8,1258,2.8
UCL212001,39,1232,548,225,1300,0.8,1022,2.4
UCL212002,37,1300,583,225,1385,0.8,1135,2.5
UCL212003,38,1600,691,312,1844,0.8,1569,2.7
UCL212004,38,1312,638,240,1640,0.8,1276,2.4
UCL212005,41,1408,612,250,1478,0.8,1152,2.4
UCL213001,37,1517,637,270,1666,0.8,1375,2.6
UCL213002,44,1300,549,240,1226,0.7,948,2.2
UCL213003,42,1257,576,218,1393,0.8,1050,2.3
UCL213004,40,1500,555,270,1391,0.8,1146,2.5
UCL213005,45,1500,557,300,1379,0.7,1141,2.4
UCL213006,43,1303,602,248,1402,0.8,1103,2.3
UCL213007,41,1200,618,200,1401,0.7,1088,2.3
UCL213008,36,1642,680,313,1807,0.8,1555,2.7
UCL213009,37,1600,637,330,1597,0.8,1376,2.6
UCL213010,44,1040,475,170,1160,0.8,826,2.2
UCL213011,43,953,469,180,1083,0.7,801,2.1
UCL213012,42,1733,702,340,1850,0.8,1492,2.5
UCL213013,44,1138,525,200,1316,0.7,1022,2.2
UCL213014,40,1300,604,245,1524,0.7,1147,2.3
UCL213015,39,1265,601,200,1398,0.8,1090,2.3
UCL213016,39,2000,769,400,2027,0.8,1753,2.7
UCL213017,44,1300,583,220,1351,0.7,1021,2.2
UCL213018,43,1400,582,250,1482,0.7,1153,2.4
UCL214001,46,1017,554,200,1244,0.7,967,2.2
UCL214002,49,1127,525,200,1175,0.7,874,2.1
UCL214003,47,1300,567,266,1333,0.8,956,2.2
UCL214004,45,1257,501,205,1254,0.8,930,2.3
UCL214005,44,1341,549,200,1425,0.8,1125,2.5
UCL214006,38,1950,753,359,2124,0.8,1845,2.8
UCL214007,46,1083,570,200,1372,0.7,1013,2.2
UCL214008,44,1517,573,300,1441,0.8,1161,2.4
UCL214009,52,1700,552,270,1286,0.7,1016,2.2
UCL214010,39,1560,584,280,1590,0.8,1347,2.6
UCL214011,47,1200,540,193,1233,0.8,957,2.3
UCL214012,53,1300,474,220,1091,0.7,814,2.1
UCL214013,43,1343,566,240,1373,0.7,1046,2.3
UCL214014,50,988,458,200,977,0.7,762,2.1
UCL214015,58,1500,487,270,1150,0.7,871,2
UCL214016,45,1143,528,200,1223,0.8,953,2.2
UCL214017,47,953,519,175,1273,0.7,909,2.1
UCL214018,35,1690,688,300,1742,0.8,1589,3
UCL214019,48,1294,468,230,1085,0.7,794,2.2
UCL214020,50,1351,513,240,1231,0.7,956,2.3
UCL215001,53,1517,657,315,1459,0.7,1211,2.2
UCL215002,50,1300,516,200,1329,0.7,910,2.1
UCL215003,51,1624,712,320,1699,0.7,1284,2.2
UCL215004,48,1517,577,250,1202,0.8,917,2.1
UCL215005,43,1400,564,250,1467,0.7,1155,2.4
UCL215006,47,1710,704,360,1742,0.8,1420,2.5
UCL215007,34,1749,695,330,1762,0.8,1652,3
UCL215008,34,1649,840,300,2039,0.8,1915,3
UCL215009,53,975,477,160,1062,0.7,789,2.1
UCL215010,40,2090,806,355,2239,0.8,2144,3.2
UCL215011,56,953,450,200,1025,0.7,726,1.9
UCL215012,51,1404,608,245,1403,0.7,1093,2.2
UCL215013,31,1970,840,350,2027,0.9,2022,3.3
UCL215014,39,1600,668,311,1796,0.8,1645,2.7
UCL215015,50,1398,576,220,1247,0.7,946,2.2
UCL215016,38,1300,593,263,1413,0.8,1210,2.5
UCL215017,41,1625,591,266,1729,0.8,1396,2.8
UCL215018,49,1075,500,200,1190,0.7,898,2.2
UCL215019,42,1400,589,270,1330,0.8,1131,2.4
UCL215020,56,758,459,130,1024,0.7,730,2
UCL215021,46,1164,582,200,1445,0.8,1165,2.3
UCL215022,36,953,467,200,1156,0.7,949,2.4
UCL215023,48,1083,525,185,1301,0.7,1030,2.3
UCL215024,56,875,473,160,1093,0.7,824,2
UCL215025,50,867,447,150,1088,0.7,817,2.1
UCL215026,55,1430,489,251,1128,0.7,840,2.1
UCL215027,49,1198,502,220,1235,0.7,920,2.2
UCL215028,51,1300,568,285,1237,0.8,959,2
UCL215029,34,1470,739,300,1672,0.7,1441,2.5
UCL215030,52,810,468,150,1144,0.7,849,2.1
UCL215031,53,780,491,160,1150,0.7,833,2.1
UCL215032,53,1000,513,187,1174,0.7,835,2
UCL215033,32,2000,1086,346,2333,0.8,2257,3.1
UCL215034,60,1181,463,200,1060,0.7,742,1.9
UCL215035,37,1517,637,275,1593,0.8,1385,2.8
UCL215036,36,1687,634,325,1722,0.9,1536,3
UCL215037,57,1062,439,200,953,0.7,745,1.9
UCL215038,44,997,491,190,1149,0.7,869,2.2
UCL215039,50,953,504,180,1221,0.7,857,2.1
UCL215040,49,975,509,170,1196,0.7,885,2.2
UCL215041,36,1517,627,265,1535,0.8,1214,2.7
UCL215042,39,1300,582,240,1375,0.8,1176,2.5
UCL215043,45,1192,494,220,1186,0.7,891,2.3
UCL215044,45,1540,593,293,1483,0.8,1130,2.3
UCL215045,41,1500,639,298,1602,0.8,1330,2.5
UCL215046,38,1517,562,250,1354,0.8,1153,2.6
UCL215047,32,1471,534,290,1324,0.8,1133,2.7
UCL215048,54,2080,696,348,1486,0.7,1240,2.1
UCL215049,44,2000,800,352,2245,0.8,1942,2.7
UCL215050,42,1148,529,210,1315,0.8,1026,2.3
UCL215051,58,1200,482,225,1100,0.7,795,1.8
UCL215052,44,1400,601,265,1381,0.7,1032,2.3
UCL215053,47,910,469,180,976,0.8,776,2.2
UCL215054,39,1200,485,265,1138,0.8,934,2.3
UCL215055,43,1247,504,230,1375,0.8,1098,2.4
UCL215056,50,900,470,180,1079,0.7,778,2.1
UCL215057,50,1052,565,205,1313,0.7,951,2
UCL215058,49,1300,494,200,1191,0.7,879,2.2
UCL215059,51,1300,558,228,1303,0.7,922,2.1
UCL215060,48,867,525,160,1215,0.7,915,2.2
UCL215061,48,823,551,152,1270,0.8,958,2.2
UCL215062,48,1083,498,185,1200,0.7,891,2.2
UCL215063,52,867,439,160,925,0.7,707,2
UCL215064,53,800,506,138,1219,0.7,853,2.1
UCL215065,61,1096,478,250,1121,0.7,841,2
UCL215066,59,1623,662,300,1576,0.7,1193,2.1
UCL215067,51,1560,601,270,1419,0.7,1107,2.2
UCL215068,42,997,486,200,1141,0.8,861,2.3
UCL215069,41,1733,758,330,2088,0.8,1850,2.8
UCL215070,35,1083,501,178,1152,0.9,969,2.7
UCL215071,51,1083,498,176,1216,0.7,907,2.2
UCL215072,40,1664,641,305,1778,0.8,1556,2.8
UCL215073,41,1083,531,200,1367,0.8,1125,2.4
UCL215074,47,1200,615,200,1400,0.7,1073,2.2
UCL215075,54,1517,558,251,1360,0.7,1016,2.1
UCL215076,35,1695,704,340,1716,0.8,1583,2.9
UCL215077,52,867,474,150,1144,0.7,806,2
UCL215078,39,1300,572,240,1348,0.7,1121,2.4
UCL215079,43,1344,586,210,1471,0.8,1173,2.4
UCL215080,48,1000,495,190,1243,0.7,960,2.2
UCL215081,43,1000,520,180,1329,0.8,968,2.4
UCL215082,36,1810,696,270,1805,0.8,1511,2.8
UCL215083,40,1387,605,260,1529,0.7,1208,2.4
UCL215084,38,1733,699,268,1890,0.9,1708,3
UCL215085,49,1291,508,265,1184,0.8,881,2.2
UCL215086,49,758,496,150,1170,0.7,840,2.1
UCL215087,41,1600,578,300,1615,0.8,1241,2.6
UCL215088,48,1276,479,237,1188,0.7,943,2.2
UCL215089,43,2167,822,531,2792,0.8,2801,3.3
UCL215090,43,1650,706,320,1859,0.8,1523,2.5
UCL215091,35,1517,636,300,1450,0.8,1274,2.7
UCL215092,43,867,468,200,1160,0.8,929,2.2
UCL215093,36,1800,696,321,1708,0.8,1455,2.7
UCL215094,42,1517,529,285,1420,0.8,1133,2.5
UCL215095,41,1300,575,280,1411,0.8,1077,2.3
UCL215096,51,1000,463,186,1046,0.7,770,2
UCL215097,53,1300,494,250,1146,0.7,844,2.1
UCL221001,35,1470,687,268,1742,0.8,1528,2.8
UCL221002,44,1300,573,240,1416,0.8,1144,2.3
UCL221003,51,942,449,180,943,0.7,750,2.1
UCL221004,37,1200,662,260,1639,0.8,1388,2.6
UCL221005,42,1800,702,265,2098,0.8,2032,3.4
UCL221006,47,650,498,137,1205,0.7,894,2.3
UCL221007,41,1394,603,230,1514,0.8,1130,2.3
UCL221008,47,1083,497,195,1444,0.8,1006,2.2
UCL221009,56,650,465,150,1095,0.7,855,2.1
UCL221010,38,1092,568,245,1294,0.8,1065,2.4
UCL221011,44,1083,493,223,1190,0.8,900,2.2
UCL221012,40,1614,768,265,1854,0.8,1692,2.9
UCL221013,41,1300,698,175,1762,0.9,1672,3.2
UCL221014,40,1517,661,285,1895,0.8,1554,2.7
UCL221015,52,1200,537,243,1183,0.7,880,2.1
UCL221016,34,1593,667,255,1656,0.7,1493,2.9
UCL221017,44,1083,487,190,1221,0.8,985,2.5
UCL221018,55,780,454,153,1009,0.7,754,1.9
UCL221019,51,1083,455,200,1053,0.7,819,2.1
UCL221020,56,650,471,126,1074,0.7,774,1.9
UCL221021,54,1300,464,260,1028,0.7,893,2.2
UCL221022,57,981,453,240,912,0.6,730,1.9
UCL221023,45,1070,582,138,1431,0.8,1031,2.2
UCL221024,57,758,424,153,782,0.7,607,1.8
UCL221025,56,1300,545,240,1217,0.7,1062,2.2
UCL221026,47,1300,491,250,1239,0.8,936,2.3
UCL221027,57,636,488,140,1116,0.6,818,1.8
UCL221028,56,1020,465,218,1059,0.7,787,1.9
UCL221029,53,964,477,175,1077,0.7,771,2
UCL221030,58,2000,820,400,1843,0.7,1553,2.3
UCL221031,37,1419,712,255,1853,0.8,1568,2.7
UCL221032,52,1083,463,250,972,0.8,749,2
UCL221033,43,1733,646,128,1854,0.8,1437,2.8
UCL221034,44,1300,567,260,1478,0.8,1215,2.5
UCL221035,56,667,498,120,1116,0.6,825,2
UCL221036,35,1993,704,345,2083,0.9,2032,3.5
UCL221037,53,737,439,175,1081,0.7,779,2
UCL221038,41,1419,647,250,1691,0.9,1418,2.8
UCL221039,50,650,497,115,1300,0.7,949,2.1
UCL221040,40,1517,617,298,1611,0.8,1350,2.6
UCL221041,37,1794,659,271,1866,0.9,1571,2.8
UCL221042,47,964,583,180,1338,0.8,1060,2.3
UCL221043,51,1307,529,250,1039,0.7,935,2.2
UCL221044,38,1480,584,248,1528,0.8,1368,2.9
UCL221045,63,700,402,150,771,0.6,606,1.6
UCL221046,58,1083,467,180,1077,0.7,759,1.9
UCL221047,45,1300,599,300,1490,0.7,1237,2.3
UCL221048,28,1649,776,320,1713,0.8,1580,2.9
UCL221049,39,2000,651,190,2018,0.9,1924,3.1
UCL221050,58,1300,573,260,1194,0.7,1018,2.1
UCL221051,37,1800,721,320,2071,0.9,1991,3.2
UCL221052,51,1083,489,188,1093,0.8,841,2.3
UCL221053,49,758,481,155,1119,0.7,868,2.1
UCL221054,42,1625,660,273,1841,0.8,1562,2.7
UCL221055,46,1517,566,210,1388,0.8,1218,2.5
UCL221056,59,1213,494,300,1092,0.7,922,2.2
UCL221057,51,1134,510,220,1079,0.7,850,2.1
UCL221058,39,1473,561,300,1433,0.8,1335,2.8
UCL221059,45,1300,606,265,1360,0.7,1149,2.3
UCL221060,65,1300,472,185,1067,0.7,824,1.8
UCL221061,41,1202,581,200,1312,0.9,1021,2.2
UCL221062,55,867,452,175,970,0.7,770,2
UCL221063,53,640,450,128,972,0.7,775,2
UCL221064,34,1517,712,320,1630,0.9,1511,2.8
UCL221065,39,1247,608,220,1375,0.8,1180,2.4
UCL221066,39,1083,579,198,1449,0.8,1158,2.5
UCL221067,42,1200,591,250,1301,0.7,983,2.3
UCL221068,48,1083,514,193,1281,0.7,1014,2.1
UCL221069,39,1733,668,310,1757,0.8,1634,2.9
UCL221070,48,1083,560,215,1183,0.7,971,2.2
UCL221071,36,1733,829,390,2337,0.9,2195,3.2
UCL221072,55,1237,527,280,1347,0.7,996,2
UCL221073,58,1349,561,250,1271,0.6,1029,2.2
UCL221074,58,1000,443,218,821,0.6,677,1.8
UCL221075,55,1060,459,200,1044,0.7,820,2.1
UCL221076,45,1517,635,283,1529,0.8,1260,2.2
UCL221077,56,672,439,130,938,0.7,664,1.8
UCL221078,49,1700,572,310,1328,0.8,1030,2.1
UCL221079,39,1733,619,180,1770,0.8,1337,2.7
UCL221080,55,650,451,120,956,0.7,770,1.9
UCL221081,48,1517,614,270,1544,0.8,1189,2.3
UCL221082,40,1127,555,220,1375,0.8,1171,2.4
UCL222001,46,1733,820,0,2050,0.7,1916,2.9
UCL222002,46,2000,738,380,1962,0.7,1740,2.6
UCL222003,36,1365,658,193,1687,0.9,1375,3
UCL222004,28,0,833,0,0,0,0,0
UCL222005,47,1119,514,178,1187,0.7,888,2.3
UCL222006,49,1509,653,265,1602,0.7,1473,2.4
UCL222007,50,1047,535,180,1416,0.8,1263,2.3
UCL222008,44,1300,685,245,1517,0.8,1194,2
UCL222009,53,975,503,180,1270,0.7,860,2
UCL222010,45,1794,707,270,1921,0.7,1946,3
UCL222011,37,1430,624,250,1721,0.9,1649,3.2
UCL222012,53,1500,598,260,1593,0.6,1268,2.3
UCL222013,54,1400,552,275,1170,0.7,988,2.1
UCL222014,54,2000,711,369,1766,0.7,1485,2.3
UCL222015,40,1733,725,266,1607,0.8,1418,2.6
UCL222016,39,1600,697,285,2042,0.8,1702,2.8
UCL222017,35,1213,555,240,1156,0.7,947,2.2
UCL222018,36,1409,603,245,1413,0.8,1273,2.7
UCL222019,49,747,450,100,955,0.8,783,2.2
UCL222020,57,650,444,140,885,0.7,695,1.9
UCL222021,37,1762,917,365,1949,0.8,1875,2.7
UCL222022,45,1520,643,188,1763,0.8,1625,2.7
UCL222023,41,1040,578,200,1437,0.8,1170,2.4
UCL222024,54,1116,471,125,1181,0.8,891,2.1
UCL222025,38,1300,586,260,1489,0.8,1346,2.8
UCL222026,31,1625,796,289,2041,1,1471,2.1
UCL222027,48,1019,530,210,1145,0.6,927,2.2
UCL222028,43,1408,689,300,1600,0.8,1433,2.8
UCL222029,46,1138,565,228,1350,0.7,1138,2.2
UCL222030,58,761,395,180,790,0.7,661,1.7
UCL222031,39,1138,521,200,1355,0.8,1258,2.6
UCL222032,42,1300,609,210,1805,0.8,1388,2.6
UCL222033,52,437,397,83,850,0.7,732,1.9
UCL222034,50,1083,488,210,1013,0.8,900,2.2
UCL222035,49,737,492,120,1199,0.7,885,2.1
UCL222036,44,1231,689,200,1399,0.8,1191,2.2
UCL222037,49,1083,619,200,1406,0.8,1125,2.3
UCL222038,41,1250,510,253,962,0.7,833,2.2
UCL222039,55,467,393,128,778,0.7,665,1.9
UCL222040,45,750,467,170,1093,0.6,752,2.2
UCL222041,40,1105,626,200,1575,0.6,1199,2.2
UCL222042,41,1300,747,243,1944,0.8,1797,2.9
UCL222043,40,1600,715,260,1713,0.9,1604,3
UCL222044,49,1517,523,250,1346,0.7,1021,2.2
UCL222045,44,1083,503,190,1297,0.8,1083,2.3
UCL222046,53,650,527,130,1213,0.6,877,2.1
UCL222047,46,1285,575,220,1327,0.7,1076,2.3
UCL222048,52,1062,439,193,1007,0.7,852,2.2
UCL222049,55,655,467,106,942,0.6,669,1.8
UCL222050,43,1408,658,370,1613,0.8,1527,2.7
UCL222051,49,943,474,175,991,0.8,866,2.3
UCL222052,53,796,453,150,1055,0.6,700,2.1
UCL222053,53,558,462,130,1100,0.7,857,2
UCL222054,56,1102,549,300,1187,0.7,979,2.2
UCL222055,55,1500,557,200,1597,0.7,1133,2.2
UCL222056,57,1105,517,280,1176,0.7,881,2
UCL222057,46,1257,540,220,1312,0.8,1047,2.3
UCL222058,40,1232,529,230,1194,0.8,1025,2.6
UCL222059,43,888,473,180,1260,0.8,946,2.5
UCL222060,41,1300,677,240,1387,0.7,1138,2.4
UCL222061,60,510,438,120,900,0.7,672,1.9
UCL222062,31,0,845,240,2625,1,1375,2.2
UCL222063,46,1200,745,235,1542,0.7,1273,2.2
UCL222064,27,0,859,462,1812,1,1375,2.2
UCL222065,44,1083,516,102,1087,0.7,860,2.2
UCL222066,49,650,537,110,1270,0.8,875,2.2
UCL222067,36,1668,655,0,2083,0.8,1850,3.2
UCL222068,53,779,628,140,1287,0.7,980,1.9
UCL222069,54,1305,575,260,1355,0.7,1166,2.2
UCL222070,37,1946,843,360,2206,0.8,2125,3
UCL222071,40,1733,654,250,1542,0.9,1437,3
UCL222072,47,1083,484,187,1437,0.7,1107,2.7
UCL222073,54,851,495,180,1266,0.7,918,2.1
UCL222074,48,585,432,160,787,0.7,719,2.2
UCL222075,46,1092,481,180,1083,0.7,900,1.9
UCL222076,39,1478,655,260,1680,0.8,1416,2.6
UCL222077,48,1950,791,291,2250,0.8,1968,3
UCL222078,54,713,489,150,1257,0.7,930,2.1
UCL222079,42,1228,482,245,1262,0.8,1089,2.4
UCL222080,60,979,466,200,1062,0.6,774,1.8
UCL222081,39,1849,762,240,2041,0.7,1624,2.4
UCL222082,44,1018,483,290,1091,0.9,929,2.5
UCL222083,42,1380,495,280,1270,0.8,1194,2.7
UCL222084,48,650,486,125,1184,0.8,794,2.1
UCL222085,58,509,441,75,825,0.6,630,1.7
UCL222086,54,640,451,70,1053,0.7,746,2.1
UCL222087,44,726,479,163,1023,0.8,779,2.2
UCL222088,47,2000,738,410,1766,0.8,1573,2.6
UCL222089,59,1497,536,270,1156,0.6,919,2
UCL222090,53,650,451,150,982,0.7,778,2.2
UCL222091,58,1050,495,216,1104,0.7,969,1.9
UCL222092,44,1168,646,250,1550,0.6,1125,1.9
UCL222093,38,1300,634,185,1600,0.7,1386,2.7
UCL222094,57,1500,787,375,1828,0.7,1586,2.3
UCL222095,55,867,440,155,949,0.7,693,1.9
UCL222096,52,1549,541,265,1166,0.6,907,2.1
UCL222097,42,1200,473,240,1228,0.8,958,2.4
UCL222098,40,1792,621,260,1852,0.8,1702,2.8
UCL222099,53,863,437,173,966,0.7,787,2.2
UCL222100,37,1300,545,280,1237,0.8,1023,2.4
UCL222101,55,737,404,140,888,0.7,710,1.9
UCL222102,46,1300,710,200,1468,0.7,1125,2.3
UCL222103,37,1300,662,250,1687,0.8,1547,2.8
UCL222104,40,1320,592,210,1230,0.8,1118,2.7
UCL222105,54,1348,524,160,1542,0.7,1042,2.4
UCL222106,38,1598,779,260,2019,0.9,1833,3
UCL222107,31,1213,622,210,1735,0.8,1544,2.6
UCL222108,52,875,472,170,1087,0.7,776,2
UCL222109,54,975,459,150,1017,0.7,743,2
UCL222110,39,1517,680,341,1616,0.8,1375,2.6
UCL222111,39,1509,697,295,1645,0.9,1488,3
UCL222112,48,547,575,75,1625,0.6,1083,2.2
UCL222113,44,1328,581,226,1386,0.8,1091,2.3
UCL222114,39,1241,706,250,1593,0.7,1266,2.4
UCL222115,55,531,450,170,830,0.6,730,1.7
UCL222116,40,1083,521,255,1406,0.8,1089,2.5
UCL222117,45,1367,586,260,1187,0.7,926,2.5
UCL222118,43,2234,598,0,2250,0.8,2437,3.1
UCL222119,41,1105,569,240,1518,0.8,1343,2.7
UCL222120,46,694,491,210,962,0.9,929,2.5
UCL222121,40,1083,489,220,1328,0.7,959,2
UCL222122,42,1200,732,315,1792,0.8,1575,2.6
UCL231777,45,1517,615,180,1555,0.8,1328,2.6
UCL279997,49,0,3000,0,0,0,0,0
UCL299994,34,0,398,0,0,0,0,0
UCL301001,35,1880,715,360,1855,0.8,1593,2.7
UCL302001,38,1950,665,395,1652,0.8,1400,2.5
UCL303001,37,1668,697,300,1612,0.8,1339,2.5
UCL303002,43,1842,629,385,1509,0.8,1275,2.4
UCL303003,38,1517,640,280,1505,0.8,1206,2.4
UCL303004,33,1733,708,300,1715,0.8,1433,2.6
UCL311001,42,1310,497,260,1198,0.8,955,2.4
UCL311002,48,1500,477,290,1103,0.7,914,2.3
UCL311003,36,1950,713,280,1779,0.8,1434,2.5
UCL311004,36,1517,630,260,1589,0.8,1260,2.5
UCL312001,33,1950,714,240,1967,0.8,1608,2.5
UCL312002,45,1131,462,235,1062,0.8,862,2.3
UCL313001,47,1625,567,305,1345,0.7,1159,2.4
UCL313002,59,1600,481,295,1105,0.7,860,2.1
UCL313003,34,1454,667,250,1586,0.8,1310,2.6
UCL313004,31,2000,873,230,2134,0.8,1884,2.8
UCL313005,29,1733,676,300,1520,0.8,1423,2.8
UCL313006,41,1278,493,250,1125,0.7,915,2.3
UCL313007,37,1300,568,240,1334,0.7,1088,2.4
UCL313008,31,1900,1008,265,2390,0.9,2141,2.6
UCL313009,40,1573,552,310,1329,0.8,1066,2.5
UCL313010,41,1300,529,245,1234,0.7,973,2.4
UCL313011,42,1842,628,300,1611,0.8,1270,2.4
UCL314001,35,1849,755,320,1553,0.8,1333,2.4
UCL314002,45,1408,523,250,1248,0.8,944,2.3
UCL314003,44,1300,596,220,1447,0.8,1091,2.3
UCL314004,43,1387,486,290,1159,0.8,929,2.4
UCL314005,37,1733,579,340,1358,0.8,1212,2.7
UCL314006,34,1592,761,250,2067,0.8,1818,2.6
UCL314007,41,1695,586,250,1381,0.8,1067,2.4
UCL314008,39,1300,509,200,1298,0.8,1040,2.4
UCL314009,33,1582,633,210,1580,0.7,1265,2.5
UCL314010,33,1400,507,270,1204,0.8,1005,2.5
UCL314011,36,1517,718,250,1652,0.8,1353,2.5
UCL314012,36,1585,646,290,1480,0.8,1317,2.8
UCL314013,39,1950,744,390,1991,0.7,1842,2.9
UCL314014,41,1213,500,220,1206,0.8,944,2.4
UCL314015,30,1950,738,400,1864,0.9,1907,3.5
UCL314016,41,1300,520,250,1193,0.8,942,2.4
UCL314017,29,1733,1190,100,2721,0.8,2435,2.8
UCL314018,32,2198,997,465,2332,0.8,2266,3.1
UCL314019,33,1517,818,250,1842,0.7,1509,2.4
UCL314020,47,1706,500,350,1215,0.7,1066,2.5
UCL314021,50,1733,585,370,1470,0.8,1241,2.4
UCL314022,36,2043,743,280,2171,0.8,1935,2.7
UCL315001,38,2000,810,410,2081,0.8,1983,3.1
UCL315002,52,1300,517,250,1153,0.7,894,2.1
UCL315003,28,0,260,100,677,1.4,995,4.2
UCL315004,24,0,568,112,1259,1.3,1337,3.5
UCL315005,50,1500,493,300,1189,0.8,1004,2.3
UCL315006,30,1517,1098,150,2415,0.8,2185,2.7
UCL315007,46,1300,488,265,1231,0.8,950,2.4
UCL315008,51,1250,449,265,983,0.8,847,2.3
UCL315009,65,1428,410,250,790,0.7,734,1.9
UCL315010,30,2129,753,250,2024,0.8,1794,2.9
UCL315011,32,1382,664,275,1440,0.8,1302,2.7
UCL315012,57,1300,490,230,1121,0.8,846,1.9
UCL315013,39,1850,725,390,1872,0.8,1779,3
UCL315014,33,2046,773,425,1967,0.8,1923,3.3
UCL315015,37,1000,695,170,1546,0.8,1149,2.4
UCL315016,21,0,315,100,766,1.2,775,3.9
UCL315017,50,1083,449,250,941,0.8,763,2.1
UCL315018,33,1530,757,140,2068,0.8,1602,2.5
UCL315019,49,1083,438,220,1058,0.7,785,2.2
UCL315020,34,1517,947,160,2227,0.8,1773,2.5
UCL315021,45,1192,495,150,1350,0.7,940,2.1
UCL315022,42,1300,623,210,1428,0.9,1025,2.2
UCL315023,57,1133,403,275,794,0.7,747,2.2
UCL315024,46,1647,538,335,1254,0.8,1026,2.4
UCL315025,55,1213,455,240,986,0.8,788,2.2
UCL315026,37,1733,645,350,1543,0.7,1447,2.7
UCL315027,39,2100,724,353,1994,0.8,1837,2.9
UCL315028,21,0,298,120,745,1.7,1082,4.5
UCL315029,30,737,1103,120,2315,0.8,2128,2.7
UCL315030,43,1838,570,300,1312,0.7,1067,2.4
UCL315031,31,1733,654,330,1495,0.8,1419,3
UCL315032,44,1083,518,200,1178,0.7,905,2.2
UCL315033,41,1842,604,360,1505,0.7,1414,2.8
UCL315034,36,1950,639,380,1602,0.8,1537,3
UCL315035,35,1798,766,385,1940,0.8,1891,3.1
UCL315036,27,0,352,120,762,1.3,979,3.7
UCL315037,28,2134,917,320,2392,1.3,1681,1.9
UCL315038,41,1997,651,295,1608,0.8,1491,2.6
UCL315039,46,1180,572,220,1345,0.8,1089,2.4
UCL315040,56,1083,434,220,882,0.8,746,2.1
UCL315041,50,1300,508,190,1314,0.7,950,2.2
UCL315042,45,1831,733,373,1790,0.8,1574,2.6
UCL315043,34,2000,707,350,1842,0.8,1838,3.2
UCL315044,37,1700,596,320,1556,0.8,1436,2.9
UCL315045,37,1300,585,280,1378,0.8,1078,2.6
UCL315046,37,1387,608,265,1430,0.8,1286,2.8
UCL315047,47,1430,466,228,1027,0.8,846,2.4
UCL315048,46,1600,536,250,1290,0.9,1058,2.4
UCL315049,41,1235,463,275,1034,0.7,854,2.3
UCL315050,42,1650,552,330,1368,0.8,1217,2.6
