UCL_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL213010,23,3,0,3,24,8,0,34,200,19,3,0,224,9,0,9,234,20,0,251,579,84,0,4,666,24,9,35,705,57,0,761,57,0,5,3,69,5,0,5,70,4,0,74,8,0,0,6,14,3,0,3,14,0,0,16,843,103,11,11,968,39,9,49,1018,83,0,1109,8,5,0,0,15,11,0,11,21,8,0,26,24,12,4,0,34,6,0,3,41,6,4,50,33,14,4,0,50,10,0,17,61,14,4,81,877,120,12,11,1014,57,12,65,1078,99,3,1187,283,67,18,15,373,28,0,28,404,97,0,504,0,0,0,0,0,0,0,0,0,0,3,3,1160,179,33,23,1390,89,12,100,1489,200,6,1696
UCL213011,17,0,0,0,15,3,0,20,156,24,3,0,190,9,8,15,208,10,0,218,374,49,14,3,434,20,0,23,460,35,0,489,45,6,7,3,65,0,0,0,66,0,0,66,5,0,0,9,15,0,0,0,13,3,0,17,586,83,18,10,699,34,5,44,743,49,0,793,13,4,0,0,17,19,0,15,35,3,0,40,24,6,0,3,31,10,3,11,43,0,0,46,34,11,0,3,49,27,5,30,81,4,0,90,621,91,19,13,749,58,14,73,822,56,0,875,290,35,4,18,346,44,16,60,408,130,0,537,0,0,0,3,3,0,0,0,3,0,0,9,908,130,26,40,1100,103,32,133,1234,184,4,1422
UCL213012,58,0,0,3,64,3,0,67,554,123,13,8,694,8,3,17,708,44,6,752,1583,208,14,6,1812,19,0,22,1833,29,0,1867,109,8,12,0,132,3,0,3,137,0,0,137,20,11,0,11,33,0,0,0,33,0,0,33,2259,350,42,22,2675,34,5,41,2713,71,6,2787,13,3,0,0,15,0,0,0,15,0,0,15,49,0,0,0,51,0,0,0,51,0,0,51,68,4,0,0,68,0,0,0,68,0,0,68,2332,352,42,22,2740,34,5,41,2783,71,6,2858,590,53,13,8,657,18,3,21,675,36,0,714,3,0,0,3,11,0,0,0,11,0,3,10,2921,403,54,33,3409,47,10,61,3467,108,8,3584
UCL213013,5,0,0,0,5,0,0,10,192,10,4,3,210,5,0,5,220,18,0,236,473,53,4,6,535,8,0,5,544,21,0,568,34,12,4,0,53,0,0,0,53,0,0,53,0,0,0,18,18,3,0,3,20,0,0,20,698,75,20,21,811,13,0,17,824,40,0,866,12,0,0,0,12,0,0,0,8,3,0,12,10,0,0,0,8,0,0,0,14,7,0,15,16,0,0,0,22,3,0,3,21,10,0,27,714,75,20,21,833,19,0,16,850,45,0,897,270,57,11,10,340,12,3,23,357,57,0,418,4,0,0,0,4,0,0,0,4,5,8,20,985,133,23,29,1173,31,7,36,1212,112,8,1332
UCL213014,14,0,0,0,14,0,0,14,294,32,13,4,345,3,0,7,346,8,0,361,663,58,24,3,743,19,4,25,772,33,0,802,67,15,7,0,89,0,0,0,89,0,0,89,16,3,0,8,32,0,0,0,32,0,0,32,1035,106,41,17,1199,29,11,32,1237,43,0,1279,10,14,0,0,19,3,0,3,22,0,0,22,32,4,5,0,45,4,3,9,54,4,0,56,47,15,5,0,67,11,3,12,80,4,0,81,1080,127,43,18,1269,35,14,46,1314,41,0,1358,496,33,17,14,557,21,0,26,581,67,0,644,0,7,0,0,10,0,0,0,10,0,5,14,1575,164,57,38,1831,58,13,72,1905,108,6,2015
UCL213015,11,0,0,0,13,0,0,13,294,42,4,0,341,17,0,17,359,24,3,384,552,58,4,3,611,0,4,11,620,12,0,632,55,0,16,0,72,0,0,0,72,4,0,73,14,3,0,9,25,0,0,0,25,0,3,29,915,95,26,10,1046,16,4,23,1068,36,5,1109,3,5,0,0,7,0,0,0,6,5,0,7,22,0,0,0,22,0,0,0,18,3,0,24,22,5,0,0,25,0,0,0,27,3,0,30,938,99,26,10,1070,22,4,28,1094,43,5,1142,295,33,9,7,343,7,0,7,349,53,0,398,3,0,0,0,3,0,0,0,3,0,4,7,1234,133,34,24,1418,22,4,30,1449,91,13,1554
UCL213016,49,0,0,4,54,3,0,55,687,93,13,0,795,13,3,15,808,47,0,853,1652,178,15,23,1867,15,0,22,1886,30,0,1917,111,14,22,7,149,0,0,0,149,3,0,152,21,0,3,10,31,0,0,0,31,0,0,32,2466,291,50,36,2839,27,5,31,2873,84,0,2958,20,0,0,0,19,3,0,3,20,0,0,25,40,4,0,0,48,3,3,7,54,3,0,54,57,5,0,0,63,9,3,9,74,5,0,78,2530,292,50,36,2908,38,6,43,2947,89,0,3037,617,61,15,12,705,8,3,11,717,35,0,748,3,0,0,3,6,0,0,0,6,0,0,6,3150,359,59,52,3620,48,8,56,3671,126,0,3798
UCL213017,18,0,0,0,18,3,0,20,510,54,10,3,574,0,0,0,574,37,3,606,1061,134,19,11,1226,6,4,12,1230,32,0,1264,79,3,16,0,101,0,0,0,100,3,0,103,18,0,0,17,35,0,0,0,35,0,0,35,1659,192,46,31,1931,8,4,10,1940,69,3,2012,11,3,3,0,17,0,0,0,17,0,0,17,38,9,0,0,49,5,0,5,56,0,0,56,47,17,3,0,70,5,0,5,71,0,0,71,1714,204,48,37,1993,9,4,16,2010,69,3,2086,427,43,9,5,476,21,3,23,504,104,0,615,10,0,0,3,16,0,0,0,16,0,21,32,2146,243,51,42,2490,38,4,44,2531,176,17,2727
UCL213018,27,0,0,0,27,4,0,35,390,36,3,0,432,0,3,3,435,25,3,466,842,91,10,5,948,5,3,13,961,34,0,994,63,9,17,3,92,0,0,0,92,3,0,94,0,7,0,7,9,0,0,0,9,0,3,14,1299,142,33,12,1485,5,10,14,1500,69,4,1575,13,0,0,0,13,3,0,3,19,3,0,23,43,0,0,0,43,7,0,7,52,3,0,55,59,0,0,0,59,8,0,8,68,6,0,75,1353,147,33,12,1543,15,10,26,1570,74,4,1650,432,74,10,16,524,11,3,17,545,84,0,632,0,0,0,0,0,0,0,0,0,4,0,4,1785,213,40,30,2069,29,10,40,2110,163,4,2280
UCL214001,3,0,0,0,4,0,0,4,197,18,0,3,217,0,0,0,217,5,0,224,276,44,18,3,346,14,4,11,363,12,0,372,24,0,3,0,29,0,0,0,29,0,0,29,0,0,0,3,5,0,0,0,5,0,0,5,502,67,27,7,604,14,4,11,615,15,0,631,0,3,0,0,3,0,0,0,3,5,0,6,8,0,0,0,6,0,0,0,6,0,0,6,8,6,0,0,9,0,0,0,9,5,0,13,510,69,27,7,611,14,4,11,630,19,0,648,122,33,4,6,167,14,6,21,187,37,0,218,0,0,0,0,0,0,0,0,0,0,3,3,630,103,30,13,779,24,6,35,814,56,3,870
UCL214002,6,0,0,0,6,3,0,5,172,23,3,5,205,0,6,6,206,17,0,227,343,39,5,0,391,3,0,3,394,18,6,417,30,8,0,0,37,0,0,0,37,0,0,37,16,0,0,0,13,0,0,0,13,0,0,13,556,76,8,5,651,3,6,7,656,34,6,697,3,0,3,0,5,4,0,4,6,0,0,6,19,4,0,0,17,0,0,0,17,0,3,19,17,4,3,0,27,4,0,4,25,0,3,30,578,79,15,5,676,8,6,10,688,34,8,722,183,23,8,3,219,21,0,21,235,56,3,290,3,0,0,0,3,0,0,0,3,5,0,8,762,98,19,12,890,28,6,27,924,91,11,1024
UCL214003,16,0,0,0,16,0,0,16,169,39,0,0,208,7,3,8,214,26,3,241,369,130,13,0,514,4,0,4,512,28,3,548,49,14,3,0,60,0,0,0,60,0,0,60,8,0,0,12,18,0,0,0,18,0,0,18,595,177,12,9,795,9,3,12,809,49,3,864,3,0,0,0,3,3,0,3,3,0,0,3,16,3,0,0,20,0,0,0,17,3,0,26,16,3,0,0,20,3,0,3,24,3,0,27,608,187,12,9,816,17,3,16,835,54,3,896,219,54,11,0,278,5,0,6,286,24,0,313,0,0,0,0,0,0,0,0,0,0,0,3,831,236,18,9,1097,25,3,25,1122,85,9,1212
UCL214004,3,0,0,0,3,0,0,3,127,0,0,0,130,4,0,4,131,11,0,142,232,26,3,0,259,3,0,3,264,22,0,283,22,3,0,0,22,0,0,0,22,0,0,26,8,0,0,3,10,0,0,0,10,0,0,10,382,32,3,3,421,10,0,10,426,31,0,460,0,0,0,3,6,3,0,3,7,0,0,7,13,4,0,0,15,3,0,3,20,0,0,17,14,7,0,3,15,3,0,8,22,0,0,26,390,34,3,9,440,15,0,11,452,37,0,487,94,29,10,0,136,12,8,19,150,70,8,224,0,0,0,0,0,0,0,0,0,0,3,3,491,66,13,8,571,23,10,31,606,100,6,716
UCL214005,0,0,0,0,0,0,0,0,31,4,0,0,34,0,0,0,34,0,0,34,58,0,0,0,58,0,0,0,58,0,0,58,6,0,0,3,7,0,0,0,7,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,89,3,3,3,98,0,0,0,102,3,0,105,0,0,0,0,0,3,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,8,3,0,9,91,3,3,3,101,8,0,8,112,6,0,112,28,8,6,0,42,0,0,0,42,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0,122,18,8,4,144,8,0,8,155,9,0,160
UCL214006,45,3,0,3,50,3,0,49,444,37,7,0,487,13,0,13,502,16,0,516,1037,64,4,12,1115,13,0,19,1132,24,0,1151,97,3,12,0,113,0,0,0,113,0,0,109,3,0,0,0,3,0,0,0,3,0,0,7,1580,101,25,9,1715,27,0,27,1744,39,0,1788,14,0,0,0,14,0,0,0,14,0,0,11,43,0,0,0,48,0,0,0,48,4,0,51,59,0,0,0,61,0,0,0,61,3,0,63,1640,101,25,9,1776,27,0,27,1809,42,0,1853,417,30,9,8,464,4,0,4,470,18,0,483,4,0,0,0,4,0,0,0,4,0,12,16,2060,131,28,16,2243,34,0,34,2279,61,12,2353
UCL214007,3,0,0,0,3,0,0,3,218,32,0,0,250,5,0,7,253,13,0,273,472,49,18,8,554,7,0,7,561,23,0,581,26,5,3,0,39,0,0,0,39,0,0,39,9,0,0,8,16,0,0,0,16,0,0,16,732,83,27,11,860,12,0,14,869,42,0,908,0,0,0,0,0,4,0,4,4,0,0,3,13,3,0,0,13,0,0,0,13,0,0,20,17,3,0,0,14,4,0,4,22,3,0,24,751,90,27,11,879,14,0,12,892,44,0,930,198,39,7,6,248,13,0,13,265,33,0,304,0,3,0,0,3,0,0,0,3,0,0,3,948,131,30,25,1131,26,0,29,1156,81,0,1236
UCL214008,24,0,0,0,28,4,0,30,182,28,0,0,212,10,0,8,221,9,0,234,528,66,15,4,612,4,0,4,620,12,0,636,37,0,8,0,47,0,0,0,47,0,0,44,9,3,0,11,23,0,0,0,23,0,0,27,754,102,22,13,895,14,0,14,908,26,0,934,5,0,0,0,5,0,0,0,5,0,0,5,16,6,9,0,24,3,0,3,27,0,0,27,15,6,9,0,28,3,0,3,33,0,0,35,772,110,33,13,925,17,0,17,943,24,0,966,236,19,3,6,273,10,0,10,287,39,0,327,3,0,0,0,7,0,0,0,7,0,0,4,1017,131,35,24,1204,28,0,29,1234,64,0,1297
UCL214009,3,0,0,0,3,0,0,3,106,27,0,3,138,0,0,0,138,25,0,162,278,38,3,5,320,5,0,5,329,12,0,337,15,0,11,0,26,0,0,0,26,0,0,26,4,0,0,0,9,0,0,0,9,0,0,9,402,63,16,8,495,5,0,5,494,30,0,530,6,0,0,0,6,3,0,3,9,0,0,9,13,0,0,0,13,0,0,0,11,3,0,11,13,0,0,0,13,4,0,4,23,3,0,23,418,63,16,8,507,10,0,10,518,33,0,554,112,20,6,0,148,3,0,3,152,5,0,160,5,0,0,0,5,0,0,0,5,0,0,6,540,85,22,8,661,9,0,9,667,44,3,716
UCL214010,12,0,0,0,20,3,0,18,221,27,3,3,252,7,0,7,259,18,3,281,436,48,26,0,514,3,4,5,515,5,3,523,47,0,10,0,55,0,0,0,56,3,0,60,0,0,0,5,5,0,0,0,5,0,0,5,701,79,37,10,830,9,3,8,842,26,6,870,15,0,0,0,15,4,0,4,16,4,0,24,18,4,0,0,25,0,0,0,25,0,0,25,37,4,0,0,35,4,0,4,41,4,0,46,741,82,37,10,867,8,3,13,877,33,6,917,296,26,3,7,333,16,0,20,352,29,0,381,0,0,0,0,0,0,0,0,0,0,3,6,1031,112,42,17,1204,24,7,34,1237,67,7,1302
UCL214011,3,0,0,0,3,0,0,3,152,22,3,3,181,0,0,0,181,11,0,185,278,32,15,0,330,3,0,3,330,19,0,348,42,3,15,0,52,0,0,0,52,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,474,54,35,3,562,3,0,3,565,25,0,590,3,0,0,5,6,0,0,0,11,0,0,11,11,3,0,0,14,0,0,0,14,0,0,14,9,3,0,5,21,0,0,0,23,0,0,23,486,59,35,8,582,3,0,3,587,25,0,611,127,33,6,11,175,10,0,10,182,16,0,200,5,0,0,0,5,0,0,0,5,0,3,11,614,88,41,13,761,11,0,11,774,45,10,822
UCL214012,3,0,0,0,3,0,0,3,96,14,0,3,106,4,6,13,117,7,0,128,205,47,12,3,272,8,0,9,278,23,0,299,31,4,12,0,41,0,0,0,41,0,0,41,3,0,0,0,6,0,0,0,6,0,0,8,336,68,21,8,425,10,5,16,445,30,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,5,3,0,3,7,0,0,7,333,64,21,8,425,13,5,23,446,30,0,484,77,13,4,6,105,13,0,13,121,34,0,151,0,0,0,0,0,0,0,0,0,0,0,4,417,81,23,16,532,27,5,33,567,68,0,637
UCL214013,5,0,0,0,5,0,0,5,113,22,0,0,141,0,7,4,151,6,0,159,322,44,14,4,384,3,3,8,391,8,6,411,18,3,3,0,28,0,0,0,28,0,0,29,8,0,0,6,12,0,0,0,12,0,0,12,469,77,20,8,573,3,7,10,585,19,6,606,4,0,0,0,4,0,0,0,4,0,0,4,0,4,0,0,6,0,0,0,6,3,0,9,7,4,0,0,11,0,0,0,11,3,0,16,469,84,20,8,583,3,7,10,591,22,6,616,179,17,6,4,208,3,3,5,214,3,0,215,6,0,0,0,6,0,0,0,6,0,4,13,658,94,28,15,794,6,12,22,814,23,13,846
UCL214014,5,0,0,0,5,0,0,9,127,15,0,0,148,0,0,0,152,16,0,167,264,35,6,6,310,10,3,14,327,20,0,346,14,11,0,0,25,0,0,0,25,4,0,31,0,0,0,3,3,0,0,0,3,0,0,3,406,62,14,9,493,10,4,16,508,37,0,544,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,10,0,0,0,10,5,0,14,11,0,0,0,10,0,0,0,10,5,0,13,415,59,14,9,501,10,4,16,518,43,0,562,130,39,3,0,178,22,3,20,200,49,0,253,0,0,0,0,0,0,0,0,0,0,0,0,549,100,11,12,676,28,11,34,713,97,0,809
UCL214015,5,0,0,0,5,0,0,10,79,24,3,0,108,6,3,5,117,14,0,127,184,38,6,0,226,7,3,10,235,19,0,252,13,3,0,0,22,0,0,0,22,0,0,22,0,0,0,3,3,0,0,0,3,0,0,4,283,64,8,8,362,11,6,12,373,30,0,406,0,0,0,0,4,4,0,4,11,3,0,13,3,0,0,0,3,0,8,8,7,0,0,7,4,0,0,0,6,4,8,9,15,3,0,19,288,64,13,8,369,14,13,21,391,31,0,422,144,24,9,5,184,3,3,9,187,24,0,213,0,0,0,3,3,0,0,0,3,0,8,11,432,91,24,10,556,18,13,26,583,65,8,648
UCL214016,3,0,0,0,3,0,0,3,146,4,0,4,152,4,0,4,152,4,0,154,185,27,6,3,215,3,0,3,218,7,0,223,7,0,4,0,13,0,0,0,13,0,0,14,3,0,0,0,3,0,0,0,3,0,0,3,335,34,9,8,386,8,0,8,393,10,3,399,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,7,0,0,7,345,34,9,8,389,7,0,7,402,10,3,407,109,27,5,7,150,6,3,10,161,36,3,200,0,0,0,0,0,0,0,0,0,0,0,0,457,57,10,20,541,15,3,15,555,44,11,606
UCL214017,0,0,0,0,0,0,0,0,98,25,0,3,126,0,0,0,130,9,0,139,199,25,0,3,235,9,0,9,242,15,0,255,17,0,3,5,21,0,0,0,26,3,0,29,3,3,0,3,5,0,0,0,5,0,0,5,325,49,4,15,394,12,0,12,404,25,0,430,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,3,3,7,7,0,0,7,5,0,0,0,5,4,3,11,15,0,0,15,325,49,4,15,399,14,3,20,418,25,0,445,119,30,13,4,164,7,0,9,175,34,0,207,0,0,0,0,0,0,0,0,0,0,0,0,443,78,14,21,557,25,9,28,592,59,0,646
UCL214018,30,0,0,0,30,4,0,32,332,45,3,3,377,13,3,14,396,36,0,430,645,53,12,9,724,7,0,7,731,19,0,746,51,3,0,4,65,0,0,0,60,0,0,60,3,0,0,9,11,0,0,0,11,3,0,18,1034,99,19,21,1177,21,3,23,1197,58,0,1252,16,0,0,0,16,15,0,15,33,0,0,31,48,0,0,0,52,0,0,0,53,0,0,53,68,0,0,0,64,14,0,14,86,0,0,85,1103,104,19,21,1241,38,3,40,1280,54,0,1335,329,58,19,15,415,7,0,7,427,28,0,451,0,0,0,3,3,0,0,0,3,4,3,6,1430,160,37,40,1664,44,3,46,1704,90,3,1799
UCL214019,0,0,0,0,0,0,0,7,115,35,3,0,161,0,0,0,161,19,0,177,357,71,10,6,434,6,0,6,443,14,0,457,25,0,8,0,34,0,0,0,34,6,0,39,0,0,0,9,9,0,0,0,9,0,3,5,495,102,25,10,632,6,0,6,642,34,3,680,0,8,0,0,6,0,0,3,7,0,0,7,12,0,0,0,12,0,0,0,12,0,0,10,14,8,0,0,20,0,0,3,19,0,0,23,506,109,25,10,648,7,0,10,663,36,3,701,148,51,3,13,211,18,6,24,233,62,4,296,3,3,0,0,4,0,0,0,4,0,3,11,656,167,25,18,865,25,3,33,903,96,9,1004
UCL214020,0,0,0,0,0,0,0,3,192,26,4,0,215,0,3,3,220,5,0,228,483,43,9,4,546,13,0,13,559,11,0,569,44,3,7,0,59,0,3,3,59,0,0,59,0,0,0,4,3,0,0,0,3,0,0,3,721,75,20,12,822,13,5,18,844,15,0,858,10,4,0,0,7,0,0,0,7,3,0,14,3,0,0,0,3,0,0,0,5,3,0,11,14,4,0,0,12,0,0,0,14,3,0,18,733,77,20,12,839,13,11,24,856,23,0,880,114,8,3,10,141,11,0,11,149,14,0,164,0,0,0,0,0,0,0,0,0,0,3,3,847,86,27,17,977,24,11,36,1010,36,3,1047
UCL215001,4,0,0,0,4,0,0,4,10,0,0,0,16,0,0,0,16,0,0,15,65,13,0,0,78,0,0,0,82,0,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,18,3,0,97,0,0,0,97,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,86,18,3,0,102,0,0,0,104,0,0,107,18,4,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,99,22,3,0,125,0,0,0,123,0,0,128
UCL215002,0,0,0,0,0,0,0,0,56,3,4,0,59,0,0,0,59,6,0,68,142,9,3,0,152,7,0,7,158,0,0,158,15,0,0,0,14,0,0,0,14,0,0,14,4,0,0,0,3,0,0,0,3,0,0,3,216,12,4,0,235,7,0,7,244,6,0,244,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,10,11,0,0,0,11,0,0,0,11,0,0,11,227,12,4,0,247,7,0,7,251,8,0,259,47,0,0,0,53,0,0,0,53,5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,274,12,6,0,299,7,0,7,303,12,0,312
UCL215003,11,0,0,0,11,0,0,11,57,18,0,0,73,3,0,3,73,3,0,78,160,35,0,3,199,0,0,0,199,4,0,201,10,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,226,49,0,3,280,3,0,3,281,10,0,289,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,6,228,49,0,3,288,3,0,3,289,10,0,298,58,12,3,0,69,0,0,0,72,9,0,79,0,0,0,0,0,0,0,0,0,0,0,0,288,59,4,5,355,3,0,3,362,20,0,377
UCL215004,0,0,0,0,0,0,0,0,23,11,0,0,33,0,0,0,33,0,0,33,49,16,0,0,69,0,0,0,69,0,0,65,3,0,3,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,74,26,5,0,106,0,0,0,106,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,26,5,0,106,0,0,0,106,0,0,107,31,7,4,0,41,3,0,3,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,106,30,10,0,145,3,0,3,149,0,0,154
UCL215005,0,0,0,0,0,0,0,0,50,13,3,0,63,0,3,3,70,4,0,74,126,13,4,0,142,7,0,7,150,7,0,160,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,179,28,12,0,218,13,3,12,228,13,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,4,3,0,0,0,3,3,0,3,6,0,0,6,182,28,12,0,219,14,3,17,235,13,0,249,96,15,0,0,111,11,0,11,125,13,0,136,0,0,0,0,0,0,0,0,0,0,0,0,275,39,12,0,331,27,3,31,360,24,0,379
UCL215006,4,0,0,0,4,0,0,4,85,6,0,0,94,0,0,0,94,4,0,101,176,15,4,0,201,3,0,3,203,0,0,206,6,0,3,0,7,0,0,0,7,0,0,7,5,0,0,3,10,0,0,0,10,0,0,10,272,26,11,6,313,6,0,6,315,8,0,324,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,13,0,0,0,13,0,0,0,13,0,0,13,282,26,11,6,321,6,0,6,332,8,0,337,38,8,0,0,44,7,0,7,52,8,0,65,0,0,0,0,0,0,0,0,0,0,3,3,318,30,11,6,371,17,0,17,383,13,3,400
UCL215007,11,0,0,0,11,3,0,10,206,11,3,0,226,0,0,0,226,3,0,229,512,61,18,14,595,3,0,3,598,17,3,622,56,8,12,0,71,0,0,0,71,0,0,71,9,0,0,3,17,0,0,0,17,0,0,17,778,84,31,20,907,3,0,3,915,20,3,934,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,20,0,0,0,20,0,0,20,12,3,0,0,17,0,0,0,17,0,0,17,796,85,31,20,925,3,0,3,929,20,3,950,236,33,7,15,287,0,0,0,295,25,0,312,3,4,0,0,6,0,0,0,6,0,0,6,1034,121,43,27,1222,5,0,5,1232,45,3,1274
