SED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED28203,16,151,130,125,269,201,72,104,16,1092,64,181,131,139,472,275,94,102,403,1855,846,2815,2818,2985,6838,5253,1948,2289,800,26597
SED28301,20,147,122,124,206,173,83,166,13,1056,26,122,119,111,161,225,79,184,242,1266,808,4196,3271,3254,4344,5580,2439,4309,482,28675
SED28408,28,143,75,115,171,121,92,90,11,846,43,103,47,61,109,133,35,82,190,796,952,3584,2691,3062,4630,4177,2405,3263,414,25176
SED28507,21,143,91,97,252,220,94,131,10,1060,37,119,112,117,297,294,96,122,322,1510,957,3290,2933,3300,7195,6297,2772,3560,660,30961
SED28607,42,146,110,109,212,217,104,158,8,1102,52,133,126,112,204,289,100,203,213,1434,1269,3443,3394,3745,6136,7360,3934,5849,487,35618
SED28704,41,232,162,165,331,353,177,225,22,1709,61,189,125,114,297,363,117,220,310,1794,1430,4478,3944,4285,7403,8176,3835,5344,709,39601
SED28803,36,151,140,163,382,291,130,175,23,1486,52,184,160,178,457,379,104,182,494,2184,1110,4145,3832,4273,9301,7909,3222,4122,1037,38954
SED29494,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
SED30001,40,183,129,192,280,254,133,219,16,1437,43,149,92,132,282,308,140,242,257,1649,1077,3436,2923,4233,6694,6239,3318,5434,611,33958
SED30002,35,122,115,120,248,211,131,157,10,1148,25,84,82,100,256,253,103,136,213,1261,816,2536,2347,2936,6254,5066,2536,3431,453,26390
SED30003,15,109,78,81,132,125,66,96,9,719,9,80,46,68,76,129,50,109,101,667,782,2905,2480,2643,3704,4754,2743,4331,275,24631
SED30004,16,116,73,99,152,148,66,107,0,779,16,79,55,51,120,136,42,108,151,764,727,2565,2061,2399,4182,4346,2013,3278,322,21888
SED30005,19,138,95,124,222,193,102,183,5,1080,47,120,81,92,136,156,64,144,203,1039,1110,3195,2625,3944,5886,5247,2838,4705,478,30028
SED30006,38,155,114,126,187,188,113,200,18,1130,41,139,80,116,203,223,93,229,203,1324,943,2793,2372,3147,4428,4304,2370,4703,568,25622
SED30007,14,117,120,105,178,172,90,162,5,971,25,126,123,86,161,226,82,189,265,1277,925,3175,3910,3059,6415,7233,3688,6254,539,35206
SED30008,20,114,86,101,159,140,71,121,16,815,31,133,96,112,204,187,70,155,207,1185,617,2485,2212,3085,4320,3694,1776,3341,427,21937
SED30009,19,133,97,139,150,159,88,109,8,904,26,124,76,92,124,144,55,137,183,958,709,3093,2553,3205,3739,3640,1971,3755,348,23007
SED30010,20,126,99,119,164,180,112,128,6,961,22,104,70,88,176,211,84,161,150,1067,849,2699,2525,2861,5179,5789,3215,5528,349,28995
SED30011,12,56,61,88,149,93,54,79,12,603,29,69,54,64,106,79,57,70,130,651,507,1780,1555,2362,3256,2224,1398,2137,332,15549
SED30012,45,138,99,178,337,232,151,144,13,1326,54,119,94,170,377,324,119,193,354,1807,1181,3004,2727,4094,8606,6457,3396,4415,716,34584
SED30013,28,82,58,85,154,143,69,146,6,774,46,82,46,61,118,126,65,110,194,848,853,2124,1647,2378,3762,3694,2411,4691,481,22036
SED30014,30,121,98,113,161,159,83,123,10,886,41,120,92,111,169,222,60,158,172,1142,798,2940,2522,3388,4475,4416,2269,3775,420,24998
SED30015,18,116,64,70,128,105,67,95,6,676,45,81,60,58,115,119,46,95,190,800,698,2252,1787,2383,3067,2700,1615,3507,366,18376
SED30016,25,104,106,155,244,191,114,166,10,1115,43,107,89,92,127,155,62,137,254,1076,950,2453,2450,3820,5740,4199,2374,3830,524,26332
SED30017,22,83,45,65,103,115,50,121,9,607,30,75,46,64,72,99,41,156,236,810,730,1884,1514,2069,2533,2522,1663,5392,530,18835
SED30018,27,134,98,111,135,170,60,94,7,843,28,105,99,87,134,132,54,141,192,971,803,2769,2276,2998,3621,3290,1764,3390,419,21329
SED30019,27,124,129,149,230,202,111,152,14,1131,34,96,86,78,224,217,76,133,174,1117,793,2531,2191,2883,5078,4335,2306,3546,403,24073
SED30020,18,116,92,125,178,170,111,134,4,948,22,106,59,77,154,203,61,155,167,998,804,3007,2469,2808,4978,5335,2597,4429,346,26771
SED30021,17,115,81,112,206,168,93,156,13,962,23,104,110,73,131,185,63,168,186,1048,817,2842,2698,2856,5336,5664,2947,5389,385,28940
SED30022,24,132,96,118,166,188,84,138,4,946,38,97,76,77,153,198,73,166,140,1009,725,2865,2278,2834,4350,4502,2267,3927,323,24076
SED30023,34,139,91,107,197,235,128,232,11,1175,52,117,76,80,157,166,92,216,221,1175,996,2979,2348,2876,4810,3999,2596,5585,564,26761
SED30024,23,135,81,130,171,168,63,152,25,961,51,69,51,70,104,108,52,116,227,845,768,1775,1541,2519,3514,3084,2154,3837,584,19778
SED30025,30,163,147,156,261,236,138,199,14,1342,48,156,128,149,311,357,123,259,272,1796,997,3371,2965,3994,6376,5808,2974,5393,591,32455
SED30026,22,134,102,127,144,148,56,94,11,831,28,103,92,121,133,173,75,135,209,1076,753,2848,2473,3263,3784,3846,1749,3267,445,22435
SED30027,15,103,51,75,118,114,67,138,7,689,30,86,55,63,75,87,41,115,174,741,883,2198,1650,2232,2734,2406,1793,5176,443,19520
SED30028,12,122,102,100,188,156,96,143,10,918,7,76,53,59,124,148,59,126,128,787,778,2717,2283,2669,4556,4705,2515,3648,306,24170
SED30029,18,108,100,115,142,148,82,109,4,828,23,78,61,59,90,142,39,136,114,737,842,2766,2344,2573,3942,4369,2204,3460,280,22789
SED30030,30,159,111,161,232,247,125,172,10,1253,35,135,90,121,243,229,87,201,259,1403,812,3158,2673,3797,5732,4769,2567,4179,505,28187
SED30031,25,137,82,85,197,135,94,142,13,908,48,77,59,67,120,147,82,220,179,1001,980,2531,2023,2397,3791,3730,3353,5698,416,24923
SED30032,30,141,97,109,177,169,79,142,8,965,43,146,101,121,155,189,66,187,208,1212,899,3070,2489,3208,3878,3641,1959,4078,471,23690
SED30033,17,114,77,108,172,146,93,113,3,844,16,75,59,73,116,148,58,106,134,782,869,2643,2470,2703,4824,4796,2657,4069,293,25323
SED30034,23,106,57,77,126,113,97,194,16,806,32,61,51,58,73,81,41,135,170,706,873,1771,1315,1739,2549,2621,2123,6517,463,19971
SED30035,29,109,89,97,142,107,64,131,11,775,47,91,66,84,111,104,43,120,181,845,766,2365,1883,2641,3037,2367,1381,3126,349,17920
SED30036,25,97,73,109,156,101,58,79,7,704,28,81,54,69,106,71,33,77,174,690,653,2313,1842,2548,3343,2345,1235,2358,336,16967
SED30037,22,95,72,107,185,193,95,146,20,931,48,99,74,95,171,134,60,140,218,1040,946,2285,2032,2812,4539,3939,2298,4647,508,23999
SED30038,19,176,129,156,264,196,113,100,20,1172,44,163,87,120,321,239,71,117,282,1435,696,2453,2048,2571,5486,3970,1902,2515,504,22143
SED30039,14,126,63,82,84,85,38,79,5,591,21,126,60,51,66,136,31,96,118,709,769,4054,2498,2288,3482,4142,1997,3841,379,23446
SED30040,20,115,77,103,194,142,98,108,10,860,26,58,71,63,201,176,77,108,174,967,834,2137,1940,2729,5242,3891,2294,2750,376,22182
SED30041,28,111,77,112,221,135,107,127,16,939,31,80,51,79,200,156,65,123,176,969,832,2423,2032,2687,5047,3891,2242,3460,412,23025
SED30042,41,113,98,131,260,221,123,167,9,1172,33,68,63,73,244,201,89,141,185,1096,855,2402,2204,2990,5722,4537,2463,3496,387,25061
SED30043,21,155,106,127,154,166,86,128,8,960,32,103,75,80,128,144,59,171,155,943,788,3135,2492,3219,3926,3698,1982,3616,384,23246
SED30044,28,122,84,128,216,174,97,168,3,1024,39,79,47,63,121,110,40,112,158,769,987,2745,2097,2797,4893,3778,2228,4272,398,24191
SED30045,29,119,92,88,200,195,132,163,15,1025,40,97,58,88,192,192,71,180,217,1141,919,2597,2081,2937,4624,3886,2340,4257,516,24150
SED30046,36,124,80,144,212,197,118,164,8,1079,40,103,83,103,316,285,102,167,226,1431,764,2233,1939,2761,5190,4149,2270,3542,486,23340
SED30047,28,118,93,106,203,179,86,146,11,968,29,101,61,105,190,202,64,136,184,1082,821,2557,2092,2718,4794,4496,2383,3738,387,23983
SED30048,21,95,78,86,231,129,119,201,4,965,26,64,49,62,156,128,55,118,187,845,678,1957,1574,2193,3866,2919,2095,3700,382,19367
SED30049,8,103,102,79,156,167,74,116,3,811,29,89,81,59,134,142,48,103,139,831,666,2681,2356,2518,4537,4184,1932,3052,335,22259
SED30050,32,150,115,166,158,149,84,94,4,948,43,114,85,114,120,163,67,154,169,1036,840,3003,2670,3546,4290,4012,2165,3724,374,24630
SED30051,29,107,74,86,130,93,45,88,7,661,47,90,49,73,110,90,33,110,152,753,670,2012,1606,2284,3152,2138,1281,2538,354,16038
SED30052,26,128,122,167,172,188,87,122,14,1027,33,150,107,114,132,205,64,165,205,1183,742,3233,2735,3476,4700,4666,2219,4041,452,26268
SED30053,36,107,77,85,196,146,119,260,13,1050,63,86,59,67,150,139,64,161,225,1020,1040,2167,1923,2337,3663,3132,2554,6529,536,23876
SED30054,19,114,78,92,127,114,63,136,3,739,21,101,61,69,75,166,39,153,117,792,728,3287,2453,2475,3502,4363,2042,4245,263,23357
SED30055,27,132,109,119,229,201,98,156,16,1084,45,115,62,97,223,186,72,151,219,1175,837,2864,2300,3064,5297,4200,2313,3543,494,24924
SED30056,20,90,73,83,147,120,55,83,3,673,17,96,78,47,94,149,45,135,117,771,790,3146,2535,2592,4126,4953,2630,4803,293,25879
SED30057,16,64,40,54,94,114,53,118,11,561,17,46,17,39,52,76,28,92,179,543,609,1000,706,1201,2132,2428,2267,4561,407,15307
SED30058,13,115,110,94,179,157,76,111,5,856,36,78,54,76,134,134,58,115,133,822,726,2727,2257,2559,4546,4470,2253,3570,306,23407
SED30059,23,162,118,175,184,209,102,193,16,1181,40,143,89,115,163,229,80,190,229,1278,841,3294,2778,3693,4843,4713,2262,4141,478,27040
SED30060,26,107,108,112,255,212,115,157,19,1114,36,84,63,96,151,146,59,124,251,1015,759,2065,1945,2894,4742,3594,2080,3383,523,21993
SED30061,15,99,56,81,171,119,53,113,4,729,20,60,33,47,101,100,36,74,149,620,798,2667,1816,2240,4089,3217,1869,2996,319,20015
SED30062,36,145,109,152,277,248,136,164,11,1279,50,131,106,98,290,247,84,182,286,1483,1117,3191,2778,3916,7202,5995,3076,4452,618,32344
SED30063,22,104,68,60,109,118,66,129,4,680,36,90,58,66,97,102,52,132,216,856,751,2164,1808,2456,3123,2733,1635,4135,440,19243
SED30064,20,130,95,139,167,179,77,132,4,938,28,108,85,123,144,161,55,142,189,1039,798,2827,2402,3312,3803,3357,1828,3270,393,21987
SED30065,19,158,114,121,127,144,68,112,15,866,39,163,89,130,113,154,47,161,160,1051,721,3237,2550,3496,3209,3390,1681,3523,350,22156
SED30066,28,77,91,131,258,182,93,139,16,1014,32,88,84,80,240,211,69,129,217,1147,999,2426,2597,3088,6483,5628,2732,3822,466,28245
SED30067,29,152,116,130,241,225,113,179,5,1202,34,98,67,102,247,224,95,146,203,1222,941,2724,2350,3053,5818,4942,2449,3747,435,26462
SED30068,20,88,57,105,142,132,93,91,6,727,32,78,64,82,145,124,43,137,206,919,713,2093,1845,2691,3646,2695,1510,2633,417,18244
SED30069,30,109,97,102,175,169,77,121,16,887,32,118,83,86,183,170,63,126,183,1039,748,2317,1983,2620,4257,3591,1825,2951,412,20703
SED30070,19,125,105,98,201,199,93,157,10,1001,20,110,71,97,146,174,58,184,184,1054,778,2604,2277,2833,4248,4074,2188,3827,391,23223
SED30071,32,104,65,95,223,184,82,150,5,945,25,66,30,52,122,105,54,79,158,703,830,2220,1734,2473,4733,3313,1876,3199,367,20742
SED30072,24,120,76,117,179,173,81,90,9,878,32,67,72,57,176,164,54,103,180,910,819,2448,2251,2898,5501,4551,2273,3093,382,24231
SED30073,16,124,107,111,188,149,79,99,10,874,28,116,90,87,156,205,71,161,211,1134,853,3414,3366,3138,5794,5965,3072,5018,428,31048
SED30074,22,102,55,102,148,160,83,125,3,801,38,81,39,69,115,119,46,134,230,869,780,2382,1873,2504,3213,2984,1699,4456,486,20373
SED30075,27,148,114,147,184,179,91,154,8,1038,43,134,105,134,177,203,59,135,250,1240,752,3411,2842,3777,5145,4501,2068,3444,519,26456
SED30076,23,117,105,142,236,220,130,149,7,1133,35,86,88,83,203,229,72,148,177,1112,775,2574,2372,2850,5247,4902,2507,3665,389,25280
SED30077,15,114,75,95,180,147,86,133,10,852,23,86,51,56,112,162,62,100,142,798,869,2581,2272,2671,4890,4900,2626,3975,329,25113
SED30078,11,101,129,113,245,157,89,117,14,983,45,123,169,126,278,231,60,110,267,1401,697,3000,3140,3143,6434,5187,2100,2934,569,27204
SED30079,15,108,134,111,216,168,75,103,9,956,25,145,165,97,259,195,61,105,287,1329,613,2903,3066,2715,5275,4135,1655,2267,518,23146
SED30080,25,131,144,129,171,171,88,122,19,1007,43,134,140,158,192,235,71,196,273,1442,718,3244,3497,3580,4756,4784,2164,4453,528,27729
SED30081,36,108,84,110,200,184,98,141,3,972,25,76,50,70,143,113,43,107,176,803,916,2493,1911,2777,5269,3905,2327,3639,400,23650
SED30082,19,140,95,96,179,148,97,124,7,902,16,76,24,58,119,105,49,109,139,712,760,2483,1986,2762,4523,3488,2211,3633,294,22145
SED30083,31,112,86,101,166,154,102,148,9,913,20,71,45,50,108,107,50,102,118,686,759,2455,2020,2675,4646,3430,2226,3419,293,21918
SED30084,20,108,66,92,181,152,95,118,9,832,28,62,38,53,122,140,44,95,157,745,872,2358,1858,2648,4728,3963,2333,4131,377,23254
SED30085,11,56,47,55,100,124,65,125,9,593,41,78,41,63,98,119,48,178,174,837,701,1753,1295,1831,2552,2778,1604,5693,433,18642
SED30086,35,95,87,142,282,231,112,135,7,1124,54,114,95,131,331,274,94,162,309,1559,837,2374,2176,3289,6545,4797,2441,3365,600,26408
SED30087,28,133,105,130,251,218,133,277,22,1304,41,116,79,86,176,160,87,196,214,1149,1092,2797,2285,3168,4720,4260,3202,6488,567,28572
SED30088,5,87,81,100,249,176,86,78,15,892,36,99,93,117,380,240,85,137,367,1566,687,2158,1908,2862,6038,3959,1936,2364,671,22576
SED30089,24,110,87,107,191,157,76,117,10,885,17,107,79,76,122,167,50,129,156,910,888,3127,2762,2963,5064,4900,2673,3894,380,26645
SED39494,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
SED39797,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
SED40001,22,77,75,81,106,82,49,70,7,577,29,91,34,40,78,77,35,78,84,544,693,2585,1944,2061,3565,3143,1816,2895,243,18944
SED40002,21,78,71,78,127,89,57,68,4,602,20,63,46,43,68,71,21,45,118,481,634,2230,1994,2286,3505,2816,1597,2088,254,17396
SED40003,16,68,33,48,71,87,38,56,0,417,18,60,48,57,60,75,25,63,64,462,531,2520,1706,1947,2331,2447,1461,2706,158,15811
SED40004,21,97,58,78,126,95,60,70,4,620,18,60,27,36,52,91,25,47,94,443,623,2097,1693,2148,3211,2644,1517,1908,249,16096
SED40005,16,80,46,51,103,116,48,77,7,541,35,44,34,48,83,75,27,75,125,548,592,1660,1463,2053,2613,2461,1278,2572,313,15002
SED40006,15,72,88,97,211,130,80,71,11,773,20,61,44,60,137,69,34,51,100,582,593,1988,1639,2271,4418,2738,1564,1702,270,17184
SED40007,18,74,79,93,142,112,53,87,3,667,32,53,51,45,59,73,26,60,105,494,606,2158,1754,2034,3238,2593,1481,2051,235,16144
SED40008,10,98,87,75,167,115,60,64,8,686,26,69,64,50,112,87,23,37,127,589,587,2041,1668,2011,3785,2563,1451,1767,287,16163
SED40009,17,101,70,80,118,123,63,101,4,686,13,52,29,42,57,72,30,56,63,409,619,2379,1898,2205,3060,2619,1564,2199,183,16730
SED40010,8,79,77,78,133,89,49,87,8,596,14,70,50,43,62,58,35,42,102,480,520,2361,1905,2145,3236,2812,1682,2535,219,17404
SED40011,14,86,66,59,117,72,68,57,5,545,19,59,32,36,78,53,25,38,98,433,620,2057,1694,2064,3610,2269,1418,1515,218,15477
SED40012,19,111,79,102,170,107,59,56,4,706,17,76,41,60,146,79,43,58,158,676,478,2010,1691,2137,4162,2444,1391,1732,323,16360
SED40013,21,79,46,65,76,73,36,60,5,461,23,71,41,45,47,36,18,43,92,409,627,2046,1636,2047,1884,1497,883,1739,212,12581
SED40014,25,99,63,124,145,144,91,101,4,802,14,55,39,50,85,65,54,64,85,503,621,2202,1843,2372,3649,2749,1677,1890,193,17207
SED40015,13,79,58,80,106,118,51,81,7,597,29,61,30,44,51,57,40,70,145,522,672,1911,1525,1980,2324,2077,1368,2706,338,14893
SED40016,17,86,70,85,154,102,58,65,3,646,22,50,27,40,105,60,22,29,93,438,489,1766,1460,1883,3498,2121,1343,1311,205,14072
SED40017,16,62,55,48,104,92,47,61,3,500,15,54,30,32,55,51,24,56,109,424,630,1854,1561,1829,2050,2047,1437,2445,273,14126
SED40018,12,70,39,61,84,67,33,54,9,431,17,34,25,25,51,51,31,67,133,428,621,1388,1264,1457,2337,1756,1417,3130,305,13663
SED40019,16,73,39,67,91,101,32,73,9,496,31,54,30,37,63,51,24,49,136,463,581,1750,1326,1710,2003,1799,1014,2196,298,12672
SED40020,5,88,40,49,104,84,41,60,3,486,20,53,43,36,59,65,20,58,100,447,517,1712,1339,1724,2399,2060,1016,1762,257,12776
SED40021,16,96,66,77,148,107,49,63,7,642,17,62,43,43,79,65,24,50,114,499,509,2176,1720,2030,3329,2481,1283,1826,252,15600
SED40022,23,96,72,75,95,99,69,119,6,667,18,71,32,36,57,77,28,83,74,478,648,2307,1933,2274,2659,2604,1617,2690,239,16978
SED40023,21,101,72,79,180,111,53,73,10,699,23,68,42,45,86,81,45,54,86,525,771,2041,1828,2362,3516,2442,1481,1810,228,16491
SED40024,26,102,57,94,161,143,83,99,8,772,27,74,49,67,74,77,40,76,98,585,814,2394,1879,2443,3203,2742,1744,2481,275,17974
SED40025,26,97,62,84,124,98,59,76,3,633,28,51,42,45,90,80,26,61,108,531,634,1903,1492,1990,3542,2661,1531,1985,235,15986
SED40026,21,84,64,84,142,134,79,76,0,687,16,59,31,35,114,83,40,54,131,569,678,2008,1653,2347,3671,2747,1732,2246,300,17380
SED40027,22,74,56,72,159,93,50,77,11,608,12,50,40,62,129,84,48,59,146,630,509,1712,1347,1934,3333,2044,1262,1387,301,13824
SED40028,18,76,47,60,72,99,52,88,13,521,28,66,38,43,73,72,22,62,126,535,828,1972,1450,1854,2496,2285,1419,2928,314,15551
SED40029,18,78,63,76,141,109,62,86,7,642,19,47,30,55,98,75,30,52,97,489,621,2074,1591,2216,3182,2316,1327,1664,242,15244
SED40030,18,102,76,105,161,118,72,69,4,727,22,49,34,45,91,71,33,48,97,486,668,2146,1842,2325,3923,2623,1597,1752,202,17074
SED40031,12,103,79,121,169,128,60,96,11,770,20,70,38,43,102,55,40,74,109,546,561,2368,1786,2268,3553,2809,1517,2007,249,17120
SED40032,17,76,75,92,115,88,40,66,4,575,16,42,46,46,58,85,30,70,92,479,564,2062,1627,2071,2973,2656,1440,2224,204,15815
SED40033,23,94,56,67,159,81,78,83,3,648,23,64,32,38,83,73,39,62,106,515,615,1949,1520,2016,2881,2192,1570,2511,245,15502
SED40034,20,67,47,71,132,112,66,58,3,576,17,39,35,52,146,88,38,43,130,595,560,1647,1422,2055,3616,2256,1382,1496,282,14719
SED40035,21,88,77,99,167,137,83,88,3,764,11,51,40,46,70,61,23,61,83,450,591,1973,1657,2092,3639,2651,1608,1904,205,16320
SED40036,10,74,55,58,159,110,70,60,5,596,15,70,40,60,153,79,32,51,111,621,530,1825,1522,2088,3794,2262,1283,1433,269,15002
SED40037,16,80,70,89,188,128,72,70,5,722,20,73,57,55,163,91,23,59,129,668,643,2041,1720,2251,4662,3120,1708,2080,347,18577
SED40038,17,59,44,57,153,115,66,48,12,574,20,72,28,66,158,86,29,49,167,680,455,1594,1287,2010,3741,2030,1182,1202,321,13825
SED40039,17,70,49,76,163,100,66,60,5,611,17,42,21,46,112,57,24,52,131,499,575,1682,1402,1984,3344,1821,1139,1242,281,13467
SED40040,22,85,43,74,112,85,50,90,0,563,33,67,32,51,77,84,40,68,93,544,684,2014,1692,2041,2629,2768,1604,2587,239,16258
SED40041,10,43,31,45,81,83,50,66,6,424,38,45,26,46,35,49,15,44,139,440,602,1517,1295,1681,2311,1901,1123,2816,304,13553
SED40042,22,82,53,73,167,120,69,57,7,654,31,76,52,82,179,114,34,53,175,803,635,1864,1579,2291,4452,2798,1653,1890,359,17522
SED40043,20,100,80,103,175,115,66,82,9,762,12,77,43,62,94,64,26,39,134,556,628,2062,1827,2292,4548,2839,1566,1740,272,17778
SED40044,6,76,48,78,93,57,51,62,3,481,20,61,34,48,55,70,26,65,79,459,539,2345,1743,1994,2827,2616,1590,2676,184,16515
SED40045,16,97,59,73,83,84,55,65,6,544,17,55,43,46,62,74,24,61,78,452,628,2487,1902,2029,2749,2496,1517,2284,197,16281
SED40046,15,88,89,103,155,109,51,66,9,685,21,74,40,52,83,76,22,56,115,537,564,2189,1852,2263,3967,2784,1487,1892,251,17246
SED40047,14,90,63,99,167,127,73,88,6,732,22,55,21,39,88,87,30,54,74,469,576,2127,1655,2165,3994,2757,1706,1923,180,17074
SED49494,0,10,0,4,0,3,0,0,0,23,3,3,6,4,10,3,0,7,14,46,53,82,68,103,139,100,63,98,32,734
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SED50106,21,116,67,88,140,121,64,102,13,725,27,94,55,64,71,88,34,81,126,643,766,2250,1660,2154,2690,2357,1492,2334,290,15988
SED50205,14,77,53,57,82,77,35,65,3,456,23,104,75,64,72,148,46,150,83,757,551,2579,1871,1754,2217,3092,1481,2931,181,16657
SED50302,36,106,80,96,191,180,85,108,10,898,31,98,55,66,223,194,61,104,192,1020,730,2129,1626,2182,4128,3182,1814,2415,398,18603
SED50404,17,97,98,96,175,140,76,105,3,805,21,68,74,57,132,171,64,91,131,808,671,2097,2150,2069,3942,3999,1903,2726,297,19853
SED50502,20,102,97,92,177,162,77,106,3,835,25,96,65,64,153,176,54,90,151,869,597,2108,1765,2028,3785,3216,1513,2206,341,17559
SED50605,8,87,74,59,80,100,41,62,4,505,19,88,61,49,97,120,42,80,85,640,505,2582,1847,1710,2608,2987,1462,2144,193,16040
SED50702,12,98,87,93,203,189,77,119,8,884,24,104,91,91,158,196,54,121,162,999,723,1941,1903,1991,4117,3901,1841,3005,357,19785
SED50806,17,106,62,76,130,115,79,94,18,687,32,87,55,41,92,113,42,79,110,656,696,1965,1586,1879,2694,2383,1654,2402,270,15523
SED50904,45,223,162,181,339,295,160,201,14,1609,69,125,114,103,256,311,119,184,332,1607,1504,3893,3260,3954,6829,6491,3077,5199,694,34902
SED51005,23,115,98,113,218,157,69,78,5,881,42,121,114,87,220,216,69,104,245,1222,703,2571,2571,2362,4677,3940,1698,2313,457,21283
SED51104,15,96,80,74,87,108,50,81,3,593,18,89,57,65,60,145,57,107,72,665,593,2559,2003,1873,2251,3081,1661,2739,206,16968
SED51201,15,57,42,43,86,99,45,94,4,486,40,59,37,39,59,106,55,101,117,619,655,1548,1294,1540,1746,2336,1462,3504,301,14381
SED51304,14,106,67,69,93,106,47,81,3,584,25,128,87,60,93,135,50,135,96,807,564,3089,2451,2096,2574,3654,1884,3409,242,19957
SED51405,19,130,95,130,251,211,105,137,18,1100,45,120,72,83,200,258,93,191,191,1264,934,2707,2282,2483,4897,4795,2337,3678,419,24538
SED51506,28,118,67,93,106,125,95,106,20,758,32,68,41,54,88,103,48,124,121,677,829,2248,1760,2096,2735,2498,2154,3129,317,17773
SED51604,9,96,57,53,53,58,29,67,4,429,21,141,68,50,64,139,58,142,99,780,525,2875,1890,1810,1841,3139,1570,3540,233,17419
SED51702,37,164,123,139,279,263,151,248,10,1417,55,134,98,96,259,297,114,254,186,1495,1217,3325,2851,3208,5826,5926,3019,5239,447,31057
SED51806,24,88,62,85,92,82,55,74,4,569,29,88,70,43,68,108,35,114,125,688,765,2174,1701,1881,2550,2213,1296,3000,326,15891
SED51903,46,96,70,93,154,180,142,328,16,1121,45,83,47,63,91,150,76,200,213,964,1113,2301,1622,2208,3098,3585,2830,7315,535,24603
SED52002,27,128,92,109,213,223,95,161,16,1066,37,116,54,85,212,219,88,138,166,1117,768,2163,1773,2222,4240,3947,1960,3163,366,20599
SED52105,22,99,66,81,108,95,40,79,3,594,36,134,74,73,94,180,68,144,146,936,803,2681,2124,2164,2974,3701,1902,3232,285,19866
SED52201,20,87,66,74,126,163,61,137,4,737,34,71,35,58,90,116,49,120,147,719,815,1894,1478,1967,2736,2788,1524,3010,298,16509
SED52304,18,170,139,103,206,196,98,126,10,1067,26,116,78,98,233,205,60,106,227,1149,792,2827,2306,2508,4524,4344,2014,2897,450,22662
SED52402,16,83,100,90,182,170,76,121,12,841,30,91,71,72,214,202,76,113,157,1028,610,2013,1788,2027,4006,3291,1643,2256,360,17991
SED52504,16,86,68,84,94,86,49,81,0,570,27,96,62,62,92,123,58,104,91,718,626,2426,2000,1892,2408,3150,1552,2698,212,16969
SED52605,20,115,89,94,154,155,69,106,12,813,22,108,61,71,130,184,74,158,119,928,694,2611,2196,2239,3774,4000,1996,2995,286,20784
SED52704,23,116,86,116,161,167,71,91,11,837,37,64,47,53,135,154,59,120,152,828,720,2344,2008,2175,3659,3637,1732,2495,363,19143
SED52802,23,113,65,74,156,152,67,103,9,760,29,91,67,71,118,159,45,94,118,796,595,2143,1733,1864,2697,2846,1471,2445,284,16076
SED52903,4,8,5,4,18,9,0,23,6,67,5,4,0,3,3,4,0,10,12,39,104,69,70,119,171,137,141,909,48,1771
SED53003,11,74,59,93,146,151,62,131,24,750,35,50,28,60,91,90,34,116,190,685,627,937,835,1387,2658,2510,1393,2918,380,13639
SED53104,19,123,65,82,113,125,57,86,10,680,20,83,61,49,96,133,53,85,85,664,692,2308,2016,1915,2825,3228,1598,2367,200,17155
SED53205,42,131,125,115,245,223,124,160,6,1166,54,116,84,83,259,268,115,208,253,1452,1191,2967,2511,2967,5905,5220,2709,4479,531,28469
SED53306,17,98,57,66,117,115,50,75,8,605,28,63,55,45,83,107,50,117,121,661,800,1987,1603,1854,2837,2324,1353,2791,296,15843
SED53402,28,76,91,103,147,152,92,111,8,802,26,96,93,62,115,198,73,119,117,899,709,2231,2234,2191,4116,4222,2175,3187,285,21356
SED53502,36,91,75,78,183,161,94,118,13,844,34,72,41,65,159,141,62,125,166,873,731,2035,1711,2057,3634,3258,1784,2777,332,18318
SED53602,18,141,110,90,195,173,74,101,14,919,31,124,93,88,255,207,60,111,253,1224,603,2343,2052,2249,4364,3419,1501,2264,502,19287
SED53701,17,79,42,55,93,90,53,85,3,526,47,82,59,58,51,119,54,144,135,751,804,1814,1490,1586,1691,2405,1448,4162,356,15770
