SED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED10048,1286,581,340,108,29,8,3429,29,161,200,124,147,42,4,0,710,786,2671,2127,1471,1003,413,78,24,8573,530,1513,1286,1204,941,355,77,15,5928,1151,2344,2016,2010,1828,911,264,71,10588,165,178,172,146,111,48,4,9,835,108,222,274,332,340,197,44,8,1511,1421,2743,2461,2488,2279,1153,310,86,12937,50,120,132,139,130,79,22,6,673,905,910,800,813,781,649,445,298,5603,3783,9142,8291,6824,5622,2794,966,437,37853
SED10049,312,300,238,106,34,3,1258,13,116,177,184,197,73,21,4,776,295,1525,1451,949,801,411,165,33,5629,304,1039,1209,1139,899,429,147,51,5225,1494,3488,2871,2554,1822,1074,421,120,13856,257,212,177,131,125,58,12,0,975,111,158,205,273,301,175,81,26,1335,1859,3862,3255,2961,2247,1311,517,143,16164,17,63,65,79,95,61,23,14,421,606,672,625,663,676,733,555,307,4835,3111,7524,7093,6278,5154,3125,1472,557,34305
SED10050,2021,1504,761,438,118,33,6340,20,291,509,462,354,182,27,9,1857,851,4967,5228,3675,2079,1040,378,123,18336,283,1376,1617,1612,1044,716,310,111,7072,458,1419,1208,1192,900,635,298,115,6224,49,68,78,100,76,52,19,8,444,68,132,229,317,307,250,105,48,1447,567,1612,1516,1605,1287,937,425,174,8120,31,109,153,128,132,137,49,35,782,572,1035,966,773,649,553,418,383,5344,2368,10807,12004,9759,6315,4001,1726,864,47856
SED10051,1596,1094,621,308,68,27,5265,26,207,307,245,204,82,26,6,1103,1315,3594,3232,2200,1323,648,235,76,12625,342,1134,1483,1401,865,471,210,79,5991,561,1443,1547,1580,1186,818,435,180,7746,71,86,82,95,87,53,12,3,499,73,154,214,289,281,220,85,35,1356,711,1679,1840,1966,1555,1091,539,218,9607,68,109,113,130,136,91,64,22,731,1041,1470,1362,1127,962,945,725,507,8133,3603,9637,9931,8172,5673,3636,1872,938,43459
SED10052,846,653,478,246,66,13,3030,29,174,272,246,293,98,23,8,1129,814,2331,2591,1819,1483,740,272,103,10145,371,1145,1517,1555,1183,688,258,103,6823,760,1678,1929,1920,1537,1073,692,301,9892,72,84,107,119,102,70,24,11,591,71,150,254,343,405,369,146,77,1819,908,1912,2292,2386,2049,1510,860,384,12300,28,65,87,109,162,133,83,29,699,352,463,492,521,562,594,597,599,4172,2540,6775,8089,7281,6211,4009,2157,1241,38304
SED10053,767,877,598,310,69,10,3146,20,225,340,401,330,186,29,3,1531,409,1911,1947,1697,1254,664,212,56,8150,272,1014,1265,1515,1035,539,186,45,5875,1036,2271,2199,2338,1816,929,371,93,11051,196,145,117,133,123,66,8,6,788,68,143,183,286,275,200,83,24,1273,1296,2556,2500,2755,2215,1196,468,128,13108,24,73,59,75,81,60,28,14,427,897,958,937,1141,976,862,554,250,6571,2933,7241,7813,8456,6498,3814,1552,503,38803
SED10054,763,334,190,88,17,5,2241,24,130,170,101,61,30,12,0,518,764,2515,2179,1591,1158,460,83,41,8785,586,1526,1292,1028,699,210,81,33,5463,1213,2146,1901,1893,1433,586,184,49,9410,197,199,192,167,122,34,0,0,923,139,276,310,306,234,101,42,3,1408,1551,2626,2399,2372,1790,716,225,55,11737,55,120,154,129,109,68,20,8,668,953,925,837,875,748,594,329,142,5386,3998,8606,7788,6434,4763,2164,764,285,34800
SED10055,459,343,284,102,22,3,1844,27,146,169,143,112,40,8,0,640,769,2232,1739,1225,987,366,78,15,7408,488,1438,1497,1294,893,277,60,16,5965,1417,2722,2485,2554,1785,711,209,39,11922,139,143,158,132,104,40,6,0,726,124,212,267,367,302,116,33,6,1436,1678,3079,2912,3056,2189,871,245,52,14078,42,87,119,128,115,57,26,3,574,713,728,710,695,689,485,263,95,4388,3786,8283,7605,6888,5272,2193,695,177,34904
SED10056,190,174,118,71,15,6,758,16,122,148,148,154,58,15,3,664,255,1371,1276,867,737,377,139,43,5072,189,790,814,906,807,463,184,64,4212,1295,2434,2156,2306,2077,1144,453,120,11993,170,155,169,153,136,54,12,6,857,110,162,177,296,272,167,69,18,1265,1575,2753,2507,2756,2478,1363,539,142,14115,40,62,46,51,73,82,45,13,402,1248,1078,1040,1307,1569,1545,1244,647,9679,3335,6343,6025,6207,5937,3956,2184,916,34903
SED10057,148,143,226,175,47,8,847,4,57,100,136,228,135,31,12,713,128,640,753,746,1001,723,261,85,4328,147,464,679,936,1098,857,359,105,4633,879,1569,1824,2302,2450,1892,941,291,12153,185,167,169,160,163,116,24,11,984,93,128,184,285,419,408,158,66,1740,1154,1869,2179,2745,3040,2411,1125,361,14876,14,25,44,57,126,142,77,26,517,735,480,543,870,1174,1511,1249,780,7337,2184,3629,4447,5643,6891,5948,3142,1372,33261
SED10058,908,765,620,309,79,27,3633,24,228,288,304,358,162,29,9,1405,904,3950,2548,1694,1552,776,281,62,11775,338,1097,1038,1121,1019,553,209,82,5449,1102,2328,1643,1778,1520,897,425,143,9832,158,134,103,103,90,61,12,7,662,99,137,159,241,283,199,78,23,1220,1353,2591,1903,2119,1899,1152,518,174,11715,39,64,65,65,85,90,36,22,460,585,830,567,815,919,786,675,595,5779,3265,9664,7309,6878,6447,3828,1835,982,40211
SED10059,2380,1484,929,381,90,12,9259,77,684,502,413,282,138,18,0,2112,3556,10151,4606,2374,1331,599,216,48,22873,599,1924,1374,1011,596,324,132,29,5993,510,1487,911,859,540,311,149,40,4814,71,104,68,70,44,27,4,3,399,80,195,182,224,175,90,50,18,1009,666,1783,1162,1152,766,433,202,58,6219,76,164,98,115,63,56,30,11,611,1650,2882,1492,1085,873,638,475,149,9242,6881,21304,11618,7624,4839,2566,1166,307,56304
SED10060,2752,1891,1483,1014,318,83,10340,17,528,486,413,387,286,80,16,2211,1263,7315,4968,3393,2668,1860,808,272,22542,212,1201,1252,1184,990,916,451,175,6384,215,824,621,508,421,346,172,58,3176,26,47,54,56,54,51,22,5,321,39,120,175,181,233,261,110,48,1171,281,992,848,746,714,665,304,116,4664,23,138,138,123,128,166,80,45,852,591,1484,1109,838,778,725,464,328,6311,2474,14388,11551,8581,7147,5621,2506,1038,53309
SED10061,488,476,456,311,108,31,2260,8,153,182,251,263,113,29,6,1006,374,1453,1390,1166,1024,681,241,75,6403,184,576,832,1007,937,610,249,57,4466,1280,2046,1753,2017,1828,1096,427,92,10546,255,153,127,155,129,66,29,8,929,145,148,190,312,294,224,82,25,1410,1678,2350,2078,2478,2252,1381,535,130,12888,31,73,29,55,83,106,51,22,444,1330,977,975,1241,1272,1375,989,428,8585,3626,5954,5971,6670,6287,4578,2217,751,36054
SED10062,1245,894,557,263,81,23,4336,14,188,262,255,261,122,23,5,1136,1021,3311,2906,2295,1680,789,301,90,12397,380,1058,1328,1446,1059,579,274,100,6231,635,1169,1297,1480,1200,850,542,232,7413,72,73,99,118,87,62,16,9,528,73,118,241,359,359,291,129,56,1622,778,1356,1636,1954,1643,1203,686,296,9556,39,108,111,121,131,129,72,19,737,497,596,515,553,552,554,468,405,4147,2813,7827,7993,7524,5880,3641,1908,937,38538
SED10063,380,327,266,159,27,11,1461,18,148,194,205,208,96,33,6,905,322,1715,1571,1128,941,547,210,74,6511,183,750,933,1029,958,626,258,69,4797,1336,2540,2316,2254,1754,1027,427,111,11773,222,184,146,180,130,73,26,6,971,117,167,224,293,335,250,95,23,1506,1672,2886,2688,2730,2216,1353,554,146,14243,31,44,49,52,100,85,40,24,427,991,750,794,1045,995,1145,940,412,7072,3233,6568,6613,6518,5686,4008,2061,735,35423
SED10064,136,183,251,169,40,6,871,3,65,105,160,234,162,29,5,767,125,622,919,941,1184,771,213,67,4851,128,417,658,939,1194,697,265,83,4372,910,1741,1950,2402,2678,1681,740,185,12292,199,170,182,164,186,106,32,3,1031,89,139,191,297,397,313,116,38,1581,1188,2050,2322,2865,3255,2100,889,227,14904,19,20,43,68,109,103,53,15,429,1021,800,799,1098,1352,1395,1135,648,8255,2491,4065,4986,6256,7584,5388,2627,1049,34452
SED10065,2966,1089,628,232,71,12,9388,31,469,397,242,204,101,23,6,1464,1538,8084,4507,2409,1635,768,316,75,19337,603,2063,1831,1435,1019,496,205,66,7722,671,1647,1562,1385,1075,640,352,126,7460,100,131,117,121,80,45,20,0,611,85,191,251,310,261,176,74,36,1381,859,1971,1926,1818,1411,864,443,163,9459,67,282,199,171,169,129,57,35,1110,925,1899,1280,929,804,681,462,297,7269,4198,18969,13108,8087,5877,3280,1573,652,55754
SED10066,624,382,306,157,29,6,2231,20,180,206,169,214,101,16,4,909,536,1928,1707,1064,855,456,162,42,6755,401,1270,1273,1016,907,494,161,51,5562,1366,3018,2426,2164,1675,1066,395,119,12221,174,196,167,112,112,48,10,4,822,118,169,225,283,327,255,80,32,1485,1657,3381,2816,2551,2111,1362,481,157,14525,33,65,87,88,105,88,39,22,532,745,889,772,762,715,731,533,279,5416,3446,8386,7478,6040,5210,3388,1423,561,35935
SED10067,782,890,717,457,158,40,3430,11,120,238,298,364,240,66,18,1361,543,1843,2726,2458,2044,1305,541,199,11648,293,849,1421,1640,1411,1064,482,185,7347,627,1369,1627,1841,1410,979,537,199,8591,53,58,86,119,88,70,20,21,512,66,110,200,365,411,361,190,91,1791,738,1532,1914,2330,1911,1405,742,316,10894,4,29,93,128,158,142,93,55,713,434,395,568,633,682,808,708,747,4968,2063,5120,7742,8379,7281,5417,2789,1569,40366
SED10068,273,286,270,210,73,11,1318,13,84,153,195,279,152,57,15,938,168,1051,1351,1126,1124,842,346,109,6123,158,564,984,1182,1245,1010,439,129,5710,870,1669,1904,2403,2401,1963,979,294,12481,157,131,123,153,167,137,31,11,916,80,128,188,308,422,382,213,58,1772,1111,1922,2213,2867,2986,2476,1228,362,15162,17,19,49,73,111,160,90,36,553,596,486,512,737,1003,1471,1228,799,6831,2064,4312,5540,6450,7018,6327,3466,1457,36635
SED10069,214,227,233,190,52,6,1067,10,56,114,141,188,134,18,6,664,199,760,995,776,922,770,246,61,4736,215,606,944,1109,1123,881,333,77,5289,1070,2081,2354,2670,2283,1839,851,206,13351,196,163,145,143,138,104,26,3,906,82,136,176,269,358,411,152,34,1626,1344,2383,2671,3082,2775,2355,1034,246,15880,22,34,42,68,101,137,65,30,490,751,604,618,820,982,1281,963,537,6564,2549,4574,5597,6220,6322,5743,2717,965,34690
SED10070,1155,485,267,92,17,0,3309,23,173,197,115,124,36,10,0,691,848,2843,2515,1380,929,448,124,24,9114,501,1303,1441,1160,786,357,104,31,5677,761,1596,1736,1666,1321,988,366,95,8530,87,115,128,133,125,57,10,3,655,73,143,265,277,248,147,53,16,1224,912,1855,2127,2077,1697,1190,436,112,10411,43,141,175,131,139,81,29,3,733,601,731,742,661,729,661,441,271,4844,3006,8254,8344,6014,4683,2865,1161,442,34773
SED10071,2273,960,513,185,35,10,5445,17,265,433,224,139,60,9,0,1149,918,3996,4550,2437,1308,567,115,23,13920,493,1591,2070,1480,802,309,73,16,6836,868,2002,2321,1860,1172,579,163,36,9000,124,120,153,141,103,24,9,0,670,109,185,310,325,240,137,28,0,1343,1107,2304,2781,2320,1516,741,202,41,11017,29,121,184,144,107,69,24,0,675,635,1039,1074,696,553,380,165,57,4608,3258,10744,13370,8262,4929,2311,623,145,43646
SED10072,1406,650,392,173,60,11,5319,18,309,244,207,160,63,20,3,1024,1425,5840,3165,1760,1157,587,220,59,14216,639,1949,1660,1417,815,462,175,59,7174,635,1552,1512,1514,1075,762,424,160,7632,79,93,115,135,85,47,25,8,595,83,192,303,378,280,184,89,39,1547,796,1836,1937,2021,1436,994,541,204,9770,75,203,150,175,154,92,42,17,917,828,1434,929,825,729,715,647,532,6637,3921,14067,9497,7055,4836,3087,1699,896,45051
SED10073,2880,1433,871,420,103,27,10006,43,389,397,298,280,144,46,9,1603,2170,7165,4629,2820,2016,1042,417,162,20410,720,1491,1461,1400,1053,649,289,121,7182,600,1159,1149,1228,995,621,377,165,6291,76,85,82,84,92,64,26,8,527,93,142,192,285,308,218,110,64,1416,771,1384,1417,1600,1400,902,521,238,8238,87,185,172,148,159,120,75,24,975,721,972,645,561,632,488,481,450,4947,4706,15656,11600,8259,6407,3769,1931,1032,53358
SED10074,1939,780,529,223,61,9,5792,22,274,339,254,202,91,25,3,1210,833,4461,3474,1868,1276,701,241,54,12902,418,1323,1533,1266,890,572,211,65,6280,706,1629,1774,1643,1317,930,504,144,8636,83,111,118,111,103,68,20,3,625,71,162,260,315,312,280,108,29,1546,864,1901,2153,2070,1730,1277,633,184,10808,49,154,165,128,156,114,57,16,837,557,930,826,635,598,594,572,421,5136,2829,11210,10422,7001,5378,3574,1792,751,42971
SED10075,317,247,230,105,23,4,1178,28,171,173,128,162,71,16,0,744,366,1292,1251,841,724,380,120,24,4997,426,1103,1309,1215,915,472,143,35,5620,1518,2978,2794,2824,2279,1447,678,152,14666,210,180,207,157,122,77,18,5,981,135,174,284,358,369,228,93,35,1671,1867,3338,3283,3339,2769,1753,782,189,17322,24,48,85,90,115,98,54,12,534,669,532,621,756,812,968,792,386,5544,3392,6729,7041,6621,5731,3834,1926,655,35933
SED10076,195,212,263,227,67,9,1103,16,116,142,148,231,158,33,4,854,126,732,837,717,951,690,237,62,4353,151,495,785,935,1058,843,322,69,4662,957,2006,1948,2256,2456,2003,988,281,12897,184,158,123,145,145,98,26,6,893,73,124,185,267,369,378,139,48,1584,1211,2296,2263,2673,2971,2476,1157,333,15374,17,45,45,67,102,157,55,17,508,736,523,558,793,1051,1403,1152,693,6911,2262,4338,4824,5546,6629,5953,3022,1189,33772
SED10077,2095,1089,761,335,95,38,8539,44,381,330,267,220,98,39,13,1390,2506,7610,3679,2705,1800,854,407,132,19703,703,1830,1386,1341,927,427,199,93,6910,567,1220,1045,1105,759,482,316,125,5620,77,96,79,105,76,40,7,4,478,94,175,199,266,253,138,65,40,1225,733,1493,1325,1480,1084,658,387,166,7323,102,258,141,170,170,99,37,27,1001,1189,1699,884,746,646,532,458,328,6479,5550,17115,9844,7804,5603,3011,1627,800,51345
SED10078,2016,1395,884,347,83,16,7129,40,448,503,469,342,121,13,4,1948,1629,6305,3964,2592,1488,621,198,60,16861,536,1624,1411,1215,772,363,130,53,6099,529,1416,1141,1135,794,491,292,100,5904,76,86,105,96,73,26,6,7,466,67,164,202,272,217,147,43,29,1139,672,1668,1446,1511,1074,659,340,135,7508,56,141,96,139,101,73,33,13,649,756,1406,996,834,696,550,523,391,6156,3810,13862,10440,8145,5363,2724,1327,676,46347
SED10079,216,233,234,139,36,9,997,10,79,124,131,198,90,32,7,667,266,932,1181,960,870,564,192,47,5007,206,631,908,1075,993,664,241,71,4800,1176,2213,2279,2695,2298,1751,902,234,13557,196,122,137,156,138,66,16,11,840,96,138,178,306,367,322,136,50,1591,1464,2472,2596,3152,2806,2140,1056,291,15984,23,33,46,69,100,110,62,18,460,518,362,447,610,742,975,933,482,5063,2490,4624,5517,6233,5942,4687,2557,937,32983
SED10080,2982,1686,1182,697,197,52,11489,34,628,520,358,325,161,42,12,2086,2741,12529,5659,2832,2050,1264,450,139,27660,1097,2890,1694,1058,750,582,220,85,8379,620,1493,781,702,495,328,124,53,4591,75,115,66,66,49,27,8,3,415,82,257,204,185,178,173,52,31,1170,784,1866,1049,951,722,522,182,93,6169,120,297,174,107,100,88,35,8,927,2664,5285,2536,1751,1314,942,538,374,15411,7688,27933,14617,8737,6440,4262,1677,768,72117
SED10081,236,243,178,82,32,4,1008,12,137,166,158,186,92,35,3,788,280,1338,1302,921,895,510,181,53,5485,176,731,910,1008,977,556,219,70,4643,1239,2556,2233,2245,1960,1179,475,107,12003,196,182,168,170,149,98,22,4,992,99,179,200,290,327,266,92,27,1479,1534,2919,2596,2706,2441,1546,598,135,14472,46,67,54,57,90,77,60,24,476,1040,916,870,994,1174,1214,949,455,7605,3105,6315,6127,6091,5943,4076,2069,747,34479
SED10082,503,508,456,308,109,31,2223,13,130,233,287,344,177,49,18,1239,386,1692,2112,1721,1478,1002,389,128,8907,250,767,1301,1519,1283,861,421,117,6520,854,1717,1960,2334,2013,1357,698,241,11179,93,87,107,130,140,92,28,7,679,61,116,161,308,399,377,157,56,1625,1011,1914,2231,2773,2550,1828,881,309,13489,17,41,54,102,125,162,77,35,623,470,400,459,587,661,739,784,627,4724,2171,5222,6886,7494,6899,5080,2714,1258,37721
SED10083,265,272,250,150,40,13,1220,13,97,158,128,205,100,32,3,747,321,1412,1396,996,934,569,203,71,5903,297,958,1161,1176,964,613,248,115,5523,1073,2406,2345,2482,2006,1350,617,217,12484,162,142,144,137,128,77,23,11,834,97,147,209,282,334,274,115,44,1509,1333,2701,2701,2902,2471,1701,744,271,14828,21,65,61,86,110,122,51,27,552,626,531,574,727,780,894,843,741,5711,2614,5968,6322,6295,5724,4150,2168,1245,34488
SED10084,285,275,285,179,46,18,1280,9,115,205,188,254,119,38,4,929,209,1169,1559,1181,1072,715,277,71,6254,206,774,1057,1231,1135,801,342,102,5643,902,1846,2206,2342,2308,1666,957,308,12530,121,113,122,122,130,82,23,9,706,87,154,206,267,384,285,149,68,1601,1107,2116,2533,2724,2826,2030,1131,384,14845,21,45,54,77,107,107,91,31,537,643,557,675,824,1076,1273,1243,874,7173,2203,4952,6367,6508,6759,5220,3161,1488,36663
SED10085,185,171,155,107,22,10,811,7,80,123,123,172,75,24,3,600,209,1067,1002,828,739,468,173,51,4531,168,662,871,1014,858,498,199,48,4327,1361,2897,2635,2845,2032,1076,406,90,13347,201,210,181,196,105,49,13,0,952,102,166,215,324,282,198,82,23,1388,1665,3274,3032,3365,2421,1317,502,112,15691,27,38,47,82,79,78,28,19,392,950,848,947,1056,1125,991,723,352,6992,3028,6110,6210,6649,5549,3541,1673,593,33347
SED10086,2072,1492,1023,733,220,62,7662,16,401,409,322,289,171,68,11,1682,1144,7206,4950,3340,2386,1599,619,257,21497,274,1344,1340,1072,914,710,339,140,6143,266,972,658,603,457,444,243,125,3780,28,61,64,52,37,30,13,3,298,66,192,161,210,210,196,98,59,1205,366,1228,886,870,708,678,356,187,5280,38,170,129,119,138,146,75,41,857,781,2055,1275,1002,847,900,656,416,7931,2703,14380,11058,8220,6309,4935,2334,1118,51048
SED10087,377,352,318,154,50,12,1559,24,175,201,202,218,80,23,3,924,473,1964,1726,1137,912,484,205,52,6964,247,834,939,923,924,510,213,69,4655,1617,2825,2194,2278,1916,992,397,134,12350,236,189,149,170,126,75,18,0,957,112,178,185,286,317,212,79,31,1401,1963,3193,2532,2727,2361,1276,491,167,14711,22,69,42,39,81,87,41,18,397,923,698,652,808,945,886,728,405,6041,3668,7217,6470,6192,5749,3477,1748,732,35245
SED10088,1195,968,478,241,93,21,3724,27,170,355,310,262,113,40,10,1291,731,2803,3568,2661,1503,818,352,126,12552,319,1287,1724,1718,1113,682,370,134,7345,718,1545,1881,2005,1370,865,542,175,9094,90,90,129,138,90,66,19,9,629,85,153,272,407,322,312,171,70,1782,894,1790,2276,2551,1778,1234,730,251,11509,32,85,110,142,141,113,86,41,754,500,532,622,687,563,596,608,470,4583,2527,7364,9848,9049,5844,3803,2285,1052,41762
SED10089,745,447,376,191,63,13,2655,28,185,206,186,257,92,22,5,974,755,2666,2110,1258,986,508,183,46,8512,467,1047,1142,1111,918,478,203,69,5423,1515,2654,2175,2282,1914,1216,525,230,12513,260,191,145,118,89,46,12,9,871,129,150,202,250,311,245,81,29,1397,1900,2997,2521,2653,2314,1510,621,265,14781,49,71,76,73,83,87,40,25,503,610,544,515,555,597,665,775,774,5028,3846,8299,7315,6270,5523,3526,1899,1189,37871
SED10090,2959,1904,1187,671,221,39,9307,24,380,563,479,342,211,61,13,2078,1302,5823,5937,3968,2500,1444,550,227,21743,357,1145,1324,1378,1083,781,366,198,6625,283,746,700,696,558,402,224,119,3733,43,51,66,76,78,45,31,11,384,44,98,163,225,289,229,108,77,1238,370,896,925,997,927,672,363,204,5356,47,112,151,143,132,131,78,39,836,511,905,783,645,569,504,348,301,4570,2705,11483,12643,9521,6740,4414,1989,1013,50511
SED10091,389,394,407,303,117,21,1941,21,120,150,214,241,151,48,4,952,292,1119,1349,1167,1079,857,361,90,6318,309,815,1099,1204,1095,771,345,106,5744,1278,2450,2576,2564,2004,1225,628,124,12854,138,137,134,143,136,71,24,7,795,98,125,270,302,354,314,143,30,1632,1517,2721,2973,3011,2501,1604,796,161,15278,24,48,64,82,120,103,49,28,510,728,527,641,797,820,893,736,424,5564,2913,5633,6666,6856,6259,4691,2453,843,36312
SED10092,742,512,434,246,70,15,3208,41,296,225,180,231,90,36,8,1105,1258,3032,1678,1200,962,544,194,61,8922,543,1192,1147,1156,884,503,185,64,5678,1347,2482,1959,2130,1816,1005,566,217,11510,231,175,136,168,111,57,16,9,901,127,147,236,332,353,242,109,32,1588,1699,2802,2330,2631,2281,1301,688,263,13989,65,93,89,90,104,93,47,20,597,1050,968,745,870,991,1003,958,536,7110,4742,9491,6950,6635,5885,3779,2171,962,40621
SED10093,201,194,168,99,30,8,856,13,94,118,126,139,68,22,5,588,243,1008,1075,756,712,346,173,34,4352,300,903,1212,1044,792,505,182,58,4995,1320,2620,2532,2563,1967,1281,684,207,13173,231,160,188,154,113,46,8,3,903,143,171,251,295,293,264,95,35,1547,1691,2952,2965,3017,2372,1593,786,244,15625,27,45,61,71,110,83,47,21,461,763,627,652,837,894,1084,1071,765,6694,3046,5785,6291,6041,5198,3769,2312,1139,33569
SED19494,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
SED19797,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
SED20106,2054,1279,881,565,125,17,8075,38,636,608,467,413,201,30,3,2394,1700,7807,4328,2416,1782,1056,329,94,19507,542,1709,1243,976,818,550,183,55,6077,496,1461,855,811,554,355,138,59,4732,60,86,69,43,47,27,11,0,343,74,186,163,158,158,121,49,11,925,632,1740,1091,1007,756,503,196,73,6001,48,187,121,73,74,83,36,11,632,1205,2649,1489,1183,1003,764,411,188,8899,4357,17707,10924,7408,5726,3716,1308,444,51585
SED20207,2191,705,310,105,13,0,5358,28,419,537,338,190,61,16,3,1590,744,4431,4341,1849,942,399,126,27,12858,468,1863,2069,1487,763,324,117,25,7118,900,2097,2135,1982,1264,647,248,86,9352,106,104,130,98,52,28,7,0,525,95,202,301,255,169,108,26,9,1168,1098,2402,2570,2335,1490,776,284,93,11050,41,144,166,113,66,59,25,11,630,688,967,993,781,642,579,351,182,5197,3145,12184,12861,7612,4410,2306,929,344,43792
SED20302,322,196,180,162,27,7,1249,23,170,231,200,201,145,33,0,1002,233,1426,1344,796,770,585,186,56,5396,315,1148,1179,943,784,679,258,83,5394,1056,2636,2255,2110,1775,1207,547,146,11738,128,138,140,132,76,61,14,0,697,81,167,221,207,210,186,60,33,1166,1261,2946,2625,2446,2060,1451,626,180,13598,25,61,66,70,61,86,35,18,423,704,615,695,831,892,1061,833,460,6090,2573,6715,6457,5478,4951,4166,2005,804,33149
SED20401,603,327,227,129,31,7,2038,31,261,354,225,214,97,35,5,1222,438,2374,1951,1084,742,463,159,45,7256,371,1216,1195,993,766,539,177,66,5328,858,1936,1732,1815,1420,912,518,131,9320,103,86,98,92,63,30,9,7,479,82,128,156,176,188,139,68,36,967,1039,2148,1986,2078,1672,1081,591,171,10766,17,63,63,61,64,70,48,20,404,408,543,563,498,520,588,524,455,4092,2342,7285,6708,5259,4216,2955,1575,760,31108
SED20508,346,314,330,268,74,16,1526,18,144,263,294,362,220,44,5,1357,209,1161,1491,1141,1182,905,320,84,6488,211,633,900,955,1112,959,379,113,5257,767,1655,1671,1736,1673,1244,552,161,9451,74,93,80,67,75,65,22,3,479,52,95,128,146,218,202,92,29,966,890,1841,1881,1950,1971,1510,661,197,10894,11,20,41,44,67,83,60,27,360,422,336,394,485,732,994,705,386,4455,1770,4310,5310,5186,5750,4945,2245,825,30339
