SED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED40002,0,3,0,0,0,6,3,4,13,411,301,39,747,28,24,52,803,400,9,1207
SED40003,0,3,0,0,0,3,7,3,11,337,263,20,623,25,21,49,666,316,5,988
SED40004,0,5,3,0,3,9,3,3,18,445,290,47,780,25,26,50,836,383,7,1219
SED40005,3,13,3,0,3,18,20,17,48,345,336,22,703,64,43,103,807,611,24,1442
SED40006,0,9,0,0,0,9,18,11,40,549,427,41,1020,46,58,105,1122,903,14,2047
SED40007,3,13,0,0,0,9,6,6,27,392,339,31,761,33,29,56,822,493,10,1326
SED40008,0,5,0,0,3,7,16,12,45,398,337,36,776,45,39,84,860,753,30,1636
SED40009,0,4,0,0,0,4,3,4,9,405,318,24,750,19,17,31,785,302,9,1094
SED40010,5,7,0,0,0,5,7,3,20,432,332,26,795,26,27,57,849,427,3,1283
SED40011,0,3,0,0,0,3,9,4,24,438,373,43,863,42,49,90,946,701,18,1664
SED40012,0,3,0,3,3,8,25,19,49,374,344,25,751,47,63,110,868,938,28,1832
SED40013,0,11,0,3,3,13,10,6,27,218,364,23,607,35,27,64,675,466,11,1150
SED40014,0,4,0,0,0,3,4,6,14,473,404,37,916,35,31,62,980,366,9,1354
SED40015,3,12,3,0,3,8,30,19,59,291,307,43,638,37,33,71,711,436,27,1171
SED40016,0,6,0,0,3,12,10,5,24,439,382,37,859,33,40,73,933,572,9,1520
SED40017,0,5,0,0,0,7,24,3,35,283,349,39,673,52,52,109,777,684,17,1477
SED40018,7,14,3,0,3,12,38,22,73,323,317,49,686,93,54,148,834,715,39,1592
SED40019,3,7,0,0,0,7,13,6,26,245,281,17,547,37,51,93,635,539,13,1189
SED40020,0,11,0,3,5,9,19,9,41,338,352,44,736,66,51,111,850,628,18,1499
SED40021,0,5,0,0,0,3,13,6,22,395,332,37,762,32,38,74,838,613,19,1463
SED40022,0,3,0,0,0,4,3,0,9,412,349,34,792,16,25,46,835,339,7,1180
SED40023,3,12,0,0,0,8,30,5,45,496,612,50,1157,56,73,133,1293,775,18,2079
SED40024,3,13,0,0,0,9,3,8,27,428,489,42,954,20,35,58,1013,429,19,1464
SED40025,0,11,0,0,0,10,21,8,39,500,369,42,916,28,48,77,995,647,13,1659
SED40026,4,14,0,4,4,18,15,10,43,498,493,68,1056,72,69,137,1196,681,18,1898
SED40027,6,17,3,0,3,19,47,19,83,437,450,47,936,123,90,211,1144,1303,27,2482
SED40028,0,11,0,0,0,7,12,3,26,247,285,26,554,27,22,51,605,362,10,979
SED40029,0,12,0,0,0,10,14,16,40,416,469,43,927,62,41,105,1032,706,24,1758
SED40030,0,10,0,0,0,11,6,11,23,509,468,48,1025,37,39,74,1102,554,13,1672
SED40031,0,11,0,0,0,13,5,4,26,459,310,21,792,25,27,46,846,466,9,1317
SED40032,0,3,0,0,0,3,4,0,11,362,344,32,736,36,30,64,802,354,9,1165
SED40033,0,10,0,0,0,10,16,17,40,373,410,36,815,56,44,99,905,554,20,1481
SED40034,3,9,4,0,4,18,37,21,76,520,518,77,1114,141,121,259,1378,1306,39,2726
SED40035,0,11,3,0,3,11,7,3,16,498,406,20,924,43,29,73,993,427,3,1428
SED40036,4,12,0,0,0,13,13,4,30,430,408,47,892,68,51,120,1004,750,4,1764
SED40037,4,12,0,0,0,12,26,12,43,572,444,59,1073,72,54,124,1198,824,23,2050
SED40038,3,5,3,0,3,8,27,18,57,494,446,57,998,118,89,212,1212,1182,39,2426
SED40039,4,13,0,0,0,15,26,24,71,512,537,67,1117,93,71,171,1287,1004,36,2327
SED40040,0,3,0,0,0,3,7,4,18,354,314,46,713,42,28,67,774,409,7,1199
SED40041,0,10,0,3,3,8,28,27,63,288,298,41,629,63,42,106,736,624,31,1395
SED40042,3,14,0,0,0,14,18,10,45,568,550,69,1188,96,86,184,1373,1032,16,2425
SED40043,0,4,0,3,0,5,10,0,21,501,379,40,922,51,46,96,1022,678,13,1709
SED40044,0,3,0,0,0,3,6,3,8,441,283,30,755,24,22,41,793,345,8,1145
SED40045,0,3,0,0,0,3,5,6,14,391,314,31,737,21,21,44,786,362,5,1153
SED40046,0,3,0,0,0,3,12,3,13,430,318,30,770,27,18,51,819,612,6,1435
SED40047,0,7,0,0,0,7,8,9,24,587,478,34,1101,52,44,98,1196,487,10,1701
SED49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,3,10,0,0,0,10,17,5,28,345,431,32,809,31,35,71,882,537,9,1426
SED50205,3,5,0,0,0,5,5,3,15,413,264,31,705,18,30,47,757,350,8,1110
SED50302,3,8,0,4,4,15,36,17,69,643,574,66,1290,150,113,261,1545,1130,34,2709
SED50404,3,9,0,0,0,9,5,3,24,441,347,31,824,49,37,87,905,512,13,1436
SED50502,4,5,0,0,0,8,13,15,41,544,427,47,1020,68,59,127,1144,702,30,1876
SED50605,0,3,0,4,6,9,3,3,16,359,288,27,668,19,37,50,721,414,3,1141
SED50702,0,6,0,0,3,11,9,12,37,462,342,39,841,60,65,126,963,692,29,1678
SED50806,3,3,0,0,0,11,19,7,36,442,439,40,914,66,67,136,1054,657,34,1739
SED50904,11,21,3,7,7,30,32,16,80,1134,889,127,2144,176,160,340,2488,1218,29,3736
SED51005,3,8,0,0,0,8,16,8,34,520,362,46,930,63,56,117,1051,713,19,1784
SED51104,3,12,0,0,0,12,5,3,19,349,311,33,689,23,14,34,725,267,5,1005
SED51201,0,4,0,3,3,8,17,7,31,277,259,32,569,48,50,94,665,530,21,1219
SED51304,3,8,0,0,0,8,0,3,11,368,313,24,704,24,37,60,764,358,5,1129
SED51405,4,14,0,0,0,12,12,3,33,612,462,57,1136,78,48,127,1256,540,5,1808
SED51506,0,11,0,0,0,10,9,8,24,420,442,54,916,61,61,119,1034,558,13,1610
SED51604,3,4,0,0,0,4,5,3,10,366,307,24,691,31,28,58,750,352,5,1113
SED51702,7,13,0,0,0,20,8,8,31,665,490,62,1224,64,66,128,1355,528,14,1894
SED51806,3,8,0,0,0,9,7,0,17,415,392,46,851,79,63,144,989,576,6,1576
SED51903,3,15,0,3,3,21,25,26,70,583,339,54,970,79,33,112,1084,619,39,1743
SED52002,3,4,0,0,0,7,6,8,29,653,440,56,1148,71,53,126,1268,628,25,1922
SED52105,0,8,0,0,0,8,8,10,25,479,430,36,944,44,38,86,1027,505,16,1551
SED52201,0,4,0,0,0,7,29,19,56,474,401,47,923,82,63,147,1068,654,30,1749
SED52304,3,7,0,0,0,8,6,11,28,586,492,42,1117,73,58,134,1251,690,27,1966
SED52402,0,7,3,0,3,12,13,17,46,580,393,44,1016,99,84,186,1198,787,23,2014
SED52504,0,4,0,0,0,4,5,0,13,371,291,25,688,18,28,46,732,295,8,1032
SED52605,0,9,0,0,0,7,10,3,21,501,372,39,906,37,35,73,983,381,10,1377
SED52704,5,11,0,3,3,15,8,3,34,540,387,48,969,51,45,100,1066,469,11,1551
SED52802,3,11,0,0,0,11,8,9,21,405,298,31,733,38,35,73,812,474,18,1299
SED52903,0,3,0,0,0,3,3,27,30,29,16,3,52,8,11,17,68,94,29,187
SED53003,4,16,0,3,3,19,40,38,99,388,225,44,655,77,54,128,785,830,56,1667
SED53104,0,5,0,0,0,5,5,0,13,438,346,33,812,36,21,61,880,326,3,1207
SED53205,7,8,3,0,3,8,23,13,40,823,644,62,1528,184,129,313,1833,1098,26,2961
SED53306,0,9,4,0,4,15,27,16,52,436,450,65,950,84,83,167,1117,924,24,2067
SED53402,0,5,0,0,0,5,5,6,16,485,372,37,891,57,47,100,993,490,6,1492
SED53502,3,4,3,0,3,7,23,16,50,680,445,55,1178,96,59,151,1325,748,21,2096
SED53602,8,10,3,0,3,16,23,21,61,561,458,62,1078,100,82,190,1265,985,39,2290
SED53701,0,10,0,0,0,14,5,3,27,261,225,36,521,45,26,76,593,391,15,996
SED53802,0,4,0,0,0,4,15,4,29,466,366,30,858,50,46,101,958,626,15,1598
SED53902,4,8,0,0,0,5,9,5,23,416,334,38,787,41,41,82,868,451,11,1325
SED54006,4,7,0,0,0,8,24,8,35,341,410,57,812,82,45,131,936,585,11,1530
SED54104,0,7,0,0,0,7,4,0,8,383,258,25,667,29,25,52,715,310,4,1033
SED54203,0,11,0,0,4,11,14,16,39,165,105,18,290,26,19,43,339,201,21,554
SED54304,3,9,0,0,0,9,0,5,16,499,327,31,859,39,37,78,937,314,3,1253
SED54404,0,0,0,0,0,6,11,0,10,375,227,33,634,35,45,79,712,414,8,1127
SED54503,0,8,4,0,4,11,25,13,52,405,126,38,567,48,25,81,642,404,19,1077
SED54605,0,4,0,0,0,4,5,0,10,469,313,42,822,30,26,60,883,446,6,1335
SED54705,0,5,0,0,0,5,16,18,38,460,370,48,879,91,51,141,1022,727,23,1768
SED54804,0,5,0,0,0,3,10,10,25,478,379,39,902,46,38,86,985,423,13,1429
SED54905,0,0,0,0,0,0,4,6,17,387,292,19,702,41,26,69,768,415,16,1202
SED55005,0,14,0,0,0,14,6,7,26,595,419,32,1050,58,63,117,1169,459,10,1635
SED55102,3,9,0,0,0,11,5,6,31,584,399,38,1023,37,41,78,1097,467,14,1585
SED55206,0,3,0,0,0,3,15,9,22,373,456,42,874,39,53,93,964,442,14,1416
SED55305,0,3,0,0,0,3,11,8,24,399,324,28,745,70,49,121,867,506,15,1391
SED55401,3,6,3,0,3,10,22,14,42,259,227,31,508,36,28,60,569,465,30,1072
SED55504,3,16,0,0,0,15,8,3,25,597,407,50,1056,65,50,117,1172,456,13,1640
SED55605,3,16,0,0,4,23,12,6,40,780,600,76,1461,132,102,228,1689,788,14,2493
SED55706,0,3,0,0,0,3,11,10,24,336,412,54,797,35,51,90,888,470,18,1375
SED55802,0,7,0,0,0,8,14,6,33,850,586,65,1495,103,78,182,1682,794,18,2492
SED55905,3,13,3,0,3,14,14,12,40,498,461,40,1010,50,57,105,1111,738,22,1865
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED60101,0,0,0,0,0,0,0,3,3,70,91,4,162,11,11,20,189,150,5,337
SED60106,0,9,0,0,0,9,8,5,21,415,400,49,867,28,33,63,922,473,14,1413
SED60112,0,5,0,0,0,7,3,4,18,288,285,31,603,31,21,52,662,305,5,973
SED60115,4,13,4,0,3,12,34,16,65,350,421,52,825,80,76,156,978,976,21,1979
SED60207,0,15,0,4,4,17,22,10,45,369,412,48,820,52,58,105,926,743,22,1696
SED60208,3,7,0,0,0,13,19,8,36,350,351,47,743,55,48,102,842,682,17,1536
SED60209,4,10,0,0,0,8,23,20,54,300,338,38,672,66,46,112,787,586,30,1396
SED60214,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,6
SED60302,0,5,0,0,0,5,8,0,8,139,171,18,324,16,19,29,356,227,9,589
SED60303,0,8,0,0,3,7,21,17,47,531,539,59,1126,60,71,132,1255,1002,31,2287
SED60304,0,3,0,0,0,3,3,3,13,444,329,31,808,19,24,43,851,374,3,1228
SED60305,0,0,0,0,0,0,0,0,0,10,3,0,12,0,0,0,12,3,0,10
SED60310,0,3,0,0,0,3,0,0,6,224,185,10,422,3,11,12,438,178,3,618
SED60402,0,0,0,0,0,0,0,0,0,45,54,5,103,3,0,3,109,28,0,137
SED60405,0,9,0,0,3,8,12,5,26,379,394,46,813,28,46,72,883,488,9,1381
SED60410,0,0,0,3,3,3,3,0,11,170,162,12,343,12,15,27,372,199,3,577
SED60411,0,5,0,0,0,11,13,10,33,508,398,41,950,28,34,56,1014,611,18,1636
SED60413,0,3,0,0,0,3,6,3,18,263,272,37,569,16,32,48,617,368,5,993
SED60501,0,3,0,0,0,3,6,5,13,145,164,29,336,25,21,42,378,373,17,767
SED60502,3,13,0,0,0,13,29,13,50,259,341,51,650,53,45,102,753,781,21,1556
SED60512,0,0,0,0,3,4,8,0,6,64,101,16,180,9,10,20,197,171,5,369
SED60513,0,3,0,0,3,8,8,3,14,198,222,22,446,22,14,38,485,312,7,808
SED60514,3,9,0,0,0,6,15,8,26,264,261,31,555,33,33,70,624,492,19,1130
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,0,0,0,0,0,0,3,13,18,45,39,17,107,20,4,32,136,228,9,373
SED70002,0,3,0,0,0,3,4,3,13,189,66,13,271,12,3,13,286,102,3,391
SED70003,4,29,11,8,17,41,65,47,150,70,40,23,128,14,21,39,165,194,53,417
SED70004,0,0,0,0,0,0,10,9,18,78,24,15,119,20,12,36,150,235,10,395
SED70005,3,6,0,0,0,6,3,5,14,182,56,6,244,10,3,17,264,114,5,385
SED70006,3,3,0,0,0,3,4,12,18,208,75,18,298,9,7,15,318,128,13,455
SED70007,0,7,0,0,0,7,0,0,7,200,42,14,251,6,9,12,266,42,3,312
SED70008,3,3,0,0,0,3,0,3,11,106,37,14,155,4,3,8,168,84,7,254
SED70009,0,0,0,0,0,0,5,8,19,110,36,7,154,43,6,53,211,192,12,419
SED70010,3,3,0,0,0,3,12,9,22,154,67,21,247,23,16,36,287,212,13,505
SED70011,0,0,0,0,0,3,5,3,12,123,31,14,169,3,0,6,169,94,7,278
SED70012,0,0,0,0,0,3,4,0,5,119,22,3,145,8,9,11,156,66,0,222
SED70013,0,3,0,0,0,3,3,4,11,137,55,16,203,10,3,10,213,82,9,303
SED70014,0,3,0,0,0,3,3,3,12,136,60,12,207,6,10,19,230,113,8,348
SED70015,3,4,0,0,0,8,3,3,8,139,74,18,229,18,3,20,247,148,9,407
SED70016,0,0,0,0,0,4,7,7,22,116,24,9,149,6,3,15,167,125,14,303
SED70017,0,7,0,0,0,7,0,8,13,58,31,7,103,32,10,42,145,187,8,337
SED70018,0,0,0,0,0,0,3,0,8,129,38,18,183,0,0,5,187,55,3,246
SED70019,0,0,0,0,0,0,4,14,19,110,78,4,195,23,9,34,224,307,22,559
SED70020,0,0,0,0,0,0,0,3,3,136,42,3,181,7,7,10,188,53,5,247
SED70021,0,0,0,0,0,0,0,0,0,91,18,4,116,0,3,3,118,27,0,149
SED70022,3,0,0,0,0,3,3,0,13,150,56,21,224,15,7,19,247,114,0,367
SED70023,0,3,0,0,0,3,0,0,6,124,35,6,172,10,3,11,184,62,3,248
SED70024,0,11,0,0,0,11,13,3,28,44,43,11,100,47,17,58,159,205,6,375
SED70025,0,3,0,0,0,3,3,8,8,140,36,8,188,8,3,5,193,68,6,267
SED79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED80001,4,11,0,0,0,11,12,7,30,1538,610,103,2257,59,42,97,2357,891,25,3264
SED80002,0,11,0,0,0,11,18,10,38,1144,568,97,1807,55,58,115,1921,1005,25,2949
SED80003,0,5,0,0,0,5,6,0,17,899,403,45,1350,46,41,80,1432,767,13,2211
SED80004,0,8,0,0,0,8,14,8,29,1145,565,81,1790,53,39,97,1882,922,23,2826
SED80005,5,13,0,0,0,13,10,3,32,1447,533,93,2077,47,36,79,2158,713,4,2878
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,0,0,0,0,0,3,3,3,9,53,27,7,92,0,3,6,95,43,4,145
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
